"ori_node","des_node","ori_layer","des_layer","minutes","km"
2327,44678,2,2,13,9.292
33917,44678,2,2,9,8.89
44678,2327,2,2,10,9.292
44678,33917,2,2,8,8.89
87129,101790,4,4,2,0.462
87133,212592,4,4,10,0.28
101788,87133,4,4,5,0.396
212592,87129,4,4,5,0.261
2327,2327,5,5,1,0
2327,127998,5,5,3,0.852
2327,151034,5,5,1,0.451
2327,258492,5,5,1,0.386
25716,56200,5,5,2,0.522
25716,70594,5,5,3,1.332
25716,85362,5,5,1,0.984
25716,94786,5,5,4,0.862
25716,101717,5,5,2,1.616
25716,105810,5,5,7,3.178
25716,153668,5,5,3,1.5
33917,33917,5,5,1,0
33917,117320,5,5,1,0.251
33917,121059,5,5,1,0.474
44678,44678,5,5,1,0
44678,59872,5,5,4,0.421
44678,87125,5,5,1,0.279
44678,87128,5,5,2,0.323
44678,87129,5,5,1,0.3
44678,106551,5,5,1,0.555
44678,137082,5,5,1,0.364
44678,148828,5,5,1,0.277
44678,155833,5,5,1,0.407
44678,164805,5,5,14,8.573
44678,188589,5,5,3,0.311
44678,195157,5,5,11,2.274
44678,198242,5,5,4,0.571
44678,219057,5,5,1,0.884
44678,229336,5,5,3,0.851
44678,241212,5,5,1,0.502
44678,243162,5,5,1,0.583
51798,256864,5,5,1,0.266
52721,253664,5,5,1,0.208
52791,81696,5,5,1,0.4
52940,158648,5,5,1,0.267
52941,72134,5,5,1,0.106
53773,70484,5,5,1,0.182
54045,138912,5,5,1,0.144
54333,63997,5,5,1,0.265
54333,109312,5,5,1,0.712
54531,176336,5,5,1,0.164
54532,134465,5,5,1,0.175
54581,64235,5,5,1,0.244
54706,183257,5,5,1,0.275
54778,182637,5,5,1,0.149
54899,107535,5,5,1,0.133
54900,197249,5,5,1,0.272
54950,166110,5,5,1,0.233
55158,75137,5,5,1,0.264
55705,255942,5,5,1,0.126
55705,255943,5,5,1,0.115
55734,90276,5,5,1,0.146
55836,180789,5,5,1,0.177
55906,229012,5,5,1,0.245
56095,73609,5,5,1,0.134
56200,204736,5,5,1,0.264
56201,25716,5,5,2,0.514
56311,218277,5,5,1,0.226
56313,131687,5,5,1,0.234
56395,235920,5,5,1,0.627
56395,262216,5,5,1,0.252
56683,145783,5,5,1,0.167
56736,235869,5,5,1,0.235
56737,152606,5,5,1,0.209
57210,220258,5,5,1,0.192
57211,258340,5,5,1,0.292
57391,150606,5,5,1,0.145
57466,220406,5,5,1,0.185
57466,248775,5,5,1,0.416
57467,258605,5,5,1,0.176
57468,57467,5,5,1,0.151
57468,125643,5,5,1,0.245
57716,148484,5,5,1,0.18
57717,162747,5,5,1,0.182
