"ori_node","des_node","ori_layer","des_layer","minutes","km"
7616,43210,2,2,7,3.289
43210,7616,2,2,6,3.289
64,22858,5,5,1,0.174
64,168854,5,5,1,0.634
64,231484,5,5,2,0.591
248,31341,5,5,1,0.382
248,40992,5,5,1,0.25
248,50424,5,5,1,0.633
1857,49370,5,5,1,0.945
1857,259706,5,5,1,0.49
2328,21526,5,5,1,0.356
2328,36244,5,5,1,0.446
2328,36245,5,5,1,0.297
2328,36246,5,5,1,0.253
2768,7616,5,5,1,0.652
2768,35501,5,5,1,0.244
3101,35500,5,5,1,0.356
3101,49452,5,5,1,0.349
3201,5258,5,5,2,0.578
3201,31229,5,5,1,0.321
4090,16865,5,5,1,0.792
5258,22625,5,5,2,0.654
5258,31229,5,5,1,0.349
5906,5911,5,5,1,0.921
5906,34084,5,5,2,1.039
5909,5910,5,5,2,0.825
5910,5914,5,5,1,0.566
5910,13567,5,5,2,1.571
5910,182096,5,5,1,0.532
5911,5906,5,5,2,0.921
5911,5914,5,5,1,0.93
5914,5910,5,5,1,0.566
5914,5911,5,5,1,0.93
7616,2768,5,5,2,0.652
7616,7616,5,5,1,0
7616,21526,5,5,1,0.595
7616,38445,5,5,1,0.547
7616,48936,5,5,1,0.585
8735,36244,5,5,1,0.347
8735,36245,5,5,2,0.452
8735,168854,5,5,1,0.656
8965,17914,5,5,1,0.176
8965,50424,5,5,1,0.225
8965,76544,5,5,1,0.237
10740,29970,5,5,1,0.28
10740,41328,5,5,1,1.023
12781,13567,5,5,1,0.42
13364,46941,5,5,1,0.255
13567,5910,5,5,3,1.571
13567,12781,5,5,1,0.42
13567,34185,5,5,1,0.899
14569,35500,5,5,1,0.41
14569,46941,5,5,1,0.498
15387,8965,5,5,1,0.359
15387,25964,5,5,2,1.05
15387,26808,5,5,1,0.277
16865,4090,5,5,1,0.792
16865,49370,5,5,1,1.2
17914,8965,5,5,1,0.176
17914,15387,5,5,1,0.182
17914,25964,5,5,3,1.188
17914,26808,5,5,1,0.231
18219,21098,5,5,1,0.18
19206,10740,5,5,4,1.747
19206,21098,5,5,1,0.372
19206,22625,5,5,3,1.444
19206,41328,5,5,3,1.248
19280,25964,5,5,1,0.483
19280,40888,5,5,1,0.241
19883,27650,5,5,1,0.374
19883,41176,5,5,1,0.179
21098,18219,5,5,1,0.18
21098,19206,5,5,1,0.372
21526,2328,5,5,1,0.356
21526,7616,5,5,1,0.595
22625,5258,5,5,2,0.654
22625,19206,5,5,2,1.444
22858,64,5,5,1,0.174
22858,39913,5,5,1,0.334
22858,40497,5,5,2,0.389
25964,15387,5,5,2,1.05
25964,40888,5,5,1,0.243
25964,149219,5,5,1,0.531
26808,15387,5,5,1,0.277
26808,17914,5,5,1,0.231
26808,42694,5,5,1,0.259
26808,50424,5,5,1,0.525
27180,38441,5,5,1,0.163
27180,38443,5,5,1,0.472
27650,19883,5,5,1,0.374
27650,38444,5,5,1,0.658
29970,10740,5,5,1,0.28
29970,48936,5,5,1,0.356
30500,36336,5,5,1,0.231
30500,49452,5,5,1,0.276
31229,3201,5,5,1,0.321
31229,41328,5,5,1,0.652
31341,50424,5,5,1,0.368
31341,84741,5,5,1,0.119
31341,255020,5,5,1,0.485
31341,255024,5,5,1,0.457
34084,5906,5,5,1,1.039
34185,1857,5,5,1,0.839
34185,13567,5,5,1,0.899
34185,19883,5,5,2,1.025
35500,2768,5,5,1,0.378
35500,3101,5,5,1,0.356
35500,14569,5,5,1,0.41
35500,35501,5,5,1,0.136
35501,2768,5,5,1,0.244
35501,3101,5,5,1,0.427
35501,14569,5,5,1,0.493
35501,35500,5,5,1,0.136
36244,8735,5,5,1,0.347
