"ori_node","des_node","ori_layer","des_layer","minutes","km"
10345,32782,2,2,3,2.244
10345,40220,2,2,3,3.362
11353,40220,2,2,7,7.867
32782,10345,2,2,2,2.244
40220,10345,2,2,3,3.362
40220,11353,2,2,6,7.867
604,2586,5,5,1,0.352
604,11353,5,5,2,0.901
1033,18108,5,5,2,0.376
1033,31302,5,5,1,0.448
1316,3337,5,5,1,0.342
1316,7747,5,5,1,0.239
1809,1818,5,5,1,0.492
1818,1809,5,5,1,0.492
1818,12522,5,5,1,0.514
1818,50770,5,5,1,0.198
2062,16152,5,5,1,0.335
2062,23156,5,5,1,0.286
2062,30811,5,5,1,0.448
2367,7304,5,5,1,0.859
2367,224492,5,5,1,0.173
2586,604,5,5,1,0.352
2586,34228,5,5,1,0.282
2791,22579,5,5,2,0.371
2791,33277,5,5,1,0.208
3337,1316,5,5,1,0.342
3337,40855,5,5,1,0.449
4769,4770,5,5,1,0.229
4769,4776,5,5,1,0.278
4770,4769,5,5,1,0.229
4770,4771,5,5,1,0.239
4770,4775,5,5,1,0.215
4770,4781,5,5,1,0.379
4771,4770,5,5,1,0.239
4771,4772,5,5,1,0.203
4771,4775,5,5,1,0.262
4772,4771,5,5,1,0.203
4772,37263,5,5,1,0.324
4772,147627,5,5,1,0.198
4773,37273,5,5,1,0.527
4773,79946,5,5,1,0.611
4774,4775,5,5,1,0.207
4774,4781,5,5,1,0.141
4774,37274,5,5,3,0.577
4774,50638,5,5,1,0.265
4775,4770,5,5,1,0.215
4775,4771,5,5,1,0.262
4775,4774,5,5,1,0.207
4775,4781,5,5,1,0.164
4776,4769,5,5,1,0.278
4776,50635,5,5,1,0.541
4781,4774,5,5,1,0.141
4781,4775,5,5,1,0.164
4781,194979,5,5,1,0.18
4782,4781,5,5,1,0.407
4782,50636,5,5,1,0.439
4943,4944,5,5,1,0.419
4943,4946,5,5,1,0.194
4943,4949,5,5,1,0.631
4943,22588,5,5,1,0.493
4943,37452,5,5,1,0.21
4943,37455,5,5,1,0.233
4943,83645,5,5,1,0.278
4944,4943,5,5,2,0.419
4944,4949,5,5,1,0.22
4945,4946,5,5,1,0.338
4945,43073,5,5,1,0.311
4946,4943,5,5,1,0.194
4946,4945,5,5,1,0.338
4946,43073,5,5,2,0.647
4949,4944,5,5,1,0.22
6142,32782,5,5,4,1.235
6142,168527,5,5,2,0.686
6142,214643,5,5,3,0.544
6142,233794,5,5,1,0.378
6149,17349,5,5,1,1.488
6149,46529,5,5,1,0.268
6241,12907,5,5,2,0.552
6241,85916,5,5,1,0.304
7301,12521,5,5,2,1.257
7301,12524,5,5,2,0.876
7304,2367,5,5,1,0.859
7304,47354,5,5,1,0.513
7304,47822,5,5,2,0.734
7304,49274,5,5,1,0.773
7747,1316,5,5,1,0.239
7747,254895,5,5,1,0.201
8732,11353,5,5,1,0.845
8732,22728,5,5,1,0.357
10345,4773,5,5,3,1.253
10345,7304,5,5,3,1.26
10345,10345,5,5,1,0
10345,24096,5,5,2,0.868
10345,24104,5,5,1,1.084
10345,31751,5,5,4,1.652
10345,31752,5,5,1,0.564
10345,37448,5,5,1,0.732
10345,41647,5,5,1,0.544
10345,43071,5,5,1,0.556
10345,47354,5,5,2,1.03
10345,50632,5,5,2,0.89
10345,50634,5,5,1,0.694
10345,261781,5,5,1,0.795
10910,30811,5,5,1,0.316
10910,39056,5,5,1,0.239
11353,11353,5,5,1,0
11353,17349,5,5,6,1.67
11353,46529,5,5,1,0.516
11353,48145,5,5,1,0.554
11353,125412,5,5,1,0.515
12517,12518,5,5,1,0.331
12517,12520,5,5,2,0.584
12517,32782,5,5,1,0.638
12518,12517,5,5,1,0.331
12518,31650,5,5,1,0.316
12519,50771,5,5,1,0.47
12519,50772,5,5,1,0.52
12520,12517,5,5,1,0.584
12521,7301,5,5,1,1.257
12521,20933,5,5,4,1.969
12521,31751,5,5,1,0.796
12521,31753,5,5,1,0.579
12521,31754,5,5,1,0.306
12521,50771,5,5,1,0.778
12522,1818,5,5,1,0.514
12522,31753,5,5,2,0.631
12522,31755,5,5,1,0.807
12523,12524,5,5,1,0.341
12523,31754,5,5,1,0.239
12524,7301,5,5,1,0.876
12524,12523,5,5,1,0.341
12907,6241,5,5,1,0.552
14196,14377,5,5,1,0.241
14196,30177,5,5,1,0.346
14196,34228,5,5,1,0.493
14377,14196,5,5,1,0.241
14377,22728,5,5,2,0.657
14377,24729,5,5,1,0.303
15071,257853,5,5,1,0.199
15541,16152,5,5,1,0.717
15541,49274,5,5,1,1.163
16152,2062,5,5,1,0.335
16152,15541,5,5,1,0.717
16152,30811,5,5,1,0.501
17349,6149,5,5,1,1.488
17349,11353,5,5,5,1.67
17349,17349,5,5,1,0
18108,24097,5,5,1,0.246
18108,31650,5,5,3,1.214
18108,95474,5,5,1,0.241
18261,24100,5,5,1,0.236
18261,31760,5,5,1,0.321
18261,32782,5,5,1,0.772
18261,50772,5,5,1,0.499
18262,18263,5,5,1,0.259
18262,50769,5,5,1,0.278
18262,214643,5,5,1,0.819
18263,18262,5,5,1,0.259
18263,18264,5,5,1,0.293
18264,18263,5,5,1,0.293
18264,18265,5,5,1,0.298
18265,18264,5,5,1,0.298
18265,18266,5,5,1,0.439
18266,18265,5,5,1,0.439
18266,18267,5,5,1,0.355
18267,18266,5,5,1,0.355
18267,32782,5,5,1,0.633
20343,48145,5,5,1,0.497
20343,48166,5,5,1,0.427
20933,12521,5,5,4,1.969
20933,15071,5,5,1,0.534
20933,20934,5,5,1,0.532
20934,20933,5,5,1,0.532
21125,2367,5,5,2,0.883
21125,40855,5,5,1,0.29
22579,2791,5,5,1,0.371
22579,30177,5,5,1,0.318
22579,34437,5,5,1,0.375
22588,4943,5,5,1,0.493
22588,37446,5,5,3,0.874
22728,8732,5,5,1,0.357
22728,24729,5,5,1,0.386
23156,2062,5,5,1,0.286
23156,146401,5,5,1,0.29
24096,24097,5,5,1,0.272
24096,41647,5,5,1,0.384
24097,18108,5,5,1,0.246
24097,24096,5,5,1,0.272
24098,1033,5,5,1,0.231
24098,18108,5,5,2,0.595
24098,24104,5,5,1,0.529
24098,31302,5,5,1,0.222
24098,43068,5,5,1,0.314
24098,95474,5,5,1,0.375
24099,24100,5,5,1,0.417
24099,31302,5,5,1,0.189
24100,18261,5,5,1,0.236
24100,24099,5,5,1,0.417
24100,32782,5,5,1,0.54
24104,10345,5,5,1,1.084
24104,31302,5,5,2,0.751
24104,95474,5,5,1,0.2
24729,14377,5,5,1,0.303
24729,22728,5,5,1,0.386
28651,23156,5,5,1,0.576
28651,48166,5,5,1,0.685
28651,146401,5,5,1,0.286
30177,130652,5,5,1,0.11
30177,167528,5,5,1,0.137
30811,10910,5,5,1,0.316
30811,16152,5,5,1,0.501
31302,24098,5,5,1,0.222
31302,24099,5,5,1,0.189
31650,12518,5,5,1,0.316
31650,18108,5,5,2,1.214
31749,31750,5,5,2,0.526
31749,31755,5,5,2,0.684
31749,43074,5,5,1,0.332
31750,31749,5,5,1,0.526
31750,31760,5,5,1,0.157
31750,50772,5,5,1,0.345
31751,10345,5,5,5,1.652
31751,12521,5,5,2,0.796
31751,31752,5,5,2,1.142
31751,31753,5,5,1,0.223
31751,133601,5,5,3,1.416
31752,10345,5,5,1,0.564
31752,31751,5,5,3,1.142
31752,31755,5,5,2,1.078
31753,12521,5,5,1,0.579
31753,12522,5,5,1,0.631
31753,31751,5,5,1,0.223
31754,12521,5,5,1,0.306
31754,12523,5,5,1,0.239
31755,12521,5,5,3,0.88
31755,12522,5,5,1,0.807
31755,31749,5,5,1,0.684
31755,31752,5,5,1,1.078
31760,18261,5,5,2,0.321
31760,31750,5,5,1,0.157
31760,50772,5,5,1,0.258
32782,6142,5,5,4,1.235
32782,12517,5,5,1,0.638
32782,18261,5,5,1,0.772
32782,18267,5,5,1,0.633
32782,24100,5,5,1,0.54
32782,24104,5,5,2,1.16
32782,32782,5,5,1,0
32782,73892,5,5,2,0.731
32782,168527,5,5,6,1.669
33277,2791,5,5,1,0.208
33277,52285,5,5,1,0.317
34228,2586,5,5,1,0.282
34228,14196,5,5,2,0.493
34437,22579,5,5,1,0.375
34437,39056,5,5,1,0.295
37261,37262,5,5,1,0.259
37261,40220,5,5,1,0.634
37262,37261,5,5,1,0.259
37262,37263,5,5,1,0.313
37262,40220,5,5,1,0.888
37263,4772,5,5,1,0.324
37263,37262,5,5,1,0.313
37263,37264,5,5,1,0.398
37264,37263,5,5,1,0.398
37264,37264,5,5,1,0
37264,37265,5,5,1,0.45
37265,37264,5,5,1,0.45
37265,37266,5,5,1,0.31
37266,37265,5,5,1,0.31
37266,47822,5,5,1,0.466
37273,4773,5,5,1,0.527
37273,37274,5,5,1,0.521
37274,4774,5,5,1,0.577
37274,37273,5,5,1,0.521
37274,37274,5,5,1,0
37274,37449,5,5,1,0.206
37274,37452,5,5,1,0.842
37274,47797,5,5,1,0.548
37274,50638,5,5,1,0.401
37446,22588,5,5,3,0.874
37446,37447,5,5,1,0.274
37446,43072,5,5,1,0.423
37446,235300,5,5,2,0.487
37447,37446,5,5,1,0.274
37447,37450,5,5,1,0.31
37447,37451,5,5,1,0.502
37447,235300,5,5,2,0.394
37448,10345,5,5,2,0.732
37448,37451,5,5,1,0.179
37448,79946,5,5,1,0.376
37448,133601,5,5,5,1.207
37449,37274,5,5,1,0.206
37449,37454,5,5,1,0.279
37449,47797,5,5,1,0.356
37449,48894,5,5,1,0.383
37450,37447,5,5,1,0.31
37450,37451,5,5,1,0.206
37451,37447,5,5,1,0.502
37451,37448,5,5,1,0.179
37451,37450,5,5,1,0.206
37452,37274,5,5,1,0.842
37454,37449,5,5,1,0.279
37454,37452,5,5,1,0.482
37454,37455,5,5,1,0.4
37455,4943,5,5,1,0.233
37455,37452,5,5,1,0.095
37455,37454,5,5,1,0.4
39056,10910,5,5,1,0.239
39056,34437,5,5,1,0.295
40220,37261,5,5,1,0.634
40220,37454,5,5,4,1.535
40220,40220,5,5,1,0
40220,47805,5,5,1,0.518
40220,48887,5,5,1,0.67
40220,48893,5,5,1,0.564
40220,49274,5,5,5,3.181
40220,50636,5,5,1,0.764
40855,3337,5,5,1,0.449
40855,21125,5,5,1,0.29
41647,10345,5,5,1,0.544
41647,24096,5,5,1,0.384
43068,24098,5,5,1,0.314
43068,43069,5,5,1,0.361
43069,43068,5,5,1,0.361
43069,43070,5,5,1,0.334
43069,43075,5,5,1,0.315
43070,10345,5,5,3,0.713
43070,43069,5,5,1,0.334
43070,43071,5,5,1,0.183
43071,10345,5,5,1,0.556
43071,43070,5,5,1,0.183
43072,37446,5,5,1,0.423
43072,43073,5,5,1,0.273
43072,92137,5,5,1,0.226
43073,4945,5,5,1,0.311
43073,43072,5,5,1,0.273
43074,31749,5,5,1,0.332
43074,43075,5,5,1,0.274
43075,43069,5,5,1,0.315
43075,43074,5,5,1,0.274
46529,6149,5,5,1,0.268
46529,11353,5,5,1,0.516
47104,47107,5,5,1,0.292
47104,50766,5,5,1,0.172
47107,47104,5,5,1,0.292
47107,50769,5,5,1,0.367
47354,7304,5,5,1,0.513
47354,10345,5,5,1,1.03
47354,41647,5,5,1,0.604
47354,47354,5,5,1,0
47797,37274,5,5,1,0.548
47797,37449,5,5,1,0.356
47797,47798,5,5,1,0.447
47798,47797,5,5,1,0.447
47798,47798,5,5,1,0
47798,47802,5,5,1,0.31
47802,47798,5,5,1,0.31
47802,47805,5,5,1,0.365
47805,40220,5,5,1,0.518
47805,47802,5,5,1,0.365
47822,7304,5,5,1,0.734
47822,37266,5,5,1,0.466
48145,604,5,5,1,0.351
48145,11353,5,5,1,0.554
48145,20343,5,5,1,0.497
48145,197887,5,5,4,1.863
48166,20343,5,5,1,0.427
48166,61843,5,5,1,0.548
48887,40220,5,5,1,0.67
48887,48888,5,5,1,0.249
48888,48887,5,5,1,0.249
48888,48889,5,5,1,0.347
48889,48888,5,5,1,0.347
48889,48890,5,5,1,0.21
48889,48891,5,5,1,0.211
48890,48889,5,5,1,0.21
48891,48889,5,5,1,0.211
48891,48895,5,5,1,0.5
48893,40220,5,5,1,0.564
48894,37274,5,5,1,0.587
48894,48895,5,5,1,0.3
48895,48891,5,5,2,0.5
48895,48894,5,5,1,0.3
49274,7304,5,5,1,0.773
49274,15541,5,5,1,1.163
49274,40220,5,5,5,3.181
49274,47354,5,5,3,1.229
50632,50633,5,5,1,0.431
50632,79946,5,5,1,0.246
50633,50637,5,5,1,0.43
50633,157894,5,5,1,0.259
50634,10345,5,5,1,0.694
50634,50635,5,5,1,0.229
50635,50634,5,5,1,0.229
50635,70197,5,5,1,0.373
50636,4782,5,5,1,0.439
50636,40220,5,5,1,0.764
50637,50633,5,5,1,0.43
50637,50638,5,5,1,0.227
50638,4774,5,5,1,0.265
50638,37274,5,5,1,0.401
50638,50633,5,5,2,0.656
50638,50637,5,5,1,0.227
50763,50764,5,5,1,0.378
50764,50763,5,5,1,0.378
50764,50770,5,5,1,0.309
50766,47104,5,5,1,0.172
50766,50773,5,5,1,0.194
50769,18262,5,5,1,0.278
50769,47107,5,5,1,0.367
50770,1818,5,5,1,0.198
50770,50764,5,5,1,0.309
50770,50771,5,5,1,0.146
50771,12519,5,5,1,0.47
50771,12521,5,5,1,0.778
50771,31755,5,5,3,1.176
50771,50770,5,5,1,0.146
50771,50772,5,5,3,0.976
50772,12519,5,5,1,0.52
50772,18261,5,5,1,0.499
50772,24100,5,5,2,0.726
50772,31750,5,5,1,0.345
50772,31760,5,5,1,0.258
50772,50773,5,5,1,0.204
50773,50766,5,5,1,0.194
50773,50772,5,5,1,0.204
50773,87249,5,5,1,0.146
52285,254895,5,5,2,0.429
55711,197887,5,5,1,0.217
61843,28651,5,5,1,0.139
70197,4776,5,5,1,0.168
73892,32782,5,5,1,0.731
79800,87764,5,5,1,0.256
79946,10345,5,5,1,0.644
83645,37446,5,5,4,1.093
85916,6241,5,5,1,0.304
87249,50772,5,5,1,0.129
92137,37446,5,5,1,0.218
95474,1033,5,5,1,0.144
95474,31302,5,5,2,0.586
95474,32782,5,5,1,0.96
122027,31751,5,5,3,1.459
122027,37448,5,5,4,1.475
125412,8732,5,5,1,0.337
130652,22579,5,5,1,0.258
133601,122027,5,5,1,0.282
146401,23156,5,5,1,0.29
146401,28651,5,5,1,0.286
147627,37263,5,5,1,0.153
157894,50632,5,5,1,0.172
167528,14196,5,5,1,0.222
168527,18264,5,5,1,0.382
168527,18267,5,5,6,1.103
168527,214643,5,5,1,0.145
194979,4782,5,5,1,0.227
197887,11353,5,5,5,1.944
197887,79800,5,5,1,0.216
214643,168527,5,5,1,0.145
214643,233794,5,5,1,0.327
224492,21125,5,5,1,0.71
233794,6142,5,5,1,0.378
233794,32782,5,5,6,1.59
233794,214643,5,5,2,0.327
235300,37446,5,5,2,0.487
235300,37447,5,5,1,0.394
254895,7747,5,5,1,0.201
254895,33277,5,5,2,0.746
257853,20933,5,5,1,0.338
258421,55711,5,5,1,0.321
261781,4773,5,5,1,0.52
10345,10345,5,2,4,0.261
10345,10345,2,5,4,0.261
10345,10345,5,4,3,0.196
10345,10345,4,5,3,0.196
10345,10345,2,4,3,0.17
10345,10345,4,2,3,0.17
11353,11353,5,2,3,0.211
11353,11353,2,5,3,0.211
32782,32782,2,5,4,0.312
32782,32782,5,2,4,0.312
40220,40220,2,5,8,0.602
40220,40220,5,2,8,0.602
