"ori_node","des_node","ori_layer","des_layer","minutes","km"
5353,17543,2,2,1,1.636
17543,5353,2,2,1,1.636
17543,233472,2,2,8,5.544
233472,17543,2,2,10,5.544
7151,17543,4,4,15,8.681
17543,7151,4,4,12,8.681
5353,5353,5,5,1,0
5353,145148,5,5,1,0.253
5353,145150,5,5,1,0.461
5353,155053,5,5,1,0.517
7151,75549,5,5,5,2.442
7151,117506,5,5,1,0.441
17543,17543,5,5,1,0
17543,52319,5,5,1,0.322
17543,52322,5,5,1,0.391
17543,59960,5,5,5,0.364
17543,59962,5,5,2,0.509
17543,59963,5,5,1,0.522
17543,96374,5,5,1,0.387
17543,99350,5,5,15,2.364
17543,102571,5,5,1,0.495
17543,129632,5,5,4,0.86
17543,139498,5,5,1,0.507
17543,159815,5,5,1,0.39
17543,170497,5,5,1,0.312
17543,171072,5,5,2,0.316
17543,186091,5,5,2,0.357
17543,186318,5,5,2,0.672
17543,189850,5,5,2,0.507
17543,202207,5,5,2,1.046
17543,205155,5,5,6,2.134
17543,225023,5,5,2,0.856
17543,234631,5,5,1,0.598
17543,241117,5,5,1,0.534
17543,241118,5,5,1,0.52
17543,241119,5,5,1,0.318
17543,261218,5,5,2,0.539
17543,262273,5,5,2,0.722
51777,51779,5,5,1,0.112
51778,51777,5,5,1,0.152
51779,5353,5,5,1,0.38
51779,234630,5,5,3,1.146
51780,51783,5,5,1,0.279
51780,234912,5,5,1,0.217
51781,111196,5,5,1,0.239
51782,51784,5,5,1,0.209
51783,51781,5,5,1,0.161
51784,51778,5,5,1,0.249
51785,51786,5,5,1,0.202
51786,51780,5,5,1,0.112
52001,61742,5,5,1,0.191
52002,52007,5,5,1,0.277
52004,111588,5,5,1,0.146
52005,52011,5,5,1,0.571
52006,52001,5,5,1,0.307
52007,121454,5,5,1,0.157
52008,111588,5,5,3,1.218
52009,52008,5,5,3,0.805
52009,52010,5,5,2,1.506
52010,96372,5,5,1,0.512
52011,111588,5,5,3,1.818
52318,106111,5,5,1,0.312
52319,197434,5,5,1,0.285
52320,186311,5,5,1,0.204
52321,216733,5,5,1,0.367
52322,177990,5,5,1,0.757
52322,187750,5,5,2,0.823
52322,197435,5,5,1,0.303
52322,207084,5,5,3,0.428
52322,207085,5,5,1,0.43
53198,121454,5,5,1,0.218
53198,186317,5,5,2,0.474
56120,125657,5,5,2,0.89
57006,234630,5,5,2,0.382
57006,250303,5,5,1,0.206
57677,171927,5,5,1,0.161
57679,118274,5,5,3,1.942
57679,164852,5,5,7,1.107
57679,211826,5,5,1,0.254
57679,234913,5,5,1,0.213
57680,243034,5,5,1,0.219
57681,17543,5,5,20,2.239
57681,121447,5,5,1,0.158
59959,17543,5,5,1,0.385
59959,102571,5,5,2,0.143
59959,148584,5,5,10,2.217
59960,52322,5,5,1,0.18
59962,17543,5,5,2,0.509
59962,52322,5,5,1,0.325
59963,52322,5,5,2,0.332
59963,120725,5,5,3,0.679
59963,129632,5,5,1,0.341
59963,129634,5,5,3,1.092
59963,186318,5,5,1,0.15
59963,261222,5,5,7,1.102
61505,51782,5,5,1,0.295
61506,194070,5,5,1,0.234
61506,194071,5,5,1,0.256
61507,111208,5,5,1,0.276
61508,61506,5,5,1,0.216
61509,61510,5,5,1,0.267
61510,61508,5,5,1,0.197
61511,61512,5,5,1,0.251
61512,61509,5,5,1,0.124
61740,61745,5,5,1,0.074
61741,52002,5,5,1,0.277
61742,61740,5,5,1,0.241
61743,61744,5,5,1,0.168
61744,61747,5,5,1,0.234
61745,61746,5,5,1,0.148
61746,61743,5,5,1,0.222
61747,71246,5,5,1,0.149
64519,184426,5,5,1,0.137
65527,94925,5,5,2,1.007
65527,124042,5,5,1,0.606
65914,117285,5,5,1,0.529
67988,89026,5,5,1,0.981
67990,79095,5,5,2,0.7
67990,89031,5,5,1,0.364
69359,69360,5,5,1,0.263
69360,195478,5,5,1,0.221
69361,160388,5,5,1,0.248
69361,215332,5,5,1,0.335
69362,69364,5,5,1,0.243
69363,69367,5,5,1,0.188
69364,69359,5,5,1,0.293
69365,69363,5,5,1,0.15
69365,98646,5,5,1,0.182
69366,69362,5,5,1,0.126
69367,79090,5,5,1,0.129
69561,208472,5,5,2,1.909
69561,244653,5,5,2,1.623
69562,70282,5,5,5,3.316
69562,98648,5,5,3,1.932
69562,252944,5,5,7,3.473
69565,238436,5,5,1,0.173
69566,79319,5,5,2,0.453
69566,161677,5,5,1,0.179
69566,170490,5,5,2,0.698
69567,118722,5,5,1,0.362
70282,252944,5,5,1,0.373
70287,80929,5,5,1,0.419
71239,230150,5,5,1,0.154
71240,61745,5,5,1,0.117
71240,222206,5,5,1,0.131
71241,71239,5,5,1,0.184
71241,71240,5,5,1,0.132
71242,71241,5,5,1,0.194
71243,71242,5,5,1,0.172
71244,71243,5,5,1,0.135
71245,71244,5,5,1,0.145
71246,71245,5,5,1,0.15
71248,71249,5,5,1,0.106
71249,71240,5,5,1,0.202
72660,155376,5,5,1,0.301
74140,99351,5,5,1,0.487
74141,186097,5,5,1,0.537
74941,94924,5,5,2,2.066
74941,94929,5,5,5,1.708
75474,196012,5,5,1,0.216
75549,91171,5,5,19,6.174
75549,233280,5,5,2,2.267
75549,243035,5,5,2,1.464
75550,74941,5,5,1,0.493
75550,77686,5,5,1,1.716
76890,230521,5,5,1,0.398
77681,77683,5,5,1,1.042
77681,230521,5,5,1,0.431
77683,75549,5,5,2,1.795
77686,76891,5,5,1,1.072
77686,77684,5,5,2,1.084
77932,210743,5,5,1,0.18
77959,195478,5,5,1,0.306
77959,257191,5,5,1,0.112
77965,231335,5,5,1,0.308
79090,118717,5,5,1,0.057
79091,69366,5,5,1,0.203
79092,79093,5,5,1,0.135
79093,79095,5,5,1,0.245
79094,79091,5,5,1,0.187
79095,79098,5,5,1,0.261
79096,79094,5,5,2,0.2
79096,89030,5,5,2,0.631
79097,79096,5,5,1,0.239
79098,254620,5,5,1,0.113
79319,170490,5,5,2,0.67
79322,158409,5,5,1,0.402
79323,79325,5,5,1,1.829
79324,79322,5,5,1,1.978
79325,79328,5,5,1,0.335
79326,79324,5,5,2,1.876
79328,110765,5,5,2,1.228
79328,239986,5,5,1,0.868
80922,80923,5,5,1,0.158
80923,80924,5,5,1,0.202
80924,80925,5,5,1,0.247
80925,71248,5,5,1,0.245
80925,80928,5,5,1,0.252
80926,230154,5,5,1,0.187
80927,80922,5,5,1,0.223
80928,252944,5,5,1,0.233
80929,65527,5,5,8,4.279
80929,69561,5,5,5,3.275
80929,98645,5,5,2,0.465
80929,223612,5,5,1,0.643
80929,233281,5,5,8,2.544
80929,243041,5,5,3,2.533
84851,100908,5,5,3,1.946
85586,85589,5,5,1,0.52
85586,174902,5,5,2,1.225
85588,85587,5,5,1,0.532
85589,95431,5,5,1,0.822
85589,95438,5,5,2,0.957
85589,105067,5,5,5,2.658
85589,108806,5,5,4,1.704
85589,253290,5,5,3,2.261
85590,85591,5,5,1,0.146
85591,85588,5,5,3,1.626
85591,95438,5,5,4,0.886
85591,105067,5,5,2,1.321
85591,136393,5,5,2,0.834
85592,95440,5,5,1,0.535
85592,108806,5,5,1,0.428
85592,121126,5,5,4,0.579
85592,253290,5,5,3,1.016
87076,117502,5,5,2,1.076
87160,118718,5,5,1,0.372
88796,105070,5,5,4,1.704
89025,89029,5,5,1,0.97
89026,89028,5,5,1,0.864
89027,67990,5,5,2,1.276
89029,89027,5,5,2,0.953
