"ori_node","des_node","ori_layer","des_layer","minutes","km"
69,567,5,5,1,0.232
69,10663,5,5,1,0.191
371,8006,5,5,1,0.532
371,32788,5,5,1,0.216
567,69,5,5,1,0.232
567,181618,5,5,1,0.105
568,25368,5,5,1,0.209
568,44432,5,5,1,0.156
569,12936,5,5,1,0.245
569,43213,5,5,1,0.212
878,882,5,5,1,0.189
878,53236,5,5,1,0.138
882,878,5,5,1,0.189
882,5276,5,5,1,0.246
1209,3532,5,5,1,0.206
1209,31746,5,5,1,0.223
1656,7618,5,5,1,0.288
1656,18637,5,5,1,0.211
1656,34650,5,5,1,0.295
1704,25802,5,5,1,0.436
1704,38588,5,5,1,0.402
1704,41919,5,5,2,0.361
1951,10668,5,5,1,0.163
1951,13798,5,5,1,0.14
1951,121407,5,5,1,0.088
3051,23536,5,5,1,0.213
3051,186638,5,5,1,0.096
3051,200836,5,5,1,0.351
3532,1209,5,5,1,0.206
3532,1704,5,5,2,0.553
3532,20213,5,5,1,0.295
3532,205968,5,5,1,0.189
3532,205969,5,5,1,0.219
4079,7763,5,5,1,0.191
4079,31742,5,5,2,0.298
4083,10663,5,5,1,0.264
4083,25246,5,5,1,0.233
4083,42221,5,5,1,0.199
5276,882,5,5,1,0.246
5276,23841,5,5,1,0.178
5959,1951,5,5,1,0.288
5959,5962,5,5,1,0.32
5962,5959,5,5,1,0.32
5962,121406,5,5,1,0.233
6117,27037,5,5,1,0.221
6117,37412,5,5,1,0.353
6118,6119,5,5,1,0.236
6118,27037,5,5,1,0.332
6119,6118,5,5,1,0.236
6119,6888,5,5,1,0.134
6119,57078,5,5,1,0.163
6122,31746,5,5,1,0.349
6122,37390,5,5,1,0.217
6224,6227,5,5,1,0.291
6224,30025,5,5,1,0.18
6225,40121,5,5,1,0.217
6225,54124,5,5,1,0.26
6225,210502,5,5,1,0.365
6226,6227,5,5,1,0.39
6226,14414,5,5,1,0.192
6227,6224,5,5,1,0.291
6227,6226,5,5,1,0.39
6882,33556,5,5,1,0.334
6882,124915,5,5,1,0.155
6882,207953,5,5,1,0.127
6888,25370,5,5,1,0.146
6888,57078,5,5,1,0.225
7618,1656,5,5,1,0.288
7618,19440,5,5,1,0.205
7618,34650,5,5,1,0.359
7618,34660,5,5,1,0.355
7618,183016,5,5,1,0.387
7763,4079,5,5,1,0.191
7763,140297,5,5,3,1.061
7763,248136,5,5,1,0.281
8006,371,5,5,1,0.532
8716,48050,5,5,1,0.288
8716,50747,5,5,1,0.093
8716,116557,5,5,1,0.224
9645,9658,5,5,1,0.296
9645,33556,5,5,1,0.269
9658,3532,5,5,1,0.417
9658,9645,5,5,1,0.296
