"ori_node","des_node","ori_layer","des_layer","minutes","km"
7980,12678,2,2,2,0.826
7980,27200,2,2,3,2.054
10548,18446,2,2,2,0.871
10548,27200,2,2,3,2.069
12678,7980,2,2,2,0.826
12678,27200,2,2,4,2.635
18446,10548,2,2,2,0.871
21046,27200,2,2,3,2.708
27200,7980,2,2,3,2.054
27200,10548,2,2,3,2.069
27200,12678,2,2,4,2.635
27200,21046,2,2,3,2.708
27200,37770,2,2,3,1.281
37770,27200,2,2,2,1.281
12678,39687,3,3,2,1.099
32238,39687,3,3,2,1.195
39687,12678,3,3,2,1.099
39687,32238,3,3,2,1.195
154,134571,5,5,1,0.173
392,13641,5,5,1,0.263
395,19506,5,5,1,0.3
395,39928,5,5,1,0.314
1115,7598,5,5,1,0.356
1115,29661,5,5,1,0.327
1189,5237,5,5,1,0.294
1189,41007,5,5,1,0.25
1406,2989,5,5,1,0.353
1406,32776,5,5,1,0.254
2132,42008,5,5,1,0.394
2132,87438,5,5,1,0.38
2132,92107,5,5,1,0.489
2355,37770,5,5,1,0.574
2356,21212,5,5,1,0.317
2356,37757,5,5,1,0.386
2356,46562,5,5,1,0.38
2356,121259,5,5,1,0.132
2989,1406,5,5,1,0.353
3028,41174,5,5,1,0.404
3028,134656,5,5,1,0.379
4273,247629,5,5,1,0.292
5237,1189,5,5,1,0.294
5237,26906,5,5,1,0.384
7323,12237,5,5,1,0.213
7323,35207,5,5,1,0.406
7598,1115,5,5,1,0.356
7598,10421,5,5,1,0.467
7598,15087,5,5,1,0.166
7980,7980,5,5,1,0
7980,27971,5,5,1,0.712
7980,28901,5,5,1,0.751
7980,41586,5,5,1,0.571
7980,160431,5,5,1,0.7
7980,260236,5,5,1,0.691
8061,13641,5,5,1,0.381
8061,18520,5,5,1,0.108
8415,119163,5,5,1,0.085
8415,152113,5,5,1,0.208
8802,10548,5,5,1,0.829
9726,38393,5,5,1,0.237
9726,39687,5,5,1,0.334
9824,17207,5,5,1,0.177
9824,28861,5,5,1,0.224
10421,7598,5,5,1,0.467
10421,25945,5,5,1,0.396
10548,8802,5,5,1,0.829
10548,10548,5,5,1,0
10548,32776,5,5,1,0.611
10548,37757,5,5,1,0.661
10548,194292,5,5,1,0.254
12237,7323,5,5,1,0.213
12237,18446,5,5,1,0.663
12237,78726,5,5,1,0.167
12553,12553,5,5,1,0
12553,204687,5,5,1,0.388
12678,12678,5,5,1,0
12678,35309,5,5,1,0.553
12678,146821,5,5,1,0.504
13437,27200,5,5,1,0.794
13437,28861,5,5,1,0.367
13452,24837,5,5,1,0.181
13452,44930,5,5,1,0.314
13641,392,5,5,1,0.263
13641,8061,5,5,1,0.381
14762,37770,5,5,1,0.664
14762,48473,5,5,1,0.174
15087,7598,5,5,1,0.166
15087,21397,5,5,1,0.285
15418,27200,5,5,1,0.545
15418,44930,5,5,1,0.263
15418,48473,5,5,1,0.111
17204,17207,5,5,1,0.363
17204,233452,5,5,1,0.33
17207,9824,5,5,1,0.177
17207,17204,5,5,1,0.363
17475,37770,5,5,1,0.703
18446,12237,5,5,1,0.663
18446,18446,5,5,1,0
18446,159555,5,5,1,0.693
18446,167005,5,5,1,0.273
18520,37770,5,5,1,0.674
18580,32632,5,5,2,0.243
18580,100721,5,5,1,0.144
19506,395,5,5,1,0.3
19506,27200,5,5,1,0.622
21046,21046,5,5,1,0
21046,32064,5,5,1,0.735
21046,41007,5,5,1,0.712
21212,23985,5,5,1,0.186
21212,150361,5,5,1,0.197
21397,15087,5,5,1,0.285
21397,41142,5,5,2,0.359
21502,8061,5,5,1,0.21
21502,35443,5,5,1,0.264
22118,32238,5,5,1,0.613
22118,39687,5,5,1,0.582
22118,46966,5,5,1,0.675
23863,46562,5,5,1,0.357
23863,204687,5,5,1,0.171
23985,21212,5,5,1,0.186
23985,28842,5,5,1,0.336
23985,162725,5,5,1,0.239
24057,28842,5,5,1,0.301
24057,39928,5,5,1,0.345
24837,13452,5,5,1,0.181
24837,65427,5,5,1,0.147
24837,107976,5,5,1,0.205
24837,242310,5,5,1,0.225
25945,2355,5,5,1,0.191
25945,10421,5,5,1,0.396
25945,21502,5,5,1,0.214
25945,34475,5,5,1,0.336
25945,37770,5,5,1,0.579
25945,139974,5,5,1,0.322
26202,45322,5,5,1,0.293
26202,49791,5,5,1,0.405
26301,26906,5,5,1,0.375
26301,27200,5,5,1,0.702
26804,32064,5,5,1,0.337
26804,34475,5,5,1,0.251
26906,5237,5,5,1,0.384
26906,26301,5,5,1,0.375
27200,13437,5,5,1,0.794
27200,15418,5,5,1,0.545
27200,19506,5,5,1,0.622
27200,26301,5,5,1,0.702
27200,27200,5,5,1,0
27200,32133,5,5,1,0.7
27200,116448,5,5,1,0.394
27200,138432,5,5,1,0.54
27200,185478,5,5,1,0.321
27200,249740,5,5,1,0.341
27971,7980,5,5,1,0.712
27971,78048,5,5,1,0.351
28842,23985,5,5,1,0.336
28842,24057,5,5,1,0.301
28842,32238,5,5,1,0.445
28861,9824,5,5,1,0.224
28861,13437,5,5,1,0.367
28861,172257,5,5,1,0.364
28901,7980,5,5,1,0.751
28901,40603,5,5,1,0.239
28963,92590,5,5,1,0.181
28963,108794,5,5,1,0.338
29443,39392,5,5,1,0.39
29443,42008,5,5,2,0.631
29661,1115,5,5,1,0.327
32064,21046,5,5,1,0.735
32064,26804,5,5,1,0.337
32133,27200,5,5,1,0.7
32133,34479,5,5,1,0.318
32238,22118,5,5,1,0.613
32238,28842,5,5,1,0.445
32238,32238,5,5,1,0
32238,46966,5,5,1,0.309
32632,154,5,5,1,0.275
32632,18580,5,5,1,0.243
32727,41174,5,5,1,0.268
32776,1406,5,5,1,0.254
32776,10548,5,5,1,0.611
33284,2132,5,5,1,0.32
34475,25945,5,5,1,0.336
34475,26804,5,5,1,0.251
34479,27200,5,5,1,0.864
34479,32133,5,5,1,0.318
34479,51109,5,5,1,0.451
34479,126634,5,5,1,0.318
35207,7323,5,5,1,0.406
35309,12678,5,5,1,0.553
35443,18520,5,5,1,0.258
35443,41174,5,5,1,0.263
37596,41142,5,5,1,0.575
37596,235250,5,5,1,0.182
37757,2356,5,5,1,0.386
37757,10548,5,5,1,0.661
37770,2355,5,5,1,0.574
37770,14762,5,5,1,0.664
37770,17475,5,5,1,0.703
37770,21502,5,5,1,0.687
37770,25945,5,5,1,0.579
37770,37770,5,5,1,0
37770,152110,5,5,1,0.671
37770,152653,5,5,1,0.406
38393,9726,5,5,1,0.237
39091,2356,5,5,1,0.056
39091,46562,5,5,1,0.371
39091,121259,5,5,1,0.131
39392,29443,5,5,1,0.39
39392,49895,5,5,1,0.252
39687,9726,5,5,1,0.334
39687,17204,5,5,1,0.633
39687,22118,5,5,1,0.582
39687,28963,5,5,1,0.378
39687,39687,5,5,1,0
39687,76577,5,5,1,0.463
39928,395,5,5,1,0.314
39928,24057,5,5,1,0.345
40603,28901,5,5,1,0.239
41007,1189,5,5,1,0.25
41007,21046,5,5,1,0.712
41142,21397,5,5,1,0.359
41142,37596,5,5,1,0.575
41142,41142,5,5,1,0
41174,3028,5,5,1,0.404
41174,32727,5,5,1,0.268
41174,35443,5,5,1,0.263
41586,7980,5,5,1,0.571
41586,49228,5,5,1,0.373
42008,29443,5,5,2,0.631
42008,49895,5,5,1,0.276
42008,92103,5,5,1,0.174
42008,92107,5,5,1,0.108
42695,42008,5,5,1,0.42
42695,92103,5,5,2,0.581
44160,49228,5,5,1,0.321
44160,51109,5,5,1,0.285
