"ori_node","des_node","ori_layer","des_layer","minutes","km"
1902,19715,2,2,2,1.049
2708,22856,2,2,2,0.679
2760,19516,2,2,4,3.231
2760,19584,2,2,2,1.256
2760,26773,2,2,1,1.932
2760,34317,2,2,5,4.452
5892,2760,2,2,8,5.773
5892,12775,2,2,3,2.258
5892,34317,2,2,2,1.364
8859,12277,2,2,2,1.168
8859,19715,2,2,3,1.626
8859,37028,2,2,2,1.337
10368,23540,2,2,2,1.291
10368,34317,2,2,2,0.955
11730,41111,2,2,4,1.84
11730,45738,2,2,2,1.278
11801,20549,2,2,3,2.221
11801,26773,2,2,4,2.393
12277,8859,2,2,2,1.168
12277,17745,2,2,2,0.695
12690,19516,2,2,3,2.219
12690,19715,2,2,4,1.964
12763,16158,2,2,3,2.825
12763,22856,2,2,3,1.897
12763,39573,2,2,3,2.183
12775,5892,2,2,3,2.258
12775,33013,2,2,2,0.904
14550,33013,2,2,2,0.981
14550,41111,2,2,2,1.294
16158,12763,2,2,3,2.825
16158,17150,2,2,2,1.03
17150,16158,2,2,2,1.03
17745,12277,2,2,2,0.695
19516,2760,2,2,4,3.231
19516,12690,2,2,3,2.219
19516,19584,2,2,2,1.998
19516,22872,2,2,2,1.351
19516,33013,2,2,2,0.913
19584,2760,2,2,1,1.256
19584,19516,2,2,3,1.998
19584,23540,2,2,2,1.134
19584,34317,2,2,4,3.347
19715,1902,2,2,2,1.049
19715,8859,2,2,3,1.626
19715,12690,2,2,4,1.964
20549,11801,2,2,3,2.221
20549,39573,2,2,2,1.573
22856,2708,2,2,2,0.679
22856,12763,2,2,3,1.897
22872,19516,2,2,2,1.351
22872,31640,2,2,2,1.005
23540,10368,2,2,2,1.291
23540,19584,2,2,2,1.134
26773,2760,2,2,2,1.932
26773,11801,2,2,4,2.393
31640,19516,2,2,2,2.171
31640,22872,2,2,2,1.005
33013,12775,2,2,2,0.904
33013,14550,2,2,2,0.981
33013,19516,2,2,4,0.913
34317,2760,2,2,8,4.452
34317,5892,2,2,2,1.364
34317,10368,2,2,2,0.955
37028,8859,2,2,2,1.337
39573,12763,2,2,3,2.183
39573,20549,2,2,2,1.573
41111,11730,2,2,3,1.84
41111,14550,2,2,2,1.294
43236,45738,2,2,3,1.817
45738,11730,2,2,2,1.278
45738,43236,2,2,3,1.817
12690,39977,3,3,1,0.54
12690,228492,3,3,2,0.577
14550,19516,3,3,2,1.063
14550,39977,3,3,1,0.642
19516,14550,3,3,1,1.063
22977,41111,3,3,2,0.972
22977,228492,3,3,2,0.909
39977,12690,3,3,1,0.54
39977,14550,3,3,2,0.642
41111,22977,3,3,2,0.972
228492,12690,3,3,2,0.577
228492,22977,3,3,3,0.909
174,36847,5,5,1,0.185
174,41111,5,5,1,0.643
179,2189,5,5,1,0.202
179,175967,5,5,1,0.358
204,47333,5,5,1,0.084
204,87953,5,5,1,0.376
332,12690,5,5,1,0.597
332,15175,5,5,1,0.19
383,26773,5,5,1,0.689
383,44653,5,5,1,0.248
911,22484,5,5,1,0.229
911,37311,5,5,1,0.295
992,15336,5,5,1,0.466
992,24880,5,5,1,0.518
992,34480,5,5,1,0.412
1001,22061,5,5,1,0.509
1001,38422,5,5,1,0.354
1088,6444,5,5,1,0.551
1088,48563,5,5,1,0.327
1088,209238,5,5,1,0.588
1322,17614,5,5,1,0.545
1322,26181,5,5,1,0.476
1387,62309,5,5,1,0.094
1387,179400,5,5,1,0.175
1489,47919,5,5,1,0.318
1489,228686,5,5,1,0.514
1902,1902,5,5,1,0
1902,17199,5,5,1,0.543
1902,19715,5,5,1,1.049
2024,19584,5,5,1,0.666
2024,43862,5,5,1,0.229
2093,9321,5,5,1,0.334
2093,24295,5,5,1,0.278
2118,20549,5,5,1,0.632
2133,5646,5,5,1,0.27
2133,28301,5,5,1,0.499
2158,22510,5,5,1,0.38
2158,26413,5,5,1,0.869
2158,48477,5,5,1,0.215
2158,123640,5,5,2,0.725
2158,249013,5,5,1,0.536
2189,179,5,5,1,0.202
2189,161321,5,5,1,0.464
2189,257247,5,5,1,0.084
2191,32033,5,5,1,0.193
2191,38420,5,5,1,0.4
2191,63272,5,5,1,0.803
2239,7381,5,5,1,0.336
2239,87709,5,5,1,0.606
2531,7710,5,5,1,0.157
2531,40956,5,5,1,0.275
2708,2708,5,5,1,0
2708,2760,5,5,1,0.927
2708,13651,5,5,1,0.572
2708,22856,5,5,1,0.679
2708,24135,5,5,8,2.275
2708,50968,5,5,1,0.51
2708,182857,5,5,1,0.459
2737,8444,5,5,1,0.212
2737,22856,5,5,1,0.709
2760,2708,5,5,1,0.927
2760,2760,5,5,1,0
2760,6422,5,5,1,0.531
2760,15034,5,5,1,0.609
2760,15336,5,5,1,0.839
2760,221484,5,5,1,0.702
2760,221485,5,5,1,0.745
2778,19584,5,5,1,0.504
2778,41887,5,5,1,0.199
2850,13906,5,5,1,0.359
2850,19584,5,5,1,0.557
2893,28975,5,5,2,0.32
2893,195315,5,5,1,0.236
2990,5892,5,5,1,0.814
2990,46115,5,5,1,0.333
3111,19516,5,5,1,0.518
3111,25634,5,5,1,0.319
3290,10108,5,5,1,0.216
3290,33025,5,5,1,0.147
3405,28038,5,5,1,0.351
3405,48290,5,5,1,0.356
3895,7885,5,5,1,0.471
3895,37418,5,5,1,0.448
3895,48286,5,5,2,0.902
3900,15346,5,5,1,0.267
3900,25306,5,5,1,0.366
4203,48477,5,5,1,0.203
4203,233999,5,5,1,0.291
4237,33013,5,5,1,0.549
4237,46814,5,5,1,0.39
4698,37029,5,5,1,0.311
4698,44060,5,5,1,0.285
5235,7509,5,5,1,0.363
5235,37311,5,5,1,0.269
5242,28328,5,5,1,0.223
5242,38420,5,5,1,0.415
5277,16129,5,5,1,0.304
5277,46214,5,5,1,0.359
5278,5278,5,5,1,0
5278,16129,5,5,1,0.272
5278,45738,5,5,1,0.614
5278,48485,5,5,1,0.286
5486,34480,5,5,1,0.211
5486,38614,5,5,1,0.313
5580,45672,5,5,1,0.342
5646,2133,5,5,1,0.27
5646,175048,5,5,1,0.265
5651,7886,5,5,1,0.496
5666,16924,5,5,1,0.231
5666,25011,5,5,1,0.232
5733,22856,5,5,1,0.705
5733,30175,5,5,1,0.328
5836,23540,5,5,1,0.501
5836,56654,5,5,1,0.199
5892,2990,5,5,1,0.814
5892,5892,5,5,1,0
5892,9116,5,5,1,0.726
5892,13563,5,5,1,0.62
5892,22989,5,5,1,0.651
5892,34317,5,5,3,1.364
5892,149975,5,5,1,0.845
5892,150144,5,5,1,0.413
5892,152112,5,5,1,0.288
5892,175048,5,5,1,0.58
5892,177397,5,5,1,0.541
6422,2760,5,5,1,0.531
6422,35303,5,5,1,0.279
6444,1088,5,5,1,0.551
6444,39985,5,5,1,0.318
6444,47421,5,5,1,0.245
7011,22169,5,5,1,0.296
7011,28184,5,5,1,0.277
7011,42494,5,5,1,0.203
7012,45325,5,5,1,0.193
7012,47421,5,5,1,0.286
7198,12277,5,5,1,0.623
7198,37769,5,5,1,0.441
7287,35204,5,5,1,0.321
7287,50968,5,5,1,0.343
7336,7710,5,5,1,0.309
7336,24135,5,5,1,0.116
7381,2239,5,5,1,0.336
7381,28126,5,5,1,0.329
7509,5235,5,5,1,0.363
7509,12763,5,5,1,0.53
7509,19758,5,5,1,0.191
7710,2531,5,5,1,0.157
7710,7336,5,5,1,0.309
7710,40905,5,5,1,0.22
7710,47164,5,5,1,0.244
7809,6422,5,5,1,0.309
7809,50546,5,5,1,0.311
7885,3895,5,5,1,0.471
7885,15267,5,5,1,0.501
7885,48286,5,5,1,0.444
7886,5651,5,5,1,0.496
7886,16323,5,5,1,0.055
7888,10368,5,5,1,0.526
7888,12775,5,5,1,0.754
8444,2737,5,5,1,0.212
8444,30915,5,5,1,0.352
8859,8859,5,5,1,0
8859,9321,5,5,1,0.547
8859,10108,5,5,1,0.697
8859,12682,5,5,1,0.876
8859,23831,5,5,1,0.657
8859,31640,5,5,1,0.878
8859,44060,5,5,1,0.575
8961,30150,5,5,1,0.427
8961,43236,5,5,1,0.689
8961,160617,5,5,1,0.345
9059,12682,5,5,1,0.252
9059,40166,5,5,1,0.235
9116,5892,5,5,1,0.726
9321,2093,5,5,1,0.334
9321,8859,5,5,1,0.547
10019,26954,5,5,1,0.343
10019,33936,5,5,1,0.318
10108,3290,5,5,1,0.216
10108,8859,5,5,1,0.697
10108,23831,5,5,1,0.195
10339,18573,5,5,1,0.279
10339,21431,5,5,1,0.19
10368,7888,5,5,1,0.526
10368,10368,5,5,1,0
10368,16739,5,5,1,0.581
10368,23860,5,5,1,0.668
10368,34317,5,5,1,0.955
10368,48389,5,5,1,0.516
10368,49686,5,5,1,0.529
10483,23831,5,5,1,0.231
10483,37028,5,5,1,0.744
10573,30832,5,5,1,0.279
10573,38875,5,5,1,0.253
10573,47463,5,5,1,0.155
10917,12763,5,5,1,0.548
10917,30175,5,5,1,0.466
10959,37835,5,5,1,0.253
10959,49921,5,5,1,0.309
11426,37029,5,5,1,0.295
11730,11730,5,5,1,0
11730,31625,5,5,1,0.549
11730,38818,5,5,1,0.691
11730,46453,5,5,1,1.018
11730,48838,5,5,1,1.155
11730,131192,5,5,1,0.273
11730,136074,5,5,1,0.393
11801,11801,5,5,1,0
11801,38249,5,5,1,0.92
11801,45847,5,5,1,0.736
11801,45849,5,5,1,0.701
11801,259917,5,5,1,0.274
12101,38424,5,5,1,0.225
12101,40905,5,5,1,0.26
12268,13105,5,5,1,0.156
12268,19584,5,5,1,0.593
12270,18023,5,5,1,0.278
12270,37687,5,5,1,0.224
12277,7198,5,5,1,0.623
12277,12277,5,5,1,0
12277,17745,5,5,1,0.695
12277,31640,5,5,1,0.499
12277,59642,5,5,1,0.434
12277,207994,5,5,1,0.275
12357,2189,5,5,1,0.275
12682,9059,5,5,1,0.252
12682,117491,5,5,1,0.308
12682,212227,5,5,1,0.295
12690,332,5,5,1,0.597
12690,12690,5,5,1,0
12690,39977,5,5,1,0.54
12690,41111,5,5,1,0.758
12690,99448,5,5,1,0.491
12690,157862,5,5,1,0.326
12690,228492,5,5,2,0.577
12763,10917,5,5,1,0.548
12763,12763,5,5,1,0
12763,24981,5,5,1,0.676
12763,138197,5,5,1,0.31
12763,163005,5,5,1,0.642
12763,233397,5,5,1,0.654
12775,7888,5,5,1,0.754
12775,12775,5,5,1,0
12775,22169,5,5,1,0.599
12775,46814,5,5,1,0.723
13104,13651,5,5,1,0.27
13104,37687,5,5,1,0.345
13105,12268,5,5,1,0.156
13105,23540,5,5,1,0.595
13374,14037,5,5,1,0.262
13374,36729,5,5,1,0.477
13382,34468,5,5,1,0.171
13382,40055,5,5,1,0.221
13563,5892,5,5,1,0.62
13563,17473,5,5,1,0.33
13651,2708,5,5,1,0.572
13651,13104,5,5,1,0.27
13906,2850,5,5,1,0.359
13906,231850,5,5,1,0.148
14037,13374,5,5,1,0.262
14037,45848,5,5,1,0.426
14237,15982,5,5,1,0.152
14237,17880,5,5,1,0.343
14550,14550,5,5,1,0
14550,19516,5,5,2,1.063
14550,22872,5,5,1,0.513
14550,35167,5,5,1,0.592
14550,35168,5,5,1,0.698
14550,39977,5,5,1,0.642
15034,2760,5,5,1,0.609
15034,47329,5,5,1,0.378
15175,332,5,5,1,0.19
15175,28668,5,5,1,0.121
15267,17142,5,5,1,0.582
15267,48298,5,5,1,0.711
15268,49056,5,5,1,0.261
15268,50970,5,5,1,0.091
15336,992,5,5,1,0.466
15336,2760,5,5,1,0.839
15346,3900,5,5,1,0.267
15403,35123,5,5,1,0.206
15403,35217,5,5,1,0.22
15776,39573,5,5,2,0.805
15982,14237,5,5,1,0.152
15982,17548,5,5,1,0.155
16060,23831,5,5,1,0.288
16060,94998,5,5,1,0.221
16083,33559,5,5,1,0.303
16083,38614,5,5,1,0.275
16083,43236,5,5,1,0.681
16129,5277,5,5,1,0.304
16129,5278,5,5,1,0.272
16158,16158,5,5,1,0
16158,40774,5,5,1,0.564
16158,129538,5,5,1,0.253
16286,18023,5,5,1,0.433
16286,24135,5,5,1,0.21
16323,7886,5,5,1,0.055
16323,45863,5,5,1,0.318
16739,10368,5,5,1,0.581
16739,16740,5,5,1,0.444
16740,16739,5,5,1,0.444
16740,33537,5,5,1,0.179
16742,17880,5,5,1,0.198
16742,21292,5,5,1,0.384
16742,47904,5,5,1,0.439
16762,31832,5,5,1,0.23
16762,37768,5,5,1,0.276
16924,29845,5,5,1,0.069
16971,21431,5,5,1,0.454
16971,31877,5,5,2,0.23
16971,38249,5,5,1,0.241
17142,17314,5,5,1,0.459
17142,31628,5,5,1,0.349
17142,141844,5,5,1,0.184
17150,17150,5,5,1,0
17150,22484,5,5,1,0.501
17150,32328,5,5,1,0.602
17150,33812,5,5,1,0.503
17150,45300,5,5,1,0.691
17150,51027,5,5,1,0.574
17150,249842,5,5,1,0.577
17199,1902,5,5,1,0.543
17199,19715,5,5,1,0.683
17199,37029,5,5,1,0.453
17199,37134,5,5,1,0.366
17314,17142,5,5,1,0.459
17314,18074,5,5,1,0.58
