"ori_node","des_node","ori_layer","des_layer","minutes","km"
351,31956,2,2,8,2.282
351,45027,2,2,3,2.326
14680,15927,2,2,3,2.344
15927,14680,2,2,3,2.344
31956,351,2,2,9,2.282
35540,47812,2,2,3,4.356
40463,45027,2,2,2,1.622
45027,351,2,2,3,2.326
45027,40463,2,2,2,1.622
47812,35540,2,2,4,4.356
351,351,5,5,1,0
351,31533,5,5,1,0.723
351,37145,5,5,1,0.506
351,76695,5,5,1,0.454
351,244987,5,5,1,0.329
352,7179,5,5,1,0.332
352,18909,5,5,1,0.239
505,21423,5,5,2,0.697
505,47495,5,5,1,0.598
979,979,5,5,1,0
979,107103,5,5,1,0.289
979,155048,5,5,1,0.222
1196,3808,5,5,1,0.437
1196,7179,5,5,1,0.312
1480,8492,5,5,1,0.264
1480,11390,5,5,1,0.327
1480,19802,5,5,1,0.262
1480,33169,5,5,1,0.325
1480,39313,5,5,1,0.303
1480,91216,5,5,2,0.48
1540,31956,5,5,1,0.725
1540,38476,5,5,2,0.568
1540,39313,5,5,2,0.785
1540,189912,5,5,1,0.331
1752,29445,5,5,1,0.398
1752,135229,5,5,1,0.327
2103,35709,5,5,1,0.306
2754,23360,5,5,1,0.205
2754,47838,5,5,1,0.139
2777,7053,5,5,1,0.315
2777,17874,5,5,1,0.555
3055,11065,5,5,1,0.562
3055,30851,5,5,1,0.347
3055,107901,5,5,2,0.726
3055,179959,5,5,1,1.187
3408,4178,5,5,1,0.299
3408,6035,5,5,1,0.263
3473,3808,5,5,1,0.253
3473,13579,5,5,1,0.332
3725,126997,5,5,1,0.211
3745,45027,5,5,1,1.019
3745,89906,5,5,2,0.435
3745,98616,5,5,3,0.823
3745,162973,5,5,2,0.36
3786,23220,5,5,1,0.266
3786,43918,5,5,1,0.319
3808,1196,5,5,1,0.437
3808,3473,5,5,1,0.253
3808,43918,5,5,1,0.337
3808,187534,5,5,1,0.198
4178,3408,5,5,1,0.299
4178,6887,5,5,1,0.406
4743,25439,5,5,1,0.253
4743,219246,5,5,1,0.151
4988,2777,5,5,3,1.7
4988,3055,5,5,1,0.249
4988,258072,5,5,1,0.277
4998,10346,5,5,1,0.398
4998,16530,5,5,1,0.364
5727,28676,5,5,1,0.541
5727,206300,5,5,1,0.384
6035,3408,5,5,1,0.263
6035,10313,5,5,1,0.304
6439,10313,5,5,1,0.264
6439,25136,5,5,1,0.347
6833,58943,5,5,1,0.193
6887,4178,5,5,1,0.406
6887,35540,5,5,1,1.032
6887,45296,5,5,1,0.55
7053,2777,5,5,1,0.315
7053,4988,5,5,3,1.534
7053,47902,5,5,1,0.5
7179,352,5,5,1,0.332
7179,1196,5,5,1,0.312
7217,35468,5,5,1,0.316
7217,107028,5,5,1,0.315
7281,20665,5,5,1,0.322
7281,23813,5,5,1,0.322
7708,31533,5,5,1,0.301
7708,43432,5,5,1,0.199
8225,16215,5,5,1,0.208
8225,23360,5,5,1,0.38
8225,45734,5,5,1,0.133
8477,16571,5,5,1,0.442
8477,35468,5,5,1,0.313
8489,14115,5,5,1,0.289
8489,16093,5,5,1,0.442
8489,29445,5,5,2,0.614
8489,44699,5,5,1,0.409
8492,1480,5,5,1,0.264
8492,32020,5,5,1,0.231
8510,101182,5,5,1,0.395
8510,179960,5,5,1,0.344
9871,9874,5,5,1,0.452
9871,31192,5,5,1,0.606
9874,9871,5,5,1,0.452
9874,42685,5,5,1,0.547
10313,6439,5,5,1,0.264
10313,38889,5,5,1,0.317
10346,4998,5,5,1,0.398
10346,12446,5,5,1,0.159
10346,26171,5,5,1,0.267
10571,40463,5,5,1,0.696
10571,50177,5,5,1,0.266
10950,31956,5,5,1,0.572
10950,44966,5,5,1,0.293
10950,45983,5,5,1,0.432
11065,4988,5,5,1,0.314
11065,107901,5,5,1,0.6
11065,117764,5,5,1,0.378
12414,12414,5,5,1,0
12414,15927,5,5,1,0.816
12414,38283,5,5,1,0.302
12446,10346,5,5,1,0.159
12446,13100,5,5,1,0.371
12446,128738,5,5,1,0.571
12638,19796,5,5,1,0.416
12965,22606,5,5,1,0.375
12965,31192,5,5,1,0.399
13005,15269,5,5,1,0.363
13005,28031,5,5,1,0.289
13005,53298,5,5,1,0.329
13005,134521,5,5,1,0.179
13100,12446,5,5,1,0.371
13100,128738,5,5,1,0.202
13579,3473,5,5,1,0.332
13579,35827,5,5,1,0.394
13579,38283,5,5,1,0.202
13800,165294,5,5,1,0.109
13800,242025,5,5,1,0.308
14115,8489,5,5,1,0.289
14115,44699,5,5,1,0.666
14115,46650,5,5,1,0.117
14115,70025,5,5,1,0.438
14680,14680,5,5,1,0
14680,18909,5,5,1,0.609
15269,13005,5,5,1,0.363
15269,27515,5,5,1,0.234
15927,12414,5,5,1,0.816
15927,13579,5,5,1,0.584
15927,15927,5,5,1,0
15927,38283,5,5,1,0.586
16093,8489,5,5,1,0.442
16093,22606,5,5,2,0.545
16093,29445,5,5,1,0.2
16093,44380,5,5,1,0.209
16215,8225,5,5,1,0.208
16215,51009,5,5,1,0.228
16215,71158,5,5,1,0.191
16523,20665,5,5,1,0.3
16530,4998,5,5,1,0.364
16571,8477,5,5,1,0.442
16571,28972,5,5,1,0.413
17874,2777,5,5,1,0.555
18909,352,5,5,1,0.239
18909,14680,5,5,1,0.609
19796,12638,5,5,2,0.416
19802,1480,5,5,1,0.262
19802,48730,5,5,1,0.375
20420,45734,5,5,1,0.309
20420,195836,5,5,1,0.363
20478,20808,5,5,1,0.322
20478,33165,5,5,1,0.223
20578,25136,5,5,1,0.349
20578,132840,5,5,1,0.164
20663,23813,5,5,1,0.463
20663,31768,5,5,1,0.415
20665,7281,5,5,1,0.322
20665,16523,5,5,1,0.3
20808,20478,5,5,1,0.322
20808,34309,5,5,1,0.412
21423,505,5,5,1,0.697
21423,37731,5,5,1,0.439
22493,32639,5,5,1,0.419
22493,43239,5,5,1,0.549
22606,12965,5,5,1,0.375
22606,16093,5,5,1,0.545
22606,29445,5,5,1,0.347
22606,242025,5,5,1,0.492
22811,23220,5,5,1,0.261
22811,145210,5,5,1,0.804
23220,3786,5,5,1,0.266
23220,22811,5,5,1,0.261
23360,2754,5,5,1,0.205
23360,8225,5,5,1,0.38
23813,102934,5,5,1,0.355
23813,216883,5,5,1,0.268
23813,216885,5,5,1,0.098
24308,30851,5,5,1,0.454
24308,35540,5,5,1,0.923
24915,45464,5,5,1,0.36
24915,84537,5,5,1,0.471
25041,50547,5,5,1,0.624
25041,137629,5,5,1,0.356
25136,6439,5,5,1,0.347
25136,33348,5,5,1,0.199
25136,193754,5,5,1,0.286
25439,4743,5,5,1,0.253
25439,13800,5,5,1,0.23
26171,10346,5,5,1,0.267
26171,156029,5,5,1,0.314
26239,166108,5,5,1,0.395
26239,243380,5,5,1,0.314
27515,150038,5,5,1,0.2
27515,153615,5,5,1,0.168
28031,13005,5,5,1,0.289
28031,257953,5,5,1,0.168
28676,5727,5,5,1,0.541
28676,81629,5,5,1,0.235
28972,16571,5,5,1,0.413
28972,28972,5,5,1,0
28972,33539,5,5,1,0.339
28972,48063,5,5,1,0.285
28972,59041,5,5,1,0.246
28972,194211,5,5,1,0.549
29445,1752,5,5,1,0.398
29445,8489,5,5,1,0.614
29445,16093,5,5,1,0.2
29445,22606,5,5,1,0.347
29658,1540,5,5,2,0.922
29658,33159,5,5,1,0.397
29658,39313,5,5,1,0.151
30262,41658,5,5,1,0.246
30262,217019,5,5,1,0.284
30374,230461,5,5,1,0.1
30374,234887,5,5,1,0.072
30851,3055,5,5,1,0.347
30851,24308,5,5,1,0.454
31192,9871,5,5,1,0.606
31192,12965,5,5,1,0.399
31533,351,5,5,1,0.723
31533,7708,5,5,1,0.301
31768,20663,5,5,1,0.415
31768,51100,5,5,1,0.316
31859,33165,5,5,1,0.359
31956,10950,5,5,1,0.572
31956,31956,5,5,1,0
31956,112805,5,5,1,0.397
31956,221614,5,5,1,0.57
31956,252899,5,5,1,0.615
32020,8492,5,5,1,0.231
32020,45145,5,5,1,0.429
32639,14115,5,5,1,0.465
32639,22493,5,5,1,0.419
32686,26239,5,5,1,0.09
32686,40463,5,5,1,0.593
32686,182026,5,5,1,0.183
33128,33159,5,5,1,0.567
33128,45027,5,5,1,0.579
33159,29658,5,5,1,0.397
33159,33128,5,5,1,0.567
33165,19802,5,5,1,0.476
33165,31859,5,5,1,0.359
33165,224625,5,5,1,0.281
33169,1480,5,5,1,0.325
33169,20478,5,5,1,0.218
33169,33165,5,5,1,0.387
33169,50024,5,5,1,0.394
33169,91216,5,5,1,0.157
33348,3055,5,5,1,0.383
33348,20578,5,5,1,0.413
33348,25136,5,5,1,0.199
33539,28972,5,5,1,0.339
33539,30374,5,5,1,0.327
34309,20808,5,5,1,0.412
34309,26171,5,5,1,0.424
34309,35709,5,5,2,0.202
34825,45145,5,5,1,0.297
34825,134675,5,5,1,0.233
35468,7217,5,5,1,0.316
35468,8477,5,5,1,0.313
35468,250004,5,5,1,0.367
35540,35540,5,5,1,0
35540,47195,5,5,1,0.693
35540,65956,5,5,1,0.488
35540,92630,5,5,1,0.56
35540,139454,5,5,1,0.586
35540,194487,5,5,1,0.358
35540,195013,5,5,1,0.839
35709,2103,5,5,2,0.306
35709,154588,5,5,1,0.169
35827,979,5,5,1,0.495
35827,3808,5,5,1,0.27
35827,13579,5,5,1,0.394
37145,34825,5,5,1,0.42
37145,244987,5,5,2,0.368
37215,44898,5,5,1,0.204
37215,46650,5,5,1,0.382
37731,21423,5,5,2,0.439
37731,217575,5,5,1,0.281
38283,12414,5,5,1,0.302
38283,13579,5,5,1,0.202
38283,15927,5,5,1,0.586
38283,38283,5,5,1,0
38283,41658,5,5,1,0.498
38283,49848,5,5,1,0.434
38386,38386,5,5,1,0
38386,44380,5,5,1,0.407
38476,73738,5,5,1,0.309
38889,6035,5,5,1,0.454
38889,10313,5,5,1,0.317
38889,20578,5,5,1,0.371
38889,189442,5,5,1,0.346
38925,7217,5,5,1,0.119
38925,190211,5,5,1,0.272
39313,1480,5,5,1,0.303
39313,29658,5,5,1,0.151
40463,10571,5,5,1,0.696
40463,26239,5,5,1,0.668
40463,32686,5,5,1,0.593
40463,40463,5,5,1,0
40463,57663,5,5,1,0.539
40463,182725,5,5,1,0.61
40463,206300,5,5,1,0.483
41521,51009,5,5,1,0.361
41658,30262,5,5,1,0.246
41658,38283,5,5,1,0.498
42685,9874,5,5,1,0.547
42685,225664,5,5,1,0.701
43239,22493,5,5,1,0.549
43239,146654,5,5,1,0.382
43432,7708,5,5,1,0.199
43432,45983,5,5,1,0.359
43918,3786,5,5,1,0.319
43918,3808,5,5,1,0.337
44380,16093,5,5,1,0.209
44380,145207,5,5,1,0.013
44699,8489,5,5,1,0.409
44699,14115,5,5,1,0.666
44699,35540,5,5,1,0.79
44699,47838,5,5,1,0.28
44898,28031,5,5,1,0.269
44898,37215,5,5,1,0.204
44966,10950,5,5,1,0.293
44966,48730,5,5,1,0.217
45027,3745,5,5,1,1.019
45027,13100,5,5,1,0.623
45027,33128,5,5,1,0.579
45027,45027,5,5,1,0
45027,46599,5,5,1,0.644
45027,79725,5,5,1,0.588
45145,32020,5,5,1,0.429
45145,34825,5,5,1,0.297
45296,4178,5,5,1,0.144
45296,48227,5,5,1,0.892
45464,24915,5,5,1,0.36
45734,8225,5,5,1,0.133
45734,90929,5,5,1,0.403
45983,10950,5,5,1,0.432
45983,43432,5,5,1,0.359
46599,45027,5,5,1,0.644
46599,47495,5,5,1,0.627
46650,14115,5,5,1,0.117
46650,37215,5,5,1,0.382
47195,35540,5,5,1,0.693
47195,132840,5,5,1,0.4
47495,505,5,5,1,0.598
47495,46599,5,5,1,0.627
47812,47812,5,5,1,0
47812,77862,5,5,3,0.913
47812,78363,5,5,1,0.701
47812,85781,5,5,1,0.336
47812,115916,5,5,2,0.923
47812,159837,5,5,1,0.575
47812,163687,5,5,1,0.354
47812,245122,5,5,1,0.464
47838,2754,5,5,1,0.139
47838,35540,5,5,1,0.628
47838,44699,5,5,1,0.28
47838,65963,5,5,1,0.194
47902,4988,5,5,1,1.283
47902,7053,5,5,1,0.5
47902,47902,5,5,1,0
47902,125933,5,5,1,0.402
47902,179959,5,5,1,0.36
48063,28972,5,5,1,0.285
48227,45296,5,5,1,0.892
48227,215168,5,5,1,0.265
48730,1540,5,5,1,0.127
48730,44966,5,5,1,0.217
48730,189912,5,5,1,0.234
49535,25041,5,5,1,0.509
49535,37731,5,5,1,0.235
49535,49535,5,5,1,0
49848,38283,5,5,1,0.434
49848,251726,5,5,1,0.158
50024,19802,5,5,1,0.373
50024,38476,5,5,1,0.513
50177,10571,5,5,1,0.266
50547,25041,5,5,1,0.624
50547,71304,5,5,1,1.279
51009,16215,5,5,1,0.228
51009,41521,5,5,1,0.361
51100,31768,5,5,1,0.316
51101,126997,5,5,2,0.367
51748,75478,5,5,1,0.291
53298,141376,5,5,1,0.283
53428,179956,5,5,1,0.363
53849,61989,5,5,1,0.251
54729,168180,5,5,1,0.258
55329,176780,5,5,1,0.188
55895,140358,5,5,1,0.696
55895,199719,5,5,5,0.671
56179,64183,5,5,1,0.175
57663,5727,5,5,1,0.325
58943,28031,5,5,1,0.217
58943,257953,5,5,1,0.208
59041,47902,5,5,1,0.494
59041,179959,5,5,1,0.67
59410,83016,5,5,1,0.297
60453,14115,5,5,1,0.091
61989,159895,5,5,2,0.35
64183,107800,5,5,1,0.291
65956,47838,5,5,1,0.182
65963,20420,5,5,2,0.676
67043,59410,5,5,1,0.206
67043,119288,5,5,1,0.239
67043,205376,5,5,1,0.122
67676,75478,5,5,1,0.33
67676,219054,5,5,1,0.31
69598,215129,5,5,1,0.372
69837,77862,5,5,1,0.251
69858,110514,5,5,1,0.241
70025,49848,5,5,1,0.322
70348,47812,5,5,1,0.631
70348,78363,5,5,1,0.098
71158,96341,5,5,1,0.383
71304,116582,5,5,1,0.511
73738,50024,5,5,1,0.203
74080,56179,5,5,2,0.649
74718,28972,5,5,1,0.539
74871,67043,5,5,1,0.242
75478,51748,5,5,1,0.291
75478,67676,5,5,1,0.33
77862,74080,5,5,1,0.22
77862,186595,5,5,2,0.222
78363,86290,5,5,1,0.507
78731,240248,5,5,1,0.223
79725,129648,5,5,1,0.555
81629,30374,5,5,1,0.1
83016,42685,5,5,2,0.752
84537,31956,5,5,1,0.356
85781,93880,5,5,1,0.235
86290,152492,5,5,1,0.329
89906,98616,5,5,2,0.446
90929,120897,5,5,1,0.176
91216,33165,5,5,1,0.254
92630,44699,5,5,1,0.297
92630,47838,5,5,1,0.364
93880,69837,5,5,2,0.354
95214,115916,5,5,1,0.202
95214,196677,5,5,1,0.388
96341,43239,5,5,1,0.144
97236,32686,5,5,1,0.406
100695,33348,5,5,1,0.297
101182,109364,5,5,1,0.134
102324,69858,5,5,1,0.383
102324,110514,5,5,2,0.606
102934,31956,5,5,1,0.313
105084,8510,5,5,1,0.284
107028,11065,5,5,1,0.264
107103,979,5,5,1,0.289
107103,155048,5,5,1,0.36
107800,47812,5,5,1,0.612
107800,70348,5,5,1,0.355
107800,78731,5,5,1,0.358
107800,196677,5,5,1,0.264
107901,4988,5,5,1,0.634
107901,11065,5,5,1,0.6
109364,162128,5,5,1,0.422
110514,220814,5,5,1,0.478
110945,47812,5,5,1,0.425
112805,23813,5,5,1,0.264
113189,105084,5,5,1,0.291
114017,4743,5,5,1,0.22
115916,196677,5,5,1,0.187
115916,240248,5,5,1,0.232
116582,208558,5,5,1,0.515
117764,7217,5,5,1,0.203
119263,31768,5,5,1,0.381
119288,110945,5,5,1,0.446
120897,20420,5,5,1,0.259
121401,113189,5,5,2,0.511
123873,186595,5,5,3,1.168
125933,28972,5,5,1,0.335
126997,3725,5,5,1,0.211
126997,51101,5,5,1,0.367
128738,45027,5,5,1,0.438
129576,121401,5,5,1,0.293
129648,40463,5,5,1,0.536
132840,38889,5,5,1,0.296
134521,6833,5,5,1,0.398
134675,37145,5,5,1,0.187
135153,22811,5,5,1,0.66
135229,35540,5,5,1,0.547
135229,140537,5,5,1,0.318
137629,217575,5,5,1,0.249
137794,129576,5,5,1,0.195
139454,24308,5,5,1,0.429
140026,156597,5,5,2,0.152
140358,148757,5,5,1,0.305
140537,169684,5,5,1,0.301
141376,236836,5,5,1,0.202
145207,27515,5,5,1,0.894
145210,197198,5,5,1,0.277
145969,137794,5,5,1,0.349
146654,16215,5,5,1,0.315
146874,47902,5,5,1,0.137
148507,14115,5,5,1,0.336
148507,32639,5,5,1,0.149
148507,60453,5,5,1,0.25
150038,15269,5,5,1,0.162
152492,94383,5,5,1,0.284
153615,38386,5,5,1,0.321
154588,34309,5,5,1,0.066
155048,35827,5,5,1,0.273
156029,34309,5,5,1,0.11
156597,241016,5,5,4,0.699
159837,107800,5,5,1,0.293
159837,175453,5,5,1,0.2
159895,47812,5,5,1,0.383
162128,170314,5,5,1,0.369
162973,8510,5,5,1,0.455
163687,107800,5,5,1,0.302
164261,69598,5,5,1,0.386
165294,25439,5,5,1,0.17
167629,2777,5,5,1,0.243
168180,50547,5,5,2,1.454
169684,140026,5,5,1,0.41
170135,12965,5,5,1,0.393
170135,13800,5,5,1,0.419
170314,178514,5,5,1,0.116
170505,123873,5,5,1,0.495
175453,70348,5,5,1,0.259
175453,78363,5,5,1,0.351
175453,78731,5,5,1,0.321
175453,107800,5,5,1,0.097
175453,204049,5,5,1,0.286
175453,226631,5,5,1,0.354
176780,208529,5,5,1,0.197
178514,129576,5,5,1,0.093
178514,170505,5,5,1,0.363
178514,219054,5,5,1,0.115
179956,3745,5,5,1,0.406
179956,8510,5,5,1,0.398
179959,146874,5,5,1,0.231
179960,3745,5,5,1,0.413
179960,98616,5,5,1,0.515
182026,40463,5,5,1,0.541
182725,238595,5,5,1,0.381
184411,54729,5,5,1,0.577
186595,53849,5,5,1,0.252
186595,255953,5,5,2,1.203
187534,13579,5,5,1,0.49
189442,47195,5,5,1,0.316
189912,11390,5,5,1,0.18
189912,19802,5,5,1,0.14
189912,33169,5,5,1,0.242
190211,49535,5,5,1,0.316
193754,247626,5,5,1,0.306
194487,35540,5,5,1,0.358
194487,241016,5,5,1,0.41
195013,6887,5,5,1,0.196
195836,35540,5,5,1,0.325
196677,47812,5,5,2,0.749
196677,70348,5,5,1,0.204
196677,78731,5,5,1,0.194
196677,107800,5,5,1,0.264
196677,175453,5,5,1,0.184
197198,242022,5,5,1,0.388
199719,95214,5,5,3,0.914
199719,140358,5,5,1,0.29
200451,184411,5,5,1,0.432
204049,47812,5,5,2,0.415
205376,67043,5,5,1,0.122
205376,78363,5,5,3,1.747
205376,119288,5,5,1,0.36
206300,215812,5,5,1,0.165
208529,259421,5,5,1,0.234
208558,56179,5,5,1,0.363
208614,45027,5,5,1,0.379
215129,95214,5,5,2,0.928
215129,199719,5,5,1,0.284
215812,246180,5,5,1,0.215
216883,20663,5,5,1,0.197
216885,7281,5,5,1,0.245
217019,6833,5,5,1,0.311
217575,38925,5,5,1,0.49
219054,67676,5,5,1,0.31
219054,178514,5,5,1,0.115
219246,135229,5,5,1,0.294
220814,47812,5,5,1,0.694
220814,159837,5,5,1,0.174
221614,1540,5,5,1,0.191
224625,1480,5,5,1,0.46
225664,205376,5,5,1,0.402
226631,200451,5,5,1,0.196
230461,33539,5,5,1,0.226
234887,28676,5,5,1,0.284
236836,55329,5,5,1,0.19
238595,208614,5,5,1,0.326
240248,55895,5,5,1,0.347
241016,1752,5,5,1,0.278
241016,114017,5,5,1,0.184
242022,247482,5,5,1,0.452
242025,170135,5,5,1,0.172
244987,351,5,5,1,0.329
245122,74871,5,5,1,0.408
246180,40463,5,5,1,0.391
247626,100695,5,5,1,0.294
250004,38925,5,5,1,0.073
251726,14115,5,5,2,0.608
251726,148507,5,5,1,0.412
252899,24915,5,5,1,0.211
255953,145969,5,5,1,0.336
257953,44898,5,5,1,0.113
258072,33348,5,5,1,0.309
259421,30262,5,5,1,0.339
351,351,5,2,4,0.277
351,351,2,5,4,0.277
14680,14680,2,5,4,0.321
14680,14680,5,2,4,0.321
15927,15927,2,5,3,0.198
15927,15927,5,2,3,0.198
31956,31956,2,5,4,0.255
31956,31956,5,2,4,0.255
35540,35540,2,5,5,0.341
35540,35540,5,2,5,0.341
40463,40463,2,5,5,0.394
40463,40463,5,2,5,0.394
45027,45027,2,5,4,0.305
45027,45027,5,2,4,0.305
47812,47812,5,2,3,0.183
47812,47812,2,5,3,0.183
