"ori_node","des_node","ori_layer","des_layer","minutes","km"
10918,48101,2,2,2,1.169
16388,23450,2,2,6,4.127
16388,29627,2,2,4,2.943
16388,33053,2,2,3,1.451
16388,45340,2,2,2,1.41
16388,48101,2,2,2,0.579
23450,16388,2,2,6,4.127
23450,33053,2,2,3,2.726
23450,47422,2,2,1,1.029
29627,16388,2,2,3,2.943
29627,45340,2,2,3,1.534
33053,16388,2,2,3,1.451
33053,23450,2,2,3,2.726
45340,16388,2,2,2,1.41
47422,23450,2,2,1,1.029
47422,50159,2,2,2,1.784
48101,10918,2,2,2,1.169
48101,16388,2,2,1,0.579
50159,47422,2,2,1,1.784
10918,21586,3,3,2,1.468
10918,48101,3,3,2,1.169
21586,10918,3,3,3,1.468
21586,46321,3,3,1,0.558
46321,21586,3,3,1,0.558
48101,10918,3,3,2,1.169
48101,48101,3,3,1,0
33053,34498,4,4,5,3.824
33053,144126,4,4,10,1.666
34498,33053,4,4,5,3.824
34498,144126,4,4,15,5.451
144126,33053,4,4,5,1.666
144126,34498,4,4,10,5.451
10918,114781,5,5,1,0.277
10918,166347,5,5,1,0.465
16388,16388,5,5,1,0
16388,89391,5,5,1,0.353
16388,89395,5,5,1,0.351
16388,110761,5,5,1,0.272
16388,140119,5,5,1,0.352
16388,140121,5,5,1,0.334
16388,230760,5,5,1,0.363
16388,238177,5,5,1,0.262
16388,251897,5,5,1,0.259
21586,202821,5,5,2,0.402
23450,23450,5,5,1,0
23450,140741,5,5,1,0.411
23450,181164,5,5,1,0.273
23450,245244,5,5,1,0.77
23450,245772,5,5,1,0.529
23450,253922,5,5,1,0.426
29627,29627,5,5,1,0
29627,110443,5,5,1,0.472
29627,126809,5,5,4,1.228
29627,203490,5,5,1,0.366
33053,33053,5,5,1,0
33053,86160,5,5,2,0.313
33053,86161,5,5,1,0.325
33053,86162,5,5,2,0.307
33053,102536,5,5,1,0.506
33053,138885,5,5,1,0.69
33053,155125,5,5,1,0.586
33053,241576,5,5,1,0.528
34498,78127,5,5,1,0.262
34498,196264,5,5,1,0.346
34498,244708,5,5,1,0.399
34498,250527,5,5,1,0.267
45340,45340,5,5,1,0
45340,63145,5,5,1,0.29
45340,107345,5,5,1,0.356
45340,181219,5,5,1,0.323
45340,228679,5,5,1,0.385
45340,233730,5,5,1,0.393
45340,243817,5,5,5,2.849
46321,46321,5,5,1,0
46321,103704,5,5,1,0.249
46321,154138,5,5,1,0.254
46321,222497,5,5,1,0.405
47422,47422,5,5,1,0
47422,136614,5,5,1,0.327
47422,231543,5,5,1,0.502
47422,247882,5,5,1,0.251
