"ori_node","des_node","ori_layer","des_layer","minutes","km"
8827,35059,2,2,3,1.968
35059,8827,2,2,7,1.968
36482,47835,2,2,4,1.193
36482,49233,2,2,2,1.304
47835,36482,2,2,2,1.193
49233,36482,2,2,2,1.304
7421,34492,3,3,1,0.276
7421,41437,3,3,1,0.251
8827,8827,3,3,1,0
8827,10977,3,3,3,1.35
8827,13725,3,3,1,0.693
8827,14649,3,3,1,0.747
8827,41437,3,3,1,1.057
10977,8827,3,3,2,1.35
10977,10977,3,3,1,0
10977,36382,3,3,2,0.353
12708,12708,3,3,1,0
12708,35449,3,3,1,0.547
12976,12976,3,3,1,0
12976,36382,3,3,2,0.591
12976,47835,3,3,1,0.554
13547,30200,3,3,1,0.277
13547,47835,3,3,2,0.592
13725,8827,3,3,1,0.693
14649,8827,3,3,1,0.747
30200,13547,3,3,1,0.277
34492,7421,3,3,1,0.276
34492,35449,3,3,1,0.648
35449,12708,3,3,1,0.547
35449,34492,3,3,2,0.648
35449,35449,3,3,1,0
36382,10977,3,3,1,0.353
36382,12976,3,3,1,0.591
41437,7421,3,3,1,0.251
41437,8827,3,3,1,1.057
47835,12976,3,3,2,0.554
47835,13547,3,3,1,0.592
8827,49233,4,4,10,5.012
49233,8827,4,4,12,5.012
7421,7421,5,5,1,0
7421,34492,5,5,1,0.276
7421,41437,5,5,1,0.251
7421,87558,5,5,1,0.431
7421,116673,5,5,7,1.876
8827,8827,5,5,1,0
8827,13725,5,5,1,0.693
8827,14649,5,5,1,0.747
8827,63407,5,5,1,0.266
8827,77848,5,5,2,0.561
8827,87556,5,5,1,0.408
8827,126470,5,5,1,0.259
8827,160992,5,5,3,0.59
8827,221856,5,5,1,0.263
8827,243303,5,5,10,3.162
10977,14649,5,5,2,0.667
10977,36382,5,5,1,0.353
12708,12708,5,5,1,0
12708,35449,5,5,1,0.547
12976,12976,5,5,1,0
12976,36382,5,5,2,0.591
12976,47835,5,5,1,0.554
13547,13547,5,5,1,0
13547,30200,5,5,2,0.277
13547,47835,5,5,1,0.592
13547,72917,5,5,1,0.585
13725,8827,5,5,1,0.693
13725,13725,5,5,1,0
13725,41437,5,5,1,0.419
14649,8827,5,5,1,0.747
14649,10977,5,5,2,0.667
14649,14649,5,5,1,0
14649,76108,5,5,1,0.668
14649,126470,5,5,1,0.488
14649,144951,5,5,1,0.408
28978,69824,5,5,3,1.72
28978,75806,5,5,1,0.319
28978,207509,5,5,2,0.599
28978,230469,5,5,1,0.906
30200,13547,5,5,1,0.277
30200,30200,5,5,1,0
30200,219079,5,5,1,0.322
34492,7421,5,5,1,0.276
34492,34492,5,5,1,0
34492,35449,5,5,1,0.648
35059,35059,5,5,2,0
35059,82878,5,5,6,1.373
35059,87558,5,5,7,1.353
35059,89274,5,5,1,0.679
35059,95608,5,5,1,0.474
35449,12708,5,5,2,0.547
35449,34492,5,5,1,0.648
35449,35449,5,5,1,0
36382,10977,5,5,1,0.353
36382,12976,5,5,1,0.591
36382,36382,5,5,1,0
36382,253219,5,5,2,0.434
36482,72918,5,5,1,0.416
36482,166888,5,5,1,0.368
41437,7421,5,5,1,0.251
41437,13725,5,5,1,0.419
41437,41437,5,5,1,0
41437,82882,5,5,1,0.423
41437,106934,5,5,1,0.76
47835,12976,5,5,2,0.554
47835,13547,5,5,1,0.592
47835,47835,5,5,1,0
47835,79594,5,5,1,0.378
47835,132865,5,5,3,0.448
47835,197801,5,5,1,0.39
47835,243303,5,5,1,0.575
49233,49233,5,5,1,0
49233,69817,5,5,1,0.25
49233,106230,5,5,1,0.324
49233,256685,5,5,1,0.378
52039,227023,5,5,1,0.274
52047,77660,5,5,1,0.267
52047,227024,5,5,1,0.226
53728,157146,5,5,1,0.228
53729,53728,5,5,1,0.335
53730,84165,5,5,1,0.149
53731,53730,5,5,1,0.214
53732,56925,5,5,1,0.215
53733,201290,5,5,1,0.216
53735,236820,5,5,1,0.248
56924,77747,5,5,3,0.726
56924,119426,5,5,1,0.223
56925,56924,5,5,1,0.258
56925,206243,5,5,4,0.369
56927,56929,5,5,1,0.254
56927,170778,5,5,1,0.134
56928,56925,5,5,1,0.245
56929,56928,5,5,1,0.291
56930,56933,5,5,1,0.22
56931,56930,5,5,1,0.224
56932,84364,5,5,1,0.305
56933,56932,5,5,1,0.161
56933,114480,5,5,1,0.354
56933,201292,5,5,1,0.232
57438,122780,5,5,1,0.261
58019,169877,5,5,1,0.298
58454,137561,5,5,1,0.727
58455,58454,5,5,1,0.166
58455,201288,5,5,1,0.179
58456,178778,5,5,1,0.285
58457,58458,5,5,1,0.218
58457,190232,5,5,1,0.036
58458,58456,5,5,1,0.197
59161,180535,5,5,1,0.287
59161,232882,5,5,1,0.444
59167,87464,5,5,1,0.249
60249,60252,5,5,1,0.135
60249,72910,5,5,1,0.19
60250,60249,5,5,1,0.151
60251,60256,5,5,1,0.312
60252,60251,5,5,1,0.336
60253,60250,5,5,1,0.365
60255,66073,5,5,1,0.243
60255,207509,5,5,1,0.2
60256,66073,5,5,1,0.104
60256,230469,5,5,1,0.317
63403,47835,5,5,2,0.309
63404,63405,5,5,1,0.187
63404,96699,5,5,1,0.426
63405,123528,5,5,1,0.278
63406,66544,5,5,1,0.081
63406,241585,5,5,1,0.105
63407,8827,5,5,2,0.266
63407,14649,5,5,1,0.48
63408,63406,5,5,1,0.215
66073,28978,5,5,1,0.529
66544,143031,5,5,1,0.257
66545,66546,5,5,1,0.366
66546,66547,5,5,1,0.23
66546,215364,5,5,1,0.447
66547,143043,5,5,1,0.306
67695,67698,5,5,1,0.054
67695,232882,5,5,6,1.911
67696,67695,5,5,1,0.239
67697,67706,5,5,1,0.205
67698,67697,5,5,1,0.307
67699,67701,5,5,2,0.563
67699,67702,5,5,1,0.226
67701,67696,5,5,1,0.29
67701,67706,5,5,1,0.053
67702,67701,5,5,1,0.353
67705,238015,5,5,2,0.421
67705,242767,5,5,1,0.09
67706,77303,5,5,3,0.848
67706,261363,5,5,2,0.489
68098,58457,5,5,1,0.347
68197,68199,5,5,1,0.364
68197,97266,5,5,3,0.429
68198,242768,5,5,1,0.288
68199,68200,5,5,1,0.181
68199,68201,5,5,1,0.185
68199,74364,5,5,1,0.418
68200,63404,5,5,1,0.348
68200,68202,5,5,1,0.266
68201,63404,5,5,1,0.347
68201,97266,5,5,1,0.222
68201,201296,5,5,2,0.55
68202,153191,5,5,1,0.253
69465,53733,5,5,1,0.24
69580,256684,5,5,1,0.21
69817,28978,5,5,1,0.334
69817,75806,5,5,1,0.022
69817,163217,5,5,1,0.079
69819,69820,5,5,1,0.152
69820,69821,5,5,1,0.414
69821,69822,5,5,1,0.225
69822,69823,5,5,1,0.185
69823,69824,5,5,1,0.389
69823,166886,5,5,1,0.264
69824,8827,5,5,10,3.229
69824,69825,5,5,1,0.398
69825,47835,5,5,1,0.259
72202,72203,5,5,1,0.093
72202,96698,5,5,1,0.059
72202,200960,5,5,1,0.45
72203,200961,5,5,1,0.189
72312,235821,5,5,1,0.222
72910,84169,5,5,1,0.394
72910,182675,5,5,2,0.347
72917,36482,5,5,1,0.244
72918,72920,5,5,1,0.114
72920,182689,5,5,1,0.273
74360,68199,5,5,1,0.413
74361,74360,5,5,1,0.185
74362,74361,5,5,1,0.254
74363,74362,5,5,1,0.235
74364,68200,5,5,1,0.289
74364,68201,5,5,2,0.303
75806,49233,5,5,1,0.247
76102,76111,5,5,1,0.239
76103,76102,5,5,1,0.217
76104,76103,5,5,1,0.249
76105,201887,5,5,1,0.193
76106,76105,5,5,1,0.269
76107,76106,5,5,1,0.24
76108,76107,5,5,1,0.397
76108,244927,5,5,1,0.388
76110,217141,5,5,1,0.287
76110,258048,5,5,1,0.413
76111,76110,5,5,1,0.124
76602,160994,5,5,1,0.236
77303,208808,5,5,1,0.22
77660,60255,5,5,1,0.437
77744,258045,5,5,1,0.219
77747,77748,5,5,1,0.209
77748,77749,5,5,1,0.084
77749,172396,5,5,2,0.254
77750,77751,5,5,1,0.181
77751,77752,5,5,1,0.138
77752,77744,5,5,2,0.58
77844,63404,5,5,1,0.144
77844,68199,5,5,1,0.151
77845,77844,5,5,1,0.239
77848,77851,5,5,1,0.32
77848,215364,5,5,1,0.317
77849,97267,5,5,1,0.279
77850,81937,5,5,1,0.182
77851,77850,5,5,1,0.319
79589,74363,5,5,1,0.135
79589,164776,5,5,1,0.261
79590,79589,5,5,1,0.402
79590,97184,5,5,1,0.276
79592,36382,5,5,1,0.277
79593,79592,5,5,1,0.242
79594,79593,5,5,1,0.151
80383,68197,5,5,1,0.307
80383,242767,5,5,1,0.171
81937,97268,5,5,1,0.262
82878,7421,5,5,1,0.292
82882,126476,5,5,1,0.153
84162,202651,5,5,2,0.555
84163,84164,5,5,1,0.123
84164,84162,5,5,1,0.268
84165,84166,5,5,1,0.193
84166,84163,5,5,1,0.355
84167,84168,5,5,1,0.299
84168,53729,5,5,1,0.191
84168,53735,5,5,1,0.188
84169,84170,5,5,1,0.252
84170,84167,5,5,1,0.318
84364,56927,5,5,1,0.25
85756,122777,5,5,1,0.37
85756,122780,5,5,1,0.236
85757,85758,5,5,1,0.188
85758,217140,5,5,1,0.243
85759,85760,5,5,1,0.177
85760,85762,5,5,1,0.21
85761,217140,5,5,1,0.207
85762,200958,5,5,1,0.245
86530,197799,5,5,1,0.275
87463,59161,5,5,1,0.27
87463,87471,5,5,1,0.285
87464,87463,5,5,1,0.108
87466,59167,5,5,1,0.351
87467,87466,5,5,1,0.191
87471,118905,5,5,1,0.097
87554,87555,5,5,1,0.236
87555,7421,5,5,2,0.482
87556,87557,5,5,1,0.195
87557,87554,5,5,1,0.152
87558,87559,5,5,1,0.347
87559,116769,5,5,1,0.288
89274,89273,5,5,1,0.262
93869,93871,5,5,1,0.247
93870,93869,5,5,1,0.245
93871,69824,5,5,1,0.157
93871,149645,5,5,2,0.213
93872,93875,5,5,1,0.192
93872,238308,5,5,1,0.092
93873,217137,5,5,2,0.274
93873,217141,5,5,1,0.233
93874,93870,5,5,2,0.432
93875,93874,5,5,1,0.288
95599,95602,5,5,1,0.239
95600,200962,5,5,1,0.311
95601,95604,5,5,1,0.226
95601,177955,5,5,2,0.254
95602,95601,5,5,1,0.214
95603,95606,5,5,1,0.063
95604,95603,5,5,1,0.155
95605,95608,5,5,1,0.206
95606,35059,5,5,2,0.494
95606,95605,5,5,1,0.354
95606,96695,5,5,2,0.806
95606,96697,5,5,1,0.281
95606,96699,5,5,6,0.73
95607,66544,5,5,1,0.243
95607,241585,5,5,1,0.234
95608,95607,5,5,1,0.284
96694,67698,5,5,7,1.874
96694,180536,5,5,1,0.432
96695,63405,5,5,1,0.144
96695,68199,5,5,1,0.496
96695,68202,5,5,1,0.43
96695,96699,5,5,1,0.112
96695,97266,5,5,10,0.447
96696,56933,5,5,2,0.388
96696,231758,5,5,1,0.713
96697,96695,5,5,1,0.562
96698,35059,5,5,1,0.641
96698,96695,5,5,6,0.521
96698,200960,5,5,1,0.396
96699,72202,5,5,1,0.366
96699,96698,5,5,2,0.421
96701,85759,5,5,1,0.069
97183,201294,5,5,1,0.431
97184,79589,5,5,1,0.126
97261,97264,5,5,1,0.221
97262,97261,5,5,1,0.36
97262,241581,5,5,3,0.821
97263,123024,5,5,1,0.351
97263,245089,5,5,1,0.2
97263,245090,5,5,1,0.191
97264,97263,5,5,1,0.282
97264,223575,5,5,1,0.26
97265,77849,5,5,1,0.332
97266,97265,5,5,1,0.279
97267,58457,5,5,3,0.438
97267,97262,5,5,1,0.205
97268,77845,5,5,1,0.288
98888,241584,5,5,1,0.258
98889,98888,5,5,1,0.392
103517,76102,5,5,1,0.285
103517,103518,5,5,2,0.368
103518,251600,5,5,1,0.291
106230,49233,5,5,1,0.324
106230,123021,5,5,10,4.847
106871,210965,5,5,1,0.342
106929,106930,5,5,1,0.404
106930,106931,5,5,1,0.369
106931,160989,5,5,1,0.472
106932,106933,5,5,2,0.243
106933,13725,5,5,1,0.348
106934,7421,5,5,5,0.733
106934,106931,5,5,1,0.226
106934,160989,5,5,2,0.518
106935,136323,5,5,1,0.397
107909,162152,5,5,1,0.262
111177,215518,5,5,1,0.538
113336,113345,5,5,1,0.061
113338,215358,5,5,1,0.15
113339,113338,5,5,1,0.23
113344,156963,5,5,1,0.151
113345,113344,5,5,1,0.412
114480,96694,5,5,1,0.328
116673,96695,5,5,4,0.885
116673,200960,5,5,1,0.227
116762,106929,5,5,1,0.451
116763,116762,5,5,1,0.29
116768,12708,5,5,1,0.316
116769,116768,5,5,1,0.285
118905,56931,5,5,1,0.299
119424,238311,5,5,1,0.368
119426,214578,5,5,1,0.277
119429,238310,5,5,1,0.39
121472,132868,5,5,1,0.261
122777,120658,5,5,1,0.149
122780,85761,5,5,1,0.185
123016,123017,5,5,1,0.067
123017,123022,5,5,1,0.195
123018,123019,5,5,1,0.237
123019,123016,5,5,1,0.396
123020,123021,5,5,1,0.289
123021,97261,5,5,1,0.151
123021,172400,5,5,6,0.967
123021,210617,5,5,1,0.54
123022,123023,5,5,1,0.204
123023,123020,5,5,1,0.213
123024,14649,5,5,1,0.341
123528,63408,5,5,1,0.214
126470,8827,5,5,1,0.259
126470,77848,5,5,3,0.612
126470,210613,5,5,5,0.651
126470,221856,5,5,1,0.522
126472,82878,5,5,1,0.233
126472,116673,5,5,6,1.594
126474,126475,5,5,1,0.247
126475,126472,5,5,1,0.346
126476,106932,5,5,1,0.27
132864,132866,5,5,1,0.207
132865,132864,5,5,1,0.25
132866,121472,5,5,1,0.162
132867,123018,5,5,1,0.207
132867,172396,5,5,1,0.114
132868,132867,5,5,1,0.099
136320,126474,5,5,1,0.256
136321,136320,5,5,1,0.343
136322,136325,5,5,1,0.276
136323,136322,5,5,1,0.478
137561,87467,5,5,1,0.134
143031,66545,5,5,1,0.208
143043,97263,5,5,2,0.202
144951,76108,5,5,1,0.301
144951,178782,5,5,1,0.18
144951,244928,5,5,2,0.325
145356,97263,5,5,1,0.111
145375,207513,5,5,2,0.468
146249,238016,5,5,1,0.198
149645,243306,5,5,1,0.271
153191,68198,5,5,1,0.269
155002,220334,5,5,1,0.167
156963,58455,5,5,1,0.197
156963,156969,5,5,2,0.288
156963,245091,5,5,1,0.144
156969,103517,5,5,1,0.166
157142,166887,5,5,1,0.303
157143,157142,5,5,1,0.262
160989,79590,5,5,1,0.2
160989,215364,5,5,2,1.082
160989,241581,5,5,1,0.263
160990,160991,5,5,1,0.257
160991,76602,5,5,1,0.14
160992,160990,5,5,1,0.191
160994,170775,5,5,1,0.287
162152,169893,5,5,1,0.259
163217,69819,5,5,1,0.197
164776,210620,5,5,1,0.318
166881,93873,5,5,1,0.376
166882,166881,5,5,1,0.322
166886,166882,5,5,1,0.313
166887,36482,5,5,1,0.368
166888,13547,5,5,1,0.474
169200,169204,5,5,1,0.3
169204,246660,5,5,1,0.228
169877,67699,5,5,1,0.188
169893,155002,5,5,2,0.343
169893,220334,5,5,2,0.499
169893,238011,5,5,1,0.28
170774,170777,5,5,1,0.158
170775,170774,5,5,1,0.338
170776,77750,5,5,1,0.173
170776,156969,5,5,1,0.145
170777,170776,5,5,1,0.294
170778,180537,5,5,1,0.305
170778,206245,5,5,2,0.261
172392,123021,5,5,1,0.622
172392,172394,5,5,1,0.329
172393,172392,5,5,1,0.152
172394,145356,5,5,1,0.181
172395,172398,5,5,1,0.354
172396,172395,5,5,1,0.466
172397,172393,5,5,1,0.313
172398,172397,5,5,1,0.163
172399,41437,5,5,3,1.096
172399,106934,5,5,5,0.551
172399,177000,5,5,2,0.576
172400,172399,5,5,1,0.128
177000,106935,5,5,1,0.323
177955,96695,5,5,2,0.426
178778,201295,5,5,1,0.336
178779,58457,5,5,5,1.36
178779,201296,5,5,2,0.437
178780,178781,5,5,1,0.273
178781,68098,5,5,1,0.31
178782,178780,5,5,1,0.234
178783,190234,5,5,1,0.35
178784,172394,5,5,1,0.279
180529,180530,5,5,1,0.106
180530,190231,5,5,1,0.29
180531,180532,5,5,1,0.172
180532,180533,5,5,1,0.094
180533,194125,5,5,1,0.239
180535,180536,5,5,1,0.311
180536,206245,5,5,1,0.305
180537,180538,5,5,1,0.252
180538,180531,5,5,1,0.221
182675,217539,5,5,1,0.154
182689,60253,5,5,1,0.342
190226,123021,5,5,1,0.144
190226,178784,5,5,1,0.313
190229,201288,5,5,1,0.176
190229,252744,5,5,1,0.152
190230,190229,5,5,1,0.181
190231,190230,5,5,1,0.209
190232,77850,5,5,2,0.386
190232,178779,5,5,3,1.382
190232,190226,5,5,1,0.33
190233,190232,5,5,1,0.283
190234,190233,5,5,1,0.137
194125,180529,5,5,1,0.105
194125,190229,5,5,4,0.661
194302,60252,5,5,1,0.424
197799,197800,5,5,1,0.337
197800,248204,5,5,1,0.288
197801,86530,5,5,1,0.245
200955,200956,5,5,1,0.183
200956,200957,5,5,2,0.272
200957,95600,5,5,1,0.107
200958,95599,5,5,1,0.291
200959,96695,5,5,4,0.85
200959,200960,5,5,1,0.315
200960,217139,5,5,1,0.27
200961,200955,5,5,1,0.161
200962,200963,5,5,1,0.223
200963,85757,5,5,1,0.094
201288,178783,5,5,2,0.285
201288,201289,5,5,1,0.24
201289,106871,5,5,1,0.544
201290,201291,5,5,1,0.439
201291,56933,5,5,1,0.247
201292,201293,5,5,1,0.476
201293,53732,5,5,1,0.262
201294,201295,5,5,1,0.267
201295,58454,5,5,1,0.122
201295,252744,5,5,1,0.139
201296,97183,5,5,1,0.462
201887,76104,5,5,1,0.184
202649,69821,5,5,1,0.16
202649,157143,5,5,1,0.209
202651,202652,5,5,1,0.26
202652,202649,5,5,1,0.237
206238,58455,5,5,1,0.263
206238,123018,5,5,1,0.4
206239,206240,5,5,1,0.369
206240,87463,5,5,1,0.418
206241,206242,5,5,1,0.357
206242,206239,5,5,1,0.439
206242,258043,5,5,5,0.732
206243,206244,5,5,1,0.36
206244,206238,5,5,1,0.316
206245,206246,5,5,1,0.344
206246,206243,5,5,1,0.47
206841,238007,5,5,1,0.206
206842,238017,5,5,1,0.286
207508,202651,5,5,1,0.274
207508,207511,5,5,1,0.31
207509,207508,5,5,1,0.431
207510,145375,5,5,1,0.402
207511,207510,5,5,1,0.321
207513,197801,5,5,1,0.238
208808,67705,5,5,1,0.254
208808,238015,5,5,1,0.492
210613,210617,5,5,1,0.34
210614,164776,5,5,1,0.27
210615,210614,5,5,1,0.273
210616,210615,5,5,1,0.186
210617,210616,5,5,1,0.267
210620,35059,5,5,1,0.411
210620,200959,5,5,1,0.242
210965,68199,5,5,3,0.753
210965,178779,5,5,1,0.462
214578,53731,5,5,1,0.343
214578,119429,5,5,1,0.326
215358,113336,5,5,1,0.206
215364,49233,5,5,9,4.645
215364,68098,5,5,2,0.204
215364,113339,5,5,1,0.369
215364,160991,5,5,2,0.645
215516,63403,5,5,2,0.303
215516,111177,5,5,2,0.324
215518,215519,5,5,1,0.201
215519,194302,5,5,1,0.271
217134,217135,5,5,1,0.243
217135,217136,5,5,1,0.243
217136,93875,5,5,1,0.323
217136,217137,5,5,1,0.383
217137,238308,5,5,1,0.199
217137,258048,5,5,3,0.435
217139,85756,5,5,1,0.169
217139,85759,5,5,1,0.342
217139,96701,5,5,1,0.29
217140,95606,5,5,1,0.335
217141,217142,5,5,1,0.251
217142,246657,5,5,1,0.199
217539,254791,5,5,1,0.233
219075,219076,5,5,1,0.217
219076,219077,5,5,1,0.268
