"ori_node","des_node","ori_layer","des_layer","minutes","km"
20151,21998,2,2,6,5.549
21998,20151,2,2,6,5.549
10464,20151,4,4,10,2.746
20151,10464,4,4,5,2.746
10464,132605,5,5,2,0.314
10464,147927,5,5,1,0.409
10464,165914,5,5,1,0.329
10464,175676,5,5,1,0.34
20151,20151,5,5,1,0
20151,51818,5,5,2,0.405
20151,129093,5,5,1,0.308
20151,129104,5,5,1,0.406
20151,136917,5,5,1,0.28
20151,204805,5,5,1,0.415
20151,204809,5,5,1,0.426
20151,224464,5,5,1,0.318
20151,234093,5,5,1,0.291
20151,234097,5,5,1,0.498
20151,253778,5,5,1,0.445
21998,21998,5,5,1,0
21998,151061,5,5,1,0.457
21998,151065,5,5,1,0.58
21998,177072,5,5,2,0.525
21998,199957,5,5,1,0.377
51809,147922,5,5,2,0.422
51809,175678,5,5,2,0.474
51810,51815,5,5,1,0.173
51810,137208,5,5,2,0.505
51811,51812,5,5,1,0.158
51812,51809,5,5,1,0.165
51813,51814,5,5,1,0.126
51814,51811,5,5,1,0.168
51815,51816,5,5,1,0.173
51816,51813,5,5,1,0.159
51817,20151,5,5,1,0.417
51818,204805,5,5,1,0.179
51818,234097,5,5,1,0.271
52725,62506,5,5,1,1.187
52814,52827,5,5,1,0.246
52814,177409,5,5,1,0.124
52815,62514,5,5,1,0.518
52815,157819,5,5,2,0.362
52815,206159,5,5,1,0.25
52822,52824,5,5,1,0.268
52822,167566,5,5,1,0.249
52823,253776,5,5,1,0.479
52824,52826,5,5,1,0.297
52826,59472,5,5,1,0.183
52827,157818,5,5,3,0.507
52827,206506,5,5,2,0.68
52827,236667,5,5,1,0.183
55371,227624,5,5,1,0.482
55373,227617,5,5,1,0.423
55375,227619,5,5,1,0.245
55474,196841,5,5,1,0.433
55539,129641,5,5,1,0.157
55566,101198,5,5,1,0.093
55566,235775,5,5,4,0.783
58785,67103,5,5,1,0.561
59110,59112,5,5,1,0.385
59111,224465,5,5,2,0.449
59112,157821,5,5,1,0.346
59112,159058,5,5,1,0.629
59113,59472,5,5,1,0.217
59472,52815,5,5,1,0.257
62506,62518,5,5,1,0.509
62507,20151,5,5,1,0.409
62507,51818,5,5,1,0.309
62511,62513,5,5,1,0.176
62511,137676,5,5,2,0.933
62512,62515,5,5,1,0.498
62513,52814,5,5,1,0.353
62514,139291,5,5,1,0.106
62515,62516,5,5,1,0.46
62517,89772,5,5,1,0.271
62518,62517,5,5,1,0.432
64998,229157,5,5,1,0.376
65000,59111,5,5,1,0.418
65000,196842,5,5,1,0.367
67105,67107,5,5,1,0.631
67106,67105,5,5,1,0.721
67107,76729,5,5,1,0.341
67108,198150,5,5,1,0.665
67109,76736,5,5,1,0.409
67110,76734,5,5,1,0.552
76729,67110,5,5,1,0.397
76732,76737,5,5,1,0.264
76732,140720,5,5,1,0.311
76733,67109,5,5,1,0.512
76734,198151,5,5,1,0.303
76736,67108,5,5,1,0.375
76737,91227,5,5,1,0.204
76738,205683,5,5,1,0.317
89772,62511,5,5,1,0.084
89772,62513,5,5,1,0.261
91222,91226,5,5,1,0.243
91225,205683,5,5,2,0.288
91226,91225,5,5,1,0.271
91227,91220,5,5,1,0.224
95526,159058,5,5,1,0.173
95538,52814,5,5,1,0.223
95539,95538,5,5,1,0.099
97673,226083,5,5,1,0.466
99819,21998,5,5,1,0.378
100914,100916,5,5,1,0.107
100915,110658,5,5,1,0.123
100916,100917,5,5,1,0.097
100917,100915,5,5,1,0.126
100918,140720,5,5,1,0.238
100919,205683,5,5,1,0.292
101194,129639,5,5,1,0.171
101198,101194,5,5,1,0.252
105392,160954,5,5,2,1.236
109702,165913,5,5,1,0.286
109726,175681,5,5,1,0.295
110650,199549,5,5,4,0.236
110652,110650,5,5,2,0.266
110653,110654,5,5,1,0.209
110653,197235,5,5,1,0.206
110654,110659,5,5,1,0.138
110655,238871,5,5,1,0.422
110658,100918,5,5,1,0.15
110659,100914,5,5,1,0.144
113462,157818,5,5,1,0.168
115461,157820,5,5,1,0.162
119900,55566,5,5,1,0.462
119900,129646,5,5,2,0.77
119901,254035,5,5,1,0.165
119905,119900,5,5,1,0.174
119908,119910,5,5,1,0.334
119910,254039,5,5,1,0.306
129093,129102,5,5,1,0.212
129096,204806,5,5,1,0.324
129096,206161,5,5,1,0.043
129102,20151,5,5,1,0.416
129104,129096,5,5,1,0.216
129104,196840,5,5,1,0.323
129639,129646,5,5,1,0.205
129641,149840,5,5,1,0.232
129645,119901,5,5,1,0.473
129646,235772,5,5,1,0.232
129647,55539,5,5,1,0.214
132604,51811,5,5,1,0.344
132605,132604,5,5,1,0.286
136913,165904,5,5,1,0.179
136917,20151,5,5,1,0.28
137208,206156,5,5,2,0.291
137591,147594,5,5,1,0.126
137592,137594,5,5,1,0.126
137594,148991,5,5,1,0.174
137595,259083,5,5,1,0.165
137597,214504,5,5,1,0.804
137676,113462,5,5,1,0.212
137676,186821,5,5,2,0.579
137676,252724,5,5,2,0.922
139284,167243,5,5,1,0.246
139285,149305,5,5,1,0.3
139286,256688,5,5,1,0.437
139287,188152,5,5,1,0.084
139291,62512,5,5,1,0.238
147592,159059,5,5,1,0.118
147593,157466,5,5,1,0.165
147594,147596,5,5,1,0.161
147595,137592,5,5,1,0.178
147596,199925,5,5,1,0.136
147597,147595,5,5,1,0.161
147598,147599,5,5,1,0.15
147599,147600,5,5,1,0.127
147600,147592,5,5,1,0.161
147920,147925,5,5,1,0.194
147921,157823,5,5,1,0.139
147922,147923,5,5,1,0.146
147923,147921,5,5,1,0.169
147924,10464,5,5,1,0.345
147925,51810,5,5,1,0.36
147925,175679,5,5,1,0.291
147926,147928,5,5,1,0.27
147927,109726,5,5,1,0.249
147927,147926,5,5,1,0.263
147928,243871,5,5,1,0.299
147929,109726,5,5,1,0.1
147929,147924,5,5,1,0.292
148922,208128,5,5,1,0.417
148926,183997,5,5,1,0.293
148991,256691,5,5,1,0.21
148995,137598,5,5,1,0.258
149296,159053,5,5,1,0.163
149297,149301,5,5,1,0.134
149298,159060,5,5,1,0.138
149299,149301,5,5,1,0.147
149300,224467,5,5,1,0.08
149301,224466,5,5,1,0.166
149302,149299,5,5,1,0.227
149303,208132,5,5,1,0.615
149304,183998,5,5,2,1.198
149305,139284,5,5,1,0.354
149840,129645,5,5,1,0.133
151062,21998,5,5,1,0.479
151062,196504,5,5,1,0.057
151063,199956,5,5,1,0.499
151064,151063,5,5,1,0.528
151065,151064,5,5,1,0.283
151066,21998,5,5,1,0.485
154476,167242,5,5,1,0.26
157462,147597,5,5,1,0.117
157463,157464,5,5,1,0.133
157464,226088,5,5,1,0.181
157465,157468,5,5,1,0.118
157466,157465,5,5,1,0.099
157467,157463,5,5,1,0.133
157468,157467,5,5,1,0.12
157469,235773,5,5,1,0.134
157818,167558,5,5,2,0.311
157818,186821,5,5,1,0.364
157818,214500,5,5,2,0.995
157818,253775,5,5,2,1.157
157819,157818,5,5,2,0.237
157820,157821,5,5,1,0.267
157821,20151,5,5,3,1.492
157821,59113,5,5,1,0.294
157821,95526,5,5,2,0.184
157821,157824,5,5,1,0.277
157822,175677,5,5,1,0.349
157823,157822,5,5,1,0.162
157824,52814,5,5,3,0.305
157825,157826,5,5,1,0.181
157826,157827,5,5,1,0.134
157827,147920,5,5,1,0.148
159053,234100,5,5,2,0.346
159054,149300,5,5,1,0.085
159058,62514,5,5,1,0.778
159058,164206,5,5,2,0.508
159058,186820,5,5,2,0.731
159059,147593,5,5,1,0.111
159060,214500,5,5,4,0.527
160952,165911,5,5,2,1.259
160952,240443,5,5,2,0.77
160953,160952,5,5,1,0.375
160954,170738,5,5,1,0.409
164206,95539,5,5,1,0.162
164207,187143,5,5,1,0.161
164208,177079,5,5,1,0.662
164208,226086,5,5,1,0.147
165904,157825,5,5,1,0.368
165904,175677,5,5,1,0.044
165904,175678,5,5,4,0.7
165904,175679,5,5,2,1.077
165905,52822,5,5,1,0.9
165905,224468,5,5,2,0.716
165905,234100,5,5,2,0.377
165911,109702,5,5,1,0.328
165911,252131,5,5,1,0.174
165912,139287,5,5,1,0.099
165912,165904,5,5,1,0.46
165913,10464,5,5,1,0.262
165914,165915,5,5,1,0.18
165915,105392,5,5,1,0.379
165915,252131,5,5,1,0.249
167240,139286,5,5,1,0.366
167242,167240,5,5,1,0.383
167243,65000,5,5,2,0.396
167244,206504,5,5,1,0.172
167245,164207,5,5,1,0.242
167245,177078,5,5,3,1.004
167245,216186,5,5,1,0.104
167245,240445,5,5,1,0.088
167558,167560,5,5,1,0.217
167560,167562,5,5,1,0.235
167561,115461,5,5,1,0.294
167562,167563,5,5,1,0.26
167563,167565,5,5,1,0.243
167564,167561,5,5,1,0.276
167565,253776,5,5,1,0.392
167566,167564,5,5,1,0.224
175675,10464,5,5,1,0.384
175676,175680,5,5,1,0.507
175677,165905,5,5,1,0.264
175677,234096,5,5,1,0.367
175678,51810,5,5,3,0.459
175678,175677,5,5,3,0.702
175679,175675,5,5,1,0.491
175680,147922,5,5,1,0.327
175680,175677,5,5,2,1.08
175681,252132,5,5,1,0.348
175682,219929,5,5,1,0.437
177072,151066,5,5,1,0.142
177073,214500,5,5,2,0.303
177074,177077,5,5,1,0.167
177074,232977,5,5,3,0.46
177076,206503,5,5,1,0.227
177076,256707,5,5,1,0.289
177077,177076,5,5,3,0.844
177078,206162,5,5,1,0.729
177079,187141,5,5,1,0.197
177079,206157,5,5,2,0.833
177079,226082,5,5,1,0.357
177405,177411,5,5,1,0.237
177406,177407,5,5,1,0.272
177407,20151,5,5,1,0.427
177407,224465,5,5,1,0.102
177408,196500,5,5,1,0.197
177409,187149,5,5,1,0.192
177410,52815,5,5,1,0.121
177411,187142,5,5,1,0.353
178739,110655,5,5,1,0.186
183995,242172,5,5,3,1.911
183997,149303,5,5,2,1.093
183998,208129,5,5,1,0.319
186820,164208,5,5,2,1.001
186821,177073,5,5,1,0.379
187140,177076,5,5,1,0.168
187140,206503,5,5,1,0.392
187140,226082,5,5,1,0.464
187141,177406,5,5,3,0.999
187141,187146,5,5,1,0.381
187142,177410,5,5,1,0.192
187143,216186,5,5,1,0.443
187144,65000,5,5,1,0.256
187146,187144,5,5,1,0.162
187147,187140,5,5,1,0.458
187148,177406,5,5,1,0.33
187149,187148,5,5,1,0.365
188152,149297,5,5,1,0.162
188182,59110,5,5,1,0.321
188182,149302,5,5,1,0.308
188182,165912,5,5,1,0.72
188182,224469,5,5,1,0.213
188472,64998,5,5,1,0.28
188472,238874,5,5,1,0.055
188473,238871,5,5,1,0.147
196500,55474,5,5,1,0.058
196500,177405,5,5,1,0.11
196500,187140,5,5,3,1.012
196504,240444,5,5,1,0.333
196506,177406,5,5,1,0.142
196840,232977,5,5,1,0.465
196841,206505,5,5,1,0.188
196842,129096,5,5,1,0.429
196842,206158,5,5,1,0.17
197233,76732,5,5,1,0.52
197233,110653,5,5,1,0.22
197235,198152,5,5,1,0.35
197235,253667,5,5,2,0.188
198150,58785,5,5,1,0.195
198151,197233,5,5,1,0.331
198151,229156,5,5,1,0.198
198152,76733,5,5,1,0.292
198399,201619,5,5,1,0.423
198399,242172,5,5,1,0.131
198399,252135,5,5,1,0.189
199549,178739,5,5,2,0.233
199551,238873,5,5,1,0.29
199925,256715,5,5,1,0.178
199950,242169,5,5,1,0.523
199953,99819,5,5,1,0.57
199956,198399,5,5,1,0.396
199956,242172,5,5,2,0.367
199957,199955,5,5,1,0.571
201595,148926,5,5,1,0.332
201619,201595,5,5,1,0.486
204805,242110,5,5,1,0.163
204806,204809,5,5,1,0.14
204809,20151,5,5,1,0.426
204809,51817,5,5,1,0.14
204809,129102,5,5,1,0.172
205683,197235,5,5,1,0.492
205683,238878,5,5,1,0.297
206156,10464,5,5,1,0.302
206157,59111,5,5,1,0.152
206158,62507,5,5,1,0.149
206158,129096,5,5,1,0.342
206159,206163,5,5,1,0.062
206161,136913,5,5,1,0.739
206162,137676,5,5,1,0.173
206163,206164,5,5,1,0.183
206164,206162,5,5,2,0.494
206501,206507,5,5,1,0.224
206502,177079,5,5,2,0.224
206502,187141,5,5,2,0.415
206502,256707,5,5,1,0.103
206503,216181,5,5,1,0.074
206504,164208,5,5,1,0.468
206504,206502,5,5,1,0.097
206505,206506,5,5,1,0.182
206506,206508,5,5,1,0.203
206507,59472,5,5,2,0.673
206507,206510,5,5,1,0.254
206508,167245,5,5,1,0.294
206508,216186,5,5,1,0.381
206509,196506,5,5,2,0.343
206510,206509,5,5,1,0.144
207436,207432,5,5,1,0.331
207436,254030,5,5,1,0.629
208128,149304,5,5,1,0.516
208129,208130,5,5,1,0.312
208130,208131,5,5,1,0.441
208131,242171,5,5,2,0.58
208131,242172,5,5,2,0.39
208132,137597,5,5,1,0.425
209006,216180,5,5,1,0.37
214493,149296,5,5,1,0.128
214493,149298,5,5,1,0.167
214500,214501,5,5,1,0.119
214500,214502,5,5,1,0.54
214501,214502,5,5,1,0.457
214502,214503,5,5,1,0.233
214503,148922,5,5,2,0.783
214503,214504,5,5,1,0.039
214504,214505,5,5,1,0.195
214505,214506,5,5,1,0.308
214506,188182,5,5,1,0.354
216180,216184,5,5,1,0.232
216181,216180,5,5,1,0.198
216182,216188,5,5,1,0.235
216183,216185,5,5,1,0.154
216184,97673,5,5,1,0.069
216184,216182,5,5,1,0.115
216185,167244,5,5,1,0.165
216185,206504,5,5,1,0.312
216186,216189,5,5,1,0.197
216187,164208,5,5,1,0.145
216188,216187,5,5,1,0.175
216189,216183,5,5,1,0.228
217732,119905,5,5,2,0.495
217732,227621,5,5,1,0.216
217733,217732,5,5,1,0.308
217735,207436,5,5,1,0.144
219929,147924,5,5,1,0.303
219929,147926,5,5,1,0.056
221125,221119,5,5,2,1.343
224163,262076,5,5,1,0.575
224464,177074,5,5,1,0.423
224464,177408,5,5,1,0.183
224464,196500,5,5,4,0.38
224465,20151,5,5,1,0.326
224466,159054,5,5,1,0.066
224467,214493,5,5,1,0.13
224468,59110,5,5,1,0.219
224468,214500,5,5,1,0.32
224468,214501,5,5,1,0.431
224468,252725,5,5,2,0.338
224469,253775,5,5,1,0.459
226082,226083,5,5,1,0.344
226082,235764,5,5,1,0.287
226083,139285,5,5,1,0.423
226083,235769,5,5,1,0.238
226086,177079,5,5,2,0.522
226086,206501,5,5,1,0.12
226088,157462,5,5,1,0.19
226622,226627,5,5,1,1.334
227617,119908,5,5,1,0.312
227617,254039,5,5,3,0.928
227618,227620,5,5,1,0.293
227619,55373,5,5,1,0.432
227620,55371,5,5,1,0.473
227621,55375,5,5,1,0.315
227622,217735,5,5,1,0.319
227624,227622,5,5,1,0.231
229149,238874,5,5,1,0.368
229156,229149,5,5,1,0.334
229157,197233,5,5,1,0.144
229157,198152,5,5,1,0.23
232977,154476,5,5,1,0.274
232977,187147,5,5,1,0.293
234093,234094,5,5,1,0.162
234094,165912,5,5,1,0.153
