"ori_node","des_node","ori_layer","des_layer","minutes","km"
2178,22024,2,2,3,1.85
2178,26718,2,2,5,2.717
17978,26718,2,2,3,2.589
20814,26718,2,2,4,4.513
20814,192134,2,2,3,3.047
22024,2178,2,2,1,1.85
26718,2178,2,2,5,2.717
26718,17978,2,2,3,2.589
26718,20814,2,2,4,4.513
26718,192134,2,2,6,7.516
192134,20814,2,2,2,3.047
192134,26718,2,2,6,7.516
19898,260825,4,4,15,2.957
260825,19898,4,4,10,2.957
2178,2178,5,5,1,0
2178,106207,5,5,1,0.34
2178,125753,5,5,1,0.378
2178,143481,5,5,1,0.327
2178,164638,5,5,1,0.294
2178,166809,5,5,1,0.46
17978,17978,5,5,1,0
17978,119446,5,5,1,0.352
17978,157719,5,5,1,0.373
19898,121956,5,5,1,0.053
19898,173461,5,5,1,0.046
19898,209721,5,5,1,0.236
20814,87040,5,5,1,0.462
20814,157471,5,5,1,0.485
22024,22024,5,5,1,0
22024,129270,5,5,1,0.364
22024,130427,5,5,1,0.651
22024,134947,5,5,1,0.374
22024,138235,5,5,3,0.616
22024,208794,5,5,1,0.562
26718,26718,5,5,1,0
26718,83397,5,5,1,0.627
26718,111112,5,5,1,0.263
26718,115575,5,5,1,0.619
26718,117782,5,5,1,0.295
26718,159549,5,5,1,0.335
26718,168242,5,5,1,0.492
26718,189942,5,5,1,0.373
26718,222061,5,5,1,0.76
26718,241211,5,5,2,0.642
26718,254151,5,5,1,0.343
26718,260825,5,5,1,0.368
51549,61261,5,5,1,0.121
51649,155591,5,5,2,0.288
51800,252711,5,5,1,0.176
52182,223815,5,5,1,0.277
52237,256781,5,5,1,0.377
52486,110417,5,5,1,0.254
52628,146589,5,5,1,0.179
52654,170947,5,5,1,0.203
53065,201357,5,5,1,0.181
53098,82015,5,5,1,0.345
53181,223190,5,5,1,0.112
53189,26718,5,5,1,0.42
53332,156447,5,5,1,0.189
53418,125582,5,5,1,0.159
53665,63323,5,5,1,0.476
54374,249771,5,5,1,0.435
54562,245799,5,5,1,0.272
54634,192257,5,5,1,0.249
54768,74699,5,5,1,0.168
54925,130645,5,5,1,0.238
54926,54925,5,5,1,0.082
54926,130645,5,5,1,0.32
54927,54926,5,5,1,0.28
55002,246207,5,5,1,0.272
55322,236610,5,5,1,0.199
55686,121280,5,5,1,0.15
56072,90048,5,5,2,0.913
56367,200870,5,5,1,0.165
56367,226417,5,5,1,0.185
57615,159321,5,5,1,0.182
57937,247657,5,5,1,0.307
58082,221853,5,5,1,0.207
58101,71219,5,5,1,0.169
58654,249935,5,5,1,0.243
59196,113209,5,5,1,0.369
59397,72011,5,5,1,0.369
59504,171646,5,5,1,0.169
59556,211573,5,5,1,0.252
59824,83306,5,5,1,0.456
59845,69439,5,5,1,0.356
60370,106049,5,5,2,0.398
60585,79861,5,5,1,0.365
60719,211372,5,5,1,0.297
60844,152698,5,5,1,0.178
60844,207283,5,5,1,0.216
60939,70894,5,5,1,0.166
60943,181423,5,5,1,0.203
61107,73553,5,5,1,0.131
61251,138106,5,5,1,0.4
61261,80494,5,5,1,0.287
61276,113418,5,5,1,0.234
61521,174067,5,5,1,0.334
61582,252790,5,5,1,0.277
61702,53665,5,5,1,0.207
61959,158809,5,5,1,0.279
62178,81449,5,5,1,0.312
62500,59397,5,5,1,0.325
62519,235836,5,5,1,0.375
62789,101270,5,5,2,0.575
62789,120934,5,5,1,0.28
62835,91654,5,5,1,0.298
62850,53189,5,5,1,0.132
63005,53332,5,5,1,0.264
63093,103511,5,5,1,0.249
63093,183520,5,5,1,0.208
63115,53418,5,5,1,0.103
63323,96123,5,5,1,0.204
63323,227902,5,5,1,0.136
63460,187324,5,5,1,0.239
63472,73005,5,5,1,0.202
64029,54374,5,5,1,0.37
64217,63323,5,5,1,0.38
64282,59504,5,5,1,0.338
64614,216683,5,5,1,0.172
64913,170071,5,5,1,0.229
64913,187526,5,5,1,0.201
65259,109966,5,5,1,0.255
65342,76978,5,5,1,0.227
65460,2178,5,5,1,0.277
65621,147327,5,5,1,0.158
65784,74760,5,5,1,0.275
65986,105855,5,5,1,0.385
66339,77889,5,5,1,0.566
66466,121925,5,5,1,0.089
66466,123769,5,5,1,0.294
67065,143063,5,5,1,0.245
67208,69920,5,5,1,0.182
67225,241354,5,5,1,0.19
68312,67208,5,5,1,0.274
68401,124980,5,5,1,0.283
69089,73702,5,5,1,0.29
69089,88546,5,5,1,0.329
69439,231441,5,5,1,0.176
69684,51649,5,5,1,0.241
69684,165774,5,5,1,0.288
69920,60370,5,5,1,0.153
70106,261798,5,5,1,0.156
70240,142131,5,5,1,0.172
70361,98754,5,5,1,0.245
70486,60943,5,5,1,0.181
70805,252455,5,5,1,0.236
70894,89553,5,5,1,0.15
70894,166950,5,5,1,0.224
71205,184225,5,5,2,0.57
71219,70106,5,5,1,0.326
71615,180845,5,5,1,0.15
71615,244573,5,5,1,0.182
71719,52486,5,5,1,0.309
72011,130424,5,5,1,0.23
72023,79428,5,5,1,0.48
72041,72046,5,5,1,0.242
72041,87802,5,5,3,0.827
72046,97496,5,5,1,0.304
72280,62789,5,5,1,0.529
72317,53181,5,5,1,0.132
72325,178525,5,5,1,0.206
72325,224818,5,5,1,0.262
72331,179915,5,5,1,0.355
72644,129144,5,5,1,0.309
72743,217476,5,5,1,0.405
72743,217948,5,5,1,0.032
72743,224310,5,5,1,0.153
72833,54562,5,5,1,0.348
72833,254750,5,5,1,0.427
72865,82585,5,5,1,0.119
73005,26718,5,5,1,0.333
73268,83226,5,5,1,0.049
73268,141675,5,5,1,0.136
73268,182897,5,5,1,0.334
73270,130648,5,5,2,0.263
73456,165327,5,5,1,0.172
73702,87926,5,5,1,0.101
73875,90438,5,5,1,0.139
73875,102246,5,5,1,0.13
74354,93867,5,5,1,0.226
74354,253744,5,5,1,0.169
74699,185642,5,5,1,0.244
74699,195369,5,5,1,0.304
74760,19898,5,5,1,0.222
75419,259248,5,5,1,0.154
75467,233643,5,5,1,0.132
76059,215150,5,5,1,0.338
76135,140354,5,5,1,0.539
76135,185431,5,5,1,0.655
76978,217948,5,5,1,0.326
77022,248241,5,5,1,0.262
