"ori_node","des_node","ori_layer","des_layer","minutes","km"
11200,22605,2,2,3,1.6
12255,46217,2,2,1,0.547
21731,46217,2,2,2,1.411
22605,11200,2,2,2,1.6
22605,31444,2,2,1,0.754
31444,22605,2,2,2,0.754
46217,12255,2,2,2,0.547
46217,21731,2,2,3,1.411
11200,57461,5,5,1,0.405
11200,201542,5,5,1,0.307
11200,226805,5,5,1,0.279
12255,12255,5,5,1,0
12255,46217,5,5,1,0.547
12255,94343,5,5,1,0.297
12255,165231,5,5,1,0.489
21731,21731,5,5,1,0
21731,76290,5,5,1,0.432
21731,98091,5,5,3,0.448
21731,144365,5,5,1,0.659
22605,22605,5,5,1,0
22605,31444,5,5,1,0.754
22605,85677,5,5,1,0.56
22605,88175,5,5,1,0.249
22605,88177,5,5,1,0.301
22605,88178,5,5,1,0.293
22605,156872,5,5,1,0.309
22605,230070,5,5,2,0.285
31444,22605,5,5,2,0.754
31444,31444,5,5,1,0
31444,137726,5,5,1,0.419
31444,139836,5,5,1,0.425
31444,139843,5,5,1,0.521
46217,12255,5,5,1,0.547
46217,46217,5,5,1,0
46217,150506,5,5,1,0.345
46217,243810,5,5,1,0.356
46217,247137,5,5,1,0.405
46217,247138,5,5,1,0.397
46217,248529,5,5,1,0.54
46217,248532,5,5,1,0.521
52356,136109,5,5,1,0.369
52357,156044,5,5,1,0.364
52770,86056,5,5,1,0.452
52770,208143,5,5,1,0.701
52771,105889,5,5,1,0.212
55944,177367,5,5,1,0.093
55944,253342,5,5,1,0.206
56744,260594,5,5,1,0.289
56745,188748,5,5,1,0.116
56746,121945,5,5,1,0.518
56749,139836,5,5,1,0.343
56749,139844,5,5,1,0.424
57460,99454,5,5,1,0.121
57461,258617,5,5,1,0.559
57795,243963,5,5,1,0.496
57998,192216,5,5,1,0.43
58000,98595,5,5,1,0.286
59351,260597,5,5,1,0.241
59440,251914,5,5,1,0.335
59441,240727,5,5,1,0.3
61650,168304,5,5,1,0.253
61650,175717,5,5,1,0.152
63144,238844,5,5,1,0.251
65501,74948,5,5,1,0.501
65503,186516,5,5,1,0.307
65503,186518,5,5,1,0.384
65979,134018,5,5,1,0.338
66317,80391,5,5,1,0.309
66317,125983,5,5,1,0.315
66591,243811,5,5,1,0.244
67727,208762,5,5,1,0.259
67728,80389,5,5,1,0.256
69014,86056,5,5,1,0.291
69014,156044,5,5,1,0.4
70689,99676,5,5,1,0.269
70690,80389,5,5,1,0.191
74275,115317,5,5,1,0.11
74948,94491,5,5,1,0.229
76290,136449,5,5,1,0.326
77299,67728,5,5,2,0.22
77444,46217,5,5,1,0.335
78243,256962,5,5,1,0.385
78243,256963,5,5,1,0.349
80389,108463,5,5,1,0.22
80391,70689,5,5,1,0.213
81018,81021,5,5,1,0.067
81019,149560,5,5,1,0.312
81021,22605,5,5,1,0.742
81021,88175,5,5,1,0.495
81022,90615,5,5,1,0.219
81022,90617,5,5,1,0.251
82368,104411,5,5,1,0.259
82510,92149,5,5,1,0.22
82511,111653,5,5,1,0.143
82829,92502,5,5,1,0.277
82830,151437,5,5,1,0.176
83873,101994,5,5,1,0.207
83873,174323,5,5,1,0.286
83983,31444,5,5,1,0.258
83983,186517,5,5,1,0.384
83983,186518,5,5,1,0.358
85677,85680,5,5,1,0.111
85677,121487,5,5,1,0.321
85677,188747,5,5,2,0.437
85680,115316,5,5,1,0.302
85680,188747,5,5,1,0.325
86056,52356,5,5,1,0.241
86056,159719,5,5,1,0.188
86056,185774,5,5,1,0.277
86636,248534,5,5,1,0.447
86636,248540,5,5,1,0.493
87531,81022,5,5,1,0.589
87717,121675,5,5,1,0.258
88175,121488,5,5,1,0.189
88177,122860,5,5,1,0.277
88177,238844,5,5,2,0.235
88178,81019,5,5,1,0.499
88178,81022,5,5,1,0.548
89734,158452,5,5,1,0.232
90011,232115,5,5,1,0.289
90012,158395,5,5,1,0.121
90615,131573,5,5,1,0.159
90616,90618,5,5,1,0.086
90616,121777,5,5,1,0.196
90617,153703,5,5,1,0.331
90618,179384,5,5,1,0.14
92148,77299,5,5,1,0.369
92148,82511,5,5,1,0.242
92148,92149,5,5,1,0.042
92148,99677,5,5,1,0.189
92149,120299,5,5,1,0.236
92149,158397,5,5,1,0.183
92149,230758,5,5,1,0.123
92501,82830,5,5,1,0.303
92502,116926,5,5,1,0.323
94343,175718,5,5,3,0.773
94343,224497,5,5,1,0.362
94343,224498,5,5,1,0.376
94491,55944,5,5,1,0.747
94491,256963,5,5,1,0.347
97391,107096,5,5,1,0.382
98091,208144,5,5,1,0.366
98092,21731,5,5,1,0.438
98092,76290,5,5,1,0.243
98595,96760,5,5,1,0.381
98595,245565,5,5,1,0.51
98688,66317,5,5,1,0.356
98689,192215,5,5,1,0.182
99454,11200,5,5,1,0.287
99454,226805,5,5,1,0.088
99454,242142,5,5,1,1.113
99676,92149,5,5,1,0.134
99677,70690,5,5,1,0.348
101775,111652,5,5,1,0.264
101995,126624,5,5,1,0.183
101995,174323,5,5,1,0.332
103443,22605,5,5,1,0.506
103443,88175,5,5,1,0.403
104411,21731,5,5,1,0.492
105433,226354,5,5,1,0.231
105434,113284,5,5,1,0.111
105434,204759,5,5,1,0.227
105888,115700,5,5,1,0.352
105888,170543,5,5,1,0.224
105888,226057,5,5,1,0.325
105889,170542,5,5,1,0.156
105889,226057,5,5,1,0.316
106473,109410,5,5,1,0.254
106474,221703,5,5,1,0.375
107097,118851,5,5,1,0.386
107097,121675,5,5,1,0.788
108463,98689,5,5,1,0.351
109408,22605,5,5,1,0.532
109408,106474,5,5,1,0.222
109410,256961,5,5,1,0.197
111652,82510,5,5,1,0.177
111653,146825,5,5,1,0.51
113283,105433,5,5,1,0.178
113284,204759,5,5,1,0.115
115244,105434,5,5,1,0.282
115316,125007,5,5,1,0.113
115317,121487,5,5,1,0.346
115700,185419,5,5,1,0.406
116924,92501,5,5,1,0.375
116926,126581,5,5,1,0.327
118851,87717,5,5,1,0.167
118851,121675,5,5,1,0.402
120297,92148,5,5,1,0.185
120297,158397,5,5,1,0.167
120299,176622,5,5,1,0.441
121478,141208,5,5,1,0.174
121487,22605,5,5,1,0.323
121487,63144,5,5,1,0.411
121487,88177,5,5,1,0.426
121487,88178,5,5,1,0.336
121488,85680,5,5,1,0.407
121488,162486,5,5,1,0.417
121488,162488,5,5,1,0.366
121489,63144,5,5,1,0.403
121489,88177,5,5,1,0.418
121675,131425,5,5,1,0.38
121676,97391,5,5,1,0.431
121776,90615,5,5,1,0.211
121777,245162,5,5,1,0.245
121947,56745,5,5,1,0.427
122860,173953,5,5,1,0.27
122860,189060,5,5,1,0.102
122860,248770,5,5,1,0.435
124992,146106,5,5,1,0.332
124992,146108,5,5,1,0.266
125007,87531,5,5,1,0.077
125007,142475,5,5,1,0.37
125983,67727,5,5,1,0.2
126581,176010,5,5,1,0.304
126582,116924,5,5,1,0.186
126624,151116,5,5,1,0.34
127017,250438,5,5,1,0.394
128798,161154,5,5,1,0.286
131262,101775,5,5,1,0.372
131263,121478,5,5,1,0.27
131572,90616,5,5,1,0.23
131573,141530,5,5,1,0.186
134019,137726,5,5,1,0.343
134019,139836,5,5,1,0.315
135792,65979,5,5,1,0.23
135792,139843,5,5,1,0.179
135792,139844,5,5,1,0.229
136109,146106,5,5,1,0.358
136449,240003,5,5,1,0.223
136450,223204,5,5,1,0.407
136473,213551,5,5,1,0.247
137726,162490,5,5,1,0.192
137726,231344,5,5,1,0.061
138508,232417,5,5,1,0.119
139551,98092,5,5,1,0.276
139718,208336,5,5,1,0.25
139836,162487,5,5,1,0.17
139836,162490,5,5,1,0.22
139836,231344,5,5,2,0.077
139843,56744,5,5,1,0.337
139844,83983,5,5,1,0.225
140494,149894,5,5,1,0.337
140495,52357,5,5,1,0.388
140501,159359,5,5,1,0.51
141208,245565,5,5,1,0.604
141529,131572,5,5,1,0.148
141530,151436,5,5,1,0.253
142475,235296,5,5,1,0.106
142478,168303,5,5,1,0.337
143773,153706,5,5,1,0.321
143774,155869,5,5,1,0.217
144365,144476,5,5,1,0.322
144365,247136,5,5,1,0.344
146104,140495,5,5,1,0.197
146104,173282,5,5,1,0.581
146106,195162,5,5,1,0.216
146107,146106,5,5,1,0.124
146107,247843,5,5,1,0.341
146108,146106,5,5,1,0.093
146108,159359,5,5,1,0.473
146822,248533,5,5,1,0.269
146822,248534,5,5,1,0.247
146822,248540,5,5,2,0.167
146825,131263,5,5,1,0.199
149557,81018,5,5,1,0.43
149557,103443,5,5,1,0.499
149559,103443,5,5,1,0.562
149559,238849,5,5,1,0.635
149560,250675,5,5,1,0.393
149561,159360,5,5,1,0.334
149561,250675,5,5,1,0.313
149894,127017,5,5,1,0.391
149894,159717,5,5,1,0.416
149895,140501,5,5,1,0.305
150506,124992,5,5,1,0.216
151116,170433,5,5,1,0.466
151116,243963,5,5,1,0.486
151436,82829,5,5,1,0.181
151437,141529,5,5,1,0.225
153703,165230,5,5,1,0.217
153704,143774,5,5,1,0.31
153705,90618,5,5,1,0.44
153705,153706,5,5,1,0.132
153706,195163,5,5,1,0.257
154722,164555,5,5,1,0.363
154723,115244,5,5,1,0.145
154727,190761,5,5,1,0.33
155868,143773,5,5,1,0.275
155869,260595,5,5,1,0.3
156044,52771,5,5,1,0.346
156872,109410,5,5,1,0.239
158395,92148,5,5,1,0.233
158395,120299,5,5,1,0.182
158395,230758,5,5,1,0.245
158397,90011,5,5,1,0.137
158397,216869,5,5,1,0.451
158452,224499,5,5,1,0.151
158453,89734,5,5,1,0.218
159359,149559,5,5,1,0.173
159360,140494,5,5,1,0.377
159360,146107,5,5,1,0.301
159717,208143,5,5,1,0.651
159719,149895,5,5,1,0.427
161153,204758,5,5,2,0.439
161154,170953,5,5,1,0.295
162486,22605,5,5,2,0.576
162487,121489,5,5,1,0.452
162488,22605,5,5,1,0.57
162488,65979,5,5,1,0.437
162488,85680,5,5,1,0.042
162488,115316,5,5,1,0.299
162488,135792,5,5,1,0.206
162488,139843,5,5,1,0.377
162488,188747,5,5,2,0.344
162490,121487,5,5,1,0.394
162490,121489,5,5,1,0.402
162490,188747,5,5,1,0.352
164415,185420,5,5,1,0.261
164554,154723,5,5,1,0.359
164555,174322,5,5,1,0.453
165230,12255,5,5,1,0.459
165231,153705,5,5,1,0.167
166867,149557,5,5,1,0.451
166868,176623,5,5,1,0.254
168303,158506,5,5,1,0.252
168303,175717,5,5,1,0.185
168304,250616,5,5,1,0.339
169533,149895,5,5,1,0.381
170433,203202,5,5,1,0.385
170433,227825,5,5,1,0.295
170542,176009,5,5,1,0.348
170542,229092,5,5,1,0.39
170543,52770,5,5,1,0.254
170952,170953,5,5,1,0.139
170954,161153,5,5,1,0.264
170954,208337,5,5,1,0.238
172306,182001,5,5,1,0.328
172306,253343,5,5,1,0.47
173282,46217,5,5,1,0.316
173952,238850,5,5,1,0.256
173953,138508,5,5,1,0.332
174322,101994,5,5,1,0.268
174322,126624,5,5,1,0.195
174323,164554,5,5,1,0.343
174868,155868,5,5,1,0.286
175650,204757,5,5,1,0.163
175717,224495,5,5,1,0.445
175717,224496,5,5,1,0.46
175717,224500,5,5,1,0.384
175718,158506,5,5,1,0.105
175718,168304,5,5,1,0.221
175718,210773,5,5,1,0.277
175718,210774,5,5,1,0.24
176009,126582,5,5,1,0.351
176010,229091,5,5,1,0.132
176622,166867,5,5,1,0.318
176623,120297,5,5,1,0.402
177367,232418,5,5,1,0.25
177368,78243,5,5,1,0.113
177368,253342,5,5,1,0.209
179384,81021,5,5,1,0.125
179384,239188,5,5,1,0.246
182001,191849,5,5,1,0.17
182001,201541,5,5,1,0.238
183751,173952,5,5,1,0.289
183845,191848,5,5,2,0.488
183845,201541,5,5,1,0.096
185419,175650,5,5,1,0.155
