"ori_node","des_node","ori_layer","des_layer","minutes","km"
17847,28846,2,2,5,3.883
28846,17847,2,2,5,3.883
17847,28846,4,4,10,3.883
17847,46638,4,4,4,1.483
28846,17847,4,4,8,3.883
28846,46638,4,4,5,2.584
28846,109630,4,4,10,2.983
28846,178091,4,4,5,1.826
28846,219445,4,4,10,1.528
46638,17847,4,4,2,1.483
46638,28846,4,4,8,2.584
109630,28846,4,4,10,2.983
178091,28846,4,4,5,1.826
17847,17847,5,5,1,0
17847,58937,5,5,1,0.334
17847,68549,5,5,1,0.496
17847,68551,5,5,2,0.729
17847,151949,5,5,1,0.278
17847,151952,5,5,1,0.542
17847,171544,5,5,1,0.395
17847,173299,5,5,1,0.511
28846,28846,5,5,1,0
28846,79881,5,5,3,0.844
28846,99591,5,5,1,0.334
28846,159826,5,5,1,0.615
28846,160916,5,5,1,0.308
28846,170689,5,5,1,0.353
28846,198360,5,5,1,0.427
46638,113881,5,5,1,0.119
46638,113885,5,5,1,0.228
46638,137034,5,5,3,0.789
46638,143411,5,5,2,0.51
52705,52709,5,5,1,0.184
52705,253645,5,5,1,0.16
52706,52705,5,5,1,0.221
52707,123492,5,5,1,0.155
52709,233964,5,5,1,0.209
52710,231281,5,5,1,0.174
52710,253645,5,5,1,0.211
52711,52706,5,5,1,0.234
52711,221889,5,5,1,0.348
52712,52707,5,5,1,0.313
52712,52709,5,5,1,0.158
52712,231281,5,5,1,0.129
52744,52746,5,5,1,0.277
52745,52747,5,5,1,0.318
52746,130764,5,5,1,0.404
52747,204318,5,5,2,1.105
52747,252038,5,5,1,0.1
52996,81265,5,5,1,0.237
53427,261139,5,5,1,0.209
54904,95903,5,5,1,0.26
55447,55449,5,5,1,0.423
55448,55454,5,5,1,0.46
55449,103615,5,5,1,0.644
55450,55448,5,5,1,0.413
55450,55454,5,5,1,0.874
55450,141332,5,5,1,0.351
55451,55455,5,5,1,0.238
55452,141334,5,5,1,0.295
55452,141340,5,5,3,0.834
55452,154829,5,5,5,1.07
55453,55447,5,5,1,0.296
55454,55451,5,5,2,0.795
55454,141334,5,5,1,0.474
55455,256493,5,5,1,0.381
55456,55452,5,5,1,0.235
55971,55976,5,5,1,0.189
55972,169740,5,5,1,0.14
55973,55971,5,5,1,0.125
55974,198356,5,5,1,0.178
55975,55972,5,5,1,0.237
55976,55974,5,5,1,0.27
58210,58216,5,5,1,0.26
58215,58209,5,5,1,0.158
58216,196571,5,5,1,0.255
58467,206812,5,5,1,0.428
58935,68551,5,5,2,0.662
58936,153834,5,5,1,0.381
58937,58936,5,5,1,0.373
58938,17847,5,5,1,0.666
60402,256491,5,5,1,0.549
60595,63855,5,5,1,0.236
60597,241932,5,5,1,0.21
60598,60600,5,5,1,0.302
60599,60597,5,5,1,0.323
60600,60595,5,5,1,0.339
60600,60601,5,5,1,0.269
60600,120381,5,5,1,0.312
60600,236035,5,5,1,0.239
60601,258804,5,5,1,0.413
60602,63838,5,5,1,0.116
60602,149984,5,5,1,0.13
60602,236035,5,5,1,0.119
60659,166426,5,5,1,0.623
60660,106426,5,5,1,0.285
60661,70205,5,5,1,0.259
60662,60664,5,5,1,0.327
60663,60661,5,5,1,0.368
60664,60666,5,5,1,0.16
60665,60659,5,5,1,0.114
60666,60665,5,5,1,0.221
60757,70290,5,5,1,0.197
60759,91614,5,5,2,0.217
60759,91616,5,5,1,0.205
60760,60761,5,5,1,0.372
60761,60757,5,5,1,0.228
60762,60759,5,5,1,0.258
60763,60766,5,5,1,0.121
60764,89680,5,5,1,0.165
60765,60764,5,5,1,0.242
60765,134218,5,5,1,0.239
60766,52711,5,5,1,0.212
60766,70288,5,5,1,0.182
63838,60599,5,5,1,0.183
63838,258539,5,5,3,0.435
63855,191103,5,5,1,0.259
63855,257034,5,5,1,0.37
64356,99586,5,5,1,0.263
66350,123537,5,5,1,0.116
66356,123540,5,5,1,0.079
66473,151372,5,5,5,0.641
66473,241270,5,5,5,0.687
66474,126143,5,5,1,0.185
67875,77532,5,5,1,0.418
67875,230505,5,5,2,0.509
67876,67878,5,5,1,0.374
67877,67879,5,5,2,0.434
67878,96964,5,5,1,0.179
67879,199680,5,5,1,0.369
67880,208087,5,5,1,0.332
67880,208091,5,5,1,0.226
68547,153834,5,5,1,0.326
68547,159826,5,5,8,3.197
68548,68550,5,5,1,0.276
68549,68547,5,5,1,0.314
68550,58935,5,5,1,0.329
68551,68557,5,5,1,0.356
68552,17847,5,5,1,0.67
68552,173299,5,5,1,0.28
68553,171544,5,5,2,0.245
68554,244675,5,5,1,0.342
68556,68552,5,5,1,0.437
70127,70128,5,5,1,0.234
70128,70135,5,5,1,0.125
70131,139574,5,5,1,0.191
70132,70131,5,5,1,0.213
70134,253949,5,5,2,0.331
70135,70136,5,5,1,0.149
70136,70134,5,5,1,0.18
70137,52996,5,5,2,0.246
70138,70137,5,5,1,0.135
70204,60662,5,5,1,0.292
70205,70207,5,5,1,0.26
70205,104025,5,5,2,0.481
70206,70204,5,5,1,0.162
70207,70208,5,5,1,0.339
70208,153834,5,5,2,0.254
70288,70294,5,5,1,0.294
70289,52711,5,5,1,0.155
70289,60765,5,5,1,0.141
70290,52711,5,5,1,0.071
70291,70296,5,5,1,0.247
70292,70293,5,5,1,0.314
70293,70289,5,5,1,0.184
70294,70291,5,5,1,0.21
70294,243756,5,5,1,0.173
70295,70292,5,5,1,0.228
70296,83352,5,5,1,0.338
70966,79879,5,5,1,0.233
72630,96962,5,5,1,0.232
72630,116432,5,5,1,0.145
72630,116433,5,5,1,0.028
73764,73770,5,5,1,0.329
73765,73766,5,5,1,0.307
73766,83542,5,5,1,0.299
73766,229632,5,5,1,0.298
73767,73771,5,5,1,0.158
73768,73769,5,5,1,0.302
73769,73765,5,5,1,0.282
73770,73767,5,5,1,0.231
73771,199817,5,5,1,0.286
73771,212600,5,5,1,0.305
73772,73768,5,5,1,0.188
73788,73772,5,5,1,0.209
74166,131803,5,5,1,0.612
74166,223385,5,5,1,0.193
76902,140403,5,5,1,0.274
76902,181343,5,5,2,0.353
77528,77529,5,5,1,0.265
77529,55973,5,5,1,0.354
77529,67880,5,5,1,0.337
77530,70132,5,5,1,0.435
77530,79886,5,5,1,0.197
77530,258803,5,5,1,0.499
77531,77528,5,5,1,0.4
77532,77533,5,5,1,0.253
77533,77530,5,5,1,0.302
79013,180452,5,5,1,0.153
79878,141127,5,5,1,0.31
79878,141128,5,5,1,0.174
79878,198362,5,5,2,0.523
79879,79881,5,5,1,0.286
79880,79878,5,5,1,0.232
79881,79883,5,5,1,0.202
79882,79880,5,5,1,0.209
79883,79885,5,5,1,0.21
79884,79882,5,5,1,0.14
79885,79886,5,5,1,0.26
79885,258803,5,5,1,0.424
79886,261823,5,5,1,0.342
79887,77531,5,5,1,0.056
79887,79884,5,5,1,0.175
79887,258803,5,5,1,0.47
80035,252033,5,5,1,0.132
81129,82923,5,5,1,0.826
81265,126148,5,5,1,0.221
82553,232196,5,5,1,0.13
82556,82553,5,5,1,0.256
82556,232196,5,5,1,0.383
82560,232194,5,5,1,0.325
82923,148396,5,5,1,0.203
83143,83145,5,5,1,0.291
83144,92787,5,5,1,0.17
83145,83144,5,5,2,0.231
83352,53427,5,5,1,0.16
83352,261960,5,5,1,0.237
83535,83537,5,5,1,0.403
83536,258531,5,5,1,0.371
83537,83539,5,5,1,0.314
83538,83536,5,5,1,0.274
83538,180873,5,5,1,0.23
83539,83541,5,5,1,0.143
83539,176597,5,5,1,0.184
83540,83538,5,5,1,0.256
83541,83543,5,5,1,0.236
83541,243796,5,5,2,0.403
83542,176597,5,5,2,0.338
83543,83544,5,5,1,0.266
83544,73764,5,5,1,0.345
83566,113881,5,5,3,1.058
83566,151038,5,5,1,0.277
84648,99574,5,5,1,0.237
84649,84650,5,5,1,0.248
84650,84653,5,5,1,0.142
84651,84648,5,5,1,0.182
84652,84651,5,5,1,0.169
84653,84655,5,5,1,0.207
84654,84652,5,5,1,0.208
84655,218551,5,5,1,0.154
89591,60660,5,5,1,0.154
89669,89671,5,5,1,0.245
89670,89675,5,5,1,0.267
89671,89681,5,5,1,0.181
89672,89670,5,5,1,0.243
89673,89676,5,5,1,0.216
89673,134220,5,5,1,0.309
89674,252035,5,5,1,0.272
89675,89674,5,5,1,0.152
89676,89669,5,5,1,0.198
89680,89672,5,5,1,0.154
89681,60763,5,5,1,0.221
90056,151223,5,5,1,0.281
90076,256487,5,5,1,0.475
90079,121625,5,5,1,0.304
91609,91614,5,5,2,0.271
91609,91615,5,5,1,0.341
91610,73788,5,5,1,0.417
91610,101290,5,5,1,0.216
91610,216473,5,5,1,0.452
91613,60760,5,5,1,0.109
91613,260826,5,5,1,0.237
91614,91613,5,5,1,0.152
91615,60760,5,5,1,0.09
91615,260826,5,5,1,0.295
91616,91610,5,5,1,0.144
91616,91614,5,5,1,0.043
92787,92789,5,5,2,0.359
92788,83143,5,5,1,0.126
92789,123521,5,5,2,0.207
93225,202957,5,5,1,0.181
94394,247191,5,5,1,0.181
94395,94402,5,5,1,0.143
94397,100980,5,5,1,0.315
94398,151039,5,5,2,0.611
94399,94394,5,5,1,0.42
94400,94401,5,5,1,0.592
94400,102852,5,5,2,0.683
94401,94399,5,5,1,0.303
94402,161815,5,5,2,0.642
94403,247191,5,5,1,0.197
95514,187485,5,5,1,0.171
95514,226359,5,5,1,0.215
95521,95523,5,5,1,0.211
95523,128682,5,5,1,0.244
95900,95902,5,5,1,0.328
95901,95900,5,5,1,0.097
95901,109630,5,5,1,0.149
95901,127796,5,5,1,0.689
95902,206764,5,5,1,0.295
95903,105563,5,5,1,0.251
96961,96962,5,5,1,0.358
96961,116432,5,5,1,0.268
96962,96963,5,5,1,0.158
96962,150233,5,5,7,4.073
96963,66474,5,5,5,0.736
96963,151372,5,5,1,0.346
96964,116433,5,5,1,0.43
96964,130763,5,5,2,0.555
96964,223337,5,5,2,0.41
99573,84649,5,5,1,0.222
99574,161815,5,5,1,0.409
99586,28846,5,5,1,0.326
99586,68548,5,5,7,3.236
99586,199911,5,5,1,0.351
99591,229126,5,5,1,0.267
99591,229131,5,5,1,0.28
100980,94398,5,5,1,0.288
101283,101288,5,5,1,0.185
101284,199804,5,5,1,0.214
101286,101284,5,5,1,0.191
101287,101289,5,5,1,0.21
101288,101287,5,5,1,0.141
101289,91615,5,5,1,0.291
101290,143179,5,5,1,0.241
101336,261961,5,5,1,0.421
101337,101338,5,5,1,0.416
101338,52745,5,5,1,0.37
102851,151039,5,5,3,0.641
102852,141124,5,5,1,0.227
103615,103616,5,5,1,0.393
103617,103621,5,5,1,0.539
103620,55450,5,5,1,0.408
103621,103620,5,5,1,0.509
104020,133384,5,5,1,0.174
104021,104027,5,5,1,0.273
104022,46638,5,5,1,0.298
104022,104021,5,5,1,0.201
104022,113881,5,5,2,0.197
104023,104022,5,5,1,0.121
104023,171540,5,5,1,0.185
104024,104020,5,5,1,0.133
104024,104023,5,5,1,0.061
104024,171539,5,5,1,0.252
104025,104022,5,5,2,0.37
104025,104023,5,5,1,0.248
104026,104024,5,5,1,0.255
104027,143411,5,5,1,0.258
104827,143405,5,5,1,0.223
104828,218549,5,5,2,0.432
104828,219444,5,5,2,0.343
104829,113883,5,5,2,0.207
104848,60402,5,5,5,0.138
104848,256491,5,5,1,0.415
105563,168751,5,5,1,0.239
105811,251887,5,5,2,0.385
105811,251888,5,5,1,0.384
106060,63838,5,5,1,0.24
106060,149984,5,5,1,0.255
106060,236035,5,5,1,0.181
106426,60663,5,5,1,0.141
106622,106625,5,5,1,0.278
106623,106628,5,5,1,0.222
106624,106623,5,5,1,0.276
106625,106631,5,5,1,0.245
106626,106627,5,5,1,0.387
106627,135980,5,5,1,0.243
106627,176594,5,5,1,0.203
106628,128319,5,5,1,0.183
106628,135976,5,5,1,0.153
106629,106622,5,5,1,0.204
106630,106624,5,5,1,0.244
106631,116431,5,5,1,0.276
106722,130507,5,5,1,0.233
106872,60762,5,5,1,0.236
108327,170689,5,5,1,0.449
108327,170690,5,5,1,0.425
109630,54904,5,5,1,0.317
109630,95900,5,5,1,0.223
109630,127796,5,5,1,0.591
109630,171543,5,5,8,2.436
109630,176597,5,5,4,1.351
109630,231518,5,5,2,0.984
109690,133390,5,5,1,0.108
110857,120770,5,5,1,0.277
110858,76902,5,5,1,0.256
110858,181345,5,5,1,0.304
110861,200658,5,5,1,0.279
113881,104023,5,5,1,0.172
113881,104024,5,5,1,0.117
113881,161814,5,5,1,0.345
113881,171539,5,5,2,0.353
113881,171540,5,5,1,0.348
113882,84654,5,5,1,0.148
113883,137034,5,5,1,0.17
113884,113886,5,5,1,0.255
113885,113883,5,5,1,0.39
113886,46638,5,5,1,0.202
115095,140270,5,5,2,0.63
115095,214019,5,5,1,0.546
116429,116430,5,5,1,0.233
