"ori_node","des_node","ori_layer","des_layer","minutes","km"
4514,18634,2,2,4,3.363
18634,4514,2,2,2,3.363
18634,24218,2,2,6,4.734
18634,24270,2,2,4,3.288
24218,18634,2,2,6,4.734
24270,18634,2,2,4,3.288
24270,44066,2,2,2,2.021
44066,24270,2,2,3,2.021
43,24905,5,5,1,1.039
43,25626,5,5,1,0.268
313,32930,5,5,1,0.422
313,150505,5,5,1,0.305
637,13980,5,5,1,0.195
637,15045,5,5,1,0.529
637,22055,5,5,1,0.235
637,84533,5,5,1,0.172
970,1490,5,5,1,0.629
970,3358,5,5,9,3.851
1490,970,5,5,1,0.629
1490,13488,5,5,1,0.624
1549,24672,5,5,1,0.215
1549,51482,5,5,1,0.412
1605,41373,5,5,1,0.573
2016,48632,5,5,1,0.461
2016,58175,5,5,1,0.299
2016,146212,5,5,1,0.207
2184,18634,5,5,1,0.515
2184,42811,5,5,1,0.802
2954,17159,5,5,1,0.896
2954,39847,5,5,1,0.572
2954,245984,5,5,1,1.021
3358,36281,5,5,1,0.174
3358,39847,5,5,1,0.517
3358,105838,5,5,1,0.524
3358,243974,5,5,1,0.283
4255,49606,5,5,7,1.431
4255,259218,5,5,5,0.478
4260,24218,5,5,2,1.546
4260,28463,5,5,2,0.787
4514,4514,5,5,1,0
4514,9005,5,5,1,0.655
4514,31041,5,5,2,2.299
4514,200374,5,5,1,0.732
5433,15160,5,5,1,0.266
5433,18292,5,5,1,0.34
5433,43355,5,5,1,0.642
6265,13488,5,5,1,0.669
6265,39023,5,5,3,1.319
6466,14574,5,5,1,0.417
6466,49912,5,5,1,0.311
7024,9003,5,5,1,0.36
7024,19484,5,5,1,0.583
7433,33360,5,5,1,0.278
7433,35733,5,5,1,0.207
7732,8766,5,5,1,0.272
7732,30397,5,5,1,0.265
7804,4514,5,5,2,0.849
7804,13626,5,5,1,0.351
8766,7732,5,5,1,0.272
8766,48686,5,5,1,0.321
9001,19486,5,5,1,0.348
9002,9003,5,5,1,0.355
9002,126692,5,5,1,0.475
9003,7024,5,5,1,0.36
9003,9002,5,5,1,0.355
9003,235373,5,5,2,0.927
9005,4514,5,5,1,0.655
9005,7804,5,5,1,0.495
9005,9006,5,5,1,0.333
9006,9005,5,5,1,0.333
9006,47698,5,5,1,0.271
9253,12485,5,5,1,0.21
9253,34685,5,5,1,0.448
9253,49912,5,5,1,0.349
10219,15984,5,5,1,0.331
10219,29572,5,5,1,0.278
10219,44467,5,5,1,0.649
10680,15717,5,5,1,0.681
10680,31042,5,5,1,0.268
10680,34918,5,5,1,0.323
11171,15045,5,5,1,0.359
11171,31509,5,5,1,0.387
11444,14893,5,5,2,0.95
11444,25032,5,5,1,0.517
11444,165861,5,5,1,1.106
11444,170469,5,5,1,0.729
11494,18292,5,5,1,0.258
11494,29572,5,5,1,0.347
11747,15160,5,5,1,0.192
11747,150505,5,5,1,0.388
11906,31041,5,5,3,0.768
11906,31043,5,5,1,0.714
12485,9253,5,5,1,0.21
12485,34685,5,5,1,0.251
12912,15662,5,5,1,0.239
12912,34685,5,5,1,0.244
13022,27326,5,5,1,0.263
13022,49022,5,5,1,0.303
13488,1490,5,5,1,0.624
13488,6265,5,5,1,0.669
13496,23952,5,5,1,0.258
13496,50153,5,5,1,0.345
13626,7804,5,5,1,0.351
13626,25346,5,5,1,0.721
13980,29537,5,5,1,0.266
13980,84533,5,5,1,0.201
14574,6466,5,5,1,0.417
14574,34462,5,5,1,0.233
14574,44066,5,5,10,2.303
14574,259218,5,5,15,3.867
14893,11444,5,5,1,0.95
14893,43908,5,5,1,0.406
15045,637,5,5,1,0.529
15045,11171,5,5,1,0.359
15045,18503,5,5,1,0.209
15045,41291,5,5,1,0.246
15045,49256,5,5,1,0.278
15045,101934,5,5,1,0.394
15160,5433,5,5,1,0.266
15160,11747,5,5,1,0.192
15460,16985,5,5,1,0.41
15460,25032,5,5,1,0.481
15662,12912,5,5,1,0.239
15662,23095,5,5,1,0.084
15662,45592,5,5,1,0.362
15717,10680,5,5,2,0.681
15717,24218,5,5,2,0.891
15834,21078,5,5,1,0.329
15834,51047,5,5,1,0.286
15984,10219,5,5,1,0.331
15984,23952,5,5,1,0.347
16688,29297,5,5,1,0.24
16688,31035,5,5,1,0.448
16918,17571,5,5,1,0.662
16918,20106,5,5,1,0.339
16918,24905,5,5,1,0.853
16918,91247,5,5,1,0.203
16985,15460,5,5,1,0.41
16985,24336,5,5,1,0.642
16985,27670,5,5,1,0.255
17159,2954,5,5,1,0.896
17159,25626,5,5,1,0.498
17571,16918,5,5,1,0.662
17571,84196,5,5,1,0.463
17571,220486,5,5,1,0.239
17848,51482,5,5,1,0.151
17848,55695,5,5,1,0.697
17848,186596,5,5,3,0.621
17865,23095,5,5,1,0.37
17865,32036,5,5,1,0.227
18276,28723,5,5,1,0.36
18276,30468,5,5,1,0.36
18292,5433,5,5,1,0.34
18292,11494,5,5,1,0.258
18503,15045,5,5,1,0.209
18503,102700,5,5,1,0.242
18634,2184,5,5,1,0.515
18634,34580,5,5,1,0.526
18677,36184,5,5,1,0.396
18677,48079,5,5,1,0.387
18677,49606,5,5,2,2.187
18854,34023,5,5,1,0.452
18854,48686,5,5,1,0.097
18854,87362,5,5,1,0.38
18854,178721,5,5,1,0.165
18854,181388,5,5,1,0.39
19484,7024,5,5,1,0.583
19484,19486,5,5,1,0.468
19486,9001,5,5,1,0.348
19486,19484,5,5,1,0.468
19500,19505,5,5,1,0.436
19500,25346,5,5,1,0.271
19505,19500,5,5,2,0.436
19505,40340,5,5,1,0.313
20106,16918,5,5,1,0.339
20106,29297,5,5,1,0.296
20754,29882,5,5,1,0.189
20754,31385,5,5,1,0.151
20868,24218,5,5,2,1.218
21078,15834,5,5,1,0.329
21078,35733,5,5,1,0.277
22055,637,5,5,1,0.235
22055,44066,5,5,2,1.017
22055,49606,5,5,1,0.341
22055,65715,5,5,1,0.62
23095,17865,5,5,1,0.37
23095,45592,5,5,1,0.325
23319,44066,5,5,1,0.648
23319,45592,5,5,1,0.417
23952,13496,5,5,1,0.258
23952,15984,5,5,1,0.347
24053,27670,5,5,1,0.354
24053,35619,5,5,1,0.227
24218,4260,5,5,2,1.546
24218,15717,5,5,3,0.891
24218,20868,5,5,1,1.218
24218,24218,5,5,1,0
24218,27343,5,5,1,0.645
24218,49967,5,5,3,1.717
24270,24270,5,5,1,0
24270,49606,5,5,1,0.825
24270,49860,5,5,1,0.498
24336,16985,5,5,1,0.642
24336,51047,5,5,1,0.475
24336,184987,5,5,1,0.592
24414,30498,5,5,1,0.517
24414,161624,5,5,1,0.179
24672,1549,5,5,1,0.215
24672,32930,5,5,1,0.33
24672,45860,5,5,1,0.41
24905,43,5,5,1,1.039
24905,16918,5,5,1,0.853
25032,11444,5,5,1,0.517
25032,15460,5,5,1,0.481
25346,13626,5,5,2,0.721
25346,19500,5,5,1,0.271
25626,43,5,5,1,0.268
25626,17159,5,5,1,0.498
26679,44066,5,5,1,0.556
26679,55695,5,5,2,0.472
27326,13022,5,5,1,0.263
27326,101687,5,5,1,0.204
27343,24218,5,5,3,0.645
27343,28463,5,5,1,0.155
27670,16985,5,5,1,0.255
27670,24053,5,5,1,0.354
28463,4260,5,5,4,0.787
28463,24218,5,5,1,0.786
28463,27343,5,5,2,0.155
28723,18276,5,5,1,0.36
28723,50855,5,5,1,0.29
29297,16688,5,5,1,0.24
29297,20106,5,5,1,0.296
29537,13980,5,5,1,0.266
29537,65715,5,5,1,0.363
29572,10219,5,5,1,0.278
29572,11494,5,5,1,0.347
