"ori_node","des_node","ori_layer","des_layer","minutes","km"
11571,19398,2,2,3,2.807
11571,28135,2,2,5,4.23
19398,11571,2,2,5,2.807
19398,28135,2,2,3,1.438
26107,28135,2,2,2,1.266
28135,11571,2,2,10,4.23
28135,19398,2,2,2,1.438
28135,26107,2,2,1,1.266
5590,28135,4,4,15,4.915
28135,5590,4,4,15,4.915
23,24,5,5,1,0.261
23,35,5,5,1,0.337
24,23,5,5,1,0.261
24,7426,5,5,1,0.183
28,29,5,5,1,0.172
28,11594,5,5,1,0.19
29,28,5,5,1,0.172
29,30,5,5,1,0.199
29,5199,5,5,1,0.229
29,230616,5,5,1,0.222
30,29,5,5,1,0.199
30,215,5,5,1,0.15
32,33,5,5,1,0.18
32,215,5,5,1,0.23
33,32,5,5,1,0.18
33,34,5,5,1,0.332
33,45675,5,5,1,0.291
33,46808,5,5,1,0.207
34,763,5,5,1,0.3
34,119415,5,5,1,0.219
35,23,5,5,1,0.337
35,22211,5,5,1,0.073
75,5199,5,5,1,0.191
75,29219,5,5,1,0.136
148,19426,5,5,1,0.293
148,43156,5,5,1,0.418
215,30,5,5,1,0.15
215,32,5,5,1,0.23
304,18253,5,5,1,0.232
304,100515,5,5,1,0.152
452,453,5,5,1,0.2
452,455,5,5,1,0.293
452,24133,5,5,1,0.116
452,90434,5,5,1,0.306
453,452,5,5,1,0.2
453,2703,5,5,1,0.309
454,455,5,5,1,0.26
454,31363,5,5,1,0.112
455,452,5,5,1,0.293
455,454,5,5,1,0.26
469,19534,5,5,1,0.35
469,23865,5,5,1,0.214
483,485,5,5,1,0.248
485,483,5,5,2,0.248
485,31960,5,5,1,0.185
627,27895,5,5,1,0.484
629,3699,5,5,1,0.171
629,37221,5,5,1,0.297
763,34,5,5,1,0.3
763,13233,5,5,1,0.29
763,32440,5,5,1,0.29
763,35742,5,5,1,0.332
763,154308,5,5,1,0.575
1156,304,5,5,1,0.391
1156,12697,5,5,1,0.29
1263,1283,5,5,1,0.1
1263,24133,5,5,1,0.106
1283,1263,5,5,1,0.1
1283,1285,5,5,1,0.118
1285,1283,5,5,1,0.118
1285,173935,5,5,1,0.145
2052,4043,5,5,1,0.149
2052,48816,5,5,1,0.244
2304,19398,5,5,2,0.532
