"ori_node","des_node","ori_layer","des_layer","minutes","km"
7585,13471,2,2,7,8.735
13471,7585,2,2,6,8.735
13471,49781,2,2,2,1.571
49781,13471,2,2,3,1.571
7585,7585,5,5,1,0
7585,82792,5,5,1,0.385
7585,147678,5,5,1,0.259
7585,147681,5,5,1,0.332
7585,208111,5,5,1,0.358
13471,13471,5,5,1,0
13471,52499,5,5,1,0.713
13471,69811,5,5,1,0.307
13471,80784,5,5,1,0.727
13471,157474,5,5,6,0.352
13471,164792,5,5,1,0.664
13471,181796,5,5,2,0.256
13471,181797,5,5,3,0.27
13471,181798,5,5,1,0.261
13471,181799,5,5,1,0.279
13471,181801,5,5,1,0.272
13471,181803,5,5,2,0.285
13471,201923,5,5,3,0.282
13471,205592,5,5,1,0.63
13471,230481,5,5,2,0.296
13471,230485,5,5,1,0.279
13471,233437,5,5,4,0.712
13471,245460,5,5,5,1.262
13471,258393,5,5,1,0.293
49781,49781,5,5,1,0
49781,253424,5,5,1,0.339
52136,135538,5,5,1,0.4
52497,52500,5,5,1,0.362
52497,249462,5,5,1,0.679
52499,52498,5,5,1,0.442
52500,13471,5,5,2,0.704
52500,52501,5,5,1,0.025
52500,181797,5,5,3,0.593
52500,181798,5,5,2,0.568
52500,181799,5,5,2,0.583
52500,181802,5,5,2,0.581
52500,181804,5,5,2,0.586
52500,201923,5,5,2,0.584
52500,249462,5,5,1,0.339
52500,253420,5,5,2,0.572
52501,253420,5,5,1,0.553
53491,114736,5,5,2,0.348
53491,222577,5,5,1,0.33
55637,164789,5,5,1,0.504
55986,82792,5,5,1,0.215
55996,96885,5,5,1,0.304
55997,55996,5,5,1,0.234
55998,157577,5,5,1,0.388
56288,257378,5,5,1,0.349
57459,157578,5,5,1,0.188
57462,137718,5,5,1,0.452
58153,157477,5,5,1,0.079
58155,58156,5,5,1,0.185
58156,259326,5,5,1,0.322
58157,58158,5,5,1,0.178
58157,58160,5,5,1,0.309
58158,127396,5,5,1,0.322
58158,204546,5,5,1,0.357
58159,58157,5,5,1,0.182
58160,137328,5,5,1,0.247
58160,168796,5,5,1,0.304
58161,244268,5,5,1,0.267
58162,67841,5,5,1,0.407
58163,58159,5,5,3,0.624
58164,58159,5,5,1,0.224
58164,67841,5,5,1,0.239
58164,139857,5,5,3,1.067
60089,80574,5,5,1,0.683
60091,55998,5,5,1,0.316
60092,137712,5,5,1,0.165
65214,118134,5,5,2,0.319
65215,204547,5,5,1,0.302
65216,98530,5,5,1,0.324
65216,201969,5,5,1,0.331
65217,127757,5,5,1,0.174
65218,106257,5,5,1,0.368
65219,108287,5,5,1,0.088
65220,118135,5,5,1,0.129
65221,259323,5,5,1,0.166
67001,186834,5,5,2,1.074
67001,186835,5,5,2,0.47
67839,259328,5,5,1,0.075
67841,58163,5,5,2,0.275
67841,58164,5,5,2,0.239
67841,92042,5,5,2,0.219
67841,118133,5,5,1,0.447
67841,208669,5,5,1,0.34
67841,244268,5,5,1,0.051
67843,67841,5,5,1,0.171
67845,127754,5,5,1,0.253
