"ori_node","des_node","ori_layer","des_layer","minutes","km"
1943,11186,2,2,3,0.914
11186,1943,2,2,3,0.914
11186,28204,2,2,2,1.667
18547,28204,2,2,3,2.79
28204,11186,2,2,2,1.667
28204,18547,2,2,4,2.79
1943,22180,4,4,5,0.947
10999,22180,4,4,15,5.873
10999,33682,4,4,7,1.319
11186,1943,4,4,5,0.914
11186,18583,4,4,3,0.879
18583,11186,4,4,3,0.879
22180,10999,4,4,5,5.873
22180,11186,4,4,5,1.753
22180,33682,4,4,10,7.187
33682,10999,4,4,5,1.319
33682,22180,4,4,5,7.187
1943,1943,5,5,1,0
1943,5363,5,5,3,0.641
1943,22180,5,5,1,0.947
1943,71228,5,5,1,0.543
1943,80913,5,5,1,0.352
1943,85870,5,5,2,0.451
1943,126190,5,5,1,0.254
1943,129918,5,5,2,0.515
1943,163890,5,5,1,0.387
1943,199387,5,5,1,0.31
1943,249928,5,5,1,0.32
5363,1943,5,5,1,0.641
5363,5363,5,5,1,0
5363,22180,5,5,1,0.67
5363,57026,5,5,1,0.237
5363,120035,5,5,1,0.392
5363,131149,5,5,1,0.26
5363,199387,5,5,1,0.342
5363,234796,5,5,1,0.177
5363,244736,5,5,1,0.317
10999,33682,5,5,2,1.319
10999,53468,5,5,6,4.595
10999,76209,5,5,1,0.23
10999,254511,5,5,1,0.345
11186,11186,5,5,1,0
11186,53698,5,5,1,0.8
11186,63161,5,5,1,0.41
11186,63162,5,5,1,0.41
11186,95696,5,5,1,0.547
11186,161087,5,5,1,0.254
11186,227062,5,5,1,0.326
12072,12074,5,5,1,0.143
12072,64784,5,5,1,0.136
12072,80907,5,5,1,0.292
12072,244895,5,5,1,0.395
12074,12072,5,5,1,0.143
12074,12074,5,5,1,0
12074,113419,5,5,1,0.377
12074,158910,5,5,1,0.385
12074,257863,5,5,1,0.352
14573,169931,5,5,1,0.227
14573,169934,5,5,1,0.338
14573,191088,5,5,1,0.257
14573,244897,5,5,1,0.283
16456,98777,5,5,1,0.193
16456,108530,5,5,1,0.22
16456,195098,5,5,1,0.218
18547,24389,5,5,7,2.895
18547,28204,5,5,4,2.79
18547,72674,5,5,1,0.636
18547,89189,5,5,1,0.528
18547,98822,5,5,5,4.373
18547,126891,5,5,1,0.365
18547,160348,5,5,3,2.232
18547,244628,5,5,1,0.675
18547,244635,5,5,2,1.338
18583,63160,5,5,1,0.162
22180,1943,5,5,4,0.947
22180,5363,5,5,1,0.67
22180,22180,5,5,1,0
22180,57028,5,5,1,0.359
22180,66648,5,5,1,1.372
22180,80915,5,5,1,0.694
22180,118390,5,5,1,0.498
22180,118391,5,5,1,0.408
22180,143651,5,5,1,0.411
22180,155761,5,5,1,0.799
22180,155798,5,5,1,0.772
22180,199387,5,5,1,0.711
22180,210635,5,5,1,0.805
22928,55172,5,5,1,0.46
22928,64781,5,5,1,0.195
22928,64995,5,5,1,0.231
22928,93949,5,5,1,0.279
24389,24389,5,5,1,0
24389,98775,5,5,1,0.217
24389,103376,5,5,1,0.314
24389,132956,5,5,1,0.229
24389,178130,5,5,1,0.216
28204,18547,5,5,5,2.79
28204,28204,5,5,1,0
28204,92238,5,5,1,0.566
28204,192578,5,5,2,0.998
28204,215231,5,5,7,2.038
28204,223887,5,5,1,0.487
28204,237396,5,5,1,0.687
28204,244630,5,5,1,0.415
28204,258118,5,5,1,0.558
33682,10999,5,5,3,1.319
33682,72678,5,5,1,0.306
33682,117550,5,5,1,0.322
33682,148794,5,5,3,1.867
33682,170091,5,5,1,0.42
33682,185383,5,5,1,0.147
33682,199382,5,5,1,0.194
51912,163890,5,5,1,0.291
51912,252842,5,5,1,0.111
51912,252843,5,5,1,0.246
51913,51912,5,5,1,0.229
51913,252842,5,5,1,0.338
53467,22180,5,5,1,0.396
53468,22180,5,5,2,1.277
53468,53470,5,5,1,0.565
53468,53471,5,5,1,0.321
53469,53468,5,5,1,0.222
53470,53467,5,5,1,0.318
53471,53470,5,5,1,0.244
53474,53469,5,5,1,0.206
53474,63881,5,5,1,0.212
53541,228416,5,5,1,0.195
53693,53694,5,5,1,0.201
53694,235045,5,5,1,0.253
53698,71391,5,5,1,0.148
53698,252842,5,5,1,0.148
53700,53701,5,5,1,0.202
53701,53702,5,5,1,0.248
53701,254772,5,5,1,0.199
53702,53693,5,5,1,0.356
55172,64783,5,5,1,0.304
55173,55174,5,5,1,0.228
55173,75946,5,5,1,0.334
55174,22928,5,5,1,0.228
55174,55173,5,5,1,0.228
55175,227065,5,5,1,0.376
56776,56777,5,5,1,0.266
56777,63245,5,5,1,0.132
56781,56783,5,5,1,0.148
56782,235992,5,5,1,0.307
56783,56784,5,5,1,0.23
56784,142185,5,5,1,0.353
56907,137209,5,5,1,0.209
57026,5363,5,5,1,0.237
57026,61883,5,5,1,0.237
57028,57029,5,5,1,0.294
57028,164563,5,5,1,0.32
57029,199386,5,5,1,0.292
58067,136024,5,5,1,0.315
58067,175061,5,5,1,0.132
58645,71138,5,5,1,0.264
59942,102502,5,5,1,0.306
59948,105720,5,5,1,0.396
59948,129626,5,5,2,0.376
59948,240983,5,5,1,0.474
59948,248311,5,5,1,0.116
59949,59948,5,5,1,0.192
59952,102509,5,5,1,0.167
59952,213946,5,5,1,0.128
59953,59952,5,5,1,0.18
59954,87277,5,5,1,0.19
59954,129960,5,5,1,0.325
59955,77578,5,5,1,0.438
59955,160507,5,5,1,0.184
59955,218075,5,5,1,0.283
60265,76218,5,5,1,0.387
60266,60265,5,5,1,0.366
60267,60266,5,5,1,0.433
60268,139494,5,5,1,0.316
60269,103596,5,5,1,0.719
60269,114848,5,5,1,0.319
60269,114850,5,5,1,0.06
60270,60269,5,5,1,0.096
60270,114850,5,5,1,0.124
60271,60270,5,5,1,0.215
60272,60271,5,5,1,0.288
60272,116481,5,5,1,0.186
60273,60272,5,5,1,0.244
60274,60273,5,5,1,0.28
60336,238124,5,5,1,0.198
61883,58645,5,5,1,0.077
61886,1943,5,5,2,0.353
61886,105969,5,5,1,0.245
61939,140526,5,5,1,0.839
61940,98822,5,5,1,1.263
61942,61943,5,5,1,0.474
61942,69149,5,5,1,1.09
61942,98823,5,5,2,0.591
61943,61942,5,5,2,0.474
61943,98823,5,5,1,0.118
61944,128113,5,5,1,0.619
63160,63161,5,5,2,0.819
63160,63162,5,5,1,0.329
63160,84258,5,5,1,0.333
63161,63164,5,5,1,0.172
63162,11186,5,5,1,0.41
63162,84259,5,5,1,0.221
