"ori_node","des_node","ori_layer","des_layer","minutes","km"
18926,199501,2,2,3,2.214
19320,30704,2,2,2,1.087
19320,199501,2,2,4,3.096
30704,19320,2,2,2,1.087
199501,18926,2,2,3,2.214
199501,19320,2,2,4,3.096
18926,139919,5,5,10,1.867
18926,169785,5,5,1,0.255
18926,169787,5,5,2,0.956
19320,19320,5,5,1,0
19320,104754,5,5,1,0.496
19320,114674,5,5,1,1.082
19320,114675,5,5,1,0.829
19320,124286,5,5,1,0.72
19320,172631,5,5,4,3.6
19320,198295,5,5,1,0.278
30704,30704,5,5,1,0
30704,88152,5,5,1,0.379
30704,94511,5,5,1,0.62
30704,136451,5,5,1,0.476
54736,54737,5,5,1,0.367
54737,231232,5,5,5,2.211
55832,82778,5,5,1,0.131
55832,104222,5,5,5,2.639
55832,259245,5,5,1,0.244
56465,114024,5,5,2,0.675
56466,114026,5,5,1,0.679
56467,111938,5,5,2,1.299
56467,180803,5,5,2,0.874
56468,56465,5,5,1,0.741
56470,56468,5,5,3,0.883
56470,56472,5,5,1,0.697
56471,56470,5,5,1,0.855
56471,104222,5,5,5,2.796
56471,180800,5,5,2,0.885
56472,109249,5,5,4,2.169
56474,81864,5,5,1,0.206
56474,130018,5,5,1,0.608
57452,140418,5,5,4,2.011
57452,183300,5,5,1,1.352
57452,256270,5,5,3,1.736
57453,130022,5,5,1,0.217
57458,109246,5,5,1,0.86
57458,130023,5,5,1,0.729
57806,57807,5,5,1,0.813
57806,133488,5,5,3,1.855
57807,64362,5,5,1,0.6
64360,241006,5,5,4,2.21
64361,57806,5,5,2,0.815
64362,64360,5,5,4,2.15
66105,57453,5,5,1,0.183
66105,189297,5,5,1,0.118
66107,57458,5,5,1,0.181
66107,116408,5,5,3,1.687
66107,217317,5,5,2,1.554
66860,124292,5,5,1,0.371
67763,208033,5,5,1,0.176
67764,77375,5,5,3,0.476
69313,95117,5,5,6,2.189
69313,114671,5,5,1,1.221
70511,94513,5,5,1,0.458
70523,56466,5,5,1,0.391
75780,176005,5,5,1,0.397
75780,200319,5,5,1,0.392
77370,77378,5,5,1,0.413
77371,139920,5,5,1,0.34
77372,77371,5,5,1,0.21
77373,77372,5,5,1,0.322
77373,170626,5,5,1,0.072
