"ori_node","des_node","ori_layer","des_layer","minutes","km"
11374,50803,2,2,5,7.506
50803,11374,2,2,5,7.506
577,51509,5,5,4,0.921
3020,35427,5,5,1,0.45
3020,35428,5,5,1,0.591
5094,11376,5,5,1,0.742
5094,56954,5,5,5,3.275
5094,148658,5,5,4,1.846
5094,191649,5,5,6,1.933
5636,5637,5,5,1,0.341
5636,37277,5,5,1,0.821
5637,5636,5,5,1,0.341
5637,36308,5,5,1,0.342
5642,26056,5,5,1,0.201
5642,33424,5,5,1,0.161
5645,33424,5,5,1,0.511
5645,35427,5,5,1,0.485
6916,13790,5,5,4,1.498
11374,11374,5,5,1,0
11374,32530,5,5,3,4.258
11374,36697,5,5,1,0.763
11374,36699,5,5,1,0.634
11374,38120,5,5,3,3.95
11374,48287,5,5,2,1.732
11374,51508,5,5,1,0.514
11374,56954,5,5,6,4.239
11374,191648,5,5,11,3.805
11376,5094,5,5,1,0.742
11376,24443,5,5,1,0.97
11376,45067,5,5,3,2.233
12244,36308,5,5,1,0.153
12244,45067,5,5,2,0.258
13790,6916,5,5,2,1.498
13790,13793,5,5,2,0.959
13793,13790,5,5,2,0.959
13793,36767,5,5,5,2.977
13793,180856,5,5,7,3.465
19143,19143,5,5,1,0
19143,48287,5,5,1,0.432
19143,51506,5,5,1,0.451
19143,219619,5,5,1,0.573
20893,20893,5,5,1,0
20893,43274,5,5,2,2.197
20893,51512,5,5,1,0.603
20893,91307,5,5,1,0.592
20893,97350,5,5,1,0.804
20893,106646,5,5,1,0.299
21258,25960,5,5,1,0.688
21258,51505,5,5,1,0.305
21258,51513,5,5,1,0.275
21258,204251,5,5,1,0.205
24152,38118,5,5,1,0.231
24152,51509,5,5,1,0.798
24152,51510,5,5,2,1.22
24443,11376,5,5,1,0.97
24443,45067,5,5,1,1.273
25960,21258,5,5,1,0.688
25960,131679,5,5,1,1.142
25960,204251,5,5,1,0.492
26056,5642,5,5,1,0.201
26056,51507,5,5,1,1.07
32530,38121,5,5,1,0.305
32530,56954,5,5,1,0.277
32530,145276,5,5,1,0.05
32972,43274,5,5,1,0.888
33424,5642,5,5,1,0.161
33424,5645,5,5,1,0.511
33424,26056,5,5,1,0.363
35427,3020,5,5,1,0.45
35427,5645,5,5,1,0.485
35428,3020,5,5,1,0.591
35428,217806,5,5,1,0.412
36308,5637,5,5,1,0.342
36308,45067,5,5,2,0.41
36308,51510,5,5,1,0.44
36697,11374,5,5,1,0.763
36697,36699,5,5,1,0.145
36699,11374,5,5,1,0.634
36699,36697,5,5,1,0.145
36767,13793,5,5,5,2.977
36767,39224,5,5,3,3.974
36767,49698,5,5,1,0.374
37277,5636,5,5,1,0.821
37277,51505,5,5,1,1.127
38118,24152,5,5,1,0.231
38118,38121,5,5,1,0.448
38118,56954,5,5,1,0.45
38120,11374,5,5,5,3.95
38120,32530,5,5,1,0.471
38120,38121,5,5,1,0.266
38120,56954,5,5,1,0.302
38120,142596,5,5,1,0.294
38121,32530,5,5,1,0.305
38121,38118,5,5,1,0.448
38121,38120,5,5,1,0.266
38121,56954,5,5,1,0.039
39224,36767,5,5,3,3.974
39224,131173,5,5,1,0.166
39224,160152,5,5,1,0.22
41675,233330,5,5,1,0.327
43274,20893,5,5,2,2.197
43274,32972,5,5,1,0.888
45067,5094,5,5,4,2.809
45067,12244,5,5,1,0.258
45067,24443,5,5,1,1.273
48267,60074,5,5,1,0.536
48287,11374,5,5,1,1.732
48287,19143,5,5,1,0.432
49698,36767,5,5,1,0.374
49698,54948,5,5,4,2.343
50135,56479,5,5,1,0.231
50135,120325,5,5,1,0.355
50135,257117,5,5,1,0.271
50803,50803,5,5,1,0
50803,96300,5,5,1,0.623
50803,130372,5,5,1,0.587
50803,132994,5,5,1,0.288
50803,135996,5,5,1,0.275
50803,173949,5,5,2,0.508
50803,193998,5,5,1,0.334
50803,224744,5,5,1,0.309
51505,21258,5,5,1,0.305
51505,37277,5,5,1,1.127
51506,19143,5,5,1,0.451
51506,48287,5,5,2,0.868
51506,51507,5,5,1,0.361
51507,26056,5,5,1,1.07
51507,51506,5,5,1,0.361
51508,11374,5,5,1,0.514
51509,577,5,5,4,0.921
51509,24152,5,5,1,0.798
51509,45067,5,5,2,0.654
51509,51510,5,5,1,0.423
51510,12244,5,5,1,0.342
51510,24152,5,5,1,1.22
51510,36308,5,5,1,0.44
51510,51509,5,5,1,0.423
51512,20893,5,5,1,0.603
51512,51513,5,5,1,0.207
51513,21258,5,5,1,0.275
51513,51512,5,5,1,0.207
51513,56954,5,5,11,5.156
52672,132337,5,5,1,0.586
52732,73010,5,5,1,0.168
52732,88499,5,5,1,0.509
52732,88500,5,5,3,0.505
52732,112676,5,5,1,0.341
52732,201529,5,5,1,0.31
52733,242810,5,5,1,0.184
52873,70140,5,5,4,2.869
52873,205389,5,5,3,2.494
52874,60925,5,5,1,0.422
54948,49698,5,5,4,2.343
55120,143677,5,5,1,0.159
55578,63517,5,5,1,0.104
55579,209474,5,5,1,0.241
56479,64520,5,5,1,0.374
56479,68061,5,5,1,0.4
56479,120322,5,5,1,0.132
56479,120324,5,5,1,0.174
56479,120325,5,5,1,0.196
56480,50135,5,5,1,0.222
56480,232847,5,5,1,0.975
56954,5094,5,5,5,3.275
56954,11374,5,5,6,4.239
56954,32530,5,5,1,0.277
56954,38118,5,5,1,0.45
56954,38120,5,5,1,0.302
56954,38121,5,5,1,0.039
56994,173948,5,5,2,0.606
56995,216454,5,5,1,0.252
57355,253197,5,5,1,0.249
57355,260227,5,5,1,0.101
57356,208980,5,5,1,0.182
57987,68062,5,5,1,0.2
57987,90847,5,5,3,1.192
57987,120322,5,5,2,0.504
57987,120327,5,5,3,0.505
57989,260913,5,5,1,0.29
60074,213956,5,5,1,0.204
60075,48267,5,5,1,0.54
60075,120215,5,5,1,0.182
60075,237357,5,5,1,0.112
60925,129376,5,5,1,0.451
60925,185687,5,5,1,0.537
62321,56480,5,5,1,0.175
62321,120323,5,5,1,0.118
62323,231936,5,5,1,0.082
63516,55579,5,5,1,0.196
63517,71523,5,5,1,0.229
63679,103066,5,5,1,0.28
63680,77100,5,5,1,0.305
64520,70369,5,5,1,0.524
64520,224745,5,5,1,0.283
64775,111121,5,5,1,0.268
64979,216453,5,5,1,0.776
64980,193676,5,5,1,0.286
65064,124851,5,5,1,0.231
65065,104012,5,5,1,0.259
65065,121354,5,5,1,0.112
65388,215487,5,5,1,0.11
66889,74705,5,5,1,0.256
68024,123044,5,5,1,0.245
68025,118920,5,5,1,0.258
68061,57989,5,5,1,0.156
68061,84459,5,5,3,1.065
68061,90847,5,5,2,1.111
68061,127944,5,5,3,1.176
68061,228623,5,5,2,0.902
68061,228624,5,5,1,0.915
68062,62321,5,5,1,0.21
68062,95975,5,5,1,0.338
68062,120320,5,5,1,0.345
68062,120321,5,5,2,0.351
68062,120322,5,5,1,0.31
68062,120324,5,5,1,0.297
68323,206876,5,5,1,0.147
68589,210636,5,5,1,0.057
70140,52874,5,5,2,2.899
70140,73092,5,5,2,0.36
70140,219137,5,5,1,0.159
70213,199553,5,5,1,0.216
70368,146612,5,5,1,0.435
70369,232847,5,5,2,0.352
70369,247211,5,5,1,0.337
71301,128620,5,5,1,0.153
71522,63516,5,5,1,0.15
71523,128407,5,5,1,0.152
72543,233331,5,5,1,0.244
72544,260228,5,5,1,0.236
72958,85789,5,5,1,0.225
72959,81166,5,5,1,0.144
73007,88499,5,5,1,0.513
73007,88500,5,5,2,0.501
73007,112676,5,5,1,0.212
73007,201529,5,5,1,0.307
73010,158330,5,5,1,0.315
73092,85357,5,5,1,0.186
73092,160312,5,5,2,0.395
73092,176589,5,5,1,0.208
73220,250003,5,5,1,0.209
73876,178700,5,5,1,0.194
73876,224624,5,5,1,0.368
73877,96069,5,5,1,0.168
74705,73220,5,5,2,0.325
76239,68323,5,5,1,0.099
76549,166150,5,5,1,0.227
76551,130461,5,5,1,0.19
76592,174202,5,5,1,0.151
77100,68024,5,5,1,0.209
77100,132685,5,5,1,0.903
77234,182183,5,5,1,0.113
77402,70140,5,5,2,0.329
77402,97350,5,5,2,0.436
77402,160312,5,5,1,0.208
77550,191105,5,5,1,0.186
78529,247751,5,5,1,0.245
79003,120807,5,5,1,0.192
79834,83479,5,5,1,0.194
79835,123043,5,5,1,0.157
80436,171460,5,5,1,0.15
80437,122170,5,5,1,0.154
80455,123658,5,5,1,0.545
81165,72958,5,5,1,0.181
81165,168968,5,5,1,0.304
81165,214711,5,5,1,0.175
81166,89212,5,5,1,0.195
81536,98334,5,5,1,0.191
82866,96227,5,5,1,0.106
83478,79835,5,5,1,0.097
83478,123043,5,5,1,0.255
83479,150089,5,5,1,0.38
83479,251102,5,5,1,0.912
83937,140505,5,5,1,0.599
84459,173949,5,5,1,0.18
84460,68062,5,5,5,1.049
84460,120327,5,5,5,1.02
85210,77234,5,5,1,0.142
85357,77402,5,5,1,0.241
85789,93884,5,5,1,0.272
85790,72959,5,5,1,0.243
86163,94237,5,5,1,0.288
86164,108863,5,5,1,0.128
86164,213958,5,5,1,0.286
86938,64775,5,5,1,0.159
86939,182417,5,5,1,0.136
88103,220612,5,5,1,0.173
88104,206269,5,5,1,0.106
88288,101699,5,5,1,0.256
88288,207481,5,5,1,0.171
88289,146611,5,5,1,0.556
88289,233885,5,5,1,0.34
88499,73010,5,5,1,0.517
88499,201528,5,5,1,0.254
88500,73010,5,5,2,0.505
88778,245966,5,5,2,1.258
89212,215618,5,5,1,0.21
89214,81165,5,5,1,0.231
89255,232546,5,5,1,0.098
89427,111543,5,5,1,0.104
89517,127943,5,5,1,0.129
89518,103593,5,5,1,0.288
90846,238747,5,5,1,0.24
90847,131871,5,5,1,0.288
90847,253193,5,5,1,0.528
90847,253197,5,5,2,0.472
90972,205924,5,5,1,0.117
91307,97350,5,5,1,0.214
91309,20893,5,5,1,0.59
91545,164694,5,5,1,0.161
91545,251102,5,5,1,0.537
92004,153346,5,5,1,0.12
92004,235015,5,5,1,0.169
92382,160731,5,5,1,0.293
92444,238846,5,5,1,0.366
92446,84459,5,5,2,0.421
93884,208459,5,5,1,0.258
93885,85790,5,5,1,0.36
94235,86164,5,5,1,0.282
94237,214847,5,5,1,0.213
94237,242693,5,5,1,0.424
94546,94997,5,5,1,0.196
94547,148907,5,5,1,0.289
94996,94547,5,5,1,0.216
94997,206268,5,5,1,0.193
95210,5094,5,5,1,0.438
95648,168461,5,5,2,1.552
95975,120324,5,5,1,0.153
96069,130460,5,5,1,0.328
96070,73876,5,5,1,0.215
96227,107099,5,5,1,0.139
96300,119618,5,5,1,0.511
96608,198021,5,5,1,0.489
96609,116687,5,5,1,0.417
