"ori_node","des_node","ori_layer","des_layer","minutes","km"
3522,3522,5,5,1,0
3522,64778,5,5,1,0.276
3522,92146,5,5,1,0.637
3522,116581,5,5,1,0.256
3522,175992,5,5,1,0.259
3522,215486,5,5,1,0.491
3522,228588,5,5,1,0.398
3522,239219,5,5,4,1.921
3522,260756,5,5,5,1.342
51766,213562,5,5,1,0.249
51960,99005,5,5,1,0.107
52094,61816,5,5,1,0.11
52132,79997,5,5,1,0.429
52132,125791,5,5,1,0.282
52132,158499,5,5,1,0.362
52748,160949,5,5,1,0.225
53124,62805,5,5,1,0.363
53453,3522,5,5,2,0.702
53891,245078,5,5,1,0.313
54777,102161,5,5,1,0.46
55059,256081,5,5,1,0.378
55674,65244,5,5,1,0.16
55934,84748,5,5,2,0.326
56780,209048,5,5,2,0.449
56780,218820,5,5,1,0.655
57788,110700,5,5,1,0.16
57846,249190,5,5,1,0.252
58691,55934,5,5,1,0.125
58691,164548,5,5,1,0.305
59348,107707,5,5,1,0.594
59348,117571,5,5,1,0.323
59348,121166,5,5,1,0.355
59348,138890,5,5,1,0.328
59524,260756,5,5,1,0.155
59553,109981,5,5,3,1.335
59553,135154,5,5,1,1.103
59553,178985,5,5,1,0.596
60224,194534,5,5,1,0.246
60452,62803,5,5,1,0.255
60656,102581,5,5,1,0.438
60944,203538,5,5,1,0.203
61100,101784,5,5,1,0.326
61100,245624,5,5,1,0.19
61816,253035,5,5,1,0.211
62002,89108,5,5,1,0.322
62415,141322,5,5,1,0.207
62803,118677,5,5,1,0.145
62805,260696,5,5,1,0.164
63267,129097,5,5,1,0.234
63294,75985,5,5,1,0.017
63294,92140,5,5,1,0.09
63523,82781,5,5,1,0.294
63523,227178,5,5,1,0.785
64666,207119,5,5,1,0.335
64778,122855,5,5,1,0.28
64835,188076,5,5,1,0.396
65244,228933,5,5,1,0.178
65535,68346,5,5,1,0.059
65788,113779,5,5,1,0.057
65788,170726,5,5,1,0.253
66145,109185,5,5,1,0.156
66595,218966,5,5,1,0.305
67242,240047,5,5,1,0.466
67486,96562,5,5,1,0.27
68232,126509,5,5,1,0.418
68346,87696,5,5,1,0.255
68678,188704,5,5,1,0.231
68972,78660,5,5,1,0.245
69118,59524,5,5,1,0.198
69471,143487,5,5,1,0.326
69649,69118,5,5,1,0.2
69649,100505,5,5,1,0.185
69995,204377,5,5,1,0.231
70202,112415,5,5,1,0.427
70485,89843,5,5,1,0.236
70733,144083,5,5,1,0.253
71319,111650,5,5,1,0.23
71474,139714,5,5,2,0.398
71641,60656,5,5,1,0.282
72395,55674,5,5,1,0.271
72562,86302,5,5,1,0.219
72779,156040,5,5,1,0.31
73040,53891,5,5,1,0.146
73737,232698,5,5,1,0.21
73846,54777,5,5,1,0.441
73846,180129,5,5,1,0.269
74621,227178,5,5,1,0.362
74949,65535,5,5,1,0.23
75240,134597,5,5,1,0.148
75649,251723,5,5,1,0.121
75985,92523,5,5,1,0.16
76601,124881,5,5,1,0.144
76873,67242,5,5,1,0.179
77114,135589,5,5,1,0.328
77692,185407,5,5,1,0.208
77879,143511,5,5,1,0.407
78013,58691,5,5,1,0.278
78660,148903,5,5,1,0.19
78660,232698,5,5,2,0.454
78690,152878,5,5,1,0.132
78709,100811,5,5,1,0.318
78709,163515,5,5,1,0.02
78709,250803,5,5,5,1.672
78831,219129,5,5,1,0.331
78831,231100,5,5,1,0.138
78977,63294,5,5,1,0.016
79220,56780,5,5,1,0.153
79401,100505,5,5,1,0.234
79429,214078,5,5,1,0.214
79726,69995,5,5,1,0.202
79997,254420,5,5,1,0.298
80205,101759,5,5,1,0.365
80205,125737,5,5,1,0.377
80439,107839,5,5,1,0.257
81011,71319,5,5,1,0.272
82312,91587,5,5,1,0.194
82504,219474,5,5,1,0.448
82513,101184,5,5,1,0.012
82513,210224,5,5,1,0.143
82781,157292,5,5,1,0.206
82897,68678,5,5,1,0.18
83615,198768,5,5,1,0.329
84489,111013,5,5,1,0.102
84519,78977,5,5,1,0.146
84748,237260,5,5,1,0.244
85219,65971,5,5,1,0.159
86302,216751,5,5,1,0.274
86796,77114,5,5,1,0.358
87368,180176,5,5,2,0.322
87368,199658,5,5,1,0.245
87696,109915,5,5,1,0.059
87696,170655,5,5,1,0.209
88409,59348,5,5,1,0.147
88409,121166,5,5,2,0.496
89108,98704,5,5,1,0.17
89350,188076,5,5,1,0.449
89636,189588,5,5,2,0.544
89843,99472,5,5,1,0.207
91587,176403,5,5,1,0.079
91968,132830,5,5,1,0.447
92140,63294,5,5,1,0.09
