"ori_node","des_node","ori_layer","des_layer","minutes","km"
29357,37160,2,2,7,5.079
37160,29357,2,2,5,5.079
37160,40857,2,2,5,8.564
37160,43407,2,2,9,10.029
40857,37160,2,2,6,8.564
43407,37160,2,2,12,10.029
23764,32383,4,4,10,3.09
32383,23764,4,4,10,3.09
32383,36200,4,4,9,3.605
32383,43228,4,4,10,4.368
36200,32383,4,4,15,3.605
36200,43228,4,4,3,0.785
43228,32383,4,4,15,4.368
43228,36200,4,4,5,0.785
43228,89508,4,4,5,2.621
43228,143272,4,4,6,3.684
89508,131777,4,4,2,1.125
93267,131776,4,4,3,2.862
131776,231475,4,4,2,1.129
131777,122447,4,4,4,2.93
153197,43228,4,4,7,3.664
231475,43228,4,4,5,2.61
108,11943,5,5,1,0.199
108,40469,5,5,1,0.188
108,42673,5,5,1,0.22
260,41800,5,5,1,0.601
260,44849,5,5,1,0.561
260,224616,5,5,1,0.364
277,33140,5,5,1,0.156
277,40558,5,5,1,0.263
393,16005,5,5,1,0.404
393,32383,5,5,11,3.401
393,42997,5,5,10,2.952
393,43861,5,5,2,0.916
393,174065,5,5,3,1.492
840,32296,5,5,1,0.319
840,42941,5,5,1,0.2
840,48696,5,5,1,0.321
1181,1823,5,5,1,0.247
1181,202228,5,5,1,0.274
1360,1360,5,5,2,0
1360,3266,5,5,1,0.409
1360,9400,5,5,1,0.375
1360,13438,5,5,7,0.674
1360,14794,5,5,1,0.539
1360,17223,5,5,3,1.476
1360,20850,5,5,1,0.562
1360,27556,5,5,1,0.265
1360,34942,5,5,1,0.359
1360,37160,5,5,4,2.137
1360,91733,5,5,6,1.407
1477,13572,5,5,1,0.208
1477,26465,5,5,1,0.227
1561,30497,5,5,1,0.244
1561,39142,5,5,3,2.192
1823,1181,5,5,1,0.247
1823,3129,5,5,1,0.068
1823,186159,5,5,7,3.157
2150,3773,5,5,1,0.29
2150,18340,5,5,1,0.544
2270,29357,5,5,1,0.796
2270,34759,5,5,3,0.93
2404,37101,5,5,1,0.293
2404,42659,5,5,1,0.299
2425,6101,5,5,1,0.351
2425,33815,5,5,1,0.35
2425,40728,5,5,1,0.538
2468,29567,5,5,1,0.305
2468,47763,5,5,1,0.268
2686,3266,5,5,3,2.76
2686,5491,5,5,2,2.731
2698,41350,5,5,1,0.217
2698,45081,5,5,1,0.583
2776,22321,5,5,1,0.652
2776,34486,5,5,1,0.28
2953,10405,5,5,2,0.419
2953,17710,5,5,1,0.33
3129,1823,5,5,1,0.068
3129,8503,5,5,1,0.269
3129,176376,5,5,7,2.778
3129,186159,5,5,8,3.148
3248,4177,5,5,1,0.287
3248,8452,5,5,1,0.272
