"ori_node","des_node","ori_layer","des_layer","minutes","km"
4250,5749,2,2,5,4.98
4250,118166,2,2,3,3.248
5749,4250,2,2,5,4.98
5749,27857,2,2,4,3.756
5749,32072,2,2,4,4.966
5749,70958,2,2,9,9.366
27857,5749,2,2,5,3.756
32072,5749,2,2,5,4.966
32072,47337,2,2,4,4.878
47337,5749,2,2,7,9.84
47337,32072,2,2,4,4.878
70958,5749,2,2,8,9.366
118166,4250,2,2,3,3.248
5749,68059,4,4,10,1.295
5749,215636,4,4,5,3.095
68059,5749,4,4,10,1.295
215636,5749,4,4,10,3.095
4250,72292,5,5,1,0.323
4250,82029,5,5,2,1.3
4250,82929,5,5,1,0.67
4250,90259,5,5,3,1.756
4250,93573,5,5,1,1.257
4250,199117,5,5,6,3.782
4250,199704,5,5,4,2.533
4250,209194,5,5,4,1.586
5749,5749,5,5,1,0
5749,67117,5,5,1,0.368
5749,83152,5,5,2,0.91
5749,103919,5,5,2,1.121
5749,115884,5,5,1,0.285
5749,127540,5,5,1,0.278
5749,143551,5,5,1,1.206
5749,236922,5,5,2,0.962
5749,236923,5,5,1,0.961
5749,236925,5,5,3,0.977
5749,261805,5,5,1,1.215
25237,25237,5,5,1,0
25237,180817,5,5,1,1.011
25237,181426,5,5,8,1.173
25237,231895,5,5,2,0.862
25237,237154,5,5,2,1.006
25237,246828,5,5,1,0.055
25237,248303,5,5,1,0.381
27857,27857,5,5,1,0
27857,103256,5,5,1,0.735
27857,118588,5,5,1,0.541
27857,207710,5,5,1,0.353
32072,103254,5,5,1,0.483
32072,155557,5,5,2,1.47
47337,103252,5,5,2,0.578
47337,174118,5,5,3,1.356
47337,180339,5,5,1,0.62
47337,185144,5,5,9,3.726
52419,83152,5,5,1,0.388
52419,195933,5,5,1,0.332
52419,261805,5,5,1,0.239
53097,61196,5,5,1,0.17
53583,129289,5,5,1,0.109
53583,159705,5,5,1,0.257
53925,246827,5,5,1,0.262
53926,181111,5,5,1,0.468
54089,232762,5,5,1,0.367
54967,210441,5,5,1,0.764
55527,195933,5,5,1,0.306
55529,83152,5,5,1,0.424
55529,195933,5,5,1,0.295
55530,103919,5,5,1,0.286
55530,261805,5,5,2,0.243
56582,218727,5,5,1,0.511
58040,71159,5,5,1,0.709
58040,180477,5,5,2,1.19
58325,74155,5,5,1,0.471
58325,184456,5,5,1,0.273
58762,261705,5,5,1,0.3
58853,5749,5,5,1,1.239
58853,52419,5,5,3,0.263
58853,216771,5,5,4,0.267
58853,236923,5,5,2,0.285
58853,256558,5,5,2,0.264
58951,199704,5,5,2,1.224
59206,164819,5,5,1,0.463
59206,183454,5,5,1,0.448
59273,162073,5,5,1,0.192
60111,59206,5,5,1,0.585
60111,83460,5,5,2,0.473
60164,217228,5,5,1,0.284
60205,5749,5,5,1,0.941
60205,103919,5,5,1,0.254
60205,227112,5,5,4,0.339
60205,236922,5,5,2,0.321
60205,236924,5,5,1,0.266
60488,59273,5,5,1,0.152
61091,239452,5,5,1,0.423
61196,98563,5,5,1,0.193
61240,77042,5,5,4,1.691
61592,61196,5,5,1,0.083
61592,243800,5,5,1,0.357
61736,86343,5,5,1,0.432
61736,223904,5,5,1,0.393
61793,68059,5,5,3,0.526
61793,83919,5,5,1,0.224
61793,217511,5,5,1,0.277
61854,231375,5,5,1,0.232
62156,120229,5,5,1,0.398
62156,174118,5,5,12,4.89
62156,185144,5,5,1,0.207
62787,111349,5,5,1,1.238
62787,180818,5,5,4,4.921
62788,62800,5,5,1,0.618
62800,236121,5,5,3,1.92
63312,69067,5,5,2,0.862
63312,79398,5,5,1,0.567
63445,71448,5,5,2,0.329
63445,73132,5,5,3,1.65
63445,161403,5,5,1,0.384
65101,195933,5,5,1,0.32
66902,102109,5,5,3,1.599
67117,5749,5,5,2,0.368
68059,60111,5,5,1,0.256
68059,83920,5,5,1,0.379
69067,61240,5,5,2,0.883
69559,213324,5,5,1,0.254
69618,86066,5,5,1,0.199
69618,138209,5,5,1,0.317
69618,170074,5,5,6,1.586
69618,226860,5,5,2,0.517
69618,232763,5,5,6,4.472
69623,56582,5,5,1,0.315
70022,128414,5,5,1,0.833
70022,197122,5,5,3,2.014
70249,95259,5,5,1,0.676
71159,110430,5,5,5,2.557
71159,180477,5,5,1,0.485
71448,73132,5,5,4,1.751
71448,221534,5,5,1,0.17
71733,83460,5,5,1,0.613
71733,166263,5,5,1,0.331
72289,174037,5,5,1,0.401
72290,61091,5,5,1,0.551
72290,98341,5,5,1,1.357
72290,174037,5,5,2,0.603
72292,82929,5,5,2,0.347
72293,4250,5,5,1,1.357
73132,164353,5,5,2,0.812
74155,98337,5,5,1,0.422
74155,110179,5,5,1,0.143
74155,162360,5,5,1,0.384
74155,173458,5,5,1,0.482
74581,97061,5,5,2,0.411
74581,111270,5,5,1,0.31
74581,212668,5,5,1,0.309
74766,162219,5,5,1,0.153
75144,63445,5,5,1,0.372
75745,246826,5,5,3,0.742
77042,164355,5,5,2,1.175
77589,5749,5,5,2,1.507
77589,98563,5,5,1,0.294
77649,154051,5,5,1,0.11
77653,210543,5,5,1,0.412
78247,70249,5,5,1,0.291
79398,54089,5,5,3,0.626
79398,160038,5,5,1,0.485
79830,216929,5,5,1,0.281
80460,27857,5,5,1,1.244
80953,116329,5,5,1,0.281
82025,87657,5,5,1,0.717
