"ori_node","des_node","ori_layer","des_layer","minutes","km"
1508,4330,2,2,3,4.098
1508,29406,2,2,3,0.968
3433,3433,2,2,1,0
3433,7745,2,2,3,1.342
3433,38105,2,2,2,1.021
4319,7380,2,2,4,2.336
4319,14394,2,2,2,1.5
4330,1508,2,2,4,4.098
4330,229875,2,2,2,1.589
6677,29406,2,2,3,1.669
7380,4319,2,2,3,2.336
7380,14677,2,2,4,3.052
7380,16401,2,2,4,1.205
7679,17920,2,2,2,0.732
7679,22583,2,2,2,0.697
7745,3433,2,2,3,1.342
7745,29406,2,2,4,3.876
8891,16401,2,2,5,1.528
8891,22583,2,2,3,2.349
14394,4319,2,2,2,1.5
14677,7380,2,2,3,3.052
14677,36794,2,2,3,0.627
14731,38105,2,2,2,0.569
14731,51237,2,2,5,0.647
16401,7380,2,2,3,1.205
16401,8891,2,2,4,1.528
16401,29406,2,2,2,0.911
16401,229875,2,2,11,6.538
17920,7679,2,2,2,0.732
17920,229875,2,2,8,2.025
22583,7679,2,2,2,0.697
22583,8891,2,2,3,2.349
29406,1508,2,2,2,0.968
29406,6677,2,2,4,1.669
29406,7745,2,2,4,3.876
29406,16401,2,2,2,0.911
36794,14677,2,2,2,0.627
38105,3433,2,2,2,1.021
38105,14731,2,2,2,0.569
51237,14731,2,2,1,0.647
229875,4330,2,2,2,1.589
229875,8891,2,2,11,5.492
229875,16401,2,2,17,6.538
229875,17920,2,2,4,2.025
1508,10494,4,4,5,0.881
1508,16401,4,4,5,1.429
10494,1508,4,4,5,0.881
16401,1508,4,4,5,1.429
1508,1508,5,5,1,0
1508,55153,5,5,1,0.926
1508,73452,5,5,2,1.541
1508,138103,5,5,1,0.415
1508,155828,5,5,4,2.949
1508,157848,5,5,1,0.405
1508,174107,5,5,2,0.613
1508,194929,5,5,1,0.342
1508,202089,5,5,1,0.704
1508,204563,5,5,1,0.541
1508,226062,5,5,1,0.548
1508,246379,5,5,1,0.283
1508,256183,5,5,1,0.315
1508,256189,5,5,1,0.293
3433,3433,5,5,2,0
3433,74219,5,5,1,0.261
3433,74220,5,5,1,0.312
3433,228396,5,5,1,0.217
4319,4319,5,5,2,0
4319,62632,5,5,1,0.297
4319,79638,5,5,4,0.688
4319,111189,5,5,1,0.257
4319,198703,5,5,1,0.672
