"ori_node","des_node","ori_layer","des_layer","minutes","km"
10775,12707,2,2,2,1.03
12707,10775,2,2,2,1.03
10775,10775,5,5,1,0
10775,87824,5,5,2,0.928
10775,116996,5,5,2,0.985
10775,144295,5,5,1,0.428
10775,156467,5,5,1,0.568
10775,156472,5,5,1,0.596
10775,156473,5,5,1,0.215
10775,156474,5,5,1,0.353
10775,193854,5,5,1,0.632
10775,203104,5,5,1,0.607
10775,203106,5,5,1,0.722
10775,241285,5,5,1,0.115
12707,10775,5,5,3,1.03
12707,12707,5,5,1,0
12707,57321,5,5,1,0.419
12707,76330,5,5,1,0.516
12707,192832,5,5,1,0.557
12707,210289,5,5,1,0.462
12707,212270,5,5,1,0.323
52432,10775,5,5,1,0.085
52432,144295,5,5,1,0.368
52462,154401,5,5,1,0.28
52463,192192,5,5,2,0.411
52464,247169,5,5,1,0.263
52465,52463,5,5,1,0.214
52465,52466,5,5,1,0.733
52466,62160,5,5,1,0.13
52467,52469,5,5,1,0.165
52467,192195,5,5,1,0.492
52468,52462,5,5,1,0.258
52469,52462,5,5,2,0.702
52469,192192,5,5,1,0.077
52470,209288,5,5,1,0.313
53218,192193,5,5,1,0.215
57139,57140,5,5,1,0.298
57140,87758,5,5,1,0.329
57140,87759,5,5,1,0.434
57140,184158,5,5,2,0.471
57141,57139,5,5,1,0.307
57142,57145,5,5,1,0.395
57142,190919,5,5,2,0.419
57143,57141,5,5,1,0.16
57143,57145,5,5,1,0.282
57144,57143,5,5,1,0.204
57144,57145,5,5,1,0.486
57144,251509,5,5,1,0.298
57145,260800,5,5,1,0.509
57148,57142,5,5,1,0.402
57149,57148,5,5,1,0.241
57252,237961,5,5,1,0.144
57252,237963,5,5,1,0.67
57312,183075,5,5,1,0.312
57321,192835,5,5,1,0.252
57426,68166,5,5,2,0.43
57426,68168,5,5,1,0.238
58503,81432,5,5,8,5.138
58503,157491,5,5,1,0.493
58503,173643,5,5,1,0.42
59090,57149,5,5,1,0.332
59505,132610,5,5,1,0.368
59598,107137,5,5,2,0.427
59598,107139,5,5,1,0.217
59598,220492,5,5,2,0.557
59765,258248,5,5,1,0.129
60492,80739,5,5,1,0.357
60492,81430,5,5,1,0.376
60492,247909,5,5,2,0.969
60493,164559,5,5,1,0.262
60495,80738,5,5,1,0.362
60996,57149,5,5,1,0.49
60996,87758,5,5,2,0.478
62159,62168,5,5,1,0.697
62160,62159,5,5,1,0.309
62165,62166,5,5,1,0.479
62165,192192,5,5,3,0.629
62166,52467,5,5,1,0.35
62166,185838,5,5,3,1.106
62168,81432,5,5,1,0.539
62168,247909,5,5,2,0.497
65380,239888,5,5,1,0.377
66770,212269,5,5,1,0.265
66776,10775,5,5,1,0.511
66776,52432,5,5,1,0.457
66776,241285,5,5,2,0.444
66777,10775,5,5,3,0.956
66777,52432,5,5,2,0.908
66777,66776,5,5,1,0.452
68165,68168,5,5,1,0.244
68165,233706,5,5,1,0.455
68165,244390,5,5,5,0.796
68165,244395,5,5,1,0.534
68166,97518,5,5,1,0.69
68166,108508,5,5,1,0.427
68166,121638,5,5,1,0.622
68167,68166,5,5,1,0.229
68167,192284,5,5,1,0.793
68167,233706,5,5,1,0.203
68167,244395,5,5,1,0.258
68168,68169,5,5,1,0.431
68168,243500,5,5,1,0.187
68169,230103,5,5,1,0.197
70030,60492,5,5,1,0.303
70030,81430,5,5,2,0.64
70810,68167,5,5,1,0.388
70818,188251,5,5,1,0.445
70818,188274,5,5,1,0.402
70818,230105,5,5,1,0.252
70818,249817,5,5,1,0.466
71070,65380,5,5,1,0.134
71704,81427,5,5,1,0.554
76137,199782,5,5,1,0.405
76161,140947,5,5,5,1.084
76161,173643,5,5,2,1.543
76161,194543,5,5,1,0.242
76161,198433,5,5,1,0.402
76328,214108,5,5,1,0.265
76328,214113,5,5,2,0.687
76329,87762,5,5,1,0.435
76329,105470,5,5,3,0.476
76330,10775,5,5,1,0.616
76330,241285,5,5,4,0.548
76331,230375,5,5,1,0.191
77821,238674,5,5,1,0.192
80738,60493,5,5,2,0.41
80738,81430,5,5,1,0.418
80739,60494,5,5,1,0.443
81427,81428,5,5,1,0.545
81427,247909,5,5,2,0.517
81429,60493,5,5,1,0.421
81429,80739,5,5,1,0.33
81429,159485,5,5,4,0.922
81429,164559,5,5,3,0.654
81430,81431,5,5,1,0.376
81431,58503,5,5,8,5.125
81431,247909,5,5,2,0.511
81432,81429,5,5,1,0.383
81492,68168,5,5,5,2.408
81492,71070,5,5,1,0.23
81492,129165,5,5,1,0.578
81492,239888,5,5,1,0.718
81492,250287,5,5,1,0.273
83182,116991,5,5,1,0.249
83183,181177,5,5,1,0.225
83184,184152,5,5,1,0.116
83187,220760,5,5,1,0.18
84215,76161,5,5,1,0.373
86232,219202,5,5,1,0.349
87630,182348,5,5,1,0.325
87630,192197,5,5,1,0.415
87754,146258,5,5,6,2.52
87754,231795,5,5,2,0.472
87754,247903,5,5,3,1.021
87755,231795,5,5,2,0.443
87756,10775,5,5,6,1.79
87756,97450,5,5,1,0.256
87758,87760,5,5,1,0.255
87759,87756,5,5,1,0.181
87759,97450,5,5,1,0.437
87760,87763,5,5,1,0.389
87761,57149,5,5,1,0.246
87761,87759,5,5,1,0.344
87761,174775,5,5,2,0.414
87761,184158,5,5,1,0.438
87762,87761,5,5,1,0.423
87763,76328,5,5,1,0.591
87810,12707,5,5,1,0.28
87824,116994,5,5,1,0.212
88636,183644,5,5,1,0.073
90896,250287,5,5,2,0.759
91762,183073,5,5,1,0.303
91762,222160,5,5,1,0.327
91778,91783,5,5,1,0.196
91783,91786,5,5,1,0.254
91786,57426,5,5,2,0.51
91786,244392,5,5,1,0.132
91786,252502,5,5,2,0.341
91789,164018,5,5,1,0.38
91789,220488,5,5,1,0.349
91789,243499,5,5,1,0.434
91789,243501,5,5,1,0.897
91789,243503,5,5,1,0.27
92839,214113,5,5,2,0.52
97449,97454,5,5,1,0.402
97450,97449,5,5,1,0.208
97451,97452,5,5,1,0.205
97452,60996,5,5,1,0.367
97453,10775,5,5,1,0.5
97454,97453,5,5,1,0.426
97518,105541,5,5,1,0.31
97518,138094,5,5,1,0.316
105021,121329,5,5,1,0.379
105021,206451,5,5,1,0.153
105466,105467,5,5,1,0.141
