"ori_node","des_node","ori_layer","des_layer","minutes","km"
21666,30473,2,2,6,9.768
30473,21666,2,2,6,9.768
410,410,5,5,1,0
410,3067,5,5,1,0.388
410,31610,5,5,1,0.421
410,142871,5,5,1,0.273
1032,12399,5,5,1,0.332
1032,18113,5,5,1,0.843
1032,42958,5,5,1,0.234
1032,47001,5,5,5,1.731
1036,23133,5,5,1,0.514
1036,26642,5,5,1,0.399
1213,1214,5,5,1,0.813
1213,34193,5,5,1,0.41
1214,1213,5,5,1,0.813
1214,1217,5,5,1,0.561
1217,1214,5,5,1,0.561
1217,34192,5,5,2,0.76
1218,26640,5,5,2,0.629
1218,34192,5,5,1,0.344
2309,2310,5,5,1,0.321
2309,2312,5,5,1,0.327
2309,7962,5,5,1,0.478
2309,21459,5,5,1,0.617
2309,21460,5,5,1,0.311
2310,2309,5,5,1,0.321
2310,2317,5,5,1,0.382
2312,2309,5,5,1,0.327
2312,3068,5,5,1,0.335
2312,7962,5,5,1,0.193
2312,21460,5,5,2,0.433
2312,169753,5,5,4,0.737
2313,2315,5,5,1,0.252
2313,29786,5,5,1,0.208
2313,46195,5,5,1,0.545
2313,215639,5,5,1,0.196
2314,2315,5,5,1,0.19
2314,31301,5,5,1,0.429
2315,2313,5,5,1,0.252
2315,2314,5,5,1,0.19
2316,2318,5,5,1,0.368
2316,29133,5,5,1,0.095
2316,31301,5,5,1,0.34
2317,2310,5,5,1,0.382
2317,2319,5,5,1,0.437
2317,31301,5,5,1,0.305
2318,2316,5,5,1,0.368
2318,247474,5,5,1,0.35
2319,2317,5,5,1,0.437
2319,3062,5,5,4,1.887
2319,29787,5,5,1,0.451
2554,12398,5,5,1,0.322
2554,41184,5,5,1,0.133
2555,20141,5,5,5,1.406
2555,26642,5,5,1,0.314
2555,199789,5,5,1,0.779
3038,3039,5,5,1,0.203
3038,35453,5,5,1,0.362
3039,3038,5,5,1,0.203
3039,21465,5,5,1,0.18
3041,3045,5,5,1,0.268
3041,50835,5,5,2,0.32
3041,65814,5,5,1,0.126
3042,3043,5,5,1,0.29
3042,50835,5,5,1,0.079
3043,3042,5,5,1,0.29
3043,3044,5,5,1,0.336
3044,3043,5,5,1,0.336
3044,3048,5,5,1,0.127
3045,3041,5,5,1,0.268
3045,35450,5,5,1,0.195
3046,3047,5,5,1,0.226
3046,51412,5,5,1,0.239
