"ori_node","des_node","ori_layer","des_layer","minutes","km"
2676,14575,1,1,5,1.483
14575,2676,1,1,5,1.483
2676,12052,2,2,2,1.609
12052,2676,2,2,2,1.609
12052,35084,2,2,3,1.577
35084,12052,2,2,2,1.577
35084,48219,2,2,2,0.962
48219,35084,2,2,2,0.962
4251,32625,3,3,2,0.896
5523,6376,3,3,1,0.834
5523,32625,3,3,2,0.934
5523,42250,3,3,1,0.638
6376,5523,3,3,2,0.834
7916,23017,3,3,3,0.998
7916,29635,3,3,2,1.025
7916,42250,3,3,2,0.924
7920,21191,3,3,1,0.818
8032,42250,3,3,1,0.697
8032,48219,3,3,1,0.852
12052,23017,3,3,1,0.575
12052,49070,3,3,2,0.776
21191,7920,3,3,2,0.818
21191,23017,3,3,3,1.399
21191,44082,3,3,1,0.47
23017,7916,3,3,3,0.998
23017,12052,3,3,1,0.575
23017,21191,3,3,3,1.399
23017,29635,3,3,1,0.782
23017,35084,3,3,3,1.34
23017,44082,3,3,2,0.933
29635,7916,3,3,2,1.025
29635,23017,3,3,1,0.782
29635,39602,3,3,1,0.588
30443,32647,3,3,2,0.937
30443,34874,3,3,2,0.94
30974,32625,3,3,2,0.874
30974,40510,3,3,2,0.878
32625,4251,3,3,2,0.896
32625,5523,3,3,2,0.934
32625,30974,3,3,1,0.874
32647,30443,3,3,2,0.937
32647,49070,3,3,2,0.664
34874,30443,3,3,2,0.94
35084,23017,3,3,3,1.34
37974,40510,3,3,1,0.761
39602,29635,3,3,2,0.588
39602,43194,3,3,2,1.245
39602,47470,3,3,2,1.263
40510,30974,3,3,2,0.878
40510,37974,3,3,1,0.761
42250,5523,3,3,1,0.638
42250,7916,3,3,2,0.924
42250,8032,3,3,1,0.697
43194,39602,3,3,2,1.245
43194,47492,3,3,2,0.881
44082,21191,3,3,1,0.47
44082,23017,3,3,2,0.933
47470,39602,3,3,2,1.263
47492,43194,3,3,2,0.881
48219,8032,3,3,1,0.852
49070,12052,3,3,2,0.776
49070,32647,3,3,2,0.664
7920,47492,4,4,15,5.528
29635,13446,4,4,10,1.41
47492,7920,4,4,15,5.528
47492,12052,4,4,10,3.643
47492,47492,4,4,1,0
231447,29635,4,4,5,1.183
231447,47492,4,4,5,3.817
1464,31907,5,5,1,0.376
1464,259723,5,5,1,0.203
1470,34011,5,5,1,0.32
1470,49070,5,5,1,0.399
1831,13446,5,5,1,0.31
1831,45642,5,5,1,0.252
2003,23674,5,5,1,0.509
2003,45875,5,5,1,0.081
2003,86605,5,5,1,0.45
2157,47492,5,5,2,0.687
2676,2676,5,5,1,0
2676,36627,5,5,1,0.647
2676,44248,5,5,1,0.719
2676,60573,5,5,1,0.268
2811,5523,5,5,1,0.279
2811,10314,5,5,1,0.231
2988,21864,5,5,1,0.217
2988,47706,5,5,1,0.248
3475,44248,5,5,1,0.218
3475,239691,5,5,1,0.193
4251,32625,5,5,1,0.896
4251,140433,5,5,1,0.361
4679,51045,5,5,1,0.359
4679,72064,5,5,1,0.215
4679,205263,5,5,1,0.304
4701,7920,5,5,1,0.708
4701,28097,5,5,1,0.253
5523,2811,5,5,1,0.279
5523,5523,5,5,1,0
5523,32043,5,5,1,0.399
5523,227654,5,5,1,0.301
6376,31604,5,5,1,0.307
6376,32043,5,5,1,0.451
6376,32625,5,5,3,0.532
6464,44991,5,5,1,0.344
7095,38371,5,5,1,0.386
7095,141634,5,5,1,0.125
7204,8414,5,5,1,0.202
7916,7920,5,5,11,2.363
7916,26678,5,5,1,0.298
7916,26820,5,5,1,0.359
7916,35084,5,5,3,1.264
7916,40256,5,5,2,1.017
7916,243062,5,5,1,0.24
7920,4701,5,5,1,0.708
7920,7920,5,5,1,0
7920,37165,5,5,1,0.532
7920,39866,5,5,1,0.375
7920,39867,5,5,2,0.465
8032,8032,5,5,1,0
8032,24730,5,5,1,0.331
8032,42250,5,5,1,0.697
8032,48219,5,5,1,0.852
8414,3475,5,5,1,0.4
8414,7204,5,5,1,0.202
8517,26295,5,5,1,0.066
8678,12447,5,5,1,0.395
8678,16980,5,5,1,0.201
8781,13729,5,5,1,0.15
8781,21864,5,5,1,0.398
8781,118571,5,5,1,0.294
8781,138378,5,5,2,0.399
9046,23674,5,5,1,0.316
9046,44082,5,5,1,0.307
10314,27228,5,5,1,0.36
10314,43401,5,5,1,0.206
10934,21509,5,5,1,0.462
10934,36627,5,5,1,0.372
10934,44248,5,5,1,0.261
12052,12052,5,5,1,0
12052,13430,5,5,1,0.709
12052,23017,5,5,1,0.575
12052,32762,5,5,1,0.75
12239,42250,5,5,1,0.311
12239,146567,5,5,1,0.422
12297,27228,5,5,1,0.352
12297,240104,5,5,1,0.204
12297,241552,5,5,1,0.227
12447,8678,5,5,1,0.395
12447,17476,5,5,2,0.65
