"ori_node","des_node","ori_layer","des_layer","minutes","km"
56255,123428,4,4,10,3.444
123428,223680,4,4,5,2.957
123428,237601,4,4,10,3.461
223680,123428,4,4,10,2.957
36378,36378,5,5,1,0
36378,123277,5,5,3,0.67
36378,199735,5,5,2,0.47
36378,221424,5,5,1,0.371
36378,231023,5,5,1,0.464
36378,255941,5,5,1,0.371
52127,229163,5,5,1,0.187
52315,72151,5,5,1,0.262
52315,209849,5,5,4,0.689
52315,229389,5,5,10,1.137
52903,134839,5,5,1,0.766
52905,211492,5,5,1,0.939
52905,211493,5,5,2,1.292
52905,211496,5,5,2,0.992
53135,192146,5,5,1,0.246
53711,82720,5,5,3,1.629
53711,195024,5,5,4,1.469
53712,69762,5,5,2,0.835
53714,178239,5,5,1,0.46
55983,159814,5,5,1,0.859
56255,174098,5,5,1,0.626
56255,226046,5,5,15,3.42
56456,229865,5,5,1,0.209
56580,190187,5,5,1,0.38
57269,77018,5,5,4,1.79
57270,208803,5,5,1,0.116
57731,57736,5,5,1,0.495
57731,94807,5,5,2,1.235
57736,258907,5,5,1,0.343
57737,166390,5,5,1,0.442
57857,205130,5,5,1,0.888
57859,151082,5,5,1,0.206
58378,139283,5,5,4,2.241
59209,113603,5,5,1,0.639
59209,185830,5,5,1,0.154
59210,59212,5,5,1,0.214
59211,59217,5,5,1,0.188
59211,185829,5,5,1,0.117
59212,53135,5,5,1,0.411
59213,185831,5,5,1,0.263
59214,172563,5,5,1,0.555
59214,234406,5,5,2,0.518
59215,185833,5,5,1,0.109
59216,185832,5,5,1,0.118
59217,205103,5,5,1,0.571
59232,78775,5,5,1,0.186
59232,164589,5,5,1,0.18
59233,88535,5,5,1,0.163
59234,77013,5,5,1,0.598
59234,211494,5,5,1,0.385
59894,112670,5,5,1,0.23
60206,188294,5,5,1,0.056
60207,140694,5,5,1,0.341
60208,78772,5,5,3,0.196
60208,97215,5,5,1,0.305
60208,142802,5,5,1,0.176
60209,60211,5,5,1,0.376
60210,72016,5,5,1,0.247
60210,76226,5,5,3,1.819
60211,97216,5,5,1,0.193
60212,60210,5,5,1,0.26
60213,141989,5,5,4,0.869
60213,248271,5,5,1,0.299
61242,183878,5,5,2,0.763
61242,217709,5,5,2,0.784
61244,205904,5,5,1,0.587
61968,226696,5,5,1,0.861
61968,244231,5,5,5,2.317
62861,69762,5,5,2,0.738
62861,103500,5,5,1,0.224
64759,219717,5,5,1,0.247
64759,219719,5,5,1,0.178
64803,229871,5,5,2,0.43
64976,108604,5,5,1,0.245
65050,65055,5,5,1,0.236
65055,88531,5,5,1,0.152
65055,176040,5,5,1,1.439
65350,86723,5,5,1,0.514
65350,94320,5,5,1,0.345
65353,97222,5,5,1,0.276
65591,159810,5,5,1,0.189
65876,83125,5,5,1,0.293
65876,184133,5,5,2,0.68
65877,185826,5,5,1,0.441
65877,210256,5,5,1,0.3
66479,74773,5,5,3,0.604
66479,146955,5,5,3,0.554
66479,229397,5,5,1,0.103
67337,141198,5,5,1,0.46
67337,249762,5,5,5,0.867
67426,180483,5,5,1,0.491
67427,67430,5,5,1,0.266
67428,249122,5,5,1,0.545
67429,67427,5,5,1,0.389
67429,221420,5,5,1,0.319
67430,67431,5,5,1,0.374
67431,164325,5,5,1,0.35
67432,67426,5,5,1,0.3
67433,67432,5,5,1,0.404
67433,174096,5,5,3,0.599
67434,67433,5,5,2,0.467
69202,259715,5,5,1,0.31
69204,128130,5,5,1,0.121
69210,117377,5,5,1,0.219
69757,209636,5,5,4,1.444
69757,219720,5,5,1,0.148
69757,248272,5,5,1,0.222
69758,251468,5,5,1,0.177
69760,256457,5,5,1,0.297
69761,207147,5,5,2,0.366
69762,69758,5,5,1,0.182
69762,251468,5,5,3,0.359
69762,251476,5,5,2,1.354
70783,205131,5,5,1,0.623
70784,242582,5,5,1,0.124
70785,70783,5,5,1,0.197
70786,59135,5,5,1,0.76
70787,70786,5,5,2,0.903
71480,217113,5,5,3,0.919
71958,65350,5,5,1,0.104
71958,224378,5,5,2,0.248
72016,166064,5,5,1,0.271
72151,98837,5,5,1,0.18
74769,164322,5,5,3,0.952
74770,164324,5,5,1,0.615
74771,220711,5,5,1,0.225
74773,77019,5,5,1,0.177
74773,92303,5,5,2,0.26
74773,170198,5,5,2,1.695
75313,193840,5,5,1,0.101
75314,193845,5,5,1,0.367
76226,87331,5,5,1,0.764
76226,139277,5,5,1,0.773
76229,60209,5,5,3,1.788
76440,195023,5,5,1,1.095
76635,258910,5,5,1,0.322
77011,59234,5,5,2,0.286
77011,77013,5,5,2,0.877
77012,77011,5,5,1,0.135
77013,221422,5,5,1,0.279
77014,116959,5,5,1,0.542
77015,221422,5,5,1,0.236
77016,205902,5,5,1,0.331
77017,57270,5,5,3,1.779
77017,74773,5,5,3,1.848
77017,77019,5,5,3,1.893
77018,77014,5,5,1,0.509
77018,77016,5,5,1,0.533
77019,222941,5,5,1,0.358
78491,78773,5,5,1,0.138
78770,164591,5,5,1,0.126
78771,111046,5,5,1,0.149
78772,111039,5,5,1,0.346
78772,201879,5,5,2,0.557
78773,59233,5,5,2,0.218
78774,78491,5,5,1,0.088
78775,256803,5,5,1,0.178
78966,111367,5,5,2,1.307
78966,159809,5,5,1,0.491
78967,147469,5,5,2,1.042
78967,229801,5,5,1,0.571
78967,229804,5,5,1,0.555
79532,79533,5,5,1,0.326
79532,108603,5,5,1,0.148
79533,79535,5,5,1,0.243
79533,154498,5,5,2,0.621
79534,79532,5,5,1,0.255
79534,113607,5,5,1,0.336
79535,79536,5,5,1,0.106
79536,154498,5,5,1,0.34
82720,53711,5,5,3,1.629
82720,96768,5,5,1,1.636
83125,172562,5,5,2,0.45
84140,193839,5,5,1,0.323
84140,249761,5,5,3,0.395
84144,164322,5,5,1,0.198
84144,193843,5,5,1,0.206
84328,239127,5,5,1,0.265
