"ori_node","des_node","ori_layer","des_layer","minutes","km"
1113,4598,2,2,1,1.985
1113,41890,2,2,2,1.575
4598,1113,2,2,2,1.985
4598,41890,2,2,3,3.561
4598,46929,2,2,2,1.377
35905,46929,2,2,2,2.36
41890,1113,2,2,3,1.575
41890,4598,2,2,3,3.561
46929,4598,2,2,3,1.377
46929,35905,2,2,2,2.36
4398,4610,3,3,2,1.998
4398,18006,3,3,3,3.216
4610,4398,3,3,2,1.998
18006,4398,3,3,3,3.216
1113,1113,5,5,1,0
1113,25643,5,5,1,0.879
1113,46929,5,5,1,0.998
1113,165096,5,5,1,0.57
1113,172126,5,5,3,0.664
4142,17377,5,5,1,0.29
4142,18006,5,5,1,0.53
4143,8669,5,5,1,0.37
4283,39326,5,5,1,0.248
4283,125659,5,5,1,0.268
4398,4398,5,5,1,0
4398,14409,5,5,2,0.812
4398,46828,5,5,1,0.333
4398,79355,5,5,1,0.272
4398,129773,5,5,1,0.344
4598,4598,5,5,2,0
4598,44797,5,5,3,0.753
4598,44798,5,5,2,0.724
4610,4610,5,5,1,0
4610,14412,5,5,1,0.367
4610,20205,5,5,1,0.519
4610,25985,5,5,1,0.464
4610,33557,5,5,1,0.388
4610,80702,5,5,1,0.249
4610,155899,5,5,1,0.488
4723,4724,5,5,1,0.379
4723,44801,5,5,1,0.495
4724,4723,5,5,1,0.379
4724,32716,5,5,2,0.604
4724,44798,5,5,1,0.399
4728,18061,5,5,1,0.349
4728,30209,5,5,1,0.459
6801,6802,5,5,1,0.229
6801,39325,5,5,1,0.229
6802,6801,5,5,1,0.229
6802,6803,5,5,1,0.233
6803,6802,5,5,1,0.233
6803,6804,5,5,1,0.143
6804,6803,5,5,1,0.143
6804,6805,5,5,1,0.311
6804,25983,5,5,3,1.214
6805,4398,5,5,1,0.42
6805,6804,5,5,1,0.311
6805,200524,5,5,1,0.328
6807,4398,5,5,1,0.568
6807,14406,5,5,1,0.302
7052,29201,5,5,1,0.489
7052,29969,5,5,1,0.438
7052,208823,5,5,1,0.413
8560,8560,5,5,1,0
8560,21396,5,5,2,0.452
8560,38621,5,5,2,1.159
8668,8669,5,5,1,0.737
8668,27911,5,5,1,1.032
8668,46907,5,5,2,1.722
8669,4143,5,5,1,0.37
8669,8668,5,5,1,0.737
11036,11036,5,5,1,0
11036,30734,5,5,1,0.638
11036,33232,5,5,1,0.783
11036,49734,5,5,6,2.312
11150,25984,5,5,1,0.404
12301,12301,5,5,2,0
12301,12302,5,5,1,0.487
12301,12313,5,5,1,0.449
12301,67603,5,5,5,1.303
12301,171453,5,5,2,0.468
12302,12301,5,5,1,0.487
12302,44800,5,5,1,0.294
12302,67603,5,5,3,0.949
12302,171453,5,5,3,0.268
12313,12301,5,5,1,0.449
12755,33608,5,5,1,0.243
12755,47353,5,5,1,0.43
14404,14405,5,5,1,0.196
14404,14407,5,5,1,0.289
14405,14404,5,5,1,0.196
14405,14408,5,5,1,0.331
14405,14409,5,5,1,0.319
14405,14410,5,5,1,0.478
14406,14407,5,5,1,0.193
14406,92504,5,5,1,0.061
14407,14404,5,5,1,0.289
14407,14406,5,5,1,0.193
14408,14405,5,5,1,0.331
14408,14411,5,5,1,0.344
14408,46823,5,5,1,0.377
14409,4398,5,5,1,0.812
14409,14405,5,5,1,0.319
14410,14405,5,5,1,0.478
14410,14412,5,5,1,0.327
14411,14408,5,5,1,0.344
14411,25987,5,5,1,0.125
14412,4610,5,5,1,0.367
14412,14410,5,5,1,0.327
14477,33608,5,5,1,0.241
14477,46859,5,5,1,0.291
14480,14481,5,5,2,0.604
14480,35883,5,5,1,0.185
14481,14480,5,5,1,0.604
14481,14482,5,5,1,0.333
14482,14481,5,5,1,0.333
14482,14483,5,5,2,0.803
14483,14482,5,5,2,0.803
14483,14484,5,5,1,0.469
14484,47353,5,5,1,0.354
14484,223850,5,5,1,0.161
17377,4142,5,5,1,0.29
17377,17379,5,5,1,0.576
17378,17379,5,5,1,0.404
17378,42246,5,5,2,0.871
17379,17377,5,5,1,0.576
17379,17378,5,5,1,0.404
18006,4142,5,5,1,0.53
18061,4728,5,5,1,0.349
18061,18063,5,5,1,0.374
18061,37206,5,5,1,0.473
18062,32716,5,5,1,0.188
18062,67603,5,5,4,0.781
18063,18061,5,5,1,0.374
18063,18064,5,5,1,0.478
18063,50531,5,5,1,0.55
18064,18063,5,5,2,0.478
18064,50531,5,5,1,0.129
18064,50532,5,5,1,0.261
18064,67603,5,5,5,1.451
18065,37204,5,5,1,0.358
18065,50532,5,5,1,0.219
20202,20203,5,5,1,0.336
20202,20204,5,5,1,0.435
20203,20202,5,5,1,0.336
20203,20207,5,5,1,0.286
20204,20202,5,5,1,0.435
20205,20206,5,5,1,0.244
20205,131101,5,5,1,0.121
20206,20205,5,5,1,0.244
20206,39321,5,5,1,0.267
20207,20203,5,5,1,0.286
20207,131101,5,5,1,0.276
21363,27825,5,5,1,0.335
21363,154781,5,5,1,0.19
21396,8560,5,5,3,0.452
21396,27825,5,5,1,0.11
21396,41890,5,5,1,0.729
22961,113313,5,5,1,0.235
22961,231003,5,5,1,0.214
25643,1113,5,5,1,0.879
25643,46866,5,5,1,0.431
25643,211995,5,5,3,0.875
25977,25978,5,5,1,0.173
25977,25983,5,5,1,0.176
25978,25977,5,5,1,0.173
25978,39324,5,5,1,0.195
25980,25981,5,5,1,0.396
25980,25987,5,5,1,0.312
25981,25980,5,5,1,0.396
25981,25982,5,5,1,0.288
25981,33549,5,5,1,0.635
25982,25981,5,5,1,0.288
25982,25983,5,5,1,0.098
25982,33549,5,5,1,0.378
25983,25977,5,5,1,0.176
25983,25982,5,5,1,0.098
25983,33549,5,5,1,0.375
25983,39330,5,5,1,0.164
25984,11150,5,5,1,0.404
25984,25985,5,5,1,0.298
25985,4610,5,5,1,0.464
25985,25984,5,5,1,0.298
25985,33557,5,5,1,0.334
25986,25987,5,5,1,0.315
25986,33557,5,5,1,0.323
25987,14411,5,5,1,0.125
25987,25980,5,5,1,0.312
25987,25986,5,5,1,0.315
27825,21363,5,5,1,0.335
27825,21396,5,5,1,0.11
27875,42982,5,5,1,0.608
27875,91149,5,5,1,0.516
27911,8668,5,5,1,1.032
27911,27912,5,5,1,0.674
27912,27911,5,5,1,0.674
27912,27915,5,5,1,0.54
27914,27915,5,5,1,0.64
27914,46899,5,5,1,0.859
27914,76450,5,5,5,2.064
27915,27912,5,5,1,0.54
27915,27914,5,5,1,0.64
27915,33554,5,5,1,0.878
29201,7052,5,5,1,0.489
29201,32729,5,5,1,0.393
29969,38621,5,5,1,0.075
29969,258335,5,5,1,0.269
30209,4728,5,5,1,0.459
30209,37207,5,5,3,0.499
30209,171798,5,5,1,0.226
30734,11036,5,5,1,0.638
30734,30735,5,5,1,0.258
30735,30734,5,5,1,0.258
32716,18062,5,5,1,0.188
32716,214060,5,5,1,0.101
32729,29201,5,5,1,0.393
32729,35905,5,5,1,0.632
33228,33230,5,5,1,0.392
33228,33234,5,5,1,0.221
33230,33228,5,5,1,0.392
33230,50523,5,5,3,1.151
33230,50524,5,5,1,0.287
33231,33234,5,5,1,0.527
33231,33237,5,5,1,0.335
33232,11036,5,5,2,0.783
33232,33233,5,5,1,0.341
33233,33228,5,5,1,0.398
33233,33232,5,5,1,0.341
33233,33234,5,5,1,0.466
33234,33231,5,5,1,0.527
33234,33233,5,5,1,0.466
33236,33237,5,5,1,0.36
33236,37205,5,5,1,0.432
33237,33231,5,5,1,0.335
33237,33236,5,5,1,0.36
33264,46906,5,5,1,0.642
33264,76450,5,5,4,0.998
33548,33549,5,5,1,0.344
33548,33554,5,5,1,0.656
33549,25982,5,5,1,0.378
33549,25983,5,5,1,0.375
33549,33548,5,5,1,0.344
33554,27914,5,5,2,1.168
33554,27915,5,5,1,0.878
33554,33548,5,5,1,0.656
33557,4610,5,5,1,0.388
33557,25985,5,5,1,0.334
33557,25986,5,5,1,0.323
33605,33612,5,5,1,0.162
33605,76450,5,5,1,0.278
33606,46862,5,5,2,0.939
33606,76450,5,5,3,0.762
33607,46867,5,5,2,0.367
33607,76452,5,5,3,0.367
33608,12755,5,5,1,0.243
33608,33607,5,5,1,0.203
33608,76452,5,5,1,0.369
33608,211995,5,5,1,0.189
33609,33610,5,5,1,0.115
33609,46860,5,5,1,0.249
33610,33609,5,5,1,0.115
33610,47369,5,5,1,0.153
33612,33605,5,5,1,0.162
33612,47369,5,5,1,0.167
35883,14480,5,5,1,0.185
35905,32729,5,5,1,0.632
35905,35905,5,5,1,0
35905,37701,5,5,1,0.501
35905,40890,5,5,1,0.619
37203,37207,5,5,1,0.247
37203,252472,5,5,2,0.361
37204,18065,5,5,1,0.358
37204,37205,5,5,1,0.276
37204,37206,5,5,1,0.488
37204,70819,5,5,2,0.713
37204,162910,5,5,2,0.301
37205,33236,5,5,1,0.432
37205,37204,5,5,1,0.276
37205,162910,5,5,2,0.448
37206,18061,5,5,2,0.473
37206,37204,5,5,1,0.488
37207,37203,5,5,1,0.247
37207,171798,5,5,2,0.671
37701,22961,5,5,1,0.498
38621,1113,5,5,2,0.769
38621,22961,5,5,1,0.496
39320,39321,5,5,1,0.412
39320,39328,5,5,1,0.248
39321,20206,5,5,1,0.267
39321,39320,5,5,1,0.412
39323,39324,5,5,1,0.333
39323,39326,5,5,1,0.187
39323,39329,5,5,1,0.282
39324,25978,5,5,1,0.195
39324,39323,5,5,1,0.333
39325,4283,5,5,1,0.178
39325,6801,5,5,1,0.229
39326,4283,5,5,1,0.248
39326,39323,5,5,1,0.187
39328,39320,5,5,1,0.248
39329,39323,5,5,1,0.282
39329,39330,5,5,1,0.201
39330,25983,5,5,1,0.164
39330,39329,5,5,1,0.201
40890,37701,5,5,1,0.118
40890,238255,5,5,1,0.32
41890,21396,5,5,1,0.729
41890,41890,5,5,1,0
41890,51021,5,5,1,0.65
41890,82080,5,5,1,0.267
42244,42246,5,5,1,0.363
42246,17378,5,5,1,0.871
42246,42244,5,5,1,0.363
42978,46864,5,5,1,0.944
42978,81599,5,5,1,0.453
42982,27875,5,5,1,0.608
42982,42983,5,5,1,0.57
42983,42982,5,5,1,0.57
44797,44797,5,5,1,0
44797,44798,5,5,1,0.245
44797,44806,5,5,1,0.482
44797,203486,5,5,1,0.174
44798,4724,5,5,1,0.399
44798,44797,5,5,1,0.245
44798,86855,5,5,1,0.135
44800,12302,5,5,1,0.294
44800,44802,5,5,1,0.548
44801,4723,5,5,1,0.495
44801,44802,5,5,1,0.205
44802,12301,5,5,7,1.307
44802,44800,5,5,1,0.548
44802,44801,5,5,1,0.205
44802,67603,5,5,7,0.566
44806,30209,5,5,1,0.458
44806,44797,5,5,2,0.482
44806,86855,5,5,2,0.556
46822,46823,5,5,1,0.139
46822,46825,5,5,1,0.278
46823,14408,5,5,1,0.377
46823,46822,5,5,1,0.139
46824,46825,5,5,2,0.238
46824,46827,5,5,1,0.139
46825,46822,5,5,1,0.278
46825,46824,5,5,1,0.238
46826,46827,5,5,1,0.111
46826,46828,5,5,1,0.198
46827,46824,5,5,1,0.139
46827,46826,5,5,1,0.111
46828,4398,5,5,1,0.333
46828,46826,5,5,1,0.198
46859,14477,5,5,1,0.291
46859,46863,5,5,1,0.457
46859,46898,5,5,1,0.367
46859,46904,5,5,1,0.388
46860,33609,5,5,1,0.249
46860,151505,5,5,1,0.241
46862,33606,5,5,2,0.939
46862,46867,5,5,1,0.324
46862,66862,5,5,5,2.191
46863,46859,5,5,1,0.457
46863,66862,5,5,7,1.965
46863,98856,5,5,1,0.302
46864,42978,5,5,1,0.944
46864,46865,5,5,1,0.394
46865,46864,5,5,1,0.394
46865,46866,5,5,1,0.956
46866,25643,5,5,1,0.431
46866,46865,5,5,1,0.956
46866,46866,5,5,1,0
46866,211995,5,5,1,0.468
46867,33607,5,5,1,0.367
46867,46862,5,5,1,0.324
46898,46859,5,5,1,0.367
46898,76451,5,5,2,0.312
46899,27914,5,5,1,0.859
46899,46909,5,5,1,0.697
46902,46903,5,5,1,0.2
46902,46904,5,5,1,0.577
46902,46905,5,5,1,0.361
46902,46909,5,5,2,0.886
46903,46902,5,5,1,0.2
46903,46908,5,5,1,0.294
46904,46859,5,5,1,0.388
46904,46905,5,5,1,0.267
46905,46904,5,5,1,0.267
46905,201873,5,5,1,0.139
46906,33264,5,5,2,0.642
46906,46907,5,5,1,0.716
46907,27911,5,5,1,0.865
46907,46906,5,5,1,0.716
46908,46903,5,5,1,0.294
46908,46909,5,5,1,0.452
46909,46899,5,5,1,0.697
46909,46902,5,5,2,0.886
46909,46908,5,5,1,0.452
46929,1113,5,5,2,0.998
46929,44797,5,5,2,1.023
46929,46929,5,5,1,0
47353,12755,5,5,1,0.43
47353,14484,5,5,1,0.354
47369,33610,5,5,1,0.153
47369,33612,5,5,1,0.167
49734,11036,5,5,6,2.312
50523,50524,5,5,2,0.939
50523,50526,5,5,1,0.475
50524,33230,5,5,1,0.287
50524,50523,5,5,2,0.939
50525,50526,5,5,1,0.407
50525,50528,5,5,1,0.254
50526,50523,5,5,1,0.475
50526,50525,5,5,1,0.407
50527,50528,5,5,1,0.32
50527,50530,5,5,1,0.273
50528,50525,5,5,1,0.254
50528,50527,5,5,1,0.32
50529,50530,5,5,1,0.304
50529,212134,5,5,1,0.265
50530,50527,5,5,1,0.273
50530,50529,5,5,1,0.304
50531,18063,5,5,1,0.55
50531,18064,5,5,1,0.129
50531,50529,5,5,1,0.559
50531,67603,5,5,4,1.443
50532,18064,5,5,1,0.261
50532,18065,5,5,1,0.219
51021,41890,5,5,1,0.65
66548,14477,5,5,1,0.188
66862,46862,5,5,4,2.191
66862,151505,5,5,6,1.79
67603,12301,5,5,4,1.303
67603,12302,5,5,4,0.949
67603,18062,5,5,4,0.781
67603,18063,5,5,2,1.086
67603,44802,5,5,8,0.566
67603,171453,5,5,2,0.835
70819,252472,5,5,1,0.308
76450,27914,5,5,3,2.064
