"ori_node","des_node","ori_layer","des_layer","minutes","km"
2089,42018,2,2,3,1.637
42018,2089,2,2,3,1.637
108338,127044,4,4,15,4.083
127044,108338,4,4,10,4.083
134,38246,5,5,1,0.759
134,50565,5,5,1,0.897
135,13333,5,5,1,0.408
135,20861,5,5,1,0.489
136,137,5,5,1,0.16
136,13333,5,5,1,0.189
137,136,5,5,1,0.16
137,138,5,5,1,0.096
138,137,5,5,1,0.096
138,22253,5,5,1,0.194
842,30522,5,5,1,0.631
842,39502,5,5,1,0.493
1344,7627,5,5,1,0.637
1344,48312,5,5,1,0.437
2089,2089,5,5,1,0
2089,8317,5,5,1,0.629
2089,14580,5,5,2,1.06
2089,14585,5,5,3,0.744
2089,38244,5,5,2,0.572
2089,39916,5,5,1,0.638
2089,45634,5,5,1,0.692
2089,59119,5,5,1,0.256
2089,88181,5,5,2,0.604
2089,118213,5,5,1,0.482
2089,147787,5,5,1,0.583
2089,147788,5,5,1,0.807
2636,2638,5,5,1,0.285
2636,2645,5,5,1,0.283
2636,38245,5,5,1,0.168
2637,2640,5,5,1,0.272
2637,15897,5,5,1,0.45
2637,220666,5,5,1,0.305
2638,2636,5,5,1,0.285
2638,26563,5,5,1,0.212
2639,2640,5,5,1,0.393
2639,26563,5,5,1,0.325
2639,40191,5,5,1,0.755
2640,2637,5,5,1,0.272
2640,2639,5,5,1,0.393
2641,2642,5,5,2,0.331
2641,38244,5,5,1,0.127
2642,2641,5,5,1,0.331
2642,39915,5,5,1,0.161
2645,2636,5,5,1,0.283
2645,8317,5,5,1,0.263
2646,21744,5,5,1,0.235
2646,39914,5,5,1,0.207
3862,3863,5,5,1,0.144
3862,3872,5,5,1,0.259
3863,3862,5,5,1,0.144
3863,28020,5,5,1,0.173
3866,3867,5,5,1,0.321
3866,9413,5,5,1,0.343
3866,22252,5,5,1,0.348
3866,41243,5,5,1,0.218
3867,3866,5,5,1,0.321
3867,3868,5,5,1,0.252
3867,5108,5,5,1,0.75
3867,45633,5,5,2,0.978
3868,3867,5,5,1,0.252
3868,3869,5,5,1,0.406
3869,3868,5,5,1,0.406
3869,3870,5,5,1,0.333
3869,26559,5,5,1,0.256
3870,3871,5,5,1,0.218
3870,26559,5,5,1,0.121
3871,3870,5,5,1,0.218
3871,45625,5,5,1,0.304
3872,3862,5,5,1,0.259
3872,45625,5,5,1,0.26
4426,35046,5,5,1,0.218
4426,136342,5,5,1,0.323
5108,3867,5,5,1,0.75
5108,7531,5,5,1,0.181
5108,14580,5,5,1,0.676
5108,22944,5,5,1,0.449
5108,45633,5,5,1,0.231
5108,63489,5,5,1,0.601
5112,22209,5,5,1,0.755
6254,4426,5,5,1,0.497
6254,35039,5,5,1,0.25
7377,29372,5,5,1,0.245
7377,35038,5,5,1,0.255
7378,40195,5,5,1,0.348
7378,41941,5,5,1,0.312
7378,143473,5,5,1,0.262
7527,39502,5,5,1,0.393
7527,39917,5,5,1,0.14
7528,9421,5,5,1,0.555
7528,22248,5,5,1,0.286
7530,24244,5,5,1,0.162
7530,49523,5,5,2,1.381
7531,14580,5,5,1,0.498
7531,22944,5,5,1,0.269
7532,8316,5,5,1,0.298
7532,43224,5,5,1,0.29
7532,79576,5,5,1,0.484
7532,161851,5,5,1,0.452
7620,7631,5,5,1,0.638
7620,39920,5,5,1,0.465
7627,1344,5,5,1,0.637
7627,7630,5,5,1,0.593
7627,16628,5,5,3,1.826
7627,50565,5,5,2,1.291
7628,28644,5,5,1,0.757
7628,41936,5,5,4,1.813
7629,7632,5,5,1,0.542
7629,33730,5,5,1,0.459
7630,7627,5,5,1,0.593
7630,33730,5,5,1,0.538
7631,7620,5,5,1,0.638
7631,7632,5,5,1,0.389
7632,7629,5,5,1,0.542
7632,7631,5,5,1,0.389
8313,8318,5,5,1,0.24
8313,30524,5,5,1,0.321
8314,15893,5,5,1,0.382
8314,15894,5,5,2,0.469
8315,8316,5,5,1,0.248
8315,14584,5,5,1,0.223
8316,7532,5,5,1,0.298
8316,8315,5,5,1,0.248
8317,2089,5,5,1,0.629
8317,2645,5,5,1,0.263
8318,8313,5,5,1,0.24
8318,14580,5,5,4,0.729
8318,29375,5,5,2,0.725
8318,30524,5,5,2,0.557
8318,73013,5,5,1,0.193
8319,50623,5,5,1,0.289
8319,51434,5,5,1,0.261
8785,13151,5,5,2,0.987
8785,32529,5,5,1,0.689
8788,20871,5,5,2,0.468
8788,40189,5,5,1,1.503
8788,246426,5,5,1,1.052
8789,22936,5,5,1,0.268
8789,22937,5,5,1,0.345
8789,22938,5,5,1,0.289
8789,35046,5,5,1,0.355
8791,2089,5,5,2,1.504
8791,9410,5,5,1,0.452
8791,23244,5,5,1,0.16
8791,41938,5,5,1,0.452
8791,45633,5,5,1,0.514
9410,8791,5,5,2,0.452
9410,9411,5,5,1,0.148
9410,19070,5,5,1,0.227
9411,9410,5,5,1,0.148
9411,9412,5,5,1,0.396
9411,47242,5,5,2,0.43
9412,9411,5,5,1,0.396
9412,13154,5,5,1,0.202
9413,3866,5,5,1,0.343
9413,9421,5,5,2,0.47
9414,9415,5,5,1,0.105
9414,38237,5,5,1,0.231
9415,9414,5,5,1,0.105
9415,9416,5,5,1,0.22
9416,9415,5,5,1,0.22
9416,39919,5,5,1,0.375
9421,7528,5,5,1,0.555
9421,9413,5,5,2,0.47
9574,22932,5,5,1,0.279
9574,35043,5,5,1,0.568
9574,41242,5,5,1,0.528
13145,13148,5,5,1,1.358
13145,49521,5,5,2,1.884
13147,2640,5,5,2,0.824
13147,35038,5,5,1,0.442
13147,39919,5,5,1,0.535
13147,40193,5,5,1,0.4
13148,13145,5,5,1,1.358
13148,13334,5,5,1,0.415
13148,49521,5,5,4,3.21
13150,21744,5,5,1,0.404
13150,189196,5,5,1,0.357
13151,8785,5,5,1,0.987
13151,38246,5,5,1,0.151
13154,9412,5,5,1,0.202
13154,47242,5,5,1,0.183
13154,48310,5,5,1,0.164
13331,45787,5,5,1,0.298
13331,49515,5,5,1,0.578
13333,135,5,5,1,0.408
13333,136,5,5,1,0.189
13334,13148,5,5,1,0.415
13334,47004,5,5,2,1.221
13341,2089,5,5,1,0.636
13341,14585,5,5,1,0.143
13341,36319,5,5,4,1.164
13341,43224,5,5,2,0.838
13341,45634,5,5,1,0.424
13344,22933,5,5,1,0.19
13344,22934,5,5,1,0.236
14580,2089,5,5,5,1.06
14580,5108,5,5,1,0.676
14580,8318,5,5,2,0.729
14580,14585,5,5,1,0.497
14580,15894,5,5,2,0.553
14580,22944,5,5,1,0.259
14580,29375,5,5,1,0.335
14580,43224,5,5,1,0.449
14580,45634,5,5,1,0.372
14580,73012,5,5,1,0.348
14580,147788,5,5,1,0.379
14580,161851,5,5,1,0.345
14584,8315,5,5,1,0.223
14584,27481,5,5,1,0.573
14584,50562,5,5,1,0.507
14585,2089,5,5,2,0.744
14585,13341,5,5,1,0.143
14585,41938,5,5,2,0.487
14585,43224,5,5,2,0.759
14585,45633,5,5,1,0.55
14585,88182,5,5,6,0.569
14585,108338,5,5,1,0.194
14585,118213,5,5,1,0.419
15890,33727,5,5,1,0.311
15890,41937,5,5,2,1.128
15892,42018,5,5,1,0.515
15892,152146,5,5,1,0.26
15893,8314,5,5,1,0.382
15893,28016,5,5,1,0.285
15894,45634,5,5,1,0.4
15894,147788,5,5,3,0.693
15894,187089,5,5,1,0.239
15895,15897,5,5,1,0.36
15895,21748,5,5,1,0.261
15895,229927,5,5,1,0.142
15895,259879,5,5,3,0.631
15896,15897,5,5,1,0.211
15896,26560,5,5,1,0.26
15897,2637,5,5,1,0.45
15897,15895,5,5,1,0.36
15897,15896,5,5,1,0.211
16625,22939,5,5,1,0.317
16625,28021,5,5,1,0.156
16628,41246,5,5,1,0.453
16628,51439,5,5,1,0.425
16628,82752,5,5,1,0.483
19070,8791,5,5,1,0.224
19070,23244,5,5,1,0.368
20359,23244,5,5,1,0.291
20359,48310,5,5,1,0.266
20360,15894,5,5,2,0.661
20360,36319,5,5,1,0.309
20360,36321,5,5,1,0.213
20361,32241,5,5,1,0.221
20361,40189,5,5,1,0.735
20861,135,5,5,1,0.489
20861,22255,5,5,1,0.493
20861,32528,5,5,3,1.614
20863,20864,5,5,1,0.6
20863,40194,5,5,1,0.567
20864,20863,5,5,1,0.6
20864,39497,5,5,1,0.223
20864,40188,5,5,1,0.506
20865,27480,5,5,1,0.584
20865,121400,5,5,2,0.607
20871,8788,5,5,1,0.468
20871,32241,5,5,1,0.444
21741,26560,5,5,1,0.221
21741,26561,5,5,1,0.255
