"ori_node","des_node","ori_layer","des_layer","minutes","km"
7351,25717,1,1,14,2.71
25717,7351,1,1,14,2.71
25717,35082,1,1,4,0.814
25717,69428,1,1,15,1.583
27197,69428,1,1,20,3.467
35082,25717,1,1,4,0.814
35082,42918,1,1,4,0.888
42918,35082,1,1,4,0.888
51076,25717,1,1,8,1.758
51076,35082,1,1,11,2.376
69428,27197,1,1,25,3.467
5397,35082,2,2,3,0.764
7458,35082,2,2,4,1.727
7458,49630,2,2,3,2.109
35082,5397,2,2,3,0.764
35082,7458,2,2,4,1.727
49630,7458,2,2,4,2.109
5397,5397,3,3,1,0
5397,35082,3,3,2,0.764
5397,42918,3,3,2,0.788
7458,7458,3,3,1,0
7458,27197,3,3,2,0.89
7458,35082,3,3,2,1.727
7458,38648,3,3,2,0.549
7458,48582,3,3,3,1.739
9032,49630,3,3,1,0.818
22405,30363,3,3,2,0.878
22405,35082,3,3,1,0.657
27197,7458,3,3,2,0.89
30363,22405,3,3,2,0.878
30363,38648,3,3,2,1.078
30363,48582,3,3,2,0.805
35082,5397,3,3,2,0.764
35082,7458,3,3,2,1.727
35082,22405,3,3,1,0.657
38648,7458,3,3,2,0.549
38648,30363,3,3,2,1.078
42918,5397,3,3,1,0.788
42918,42918,3,3,2,0
48582,7458,3,3,3,1.739
48582,30363,3,3,2,0.805
49630,9032,3,3,1,0.818
9032,49630,4,4,2,0.818
30363,9032,4,4,5,2.483
42918,5397,4,4,5,0.788
49630,9032,4,4,3,0.818
1439,45114,5,5,1,0.265
1439,47101,5,5,1,0.405
1439,89045,5,5,1,0.382
1655,19072,5,5,1,0.283
1655,27197,5,5,1,0.427
2075,7351,5,5,4,0.86
2075,10380,5,5,1,0.395
2075,27197,5,5,1,0.581
2618,20110,5,5,1,0.235
5217,5217,5,5,1,0
5217,35082,5,5,1,0.532
5217,35832,5,5,1,0.167
5217,35834,5,5,1,0.102
5397,5397,5,5,1,0
5397,25717,5,5,1,0.518
5397,35082,5,5,1,0.764
5397,42918,5,5,1,0.788
5397,101640,5,5,1,0.447
5397,149363,5,5,1,0.491
7351,7351,5,5,1,0
7351,9779,5,5,1,0.52
7351,19072,5,5,1,0.367
7351,19261,5,5,3,0.48
7351,26152,5,5,1,0.335
7351,38063,5,5,1,0.286
7351,49630,5,5,1,0.677
7351,50949,5,5,1,0.383
7458,7458,5,5,1,0
7458,20083,5,5,1,0.698
7458,20110,5,5,1,0.536
7458,21491,5,5,1,0.692
7458,38648,5,5,1,0.549
7458,47101,5,5,1,0.615
7458,50902,5,5,1,0.6
7458,51076,5,5,1,0.648
7697,45168,5,5,1,0.249
7697,50379,5,5,1,0.296
8262,9032,5,5,2,0.384
8308,2075,5,5,5,0.566
