"ori_node","des_node","ori_layer","des_layer","minutes","km"
1,34938,2,2,3,2.846
12956,34872,2,2,7,7.801
21635,34872,2,2,7,1.789
21635,34938,2,2,7,4.842
21635,37748,2,2,4,1.563
34872,12956,2,2,6,7.801
34872,21635,2,2,7,1.789
34872,34938,2,2,7,6.56
34872,37748,2,2,4,2.921
34938,1,2,2,3,2.846
34938,34872,2,2,9,6.56
34938,37748,2,2,4,3.78
37748,21635,2,2,4,1.563
37748,34872,2,2,7,2.921
37748,34938,2,2,4,3.78
1,16405,4,4,7,4.487
16405,1,4,4,7,4.487
16405,21635,4,4,10,2.831
21635,16405,4,4,5,2.831
1,1,5,5,1,0
1,18768,5,5,1,0.606
1,37933,5,5,1,1.217
1395,1397,5,5,1,0.419
1395,33780,5,5,1,0.232
1396,4934,5,5,1,0.775
1396,6567,5,5,2,2.511
1397,1395,5,5,1,0.419
1397,4934,5,5,1,0.343
1398,1404,5,5,1,0.287
1398,8310,5,5,1,0.299
1398,20424,5,5,1,0.412
1400,1401,5,5,1,0.224
1400,8310,5,5,1,0.278
1401,1400,5,5,1,0.224
1401,6573,5,5,2,0.251
1402,6573,5,5,1,0.374
1402,20428,5,5,1,0.791
1402,41303,5,5,2,0.829
1403,1402,5,5,1,0.304
1403,1404,5,5,1,0.415
1403,6573,5,5,1,0.106
1403,20424,5,5,1,0.262
1404,1398,5,5,1,0.287
1404,1403,5,5,1,0.415
1404,20424,5,5,2,0.278
1404,24032,5,5,1,0.245
1458,14632,5,5,2,0.723
1458,43020,5,5,3,1.829
1657,21594,5,5,1,0.083
1657,48003,5,5,1,0.309
1658,24092,5,5,1,0.274
1658,48003,5,5,1,0.339
2417,2418,5,5,1,0.275
2417,46843,5,5,1,0.266
2418,2417,5,5,1,0.275
2418,2428,5,5,1,0.263
2419,2420,5,5,2,0.636
2419,13882,5,5,9,2.277
2419,41284,5,5,1,0.433
2419,159550,5,5,1,0.438
2420,41285,5,5,2,0.853
2420,46843,5,5,1,0.33
2421,2424,5,5,1,0.232
2421,26275,5,5,1,0.209
2422,40591,5,5,1,0.115
2422,46306,5,5,1,0.766
2423,2424,5,5,1,0.244
2423,46305,5,5,1,0.355
2424,2421,5,5,1,0.232
2424,2423,5,5,1,0.244
2428,2418,5,5,1,0.263
2428,2429,5,5,1,0.222
2429,2428,5,5,1,0.222
2429,40584,5,5,1,0.251
2429,40585,5,5,1,0.263
2429,176096,5,5,1,0.173
2492,21617,5,5,1,0.34
3292,34841,5,5,1,0.241
3292,242088,5,5,1,0.316
3297,34836,5,5,1,0.221
3297,137665,5,5,1,0.215
4256,12956,5,5,1,0.922
4256,26394,5,5,1,0.56
4256,37363,5,5,1,0.494
4872,4873,5,5,1,0.246
4872,4875,5,5,1,0.274
4872,4877,5,5,1,0.213
4872,24038,5,5,1,0.225
4873,4872,5,5,1,0.246
4873,4878,5,5,1,0.15
4874,4875,5,5,1,0.202
4874,10629,5,5,1,0.203
4874,24029,5,5,1,0.466
4875,4872,5,5,1,0.274
4875,4874,5,5,1,0.202
4876,4876,5,5,1,0
4876,4878,5,5,1,0.309
4876,24033,5,5,1,0.105
4877,4872,5,5,1,0.213
4877,154193,5,5,1,0.126
4878,4873,5,5,1,0.15
4878,4876,5,5,1,0.309
4879,4877,5,5,1,0.18
4879,24033,5,5,1,0.158
4933,19355,5,5,4,2.948
4933,44577,5,5,1,0.894
4934,1396,5,5,1,0.775
4934,1397,5,5,1,0.343
4934,4934,5,5,1,0
4934,41299,5,5,1,0.398
6567,1396,5,5,3,2.511
6567,150134,5,5,1,3.214
6573,1401,5,5,1,0.251
6573,1402,5,5,1,0.374
6573,1403,5,5,1,0.106
6749,8083,5,5,2,1.607
6749,21223,5,5,1,1.334
6749,32316,5,5,2,0.858
6752,32242,5,5,1,0.989
6752,32246,5,5,7,3.713
6752,32247,5,5,1,0.301
6752,36755,5,5,4,2.029
7307,12006,5,5,1,0.108
7307,34055,5,5,1,0.186
7431,29902,5,5,1,0.328
7431,35584,5,5,1,0.151
8081,13877,5,5,1,0.234
8081,46309,5,5,1,0.257
8081,48827,5,5,1,0.212
8081,48832,5,5,1,0.394
8082,21635,5,5,1,0.582
8082,39267,5,5,1,0.381
8082,216028,5,5,1,0.235
8083,6749,5,5,2,1.607
8083,21223,5,5,1,0.279
8083,21560,5,5,1,0.311
8084,27264,5,5,1,0.411
8084,27267,5,5,2,0.335
8084,39267,5,5,1,0.231
8085,8086,5,5,1,0.268
8085,8088,5,5,1,0.301
8085,27269,5,5,1,0.189
8085,253303,5,5,1,0.123
8086,8085,5,5,1,0.268
8086,27275,5,5,1,0.336
8087,8088,5,5,1,0.272
8087,27275,5,5,1,0.352
8088,8085,5,5,1,0.301
8088,8087,5,5,1,0.272
8228,8233,5,5,1,0.222
8228,50138,5,5,1,0.607
8229,18796,5,5,1,0.151
8229,36864,5,5,2,0.873
8230,8238,5,5,1,0.815
8230,50138,5,5,1,1.207
8231,8232,5,5,1,0.296
8231,8234,5,5,1,0.138
8232,8231,5,5,1,0.296
8232,8234,5,5,1,0.434
8232,33206,5,5,1,0.49
8233,8228,5,5,1,0.222
8233,8234,5,5,1,0.338
8234,8231,5,5,1,0.138
8234,8233,5,5,1,0.338
8238,8230,5,5,1,0.815
8238,8238,5,5,1,0
8238,29940,5,5,2,0.876
8238,41293,5,5,2,0.789
8238,46447,5,5,1,0.336
8239,18796,5,5,2,1.466
8239,34904,5,5,2,0.893
8310,1398,5,5,1,0.299
8310,1400,5,5,1,0.278
8310,6573,5,5,3,0.352
8840,8841,5,5,1,0.223
8840,41288,5,5,1,0.339
8841,8840,5,5,1,0.223
8841,8842,5,5,1,0.282
8842,8841,5,5,1,0.282
8842,8843,5,5,1,0.173
8843,8842,5,5,1,0.173
8844,8845,5,5,2,0.272
8844,29898,5,5,1,0.254
8845,8844,5,5,1,0.272
8845,31014,5,5,2,0.457
8846,27264,5,5,1,0.177
8846,31014,5,5,2,0.469
8847,8848,5,5,1,0.347
8847,26486,5,5,1,0.215
8848,8847,5,5,1,0.347
8848,29904,5,5,1,0.194
8849,27266,5,5,1,0.222
8849,29901,5,5,1,0.098
8863,8864,5,5,1,0.198
8863,8866,5,5,1,0.321
8864,8863,5,5,1,0.198
8864,41297,5,5,1,0.284
8866,8863,5,5,1,0.321
8866,41300,5,5,1,0.367
8866,110196,5,5,1,0.159
9800,9801,5,5,3,2.686
9800,32320,5,5,2,0.688
9800,34701,5,5,1,1.239
9800,34704,5,5,1,1.345
9801,9800,5,5,5,2.686
9801,15550,5,5,1,0.404
9803,31305,5,5,1,0.292
9803,34703,5,5,1,0.286
9808,9809,5,5,1,0.247
9808,19281,5,5,1,0.298
9809,9808,5,5,1,0.247
9809,48256,5,5,1,0.473
9890,4256,5,5,1,0.134
9890,9891,5,5,1,0.257
9891,9890,5,5,1,0.257
9891,37363,5,5,1,0.169
9893,10630,5,5,4,3.08
9893,32247,5,5,1,0.771
10625,10634,5,5,1,0.293
10625,191686,5,5,1,0.12
10626,37748,5,5,1,0.712
10626,220156,5,5,1,0.111
10626,240773,5,5,1,0.186
10628,10629,5,5,1,0.313
10628,43015,5,5,1,0.277
10628,46705,5,5,1,0.125
10629,4874,5,5,1,0.203
10629,10628,5,5,1,0.313
10629,10631,5,5,1,0.484
10629,12871,5,5,1,0.314
10629,24029,5,5,1,0.346
10630,9893,5,5,4,3.08
10630,12871,5,5,1,0.29
10630,32247,5,5,5,3.849
10631,10629,5,5,1,0.484
10631,10632,5,5,1,0.226
10631,42418,5,5,3,1.817
10631,225480,5,5,1,0.613
10632,10631,5,5,1,0.226
10632,245831,5,5,1,0.186
10634,10625,5,5,1,0.293
10634,12877,5,5,2,0.251
10634,16407,5,5,1,0.255
11778,25851,5,5,2,0.277
12006,7307,5,5,1,0.108
12006,29135,5,5,1,0.209
12070,34051,5,5,1,0.129
12070,84498,5,5,1,0.135
12561,34057,5,5,1,0.291
12561,105234,5,5,1,0.271
12871,10629,5,5,1,0.314
12871,10630,5,5,1,0.29
12871,225480,5,5,1,0.194
12877,10632,5,5,1,0.456
12877,10634,5,5,2,0.251
12956,4256,5,5,1,0.922
12956,9890,5,5,2,1.027
12956,12956,5,5,1,0
12956,15557,5,5,1,1.038
12956,32198,5,5,1,0.987
12956,34872,5,5,10,7.801
12956,73327,5,5,10,11.7
12956,159550,5,5,7,3.736
13040,24086,5,5,1,0.284
13040,43580,5,5,1,1.228
13041,13042,5,5,1,0.483
13041,13043,5,5,1,0.653
13042,13041,5,5,1,0.483
13042,24086,5,5,1,0.733
13042,48002,5,5,2,1.395
13043,13041,5,5,1,0.653
13043,13882,5,5,2,0.832
13045,13046,5,5,1,0.451
13045,13048,5,5,1,0.573
13046,13045,5,5,1,0.451
13046,32198,5,5,1,0.387
13048,13045,5,5,1,0.573
13048,41284,5,5,1,0.634
13873,13874,5,5,1,0.365
13873,13880,5,5,1,0.219
13873,34840,5,5,1,0.287
13874,13873,5,5,1,0.365
13874,13875,5,5,1,0.208
13875,13874,5,5,1,0.208
13875,13876,5,5,1,0.187
13876,13875,5,5,1,0.187
13876,13881,5,5,1,0.25
13876,34843,5,5,1,0.138
13877,8081,5,5,1,0.234
13877,13878,5,5,1,0.325
13878,13877,5,5,1,0.325
13878,13879,5,5,1,0.361
13879,13878,5,5,1,0.361
13879,13880,5,5,1,0.347
13880,13873,5,5,1,0.219
13880,13879,5,5,1,0.347
