"ori_node","des_node","ori_layer","des_layer","minutes","km"
18421,40739,2,2,5,5.756
18421,41487,2,2,2,1.346
24054,35789,2,2,3,1.994
35789,24054,2,2,2,1.994
35789,40739,2,2,3,1.852
40739,18421,2,2,6,5.756
40739,35789,2,2,3,1.852
40739,41487,2,2,4,4.417
41487,18421,2,2,2,1.346
41487,40739,2,2,4,4.417
41487,41487,3,3,4,0
41487,41487,4,4,10,0
4182,9929,5,5,1,0.314
4182,17191,5,5,8,1.884
4182,23317,5,5,3,1.512
5634,24844,5,5,1,0.297
5634,38164,5,5,1,0.357
5634,44476,5,5,1,0.443
7201,36700,5,5,1,0.472
7201,45708,5,5,1,0.664
9911,41487,5,5,4,1.6
9911,43513,5,5,2,0.718
9911,51285,5,5,1,0.44
9911,211767,5,5,1,0.478
9929,4182,5,5,1,0.314
9929,194420,5,5,4,2.626
10736,43836,5,5,1,0.609
10736,216378,5,5,1,0.462
11565,44476,5,5,1,0.239
13106,17754,5,5,2,1.103
13106,35789,5,5,11,5.943
13106,43513,5,5,8,4.7
14091,17432,5,5,1,0.565
14091,43513,5,5,1,0.531
16894,43513,5,5,3,0.73
16894,127208,5,5,1,0.119
17191,4182,5,5,2,1.884
17432,9911,5,5,3,1.542
17432,14091,5,5,1,0.565
17432,23317,5,5,1,0.452
17432,25883,5,5,1,0.68
17432,43513,5,5,3,0.96
17754,10736,5,5,1,1.108
17754,13106,5,5,2,1.103
17754,29142,5,5,1,0.595
17754,40742,5,5,2,1.762
17754,43836,5,5,1,0.51
18421,18421,5,5,1,0
18421,24192,5,5,1,0.722
18421,29323,5,5,1,0.503
18421,41487,5,5,1,1.346
18421,51285,5,5,1,0.582
18969,38164,5,5,1,0.265
18969,49620,5,5,1,0.45
19792,114382,5,5,4,2.381
19792,187371,5,5,2,1.266
22357,148132,5,5,1,0.346
23317,4182,5,5,3,1.512
23317,17432,5,5,1,0.452
24054,24054,5,5,1,0
24054,124781,5,5,1,0.412
24054,194415,5,5,2,0.72
24054,204099,5,5,1,0.253
24054,204100,5,5,1,0.311
24054,204101,5,5,1,0.56
24054,243182,5,5,1,0.533
24192,18421,5,5,1,0.722
24192,27592,5,5,1,0.176
24844,5634,5,5,1,0.297
24844,45708,5,5,1,0.278
25749,44129,5,5,1,0.158
25749,44962,5,5,1,0.205
25883,9911,5,5,1,0.87
25883,17432,5,5,2,0.68
25883,41487,5,5,3,1.827
27592,24192,5,5,1,0.176
27592,39689,5,5,1,0.441
29142,17754,5,5,1,0.595
29142,49620,5,5,1,0.488
29323,18421,5,5,1,0.503
29323,41487,5,5,9,1.748
29323,48218,5,5,1,0.343
29323,51285,5,5,1,0.366
35789,13106,5,5,8,5.943
35789,35789,5,5,1,0
35789,58413,5,5,6,1.957
