"ori_node","des_node","ori_layer","des_layer","minutes","km"
7398,8569,2,2,6,6.457
7398,37570,2,2,7,7.218
7398,37744,2,2,8,8.965
8569,7398,2,2,9,6.457
37570,7398,2,2,10,7.218
37744,7398,2,2,9,8.965
221,222,4,4,15,6.069
222,221,4,4,15,6.069
221,8569,5,5,4,0.619
221,11137,5,5,1,0.231
221,22900,5,5,1,0.3
221,44485,5,5,1,0.178
222,23047,5,5,1,0.236
222,32154,5,5,1,0.429
222,43987,5,5,1,0.292
222,190804,5,5,1,0.185
223,24518,5,5,1,0.288
223,138515,5,5,1,0.282
224,6248,5,5,3,0.687
224,32616,5,5,1,0.183
224,49753,5,5,1,0.188
227,228,5,5,2,0.501
227,50731,5,5,5,2.202
228,227,5,5,1,0.501
228,41892,5,5,3,2.542
1510,1516,5,5,1,0.51
1510,11134,5,5,1,0.71
1511,28743,5,5,1,0.449
1511,34534,5,5,1,0.491
1512,43536,5,5,1,0.183
1512,43537,5,5,1,0.166
1513,11133,5,5,1,0.488
1513,34534,5,5,1,0.47
1514,1520,5,5,1,0.366
1514,33904,5,5,2,1.144
1515,4061,5,5,1,0.407
1515,5264,5,5,1,0.513
1516,1510,5,5,1,0.51
1516,18713,5,5,1,0.542
1517,37886,5,5,1,0.191
1517,37887,5,5,1,0.387
1519,1520,5,5,1,0.461
1519,33899,5,5,1,0.48
1520,1514,5,5,1,0.366
1520,1519,5,5,1,0.461
1732,13190,5,5,1,0.114
1732,17304,5,5,1,0.211
1732,37881,5,5,2,0.422
1743,11579,5,5,1,0.169
1743,13190,5,5,1,0.259
1743,54200,5,5,1,0.318
3377,10981,5,5,1,0.074
3377,16588,5,5,1,0.256
3381,12487,5,5,1,0.484
3381,12490,5,5,1,0.759
3381,35251,5,5,1,0.466
3382,12490,5,5,1,0.455
3382,24263,5,5,2,0.72
3382,40856,5,5,1,0.433
3383,3385,5,5,1,0.313
3383,16590,5,5,1,0.42
3383,22893,5,5,1,0.406
3384,3386,5,5,1,0.504
3384,22893,5,5,1,0.308
3385,3383,5,5,1,0.313
3385,6683,5,5,2,0.244
3385,6685,5,5,1,0.26
3386,3384,5,5,1,0.504
3386,49063,5,5,1,0.309
3821,24516,5,5,1,0.358
3821,37882,5,5,2,1.004
