"ori_node","des_node","ori_layer","des_layer","minutes","km"
2187,4829,2,2,4,3.279
2187,39813,2,2,3,3.105
4829,2187,2,2,4,3.279
24175,31744,2,2,3,1.701
31744,24175,2,2,3,1.701
31744,39813,2,2,2,1.264
39813,2187,2,2,3,3.105
39813,31744,2,2,2,1.264
2187,2187,5,5,1,0
2187,93470,5,5,1,0.348
4829,4829,5,5,1,0
4829,83296,5,5,1,0.444
4829,151922,5,5,1,0.252
4829,180421,5,5,1,0.644
4829,255554,5,5,1,0.318
24175,24175,5,5,1,0
24175,60824,5,5,1,0.301
24175,216698,5,5,1,0.504
31744,117729,5,5,1,0.431
31744,135205,5,5,1,0.254
39813,39813,5,5,1,0
39813,184564,5,5,1,0.565
39813,241245,5,5,1,0.458
51804,39813,5,5,1,0.274
52668,142716,5,5,1,0.273
53386,237893,5,5,1,0.425
54457,64147,5,5,1,0.179
54457,64730,5,5,1,0.158
54993,216697,5,5,1,0.367
54994,64630,5,5,1,0.164
56113,256402,5,5,1,0.306
58171,114008,5,5,1,0.164
58171,210214,5,5,1,0.327
59042,51804,5,5,1,0.609
59777,131811,5,5,1,0.565
59777,207032,5,5,1,0.157
59778,69403,5,5,1,0.212
59778,69404,5,5,1,0.26
60824,237894,5,5,1,0.37
62333,54457,5,5,1,0.389
62334,243730,5,5,1,0.126
63276,93477,5,5,1,0.407
64147,133723,5,5,1,0.116
64147,143742,5,5,1,0.076
64630,246197,5,5,1,0.171
64631,54993,5,5,1,0.165
64730,73339,5,5,1,0.329
64730,113239,5,5,1,0.662
64730,132790,5,5,1,0.473
64730,142714,5,5,1,0.454
65528,81606,5,5,1,0.224
65761,56113,5,5,1,0.202
66804,214317,5,5,1,0.323
67857,131813,5,5,1,0.271
69403,141804,5,5,1,0.469
69404,250591,5,5,1,0.351
69405,59777,5,5,1,0.205
72098,174010,5,5,3,3.087
72098,242158,5,5,2,4.029
73339,244039,5,5,1,0.306
73341,54457,5,5,1,0.203
73341,54458,5,5,1,0.198
74549,111868,5,5,1,0.325
74550,239585,5,5,1,0.403
79112,88852,5,5,1,0.45
79113,226200,5,5,2,1.516
79113,232484,5,5,1,0.746
81606,65761,5,5,1,0.182
81688,24175,5,5,1,0.532
81819,2187,5,5,1,0.272
81819,107688,5,5,1,0.817
83071,73341,5,5,1,0.345
83296,92900,5,5,1,0.293
83296,170636,5,5,1,0.187
87799,225627,5,5,3,1.842
87799,237255,5,5,3,1.429
88852,220133,5,5,1,0.331
91146,100865,5,5,1,0.133
91147,253586,5,5,1,0.115
92900,102626,5,5,1,0.248
93319,225627,5,5,5,1.416
93470,170393,5,5,1,0.413
93474,154998,5,5,1,0.296
93475,53386,5,5,1,0.363
93475,93477,5,5,1,0.067
93475,225039,5,5,1,0.616
93476,93474,5,5,1,0.173
93477,93474,5,5,1,0.114
93477,254394,5,5,1,0.492
100864,91147,5,5,1,0.162
100865,216039,5,5,1,0.109
102626,113238,5,5,1,0.14
102626,122867,5,5,1,0.233
107688,172033,5,5,1,0.895
107860,207032,5,5,1,0.18
107860,207033,5,5,1,0.172
107860,207034,5,5,1,0.16
108175,31744,5,5,1,0.323
111860,74550,5,5,1,0.28
111868,220133,5,5,1,0.399
113238,64730,5,5,1,0.644
113238,142714,5,5,1,0.267
113239,122867,5,5,1,0.322
114008,123593,5,5,1,0.384
115701,125420,5,5,2,0.404
115702,199050,5,5,2,0.69
117729,118058,5,5,1,0.139
118058,59042,5,5,1,0.395
122867,224304,5,5,1,0.166
122867,235433,5,5,1,0.213
122868,113238,5,5,1,0.329
123593,211965,5,5,1,0.279
123594,219151,5,5,1,0.41
125419,115702,5,5,1,0.42
125420,222796,5,5,2,1.284
130469,140374,5,5,1,0.272
130470,160223,5,5,1,0.304
131811,58171,5,5,1,0.413
131813,59778,5,5,2,0.52
131813,107860,5,5,1,0.441
131813,207032,5,5,1,0.566
132789,142716,5,5,1,0.369
132790,162496,5,5,1,0.42
133723,54457,5,5,1,0.22
133723,113239,5,5,1,0.352
133723,142714,5,5,1,0.161
135205,108175,5,5,1,0.1
138193,216040,5,5,1,0.115
139439,199868,5,5,1,0.255
140373,130470,5,5,1,0.231
140374,245714,5,5,1,0.381
141804,179596,5,5,1,0.391
