"ori_node","des_node","ori_layer","des_layer","minutes","km"
336,16766,2,2,2,1.126
4480,25380,2,2,3,2.686
4480,29271,2,2,4,2.802
16766,336,2,2,2,1.126
16766,25380,2,2,3,1.855
16766,29271,2,2,4,1.796
25380,4480,2,2,3,2.686
25380,16766,2,2,2,1.855
29271,4480,2,2,4,2.802
29271,16766,2,2,4,1.796
5649,24040,3,3,1,0.677
5649,40860,3,3,1,0.55
10202,25380,3,3,2,0.539
10202,35879,3,3,1,0.482
13265,20464,3,3,1,0.58
13265,35879,3,3,2,0.627
20464,13265,3,3,2,0.58
20464,33742,3,3,1,0.444
24040,5649,3,3,1,0.677
24040,24044,3,3,2,0.523
24044,24040,3,3,2,0.523
24044,29271,3,3,2,0.928
25380,10202,3,3,2,0.539
25380,25380,3,3,2,0
25380,37188,3,3,2,0.825
29271,25380,3,3,2,0.755
29271,29271,3,3,1,0
33742,20464,3,3,1,0.444
35879,10202,3,3,1,0.482
35879,13265,3,3,2,0.627
37188,24044,3,3,2,0.619
37188,29271,3,3,1,0.538
40860,5649,3,3,1,0.55
173,7695,5,5,1,0.152
173,20459,5,5,1,0.278
173,29163,5,5,1,0.36
173,140429,5,5,1,0.543
175,4480,5,5,1,0.516
175,20621,5,5,1,0.325
180,4480,5,5,1,0.629
336,336,5,5,1,0
336,7759,5,5,1,0.553
336,40853,5,5,1,0.622
336,46457,5,5,1,0.53
336,54269,5,5,1,0.486
336,149340,5,5,1,0.489
336,221599,5,5,1,0.443
993,33617,5,5,1,0.39
2008,8446,5,5,1,0.588
2008,84853,5,5,1,0.222
2131,29271,5,5,1,0.573
2131,40026,5,5,1,0.345
2188,7889,5,5,1,0.278
2188,17875,5,5,1,0.144
2188,23673,5,5,1,0.233
3100,11950,5,5,1,0.35
4073,11950,5,5,1,0.26
4073,63176,5,5,1,0.25
4480,175,5,5,1,0.516
4480,180,5,5,1,0.629
4480,4480,5,5,1,0
4480,16766,5,5,1,1.067
4480,27694,5,5,1,0.595
4480,62653,5,5,1,0.634
4480,74253,5,5,1,0.422
5296,28722,5,5,1,0.399
5296,31785,5,5,1,0.511
5544,11950,5,5,1,0.413
5544,35710,5,5,1,0.248
5649,24040,5,5,1,0.677
5649,40860,5,5,1,0.55
5649,44927,5,5,1,0.403
7670,29665,5,5,1,0.302
7670,44927,5,5,1,0.399
7695,173,5,5,1,0.152
7695,26904,5,5,1,0.121
7759,336,5,5,1,0.553
7759,28272,5,5,1,0.327
7883,40128,5,5,1,0.307
7883,148117,5,5,1,0.259
7889,2188,5,5,1,0.278
7889,13265,5,5,1,0.327
8346,29077,5,5,1,0.221
8346,32981,5,5,1,0.335
8446,2008,5,5,1,0.588
8446,40860,5,5,1,0.432
10202,10202,5,5,1,0
10202,25380,5,5,1,0.539
10202,35879,5,5,1,0.482
10286,84853,5,5,1,0.327
10286,141229,5,5,1,0.149
10306,74720,5,5,1,0.15
10306,85446,5,5,1,0.133
10306,196335,5,5,1,0.161
11950,3100,5,5,1,0.35
11950,4073,5,5,1,0.26
11950,171923,5,5,1,0.285
12751,49477,5,5,1,0.277
12751,123310,5,5,1,0.224
13008,74707,5,5,1,0.201
13231,81313,5,5,1,0.331
13231,249046,5,5,1,0.355
13265,7889,5,5,1,0.327
13265,13265,5,5,1,0
13265,20464,5,5,1,0.58
13265,35879,5,5,2,0.627
13265,40128,5,5,1,0.304
13628,33617,5,5,1,0.314
13628,38439,5,5,1,0.221
13695,44927,5,5,1,0.403
13695,50330,5,5,1,0.247
14892,20464,5,5,1,0.383
14892,245462,5,5,1,0.281
16766,4480,5,5,1,1.067
16766,16766,5,5,1,0
16766,29163,5,5,1,0.531
16766,48903,5,5,1,0.607
16766,93330,5,5,1,0.287
16766,208382,5,5,1,0.51
17095,42868,5,5,1,0.218
17875,2188,5,5,1,0.144
17875,34877,5,5,1,0.24
17995,10306,5,5,1,0.356
17995,42790,5,5,1,0.235
18763,25287,5,5,1,0.272
18763,30911,5,5,1,0.301
18954,14892,5,5,1,0.506
18954,57074,5,5,1,0.258
20019,27652,5,5,1,0.271
20459,173,5,5,1,0.278
20459,29271,5,5,1,0.651
20464,13265,5,5,2,0.58
20464,14892,5,5,1,0.383
20464,33742,5,5,1,0.444
20621,175,5,5,1,0.325
20621,50332,5,5,1,0.255
21420,46455,5,5,1,0.157
21420,91488,5,5,1,0.272
22483,38439,5,5,1,0.218
22483,40853,5,5,1,0.201
22506,29269,5,5,1,0.282
22506,46435,5,5,1,0.264
23426,29450,5,5,1,0.111
23426,49725,5,5,1,0.203
23673,2188,5,5,1,0.233
23673,33742,5,5,1,0.283
23759,46456,5,5,1,0.38
23759,127923,5,5,1,0.16
23821,46435,5,5,1,0.163
23821,83664,5,5,1,0.417
23827,258732,5,5,1,0.21
24040,5649,5,5,1,0.677
24040,24040,5,5,1,0
24040,249955,5,5,1,0.262
24044,24040,5,5,2,0.523
24044,24044,5,5,1,0
24044,37188,5,5,1,0.619
24907,173,5,5,1,0.215
25287,18763,5,5,1,0.272
25287,38190,5,5,1,0.352
25380,10202,5,5,1,0.539
25380,25380,5,5,1,0
25380,29271,5,5,1,0.755
25380,37188,5,5,2,0.825
25380,49793,5,5,1,0.583
25495,27652,5,5,1,0.168
25495,47196,5,5,1,0.228
