"ori_node","des_node","ori_layer","des_layer","minutes","km"
25621,47217,2,2,1,1.094
47217,25621,2,2,1,1.094
177,22820,5,5,2,1.869
177,134686,5,5,1,0.675
177,162603,5,5,6,1.652
391,35948,5,5,1,0.172
391,50857,5,5,1,0.31
547,8753,5,5,1,0.15
547,40451,5,5,1,0.261
723,729,5,5,1,0.257
723,36105,5,5,1,0.213
729,723,5,5,1,0.257
757,19360,5,5,1,0.237
757,35948,5,5,1,0.153
1162,25534,5,5,1,0.211
1162,167762,5,5,1,0.221
1286,7486,5,5,1,0.421
1286,25621,5,5,1,1.022
1286,47516,5,5,1,0.603
1287,19043,5,5,1,0.445
1287,41295,5,5,1,0.439
1287,261780,5,5,1,0.39
1289,7486,5,5,1,0.38
1289,41295,5,5,1,0.343
1867,1868,5,5,1,0.314
1867,11340,5,5,1,0.428
1868,1867,5,5,1,0.314
1868,5101,5,5,1,1.379
1869,11340,5,5,1,0.481
1875,5424,5,5,1,0.172
1875,189074,5,5,1,0.289
1875,189075,5,5,1,0.184
1878,20975,5,5,1,0.174
1878,189070,5,5,1,0.381
3722,38221,5,5,2,1.915
3722,41440,5,5,2,1.437
3722,68960,5,5,6,3.377
3722,169558,5,5,1,0.715
3723,3722,5,5,1,0.696
3723,3724,5,5,1,0.351
3723,169558,5,5,1,0.188
3724,3723,5,5,1,0.351
3724,3726,5,5,1,0.273
3726,3724,5,5,1,0.273
3726,162603,5,5,1,0.097
3772,20303,5,5,1,0.888
3772,20308,5,5,3,0.837
3772,25621,5,5,3,0.817
3772,65874,5,5,1,0.269
3772,156538,5,5,1,1.448
3772,213302,5,5,1,0.372
4363,20579,5,5,1,0.241
4363,36232,5,5,1,0.087
4745,27420,5,5,1,0.215
4745,158391,5,5,1,0.094
5101,1868,5,5,3,1.379
5101,5105,5,5,1,0.3
5102,5104,5,5,1,0.714
5102,12971,5,5,1,0.357
5102,47383,5,5,1,0.74
5103,30927,5,5,3,0.883
5103,31156,5,5,1,0.23
5103,75469,5,5,1,0.264
5103,203633,5,5,1,0.216
5104,5102,5,5,1,0.714
5104,5105,5,5,1,0.311
5105,5101,5,5,1,0.3
5105,5104,5,5,1,0.311
5417,5419,5,5,1,0.209
5417,118673,5,5,1,0.088
5417,230262,5,5,2,0.6
5419,5417,5,5,1,0.209
5419,9407,5,5,1,0.261
5424,1875,5,5,1,0.172
5424,201087,5,5,1,0.429
5898,205224,5,5,1,0.202
6196,6197,5,5,1,0.206
6196,38221,5,5,1,0.43
6196,75469,5,5,2,0.876
6197,6196,5,5,1,0.206
6197,36884,5,5,1,0.33
6885,21417,5,5,1,0.115
6885,42096,5,5,1,0.337
6886,19580,5,5,1,0.245
6886,42100,5,5,1,0.27
7486,1286,5,5,1,0.421
7486,1289,5,5,1,0.38
8753,547,5,5,1,0.15
8753,20896,5,5,1,0.185
9407,5419,5,5,1,0.261
9407,249930,5,5,1,0.271
9408,9409,5,5,1,0.162
9408,135199,5,5,1,0.169
9409,5417,5,5,1,0.191
9409,9408,5,5,1,0.162
9463,22434,5,5,1,0.536
9463,154572,5,5,1,0.412
9465,14996,5,5,1,0.26
9465,22914,5,5,1,0.268
9466,9468,5,5,1,0.108
9466,14996,5,5,1,0.307
9467,22914,5,5,1,0.233
9467,49421,5,5,1,0.67
9468,9466,5,5,1,0.108
9468,9469,5,5,1,0.085
9469,9468,5,5,1,0.085
9469,213756,5,5,1,0.155
10588,25534,5,5,1,0.357
10588,44661,5,5,1,0.186
11340,1867,5,5,1,0.428
11340,1869,5,5,1,0.481
12946,21417,5,5,2,0.71
12946,30672,5,5,1,1.021
12946,47383,5,5,1,0.248
12946,75469,5,5,1,0.526
12971,5102,5,5,1,0.357
12971,27952,5,5,1,0.211
14522,14523,5,5,1,0.483
14522,48588,5,5,1,0.491
14522,242598,5,5,1,0.136
14523,14522,5,5,1,0.483
14523,41496,5,5,1,0.32
14523,86617,5,5,1,0.43
14524,729,5,5,1,0.619
14524,47515,5,5,1,0.203
14524,48588,5,5,1,0.394
14996,9465,5,5,1,0.26
14996,9466,5,5,1,0.307
14996,28683,5,5,1,0.108
15031,167763,5,5,1,0.153
15031,178297,5,5,1,0.522
15079,15146,5,5,1,0.175
15079,38289,5,5,1,0.357
15146,15079,5,5,1,0.175
15146,22821,5,5,3,1.89
16983,30927,5,5,6,2.435
16983,41842,5,5,1,0.258
16983,144916,5,5,2,0.505
18611,38404,5,5,1,0.218
18611,44661,5,5,1,0.21
18611,173006,5,5,1,0.211
19037,19041,5,5,1,0.186
19037,20311,5,5,1,0.613
19041,19037,5,5,1,0.186
19041,20303,5,5,1,0.462
19043,1287,5,5,1,0.445
19043,33758,5,5,1,0.25
19052,19052,5,5,1,0
19052,38220,5,5,1,0.252
19052,38221,5,5,1,0.208
19360,757,5,5,1,0.237
19360,25440,5,5,1,0.669
19580,6886,5,5,1,0.245
19580,19644,5,5,1,0.35
19644,19580,5,5,1,0.35
19644,30672,5,5,1,0.471
20303,19041,5,5,1,0.462
20303,156538,5,5,1,0.571
20306,20307,5,5,1,0.428
20306,33758,5,5,1,0.237
20307,20306,5,5,1,0.428
20307,20308,5,5,1,0.399
20307,45809,5,5,1,0.459
20308,20307,5,5,1,0.399
20308,30692,5,5,1,0.246
20308,156538,5,5,1,0.744
20310,20311,5,5,1,0.565
20310,41295,5,5,1,0.725
20310,261780,5,5,1,0.388
20311,19037,5,5,1,0.613
20311,20310,5,5,1,0.565
20579,4363,5,5,1,0.241
20579,41848,5,5,1,0.185
20896,8753,5,5,1,0.185
20975,1878,5,5,1,0.174
20975,20977,5,5,2,0.47
20977,20979,5,5,3,0.568
20977,179388,5,5,1,0.236
20979,20977,5,5,2,0.568
21417,6885,5,5,1,0.115
21417,12946,5,5,1,0.71
21417,21429,5,5,1,0.413
21417,30672,5,5,1,0.374
21429,21417,5,5,1,0.413
21429,30672,5,5,1,0.202
21429,42083,5,5,1,0.334
22431,42080,5,5,1,0.433
22431,172808,5,5,1,0.39
22434,9463,5,5,1,0.536
22434,39654,5,5,5,2.883
22434,49427,5,5,6,2.906
22820,177,5,5,3,1.869
22820,22821,5,5,1,0.626
22821,15146,5,5,3,1.89
22821,22820,5,5,1,0.626
22845,33496,5,5,1,0.28
22845,34177,5,5,1,0.278
22914,9465,5,5,1,0.268
22914,9467,5,5,1,0.233
22914,41848,5,5,1,0.384
22914,174567,5,5,1,0.143
22914,217260,5,5,1,0.306
24878,33496,5,5,1,0.366
24878,37588,5,5,1,0.431
25440,19360,5,5,2,0.669
25534,1162,5,5,1,0.211
25534,10588,5,5,1,0.357
25621,1286,5,5,1,1.022
25621,25621,5,5,1,0
25621,45958,5,5,2,1.192
25621,47516,5,5,1,1.462
27420,4745,5,5,1,0.215
27420,36232,5,5,1,0.214
27568,30686,5,5,1,0.279
27568,47217,5,5,1,0.572
27952,12971,5,5,1,0.211
27952,47383,5,5,1,0.306
28462,41276,5,5,1,0.185
28462,41280,5,5,1,0.468
28683,14996,5,5,1,0.108
28683,158380,5,5,1,0.146
28687,28688,5,5,1,0.153
28687,174364,5,5,1,0.334
28688,28687,5,5,1,0.153
28688,144917,5,5,3,0.398
30672,12946,5,5,1,1.021
30672,19644,5,5,1,0.471
30672,21429,5,5,1,0.202
30686,27568,5,5,1,0.279
30686,30692,5,5,1,0.317
30692,30686,5,5,1,0.317
30692,156538,5,5,1,0.543
30927,5103,5,5,3,0.883
30927,30927,5,5,1,0
30927,31156,5,5,1,0.663
30927,34343,5,5,3,1.458
30927,41845,5,5,1,0.777
30927,144914,5,5,5,2.09
30927,203633,5,5,2,0.994
31154,38467,5,5,1,0.133
31154,108066,5,5,1,0.224
31156,5103,5,5,1,0.23
31156,30927,5,5,2,0.663
31156,38220,5,5,1,0.268
31156,203633,5,5,2,0.405
33496,22845,5,5,1,0.28
33496,24878,5,5,1,0.366
33758,19043,5,5,1,0.25
33758,20306,5,5,1,0.237
33916,139941,5,5,1,0.195
33916,139942,5,5,1,0.297
34177,22845,5,5,1,0.278
34177,212520,5,5,1,0.516
34343,30927,5,5,5,1.458
34343,38477,5,5,1,0.406
34343,66589,5,5,1,0.288
34343,193912,5,5,2,0.67
34602,95629,5,5,1,0.198
34602,95632,5,5,1,0.254
35017,38404,5,5,1,0.134
35017,238229,5,5,1,0.163
35948,391,5,5,1,0.172
35948,757,5,5,1,0.153
36105,723,5,5,1,0.213
36105,41496,5,5,1,0.344
36232,4363,5,5,1,0.087
36232,27420,5,5,1,0.214
36483,36483,5,5,1,0
36483,50857,5,5,1,0.518
36884,6197,5,5,1,0.33
36884,41440,5,5,1,0.228
36905,48350,5,5,1,0.129
36905,173006,5,5,2,0.313
37588,24878,5,5,1,0.431
37588,67448,5,5,4,1.412
37588,215481,5,5,1,0.435
37591,37594,5,5,1,0.345
37591,259637,5,5,1,0.252
37593,37594,5,5,1,0.647
37593,215482,5,5,1,0.816
37593,261780,5,5,2,1.551
37594,37591,5,5,1,0.345
37594,247534,5,5,1,0.4
38220,19052,5,5,1,0.252
38220,31156,5,5,1,0.268
38220,38221,5,5,1,0.233
38221,3722,5,5,4,1.915
38221,6196,5,5,1,0.43
38221,19052,5,5,1,0.208
38221,38220,5,5,1,0.233
38221,41440,5,5,1,0.835
38289,15079,5,5,1,0.357
38404,18611,5,5,1,0.218
38404,35017,5,5,1,0.134
38467,31154,5,5,1,0.133
38467,38477,5,5,1,0.436
38467,259637,5,5,1,0.522
38477,34343,5,5,1,0.406
38477,38467,5,5,1,0.436
38858,44661,5,5,1,0.307
38858,44662,5,5,1,0.256
39654,49427,5,5,1,0.032
39654,124012,5,5,2,0.866
40444,210742,5,5,1,0.22
40444,249929,5,5,1,0.186
40451,547,5,5,1,0.261
40451,42837,5,5,1,0.223
40451,60392,5,5,1,0.218
40451,210741,5,5,1,0.355
41274,41279,5,5,1,0.309
41274,143133,5,5,2,1.578
41276,28462,5,5,1,0.185
41279,42017,5,5,1,0.189
41279,133133,5,5,1,0.165
41280,28462,5,5,1,0.468
41280,42017,5,5,1,0.166
41295,1287,5,5,1,0.439
41295,1289,5,5,1,0.343
41295,20310,5,5,2,0.725
41295,261780,5,5,1,0.811
41440,3722,5,5,3,1.437
41440,36884,5,5,1,0.228
41440,38221,5,5,1,0.835
41440,68960,5,5,6,4.374
41440,75469,5,5,3,1.396
41496,14523,5,5,1,0.32
41496,36105,5,5,1,0.344
41807,201089,5,5,1,0.253
41807,230263,5,5,1,0.21
41810,45447,5,5,1,0.175
41810,159734,5,5,1,0.191
41842,45700,5,5,1,0.194
41842,144918,5,5,1,0.151
41845,30927,5,5,1,0.777
41845,144408,5,5,2,0.892
41848,22914,5,5,1,0.384
41848,217260,5,5,1,0.098
41848,249293,5,5,1,0.129
42017,41279,5,5,1,0.189
42017,41280,5,5,1,0.166
42080,22431,5,5,1,0.433
42080,73083,5,5,1,0.199
42083,21429,5,5,1,0.334
42083,42085,5,5,1,0.391
42085,42080,5,5,1,0.353
42085,42083,5,5,1,0.391
42096,6885,5,5,1,0.337
42096,165839,5,5,1,0.952
42100,6886,5,5,1,0.27
42100,165839,5,5,1,0.632
42321,15031,5,5,1,0.311
42321,48350,5,5,1,0.206
42837,5424,5,5,1,0.552
42837,40451,5,5,1,0.223
44661,10588,5,5,1,0.186
44661,18611,5,5,1,0.21
44661,38858,5,5,1,0.307
44662,38858,5,5,1,0.256
44662,199146,5,5,1,0.113
44662,210108,5,5,1,0.92
45447,41810,5,5,1,0.175
45447,159732,5,5,1,0.204
45700,16983,5,5,1,0.29
45700,41842,5,5,1,0.194
45700,190640,5,5,1,0.298
45809,213303,5,5,1,0.597
45958,25621,5,5,1,1.192
47217,20308,5,5,1,0.575
47217,27568,5,5,1,0.572
47217,47217,5,5,1,0
47217,179844,5,5,2,0.997
47383,5102,5,5,1,0.74
47383,12946,5,5,1,0.248
47383,27952,5,5,1,0.306
47383,75469,5,5,1,0.708
47383,156533,5,5,2,1.742
47515,14524,5,5,1,0.203
47515,47516,5,5,1,0.257
47516,1286,5,5,1,0.603
47516,25621,5,5,3,1.462
47516,47515,5,5,1,0.257
47516,261780,5,5,2,1.41
47540,45447,5,5,1,0.272
47540,159735,5,5,1,0.431
47540,201088,5,5,1,0.348
47540,244666,5,5,1,0.32
48350,36905,5,5,1,0.129
48350,42321,5,5,1,0.206
48588,14522,5,5,1,0.491
48588,14524,5,5,1,0.394
49421,9467,5,5,1,0.67
49421,134688,5,5,1,0.593
49427,22434,5,5,5,2.906
49427,39654,5,5,1,0.032
49427,210108,5,5,1,0.837
50857,391,5,5,1,0.31
50857,36483,5,5,1,0.518
50857,212520,5,5,1,0.511
60392,40451,5,5,1,0.218
60392,210741,5,5,1,0.172
63377,193916,5,5,1,0.474
63379,63382,5,5,1,0.222
63382,63383,5,5,1,0.191
63383,193913,5,5,1,0.475
63385,242523,5,5,1,0.254
63398,63379,5,5,1,0.478
65874,20307,5,5,1,0.187
66589,115129,5,5,1,0.28
66590,41848,5,5,1,0.274
66914,41276,5,5,1,0.147
67448,14523,5,5,1,0.436
68960,45447,5,5,1,0.291
68960,47540,5,5,1,0.272
73083,42085,5,5,1,0.154
75469,5103,5,5,1,0.264
75469,6196,5,5,1,0.876
75469,41440,5,5,2,1.396
75469,47383,5,5,1,0.708
75469,165839,5,5,2,1.695
82208,28683,5,5,1,0.192
86617,244535,5,5,5,1.821
95629,31154,5,5,1,0.203
95632,37591,5,5,1,0.219
95632,259637,5,5,1,0.039
105258,39654,5,5,1,0.782
106009,119451,5,5,1,0.209
108066,34602,5,5,1,0.164
115129,225718,5,5,1,0.237
118673,9409,5,5,1,0.121
119451,129151,5,5,1,0.092
119452,171079,5,5,1,0.315
120678,228912,5,5,1,0.139
123484,155416,5,5,1,0.342
124012,105258,5,5,1,0.135
129151,119452,5,5,1,0.107
133133,41274,5,5,1,0.144
134686,49421,5,5,1,0.259
134688,177,5,5,1,0.338
135199,9408,5,5,1,0.169
139941,139943,5,5,1,0.129
139942,177,5,5,4,1.606
139942,3726,5,5,1,0.038
139943,139944,5,5,1,0.122
139944,162601,5,5,1,0.158
143133,41274,5,5,1,1.578
143218,133212,5,5,1,0.255
144408,144914,5,5,1,0.45
144408,144917,5,5,1,0.528
144914,28688,5,5,1,0.374
144915,41845,5,5,1,1.306
144916,28687,5,5,1,0.251
144917,41842,5,5,1,0.334
144918,144915,5,5,1,0.293
152263,249930,5,5,1,0.23
154572,41848,5,5,1,0.233
155416,168457,5,5,1,0.39
156533,47383,5,5,2,1.742
156538,42096,5,5,2,0.824
156538,42100,5,5,1,0.497
156538,75469,5,5,2,1.604
158380,4745,5,5,1,0.261
