"ori_node","des_node","ori_layer","des_layer","minutes","km"
19519,42147,2,2,3,3.247
42147,19519,2,2,3,3.247
4509,50145,3,3,3,2.338
50145,4509,3,3,3,2.338
347,4509,5,5,1,0.564
347,15763,5,5,1,0.15
396,14900,5,5,1,0.233
396,155893,5,5,1,0.32
691,16966,5,5,1,0.311
691,30187,5,5,1,0.244
995,12048,5,5,1,0.221
995,26482,5,5,1,0.175
2080,32060,5,5,1,0.089
2080,46454,5,5,1,0.435
2080,47426,5,5,1,0.496
2080,213738,5,5,1,0.229
2092,36230,5,5,1,0.238
2092,37732,5,5,1,0.39
2092,48495,5,5,1,0.414
3415,11815,5,5,1,0.486
3415,35356,5,5,2,0.51
4509,347,5,5,1,0.564
4509,4509,5,5,1,0
4509,22732,5,5,1,0.379
4509,26174,5,5,1,0.298
4509,161712,5,5,1,0.493
5485,25364,5,5,1,0.459
5485,29660,5,5,1,0.477
5730,37732,5,5,1,0.242
6796,25364,5,5,1,0.318
6796,27490,5,5,1,0.377
8984,39745,5,5,1,0.195
8984,118425,5,5,1,0.246
8984,195124,5,5,1,0.533
8990,44077,5,5,1,0.322
8990,181745,5,5,1,0.363
10922,12747,5,5,1,0.258
10922,46414,5,5,1,0.323
11815,32590,5,5,1,0.146
11815,79118,5,5,1,0.222
12048,995,5,5,1,0.221
12048,24224,5,5,1,0.612
12740,35199,5,5,1,0.402
12740,107384,5,5,1,0.475
12747,10922,5,5,1,0.258
12747,28496,5,5,1,0.331
13377,16966,5,5,1,0.237
13377,48519,5,5,1,0.345
14215,31736,5,5,1,0.296
14215,107384,5,5,1,0.44
14217,23419,5,5,1,0.41
14217,160385,5,5,1,0.486
14217,162528,5,5,1,0.434
14900,396,5,5,1,0.233
14900,123069,5,5,1,0.35
15325,12740,5,5,1,0.516
15325,35199,5,5,1,0.296
15325,36832,5,5,1,0.298
15763,347,5,5,1,0.15
15763,37534,5,5,1,0.307
16377,16377,5,5,1,0
16377,51212,5,5,1,0.364
16377,110782,5,5,1,0.256
16963,25839,5,5,1,0.311
16963,48519,5,5,1,0.322
16963,214470,5,5,1,0.256
16966,691,5,5,1,0.311
