"ori_node","des_node","ori_layer","des_layer","minutes","km"
58,2687,2,2,3,3.112
58,34697,2,2,4,3.016
2687,58,2,2,4,3.112
20474,34697,2,2,2,1.874
34697,58,2,2,4,3.016
34697,20474,2,2,2,1.874
58,58,5,5,1,0
58,17169,5,5,9,4.036
58,41452,5,5,1,0.589
58,84182,5,5,1,0.604
58,87830,5,5,5,1.958
58,90874,5,5,1,0.999
58,110432,5,5,1,0.832
58,111079,5,5,2,1.274
58,121256,5,5,2,0.63
58,154711,5,5,9,3.049
58,158593,5,5,1,0.806
58,168820,5,5,2,1.017
58,169433,5,5,1,0.6
58,180449,5,5,2,1.048
58,192050,5,5,6,2.903
58,192983,5,5,2,0.774
58,229034,5,5,7,3.099
2687,65960,5,5,2,0.731
3404,147533,5,5,1,0.25
8931,8931,5,5,1,0
8931,94745,5,5,2,0.878
8931,115622,5,5,2,1.256
8931,119878,5,5,1,0.571
8931,139698,5,5,2,0.711
8931,148173,5,5,5,1.238
8931,172551,5,5,2,0.822
8931,176831,5,5,1,0.484
9153,44911,5,5,1,0.607
10766,10766,5,5,1,0
10766,16614,5,5,1,0.516
10766,35906,5,5,1,0.733
10766,156431,5,5,2,0.66
10766,251940,5,5,1,0.628
10853,34697,5,5,1,0.627
10853,135458,5,5,1,0.222
11884,32778,5,5,1,0.223
11884,48671,5,5,1,0.422
16526,21827,5,5,1,0.602
16526,40813,5,5,1,0.326
16526,226227,5,5,1,0.197
16614,10766,5,5,1,0.516
16614,43769,5,5,1,0.373
17169,58,5,5,9,4.036
17169,68303,5,5,2,1.146
17169,103813,5,5,3,1.082
17169,229034,5,5,4,1.131
17169,255625,5,5,2,0.602
20474,20474,5,5,1,0
20474,111159,5,5,1,0.509
20474,145894,5,5,2,0.328
20474,214030,5,5,1,0.378
20474,225068,5,5,1,0.469
20474,244536,5,5,1,0.278
20904,20904,5,5,1,0
20904,60633,5,5,3,0.989
20904,229869,5,5,1,0.668
21827,153279,5,5,1,0.383
21827,211900,5,5,1,0.393
23009,23009,5,5,1,0
23009,35906,5,5,3,1.115
23009,150781,5,5,1,0.127
28205,102957,5,5,1,0.371
32778,11884,5,5,1,0.223
32778,47270,5,5,1,0.345
