"ori_node","des_node","ori_layer","des_layer","minutes","km"
28489,35722,2,2,7,2.233
35722,28489,2,2,4,2.233
35722,45229,2,2,5,3.585
35722,47118,2,2,6,8.093
45229,35722,2,2,5,3.585
47118,35722,2,2,8,8.093
574,10465,5,5,3,0.649
1129,13617,5,5,1,0.309
1129,18726,5,5,1,0.207
1132,14823,5,5,1,0.258
1132,36089,5,5,1,0.627
1132,41736,5,5,1,0.214
1537,27067,5,5,1,0.65
1537,34768,5,5,1,0.127
1552,41735,5,5,1,0.243
1552,185612,5,5,1,0.096
1553,2195,5,5,1,0.102
1553,23150,5,5,1,0.331
1566,1567,5,5,1,0.398
1566,20651,5,5,1,0.082
1566,24559,5,5,1,0.273
1567,1566,5,5,1,0.398
1567,11118,5,5,1,0.294
1567,20651,5,5,1,0.341
1567,46095,5,5,1,0.612
1567,46096,5,5,1,0.31
1735,38689,5,5,2,0.86
1735,42374,5,5,1,0.427
1769,2295,5,5,1,0.132
1769,3888,5,5,5,1.62
1769,16227,5,5,1,0.336
1769,30303,5,5,1,0.826
2072,15122,5,5,1,0.206
2072,242893,5,5,1,0.175
2195,1553,5,5,1,0.102
2195,2198,5,5,1,0.363
2195,30356,5,5,1,0.345
2197,2198,5,5,1,0.295
2197,2200,5,5,1,0.277
2198,2195,5,5,1,0.363
2198,2197,5,5,1,0.295
2199,2200,5,5,1,0.355
2199,20659,5,5,1,0.27
2199,39180,5,5,1,0.188
2200,2197,5,5,1,0.277
2200,80895,5,5,1,0.216
2201,2202,5,5,1,0.226
2201,24116,5,5,1,0.08
2202,2201,5,5,1,0.226
2202,9870,5,5,1,0.305
2203,2204,5,5,1,0.37
2203,15124,5,5,1,0.342
2203,47527,5,5,1,0.179
2204,2203,5,5,1,0.37
2204,9870,5,5,1,0.288
2282,21374,5,5,1,0.304
2282,21375,5,5,1,0.302
2283,21375,5,5,1,0.272
2283,25153,5,5,1,0.27
2284,29112,5,5,1,0.229
2284,29513,5,5,1,0.42
2285,2287,5,5,1,0.205
2285,29513,5,5,1,0.244
2286,34695,5,5,1,0.122
2286,60738,5,5,1,0.14
2287,2285,5,5,1,0.205
2287,38668,5,5,1,0.542
2288,2289,5,5,1,0.225
2288,2466,5,5,1,0.237
2289,2288,5,5,1,0.225
2289,7689,5,5,1,0.118
2295,1769,5,5,1,0.132
2295,30303,5,5,1,0.712
2343,18726,5,5,1,0.207
2343,50066,5,5,1,0.364
2464,23971,5,5,1,0.651
2464,34689,5,5,1,0.366
2466,2288,5,5,1,0.237
2466,34693,5,5,1,0.322
2466,40390,5,5,1,0.257
2527,20098,5,5,1,0.41
2527,40482,5,5,1,0.376
2597,39732,5,5,1,0.613
2597,144293,5,5,1,0.204
2902,3639,5,5,17,3.345
2902,3888,5,5,3,2.12
2902,11766,5,5,1,0.434
2902,38014,5,5,1,0.435
3198,13052,5,5,1,0.216
3198,17371,5,5,1,0.243
3366,20649,5,5,1,0.256
3366,20650,5,5,1,0.328
3376,32304,5,5,1,0.426
3376,44282,5,5,1,0.715
3376,233944,5,5,1,0.728
3639,2902,5,5,17,3.345
3639,3639,5,5,1,0
3639,3642,5,5,1,0.125
3639,3644,5,5,1,0.21
