"ori_node","des_node","ori_layer","des_layer","minutes","km"
816,23407,2,2,5,4.535
816,30453,2,2,3,2.473
23407,816,2,2,5,4.535
23407,30453,2,2,3,2.363
30453,816,2,2,3,2.473
30453,23407,2,2,3,2.363
816,23407,4,4,15,4.535
23407,816,4,4,10,4.535
511,527,5,5,1,0.323
511,36437,5,5,1,0.273
511,259947,5,5,1,0.207
527,511,5,5,1,0.323
527,42833,5,5,1,0.199
626,630,5,5,1,0.127
626,19622,5,5,1,0.471
628,630,5,5,1,0.134
628,158092,5,5,1,0.256
630,626,5,5,1,0.127
630,628,5,5,1,0.134
738,36437,5,5,1,0.072
738,36476,5,5,1,0.318
816,816,5,5,1,0
816,17442,5,5,1,0.548
816,29354,5,5,1,0.827
816,30270,5,5,1,0.546
816,30766,5,5,1,0.886
816,47712,5,5,1,0.541
816,84863,5,5,1,0.666
816,196333,5,5,1,0.371
816,206993,5,5,1,0.381
816,257087,5,5,1,0.368
1358,5961,5,5,1,0.221
1358,6220,5,5,1,0.638
1358,7981,5,5,1,0.223
1773,3058,5,5,1,0.213
1773,3099,5,5,1,0.317
2234,9757,5,5,1,0.237
2234,26240,5,5,1,0.167
2616,49927,5,5,1,0.203
3058,1773,5,5,1,0.213
3058,18838,5,5,1,0.285
3058,49773,5,5,1,0.566
3099,1773,5,5,1,0.317
3099,17319,5,5,1,0.222
3193,3853,5,5,1,0.383
3193,6228,5,5,1,0.309
3193,92554,5,5,1,0.268
3568,3569,5,5,1,0.211
3568,3572,5,5,1,0.353
3569,3568,5,5,1,0.211
3569,36011,5,5,1,0.208
3571,3572,5,5,1,0.209
3571,30453,5,5,1,0.553
3572,3568,5,5,1,0.353
3572,3571,5,5,1,0.209
3572,31529,5,5,1,0.371
3572,119481,5,5,1,0.129
3853,3193,5,5,1,0.383
3853,5793,5,5,1,0.316
3853,33740,5,5,1,0.275
4132,10210,5,5,1,0.362
4132,11955,5,5,1,0.265
4179,22461,5,5,1,0.197
4179,26133,5,5,1,0.21
4179,26135,5,5,1,0.414
