"ori_node","des_node","ori_layer","des_layer","minutes","km"
1807,2383,2,2,5,6.344
2383,1807,2,2,6,6.344
928,931,5,5,1,0.24
928,105979,5,5,1,0.276
929,6548,5,5,1,0.404
929,105979,5,5,1,0.322
931,928,5,5,1,0.24
931,232605,5,5,1,0.405
933,22535,5,5,1,0.225
933,24207,5,5,1,0.23
934,24207,5,5,1,0.266
934,35751,5,5,1,0.16
935,6546,5,5,1,0.306
935,22535,5,5,1,0.197
1807,1807,5,5,1,0
1807,9124,5,5,1,0.645
1807,9127,5,5,1,0.842
1807,14122,5,5,1,0.598
1807,16238,5,5,1,0.611
1807,33288,5,5,1,0.579
1807,49117,5,5,1,0.545
1807,73190,5,5,10,2.042
1807,123633,5,5,1,0.383
1807,160096,5,5,2,2.229
1897,49119,5,5,2,1.371
1897,161645,5,5,1,0.175
2260,49813,5,5,1,0.268
2260,154251,5,5,1,0.223
2264,26768,5,5,1,0.318
2273,19943,5,5,2,0.747
2273,29825,5,5,1,0.17
2273,48651,5,5,1,0.301
2273,145279,5,5,7,4.468
2383,2383,5,5,1,0
2383,12813,5,5,1,0.538
2383,14512,5,5,1,0.69
2383,19899,5,5,1,0.647
2383,22103,5,5,1,0.772
2934,219706,5,5,2,0.554
2934,244463,5,5,2,0.472
2938,22050,5,5,1,0.287
2938,29685,5,5,1,0.213
2975,2977,5,5,1,0.299
2975,91058,5,5,5,1.181
2977,2975,5,5,1,0.299
2977,2978,5,5,1,0.422
2978,2977,5,5,1,0.422
2978,6086,5,5,1,0.258
2983,18039,5,5,1,0.244
2983,19942,5,5,2,1.272
2983,29685,5,5,1,0.233
3428,3429,5,5,1,0.233
3428,3430,5,5,1,0.288
3428,35846,5,5,1,0.171
3429,3428,5,5,1,0.233
3429,3430,5,5,1,0.389
3429,35845,5,5,1,0.206
3430,3428,5,5,1,0.288
3430,3429,5,5,1,0.389
3430,63646,5,5,1,0.211
3432,3430,5,5,1,0.314
3432,26454,5,5,1,0.305
3973,11043,5,5,1,0.655
3973,11045,5,5,1,0.23
3973,19203,5,5,1,0.233
3973,55042,5,5,1,0.351
3977,7664,5,5,1,0.362
3977,43458,5,5,3,0.658
3977,66292,5,5,1,0.351
4843,4843,5,5,1,0
4843,9858,5,5,1,0.638
4843,60767,5,5,1,0.547
5180,33289,5,5,1,0.115
5180,33291,5,5,1,0.186
5323,32497,5,5,1,0.604
5323,208099,5,5,1,0.718
5325,11046,5,5,1,0.684
5325,11050,5,5,1,0.87
5325,11358,5,5,1,0.816
5862,5863,5,5,2,0.425
5862,5866,5,5,1,0.229
5862,144327,5,5,1,0.197
5863,49815,5,5,2,0.505
5863,179704,5,5,1,0.131
5863,247001,5,5,1,0.251
5864,5866,5,5,1,0.23
5864,6547,5,5,2,0.544
5864,38325,5,5,1,0.3
5864,111347,5,5,2,0.582
5864,121828,5,5,1,0.585
5865,10879,5,5,1,0.466
5865,27542,5,5,1,0.834
5865,27545,5,5,2,0.592
5865,40232,5,5,1,0.208
5865,64330,5,5,1,0.215
5866,5862,5,5,1,0.229
5866,5864,5,5,1,0.23
6086,2978,5,5,1,0.258
6086,22104,5,5,1,0.117
6091,11655,5,5,1,0.383
6091,38042,5,5,1,0.251
6094,38042,5,5,1,0.289
6094,38071,5,5,1,0.441
6543,6547,5,5,1,0.236
6543,6552,5,5,1,0.194
6543,38325,5,5,1,0.581
6543,39053,5,5,1,0.582
6546,935,5,5,1,0.306
6546,6546,5,5,1,0
6546,6547,5,5,1,0.137
6547,6546,5,5,1,0.137
6547,6552,5,5,1,0.129
6548,929,5,5,1,0.404
6548,6550,5,5,1,0.453
6548,8580,5,5,1,0.209
6550,6548,5,5,1,0.453
6550,6552,5,5,1,0.416
6550,8580,5,5,1,0.244
6552,6543,5,5,1,0.194
6552,6550,5,5,1,0.416
7264,125441,5,5,1,0.211
7264,174762,5,5,1,0.306
7664,3977,5,5,1,0.362
7664,32074,5,5,1,0.565
7664,35256,5,5,1,0.156
7696,31679,5,5,1,0.391
7696,42181,5,5,1,0.407
7700,31466,5,5,1,0.841
7700,42231,5,5,1,0.43
7700,42235,5,5,1,0.454
7700,44049,5,5,2,1.438
8347,19153,5,5,2,0.986
8347,39049,5,5,1,0.549
8347,118826,5,5,1,1.001
8347,145279,5,5,2,0.051
8362,37951,5,5,1,0.256
8362,244463,5,5,1,0.205
8366,16618,5,5,1,0.25
8366,59235,5,5,1,0.365
8368,40810,5,5,1,0.265
8368,46565,5,5,1,0.127
8369,13717,5,5,1,1.563
8369,16618,5,5,1,0.478
8369,40811,5,5,1,0.479
