"ori_node","des_node","ori_layer","des_layer","minutes","km"
9458,9458,5,5,1,0
9458,100561,5,5,1,0.445
9458,210105,5,5,1,0.553
9458,213861,5,5,1,0.441
9458,254428,5,5,1,0.344
51844,59825,5,5,1,0.273
51845,177831,5,5,1,0.16
51846,59825,5,5,1,0.214
51846,177831,5,5,1,0.288
51966,176269,5,5,1,0.083
51966,244693,5,5,1,0.195
52410,128617,5,5,1,0.161
52411,130909,5,5,1,0.351
53064,148917,5,5,1,0.581
53279,150657,5,5,1,0.109
53279,184349,5,5,1,0.182
53279,242730,5,5,1,0.135
54274,155264,5,5,1,0.222
54275,143560,5,5,1,0.276
54575,119735,5,5,1,0.226
54576,139097,5,5,1,1.167
54712,261442,5,5,1,0.222
54713,139195,5,5,1,0.261
55270,233455,5,5,1,0.353
55271,70447,5,5,1,0.313
56268,152228,5,5,1,0.383
57477,234263,5,5,1,0.554
57942,126095,5,5,1,0.275
57942,260871,5,5,2,0.431
57943,207771,5,5,1,0.374
58490,156512,5,5,1,0.168
58491,261443,5,5,1,0.124
58881,122513,5,5,1,0.339
59825,172842,5,5,1,0.334
59826,51845,5,5,1,0.356
60351,191762,5,5,1,0.284
60450,76323,5,5,1,0.223
60450,217385,5,5,1,0.164
60999,172843,5,5,1,0.191
61523,85320,5,5,2,0.385
61870,60351,5,5,1,0.087
62253,80013,5,5,1,0.214
65911,65912,5,5,1,0.017
65911,192688,5,5,1,0.326
65912,65912,5,5,1,0
65912,132175,5,5,1,0.325
66142,167395,5,5,1,0.216
66427,53064,5,5,1,0.198
68365,76323,5,5,1,0.258
68366,100312,5,5,1,0.408
68366,119691,5,5,1,0.284
68366,217385,5,5,1,0.06
70447,73028,5,5,1,0.068
70447,173046,5,5,1,0.24
70447,173047,5,5,1,0.281
70944,56268,5,5,1,0.067
70944,86920,5,5,1,0.375
70944,86921,5,5,1,0.369
70944,218353,5,5,1,0.197
70945,86921,5,5,1,0.323
70946,162259,5,5,1,0.149
70946,218353,5,5,1,0.099
71325,222815,5,5,1,0.241
71325,226724,5,5,1,0.291
71326,213578,5,5,2,0.322
71326,237697,5,5,1,0.198
71442,249980,5,5,1,0.318
71444,176792,5,5,1,0.233
71445,176792,5,5,1,0.223
71959,132146,5,5,1,0.189
71959,156763,5,5,1,0.251
71999,57477,5,5,1,0.115
71999,173543,5,5,1,0.269
72539,88799,5,5,1,0.163
72541,104707,5,5,1,0.103
72541,139576,5,5,1,0.374
73028,126737,5,5,1,0.21
73326,143560,5,5,1,0.127
73502,98020,5,5,1,0.121
73735,109860,5,5,5,0.361
73735,187033,5,5,1,0.34
74638,226724,5,5,1,0.13
74638,250037,5,5,1,0.268
75178,204267,5,5,1,0.396
75178,241792,5,5,1,0.402
75178,249980,5,5,1,0.121
75178,258188,5,5,1,0.201
76323,68366,5,5,1,0.28
76323,130909,5,5,1,0.085
76323,217385,5,5,1,0.275
76323,238664,5,5,4,0.889
76323,254994,5,5,1,0.127
76855,179408,5,5,1,0.329
78046,85967,5,5,1,0.134
78046,207447,5,5,1,0.192
78047,179409,5,5,2,0.243
78047,211393,5,5,1,0.174
78047,248702,5,5,1,0.189
80012,218697,5,5,1,0.182
80368,153215,5,5,1,0.257
81298,89360,5,5,2,0.555
81298,142665,5,5,2,0.565
81627,88071,5,5,1,0.506
82142,240703,5,5,1,0.49
82142,259589,5,5,2,0.31
83153,92899,5,5,1,0.135
83155,241504,5,5,1,0.106
83666,223559,5,5,1,0.353
83666,238824,5,5,1,0.234
83667,241505,5,5,1,0.326
83668,238824,5,5,1,0.217
83668,258282,5,5,1,0.292
84159,98675,5,5,2,0.382
84159,121774,5,5,2,0.709
84159,173047,5,5,1,0.39
84589,198587,5,5,1,0.066
85077,243821,5,5,1,0.129
85078,109347,5,5,1,0.303
85320,208974,5,5,1,0.172
85967,227697,5,5,1,0.184
85968,78047,5,5,1,0.154
86920,185163,5,5,1,0.227
86921,185163,5,5,1,0.232
87184,60450,5,5,1,0.202
87380,122920,5,5,1,0.345
87757,127704,5,5,1,0.196
87757,238664,5,5,1,0.224
88050,148372,5,5,1,0.317
88071,173543,5,5,1,0.18
88071,183150,5,5,1,0.086
88799,102494,5,5,1,0.214
88800,72541,5,5,1,0.237
88974,175473,5,5,1,0.284
89165,209101,5,5,1,0.107
89166,140004,5,5,1,0.07
89166,257421,5,5,1,0.384
89360,84159,5,5,2,0.631
89361,232322,5,5,2,0.532
90482,195450,5,5,1,0.029
90482,243747,5,5,1,0.163
90982,239104,5,5,1,0.255
90983,100967,5,5,1,0.22
91361,253709,5,5,1,0.21
