"ori_node","des_node","ori_layer","des_layer","minutes","km"
1978,18978,2,2,2,1.41
5133,18260,2,2,6,5.287
18260,5133,2,2,5,5.287
18260,29212,2,2,6,6.129
18978,1978,2,2,3,1.41
18978,29212,2,2,3,2.252
29212,18260,2,2,7,6.129
29212,18978,2,2,3,2.252
12164,18260,4,4,1,0.874
18260,18260,4,4,1,0
18260,42006,4,4,3,0.778
48996,12164,4,4,2,3.874
87,9214,5,5,1,0.226
87,15422,5,5,1,0.602
87,20988,5,5,1,0.222
163,16462,5,5,1,0.1
163,24341,5,5,1,0.167
163,32889,5,5,1,0.143
163,37721,5,5,1,0.396
205,278,5,5,1,0.208
205,42301,5,5,1,0.175
205,125992,5,5,1,0.159
278,205,5,5,1,0.208
278,10373,5,5,1,0.127
278,11987,5,5,1,0.172
278,50892,5,5,1,0.185
324,37972,5,5,1,0.275
324,42489,5,5,1,0.193
324,47714,5,5,1,0.182
709,17997,5,5,1,0.338
709,38381,5,5,1,0.345
821,11839,5,5,3,1.024
821,98613,5,5,4,1.901
852,8749,5,5,1,0.289
852,32349,5,5,1,0.322
1030,1030,5,5,1,0
1030,9461,5,5,1,0.485
1030,16939,5,5,1,0.396
1293,15971,5,5,1,0.192
1293,32361,5,5,2,0.359
1293,37108,5,5,1,0.424
1433,40028,5,5,1,0.403
1433,40032,5,5,1,0.44
1433,47292,5,5,1,0.192
1455,42406,5,5,1,0.419
1455,43281,5,5,1,0.127
1556,17506,5,5,1,0.176
1556,42504,5,5,1,0.128
1556,43281,5,5,1,0.284
1712,1714,5,5,1,0.294
1712,20832,5,5,1,0.398
1712,127381,5,5,1,0.091
1714,1712,5,5,1,0.294
1714,127381,5,5,1,0.338
1714,212289,5,5,1,0.184
1819,10783,5,5,1,0.224
1819,10928,5,5,2,1.183
1819,13854,5,5,1,0.258
1819,112587,5,5,1,0.527
1819,116740,5,5,1,0.18
1839,22654,5,5,1,0.397
1839,34037,5,5,1,0.268
1839,254419,5,5,1,0.299
1978,1978,5,5,1,0
1978,2797,5,5,13,6.504
1978,3149,5,5,1,0.551
1978,17015,5,5,1,0.5
1978,29212,5,5,6,3.66
1978,51428,5,5,1,0.642
1978,67019,5,5,1,0.349
1978,187355,5,5,1,0.272
1978,221753,5,5,1,0.282
2030,2030,5,5,1,0
2030,76546,5,5,1,0.211
2104,7685,5,5,1,0.234
2104,20486,5,5,1,0.29
2385,3943,5,5,1,0.266
2385,3944,5,5,1,0.345
2385,23717,5,5,1,0.328
2385,36505,5,5,1,0.503
2450,21222,5,5,1,0.149
2450,28121,5,5,1,0.166
2485,7492,5,5,1,0.608
2485,234890,5,5,1,0.414
2569,39685,5,5,1,0.267
2569,45855,5,5,1,0.431
2569,243011,5,5,1,0.497
2797,1978,5,5,13,6.504
2797,4314,5,5,1,0.251
2797,15371,5,5,13,3.194
2797,29212,5,5,5,3.03
2797,45342,5,5,1,0.288
3149,1978,5,5,1,0.551
3149,21435,5,5,1,0.136
3370,5228,5,5,1,0.096
3370,13328,5,5,1,0.217
3370,29585,5,5,1,0.518
3370,246889,5,5,1,0.516
3396,4354,5,5,1,0.319
3396,28874,5,5,1,0.127
3399,23464,5,5,1,0.106
3399,43351,5,5,1,0.28
3471,3471,5,5,1,0
3471,23029,5,5,1,0.218
3519,3546,5,5,1,0.246
3519,15372,5,5,1,0.271
3519,18616,5,5,1,0.21
3546,3519,5,5,1,0.246
3546,7492,5,5,3,0.475
3546,45855,5,5,1,0.316
3546,71837,5,5,1,0.227
