"ori_node","des_node","ori_layer","des_layer","minutes","km"
11959,21422,2,2,3,2.274
11959,51207,2,2,4,2.962
14911,21422,2,2,2,1.947
21422,11959,2,2,3,2.274
21422,14911,2,2,3,1.947
21422,27642,2,2,3,2.464
27642,21422,2,2,1,2.464
47110,50889,2,2,5,5.978
47110,51207,2,2,3,2.364
50889,47110,2,2,5,5.978
51207,11959,2,2,1,2.962
51207,47110,2,2,2,2.364
24901,49646,4,4,6,3.571
24901,134415,4,4,14,6.505
49646,24901,4,4,7,3.571
49646,191765,4,4,2,0.665
134415,24901,4,4,15,6.505
134415,89742,4,4,5,3.764
134415,191765,4,4,10,6.106
149631,134415,4,4,5,3.759
191765,49646,4,4,2,0.665
99,103,5,5,1,0.279
99,19046,5,5,2,0.59
99,38211,5,5,1,0.219
99,97065,5,5,6,0.459
99,161304,5,5,1,0.339
100,38210,5,5,1,0.305
100,47661,5,5,1,0.976
103,99,5,5,1,0.279
103,161304,5,5,1,0.203
103,180881,5,5,1,0.043
103,190051,5,5,1,0.227
1069,58329,5,5,1,0.282
1069,157486,5,5,1,0.064
1070,35462,5,5,1,0.132
1070,35556,5,5,1,0.329
1070,39721,5,5,1,0.206
1202,14773,5,5,1,0.105
1202,47770,5,5,1,0.314
1431,8526,5,5,1,0.227
1431,47799,5,5,1,0.276
1434,7049,5,5,1,0.293
1434,8526,5,5,1,0.319
1457,29355,5,5,1,0.339
1457,48084,5,5,1,0.145
1457,50814,5,5,1,0.335
1457,112594,5,5,1,0.298
2098,2098,5,5,1,0
2098,12858,5,5,1,0.287
2098,15376,5,5,1,0.277
2098,20481,5,5,1,0.254
2098,47151,5,5,1,0.469
2098,50814,5,5,1,0.525
2101,1431,5,5,2,0.457
2101,26222,5,5,1,0.173
2101,47799,5,5,1,0.5
2256,42316,5,5,1,0.199
2256,79907,5,5,1,0.36
2256,79908,5,5,1,0.18
2620,15853,5,5,1,0.165
2620,201463,5,5,1,0.143
2622,12691,5,5,1,0.257
2622,15853,5,5,1,0.261
2659,14726,5,5,1,0.298
2659,26221,5,5,1,0.486
2659,29027,5,5,1,0.569
2659,61799,5,5,1,0.514
2659,239367,5,5,1,0.223
2707,21494,5,5,1,0.257
2707,43229,5,5,1,0.182
3006,3006,5,5,1,0
3006,14911,5,5,4,2.29
3006,26858,5,5,1,1.155
3006,191767,5,5,1,0.569
3006,222737,5,5,2,1.049
3217,47799,5,5,1,0.132
3217,47801,5,5,1,0.19
3596,21402,5,5,1,0.194
3596,30873,5,5,1,0.264
3706,7608,5,5,1,0.192
3706,7733,5,5,1,0.293
3730,36424,5,5,3,2.582
3730,43205,5,5,1,0.241
3730,47110,5,5,3,1.833
3779,5125,5,5,1,0.1
3779,26220,5,5,1,0.242
3779,42592,5,5,1,0.3
3792,15080,5,5,1,0.206
3792,29108,5,5,1,0.408
3792,30695,5,5,1,0.308
3794,71305,5,5,1,0.137
3794,71308,5,5,1,0.241
3936,16824,5,5,1,0.198
3936,28537,5,5,1,0.275
3936,212241,5,5,1,0.347
3951,13565,5,5,1,0.278
3951,14124,5,5,1,0.16
4181,24250,5,5,1,0.125
4181,90905,5,5,1,0.123
4620,4625,5,5,1,0.369
4620,39703,5,5,1,0.228
4620,212241,5,5,1,0.276
4625,4620,5,5,1,0.369
4625,28536,5,5,1,0.355
4625,39703,5,5,2,0.568
5125,3779,5,5,1,0.1
5125,4181,5,5,1,0.199
5125,5126,5,5,1,0.217
5126,5125,5,5,1,0.217
5126,7050,5,5,1,0.148
5126,32542,5,5,1,0.174
5126,47151,5,5,1,0.206
5886,7070,5,5,1,0.227
5886,35649,5,5,1,0.137
6399,39285,5,5,1,0.169
6399,41886,5,5,1,1.283
6399,134415,5,5,1,0.222
6703,12935,5,5,1,0.317
6703,29528,5,5,1,0.277
6708,29528,5,5,1,0.195
6708,40155,5,5,1,0.221
6718,9584,5,5,1,0.631
6718,49645,5,5,1,0.206
6718,89742,5,5,10,10.356
6718,152546,5,5,2,0.606
6718,190179,5,5,10,4.001
7049,1434,5,5,1,0.293
7049,42064,5,5,1,0.483
7049,49969,5,5,1,0.223
7049,191767,5,5,1,0.214
7050,5126,5,5,1,0.148
7050,8879,5,5,1,0.23
7050,32542,5,5,1,0.177
7070,5886,5,5,1,0.227
7070,15987,5,5,1,0.276
7526,26939,5,5,1,0.3
7526,146678,5,5,1,0.252
7545,38213,5,5,1,0.361
7545,46207,5,5,1,0.337
7545,215399,5,5,1,0.207
7545,257935,5,5,1,0.378
7546,21684,5,5,1,0.146
7546,154639,5,5,1,0.311
7547,48999,5,5,1,0.084
7547,51207,5,5,1,0.519
7608,3706,5,5,1,0.192
7608,28529,5,5,1,0.171
7665,12869,5,5,1,0.201
7665,15794,5,5,1,0.187
7733,3706,5,5,1,0.293
7733,34259,5,5,1,0.399
7740,7526,5,5,1,0.338
7740,40293,5,5,1,0.707
7740,50889,5,5,1,0.523
7740,146676,5,5,1,0.277
7740,202390,5,5,1,0.487
8140,10027,5,5,1,0.224
8140,23012,5,5,1,0.248
8140,64738,5,5,2,0.138
8181,15270,5,5,1,0.314
8181,16551,5,5,1,0.134
8242,15877,5,5,2,1.17
8242,47160,5,5,2,1.406
8243,50174,5,5,3,1.417
8243,155018,5,5,1,0.31
8526,1431,5,5,1,0.227
8526,1434,5,5,1,0.319
8752,9912,5,5,1,0.191
8752,11959,5,5,1,0.553
8879,7050,5,5,1,0.23
8879,33794,5,5,1,0.121
8909,27642,5,5,5,2.047
8909,33860,5,5,1,0.615
8909,109995,5,5,2,0.178
8909,134415,5,5,4,0.832
8909,203129,5,5,1,0.292
8955,8956,5,5,1,0.188
8955,11959,5,5,3,1.266
8955,23012,5,5,1,0.246
8955,33860,5,5,1,0.358
8955,104372,5,5,1,0.03
8955,104541,5,5,1,0.13
8955,134415,5,5,4,1.609
8956,104541,5,5,1,0.096
8956,241068,5,5,1,0.133
8958,8955,5,5,1,0.359
8958,8956,5,5,1,0.257
8958,28167,5,5,1,0.284
8958,104372,5,5,1,0.377
9121,11990,5,5,1,0.205
9121,35737,5,5,1,0.403
9121,40296,5,5,1,0.445
9121,48370,5,5,1,0.225
9121,208936,5,5,2,0.321
9584,6718,5,5,1,0.631
9584,51235,5,5,1,0.61
9584,134415,5,5,3,6.789
