"ori_node","des_node","ori_layer","des_layer","minutes","km"
12779,20945,2,2,5,3.004
12779,24461,2,2,5,3.847
12779,38938,2,2,4,3.656
18601,24461,2,2,2,1.283
20945,12779,2,2,4,3.004
20945,24461,2,2,7,5.992
20945,38938,2,2,6,6.292
24461,12779,2,2,4,3.847
24461,18601,2,2,2,1.283
38938,12779,2,2,4,3.656
38938,20945,2,2,7,6.292
7356,13518,4,4,3,0.602
7356,38938,4,4,3,2.018
13518,7356,4,4,3,0.602
13518,20945,4,4,12,3.771
18601,40162,4,4,5,0.809
20945,13518,4,4,7,3.771
20945,40162,4,4,10,6.981
38938,7356,4,4,5,2.018
40162,18601,4,4,5,0.809
40162,20945,4,4,20,6.981
7356,61442,5,5,1,0.553
7356,149527,5,5,1,0.342
7356,242720,5,5,1,0.49
12779,12779,5,5,1,0
12779,162541,5,5,1,0.569
12779,171335,5,5,1,0.442
12779,181173,5,5,1,0.402
12779,256292,5,5,6,1.707
13518,61442,5,5,2,1.137
13518,159286,5,5,1,0.6
13518,178987,5,5,1,0.577
13518,218855,5,5,2,0.723
13518,242720,5,5,2,1.064
18601,18601,5,5,1,0
18601,205373,5,5,1,0.601
18601,215026,5,5,1,0.604
18601,215028,5,5,1,0.446
20945,20945,5,5,1,0
20945,55273,5,5,15,2.606
20945,56369,5,5,10,5.225
20945,64872,5,5,4,0.836
20945,66965,5,5,2,0.723
20945,115554,5,5,1,0.528
20945,115564,5,5,1,0.355
20945,126777,5,5,1,0.421
20945,139509,5,5,1,0.577
20945,161585,5,5,2,0.801
20945,169183,5,5,7,1.669
20945,225055,5,5,1,0.363
24461,24461,5,5,1,0
24461,111607,5,5,1,1.081
24461,121458,5,5,1,0.32
24461,121464,5,5,1,0.395
24461,215030,5,5,3,0.927
24461,239511,5,5,1,0.36
38938,38938,5,5,1,0
38938,51714,5,5,1,0.551
38938,51715,5,5,1,0.478
38938,51717,5,5,3,1.304
38938,61444,5,5,5,0.946
38938,116931,5,5,6,2.66
38938,125187,5,5,3,0.494
38938,135046,5,5,1,0.307
38938,242522,5,5,1,0.799
38938,242718,5,5,1,0.469
38938,251773,5,5,1,0.38
40162,205366,5,5,1,0.229
40162,205370,5,5,1,0.302
40162,215031,5,5,1,0.31
51714,135043,5,5,1,0.244
51715,51718,5,5,1,0.396
51715,61437,5,5,1,0.403
51716,38938,5,5,1,0.463
51716,51714,5,5,3,0.35
51716,135043,5,5,5,0.569
51717,38938,5,5,3,1.304
51717,51716,5,5,2,0.856
51717,51719,5,5,3,0.185
51717,51721,5,5,1,0.361
51718,51717,5,5,2,0.462
