"ori_node","des_node","ori_layer","des_layer","minutes","km"
649,23116,2,2,2,1.236
649,32235,2,2,4,2.586
22354,115488,2,2,2,1.662
23116,649,2,2,2,1.236
23116,39352,2,2,4,1.896
29171,39997,2,2,2,1.632
32235,649,2,2,4,2.586
32235,39997,2,2,2,1.18
32235,212795,2,2,5,4.713
39352,23116,2,2,3,1.896
39352,115488,2,2,4,3.695
39997,29171,2,2,2,1.632
39997,32235,2,2,2,1.18
115488,22354,2,2,3,1.662
115488,39352,2,2,6,3.695
212795,32235,2,2,4,4.713
1459,35987,4,4,10,5.918
35987,1459,4,4,10,5.918
649,649,5,5,1,0
649,6689,5,5,1,0.789
649,18920,5,5,1,0.645
649,30276,5,5,1,0.763
649,35280,5,5,1,0.897
649,41668,5,5,1,0.705
649,141539,5,5,1,0.286
954,12384,5,5,1,0.223
954,38884,5,5,1,0.268
1071,6690,5,5,1,0.141
1071,10000,5,5,1,0.093
1072,1073,5,5,1,0.477
1072,15042,5,5,1,0.418
1073,3551,5,5,1,0.177
1073,41670,5,5,1,0.232
1073,97553,5,5,1,0.182
1074,30271,5,5,1,0.077
1074,30272,5,5,1,0.345
1074,38885,5,5,1,0.369
1075,3549,5,5,1,0.2
1075,27781,5,5,1,0.304
1075,118517,5,5,1,0.275
1076,9570,5,5,4,2.924
1076,33728,5,5,4,1.289
1076,38883,5,5,1,0.341
1076,134975,5,5,1,0.471
1077,39193,5,5,1,0.173
1077,39194,5,5,1,0.197
1078,35987,5,5,3,0.614
1078,46221,5,5,1,0.292
1078,166394,5,5,1,0.302
1080,6692,5,5,1,0.344
1080,41670,5,5,1,0.291
1080,41672,5,5,1,0.357
1347,33728,5,5,1,0.175
1347,33732,5,5,1,0.695
1459,205075,5,5,1,0.417
1459,248439,5,5,1,0.256
1948,11675,5,5,1,0.355
3547,3550,5,5,1,0.207
3547,10000,5,5,1,0.205
3548,35986,5,5,1,0.37
3548,45003,5,5,1,0.304
3549,1075,5,5,1,0.2
3549,3552,5,5,1,0.292
3549,117093,5,5,1,0.217
3550,3547,5,5,1,0.207
3550,35986,5,5,1,0.361
3551,1073,5,5,1,0.177
3551,27791,5,5,1,0.28
3552,3549,5,5,1,0.292
3552,9259,5,5,1,0.151
3552,9260,5,5,1,0.253
3552,117093,5,5,1,0.119
4618,1076,5,5,1,0.614
4618,9258,5,5,1,0.193
4618,38883,5,5,1,0.277
4618,134975,5,5,1,0.167
4621,9260,5,5,1,0.287
4621,28481,5,5,3,0.782
4621,35987,5,5,1,0.237
4621,157832,5,5,1,0.222
6688,6691,5,5,1,0.295
6688,6693,5,5,1,0.447
6689,649,5,5,1,0.789
6689,41667,5,5,1,0.338
6690,20066,5,5,1,0.349
6690,40847,5,5,2,0.792
6691,6688,5,5,1,0.295
6691,40847,5,5,1,0.388
6692,97552,5,5,1,0.206
6692,166393,5,5,1,0.146
6693,6688,5,5,1,0.447
6693,18915,5,5,1,0.373
6693,131565,5,5,2,0.818
6694,20067,5,5,1,0.228
6694,25861,5,5,2,0.773
7372,38242,5,5,1,0.168
7372,49514,5,5,1,0.24
7372,51937,5,5,1,0.319
7373,22354,5,5,1,0.543
7373,38243,5,5,1,0.316
7374,9570,5,5,2,1.1
7374,30275,5,5,2,0.871
7374,38242,5,5,1,0.219
7379,17084,5,5,3,3.297
7379,22250,5,5,1,0.774
7379,38241,5,5,4,1.557
7379,38243,5,5,2,1.445
7379,49516,5,5,1,0.699
9258,4618,5,5,1,0.193
9258,9259,5,5,1,0.547
9258,18914,5,5,1,0.099
9258,167574,5,5,1,0.251
9259,9258,5,5,1,0.547
9259,9260,5,5,1,0.397
9260,3552,5,5,1,0.253
9260,4621,5,5,1,0.287
9260,9259,5,5,1,0.397
9260,27800,5,5,1,0.386
9422,9570,5,5,3,1.506
9422,14583,5,5,1,0.828
9570,7374,5,5,1,1.1
9570,9422,5,5,1,1.506
9570,17084,5,5,1,0.223
10000,1071,5,5,1,0.093
10000,3547,5,5,1,0.205
11039,28488,5,5,1,0.276
11039,33407,5,5,1,0.242
11041,11042,5,5,1,0.265
11041,20071,5,5,1,0.21
11042,11041,5,5,1,0.265
