"ori_node","des_node","ori_layer","des_layer","minutes","km"
843,24142,2,2,4,4.657
843,35373,2,2,3,3.446
843,45479,2,2,3,1.508
3789,37509,2,2,2,1.102
3789,41470,2,2,2,1.212
12782,33871,2,2,4,1.358
12782,41470,2,2,2,1.924
14696,16461,2,2,2,0.993
14696,51312,2,2,2,1.267
16461,14696,2,2,2,0.993
16461,18624,2,2,2,1.855
16461,51312,2,2,3,2.256
16585,28158,2,2,4,2.832
18624,16461,2,2,2,1.855
20165,39259,2,2,2,2.223
20165,41580,2,2,2,1.295
24142,843,2,2,4,4.657
24142,35373,2,2,2,1.211
28158,16585,2,2,5,2.832
33871,12782,2,2,3,1.358
35373,24142,2,2,2,1.211
36254,51312,2,2,2,1.151
36254,110174,2,2,3,2.495
36271,41470,2,2,3,2.706
37509,3789,2,2,2,1.102
39259,20165,2,2,2,2.223
41470,3789,2,2,1,1.212
41470,12782,2,2,3,1.924
41470,36271,2,2,3,2.706
41580,20165,2,2,2,1.295
45479,843,2,2,2,1.508
45479,24142,2,2,5,6.161
51312,14696,2,2,2,1.267
51312,16461,2,2,2,2.256
51312,36254,2,2,2,1.151
110174,36254,2,2,3,2.495
8463,30232,3,3,2,1.737
8463,38751,3,3,3,1.243
19176,30232,3,3,3,1.798
30232,8463,3,3,2,1.737
30232,19176,3,3,4,1.798
38751,8463,3,3,2,1.243
639,2740,5,5,1,0.379
639,15980,5,5,1,0.361
673,28170,5,5,1,0.301
673,37146,5,5,1,0.2
843,843,5,5,1,0
843,1729,5,5,1,0.649
843,33872,5,5,1,0.614
843,232954,5,5,1,0.586
971,14696,5,5,1,0.506
971,17221,5,5,1,0.276
1005,43318,5,5,1,0.363
1005,47248,5,5,1,0.339
1024,5399,5,5,1,0.375
1024,19019,5,5,1,0.369
1311,8099,5,5,1,0.172
1311,15000,5,5,1,0.384
1311,48526,5,5,1,0.474
1311,256393,5,5,1,0.213
1727,18836,5,5,1,0.388
1727,46212,5,5,1,0.335
1729,843,5,5,1,0.649
1729,33872,5,5,1,0.118
1863,8222,5,5,1,0.348
1863,23651,5,5,1,0.24
2026,42258,5,5,1,0.275
2059,26180,5,5,1,0.304
2059,41396,5,5,1,0.209
2084,47782,5,5,1,0.368
2084,217996,5,5,1,0.453
2159,48230,5,5,1,0.226
2159,49026,5,5,1,0.334
2159,96654,5,5,1,0.196
2170,5483,5,5,1,0.276
2170,14767,5,5,1,0.306
2170,21203,5,5,1,0.705
2170,26180,5,5,1,0.261
2520,25651,5,5,1,0.235
2520,45431,5,5,1,0.208
2654,4257,5,5,1,0.426
2654,8963,5,5,1,0.19
2654,15323,5,5,1,0.2
2740,639,5,5,1,0.379
2740,8007,5,5,1,0.4
2815,18836,5,5,1,0.483
2815,31304,5,5,1,0.305
2817,15429,5,5,1,0.771
2817,22629,5,5,1,0.594
2952,44202,5,5,1,0.271
2952,51312,5,5,1,0.664
3191,6794,5,5,1,0.085
3191,15334,5,5,1,0.333
3191,28521,5,5,1,0.106
3191,49026,5,5,1,0.37
3294,10913,5,5,1,0.492
3294,38419,5,5,1,0.325
3395,9138,5,5,1,0.338
3395,10293,5,5,1,0.311
3413,41470,5,5,1,0.915
3413,84186,5,5,1,0.349
3422,17550,5,5,1,0.637
3422,65036,5,5,1,0.42
3529,35555,5,5,1,0.536
3529,41408,5,5,1,0.306
3789,3789,5,5,1,0
3789,7349,5,5,4,0.596
3789,25070,5,5,1,0.669
3789,41470,5,5,1,1.212
3789,42457,5,5,1,0.775
3789,45335,5,5,1,0.574
3789,45963,5,5,1,0.607
3789,92542,5,5,1,0.299
3980,6092,5,5,1,0.207
3980,45688,5,5,1,0.34
4131,2026,5,5,1,0.221
4131,46208,5,5,1,0.297
4153,22408,5,5,1,0.451
4153,49043,5,5,1,0.405
4156,8307,5,5,1,0.156
4156,218912,5,5,1,0.304
4192,5602,5,5,1,0.424
4192,20165,5,5,1,0.746
4257,40341,5,5,1,0.35
4257,222233,5,5,1,0.272
4512,27503,5,5,1,0.342
4512,218176,5,5,1,0.449
4531,18518,5,5,1,0.395
4531,39410,5,5,1,0.299
4681,39410,5,5,1,0.29
4681,40957,5,5,3,1.098
4839,20165,5,5,1,0.557
5262,28170,5,5,1,0.33
5262,32512,5,5,1,0.366
5310,38066,5,5,1,0.771
5310,48478,5,5,1,0.331
5399,1024,5,5,1,0.375
5399,8307,5,5,1,0.353
5483,14734,5,5,1,0.292
5483,26180,5,5,1,0.041
5483,27959,5,5,1,0.318
5583,5632,5,5,1,0.221
5583,10408,5,5,1,0.251
5602,20165,5,5,1,0.533
5602,46208,5,5,1,0.244
5602,67246,5,5,1,0.427
5632,5583,5,5,1,0.221
5632,8007,5,5,1,0.172
5755,14478,5,5,1,0.459
5755,41396,5,5,1,0.34
5755,44510,5,5,1,0.34
5786,5787,5,5,1,0.464
5786,19080,5,5,1,0.543
5786,29162,5,5,1,1.052
5787,5786,5,5,1,0.464
5787,5788,5,5,1,0.218
5787,19079,5,5,1,0.368
5788,5787,5,5,1,0.218
5788,27465,5,5,1,0.458
6092,3980,5,5,1,0.207
6092,45514,5,5,1,0.163
6092,123192,5,5,1,0.314
6420,22734,5,5,1,0.29
6420,43741,5,5,1,0.309
6794,3191,5,5,1,0.085
6794,28521,5,5,1,0.126
6794,213917,5,5,1,0.451
6794,219955,5,5,1,0.3
7349,23089,5,5,1,0.104
7349,45963,5,5,1,0.166
7435,18518,5,5,1,0.526
7435,21119,5,5,1,0.475
7435,204621,5,5,1,0.299
7699,15929,5,5,1,0.355
7699,30602,5,5,1,0.942
8007,2740,5,5,1,0.4
8007,5632,5,5,1,0.172
8007,9845,5,5,1,0.166
8099,1311,5,5,1,0.172
8099,48526,5,5,1,0.338
8099,48732,5,5,1,0.281
8222,1863,5,5,1,0.348
8222,45462,5,5,1,0.364
8224,10912,5,5,1,0.204
8224,47113,5,5,1,0.305
8307,4156,5,5,1,0.156
8307,5399,5,5,1,0.353
8463,8463,5,5,1,0
8463,10911,5,5,1,0.287
8463,15964,5,5,1,0.303
8463,42447,5,5,1,0.346
8463,49293,5,5,1,0.531
8605,19171,5,5,1,0.29
8605,46515,5,5,1,0.152
8963,2654,5,5,1,0.19
8963,32650,5,5,1,0.301
8985,10544,5,5,1,0.511
8985,25185,5,5,1,0.271
8985,106493,5,5,1,0.049
9136,30232,5,5,1,0.48
9136,45654,5,5,1,0.346
9138,3395,5,5,1,0.338
9138,21119,5,5,1,0.302
9674,19171,5,5,1,0.197
9845,8007,5,5,1,0.166
9845,12326,5,5,1,0.222
10293,3395,5,5,1,0.311
10293,20009,5,5,1,0.22
10293,51377,5,5,1,0.26
10295,27959,5,5,1,0.282
10295,28653,5,5,1,0.58
10295,207418,5,5,1,0.421
10315,36271,5,5,1,0.542
10315,39772,5,5,1,0.364
10315,77266,5,5,1,0.286
10408,5583,5,5,1,0.251
10408,41470,5,5,1,0.574
10544,8985,5,5,1,0.511
10544,41637,5,5,1,0.445
10896,14463,5,5,1,0.403
10896,39615,5,5,1,0.216
10899,17909,5,5,1,0.363
10899,51026,5,5,1,0.407
10911,8463,5,5,1,0.287
10911,38066,5,5,1,0.437
10912,8224,5,5,1,0.204
10912,27332,5,5,1,0.27
10912,47113,5,5,1,0.507
10913,3294,5,5,1,0.492
10913,38751,5,5,1,0.423
10914,27332,5,5,1,0.223
10914,30104,5,5,1,0.978
10914,48526,5,5,3,1.372
11016,45479,5,5,1,0.576
11016,47870,5,5,1,0.506
11145,11149,5,5,1,0.417
11145,31304,5,5,1,0.304
11145,33553,5,5,1,0.132
11149,11145,5,5,1,0.417
11427,18624,5,5,1,0.664
11427,41637,5,5,1,0.05
11427,46627,5,5,1,0.133
11774,28158,5,5,1,0.657
11774,101816,5,5,1,0.302
12248,21203,5,5,1,0.205
12248,51026,5,5,1,0.305
12326,9845,5,5,1,0.222
12326,256603,5,5,1,0.58
12355,148791,5,5,1,0.067
12355,157272,5,5,1,0.434
12782,12782,5,5,1,0
12782,15429,5,5,1,0.791
12782,37060,5,5,1,0.714
12782,73577,5,5,1,0.453
12782,175481,5,5,1,0.664
12782,218176,5,5,1,0.288
13189,19064,5,5,1,0.384
13189,37197,5,5,1,0.5
13372,20248,5,5,1,0.315
13372,49293,5,5,1,0.613
13423,13424,5,5,1,0.412
13423,35956,5,5,1,0.321
13424,13423,5,5,1,0.412
13424,21119,5,5,1,0.356
13434,19207,5,5,1,0.394
13434,113360,5,5,1,0.326
14214,16585,5,5,1,0.771
14214,37146,5,5,1,0.186
14218,18624,5,5,1,0.834
14218,19176,5,5,1,0.896
14218,19271,5,5,1,0.316
14218,96525,5,5,1,0.254
14463,10896,5,5,1,0.403
14463,175886,5,5,1,0.222
14464,17909,5,5,1,0.186
14464,19952,5,5,1,0.293
14478,5755,5,5,1,0.459
14478,14479,5,5,1,0.632
14478,44510,5,5,1,0.122
14479,14478,5,5,1,0.632
14696,971,5,5,1,0.506
14696,14696,5,5,1,0
14696,16461,5,5,1,0.993
14696,17221,5,5,1,0.777
14696,38603,5,5,1,0.647
14696,40341,5,5,1,0.852
14734,5483,5,5,1,0.292
14734,24742,5,5,2,0.848
14767,2170,5,5,1,0.306
14767,21201,5,5,1,0.265
14792,13434,5,5,1,0.281
14792,19207,5,5,1,0.28
14792,32174,5,5,1,0.393
14792,113360,5,5,1,0.284
15000,1311,5,5,1,0.384
15000,20803,5,5,1,0.321
15052,28964,5,5,1,0.294
15052,138860,5,5,1,0.138
15095,21910,5,5,1,0.381
15095,97738,5,5,1,0.5
15209,38107,5,5,1,0.214
15209,38450,5,5,1,0.38
15209,101115,5,5,1,0.326
15323,2654,5,5,1,0.2
15323,40950,5,5,1,0.353
15334,3191,5,5,1,0.333
15334,6794,5,5,1,0.417
15334,51026,5,5,1,0.381
15429,2817,5,5,1,0.771
15429,12782,5,5,1,0.791
15929,7699,5,5,1,0.355
15929,36863,5,5,1,0.676
15964,8463,5,5,1,0.303
15964,49805,5,5,1,0.28
15980,639,5,5,1,0.361
15980,49348,5,5,1,0.322
16461,14696,5,5,1,0.993
16461,16461,5,5,1,0
16461,40341,5,5,1,0.681
16461,45940,5,5,1,0.593
16461,71096,5,5,1,0.482
16461,214485,5,5,1,0.329
16528,1311,5,5,1,0.355
16528,24273,5,5,1,0.293
16585,14214,5,5,1,0.771
16585,16585,5,5,1,0
16585,246083,5,5,1,0.353
16728,41052,5,5,1,0.387
16728,42258,5,5,1,0.286
16962,174398,5,5,1,0.419
16962,227286,5,5,1,0.175
17035,22053,5,5,1,0.244
17035,49348,5,5,1,0.363
17221,971,5,5,1,0.276
17221,14696,5,5,1,0.777
17221,27368,5,5,1,0.193
17221,53374,5,5,1,0.174
17318,46208,5,5,1,0.245
17503,22053,5,5,1,0.311
17503,49992,5,5,1,0.512
17550,18624,5,5,1,0.647
17550,231151,5,5,1,0.194
17550,234227,5,5,1,0.161
17909,10899,5,5,1,0.363
17909,14464,5,5,1,0.186
18518,4531,5,5,1,0.395
18518,7435,5,5,1,0.526
18519,28964,5,5,1,0.272
18519,33829,5,5,1,0.321
18519,37650,5,5,1,0.357
18590,29557,5,5,1,0.316
18590,45940,5,5,1,0.175
18624,11427,5,5,1,0.664
18624,14218,5,5,1,0.834
18624,17550,5,5,1,0.647
18624,18624,5,5,1,0
18836,1727,5,5,1,0.388
18836,2815,5,5,1,0.483
18836,20016,5,5,1,0.324
19019,98997,5,5,1,0.121
19019,161580,5,5,1,0.166
19019,171461,5,5,1,0.169
19064,13189,5,5,1,0.384
19064,38566,5,5,1,0.233
19078,19079,5,5,1,0.262
19079,5787,5,5,1,0.368
19079,19078,5,5,1,0.262
19080,5786,5,5,1,0.543
19080,49043,5,5,2,1.186
19171,8605,5,5,1,0.29
19171,9674,5,5,1,0.197
19176,14218,5,5,1,0.896
19176,19176,5,5,1,0
19176,19271,5,5,1,0.739
19176,38037,5,5,1,0.539
19207,14792,5,5,1,0.28
19207,54448,5,5,1,0.218
19271,14218,5,5,1,0.316
19271,19176,5,5,1,0.739
19271,23320,5,5,1,0.299
19293,27995,5,5,1,0.639
19293,255744,5,5,1,1.028
