"ori_node","des_node","ori_layer","des_layer","minutes","km"
5856,5856,1,1,5,0
13247,31583,2,2,2,1.778
13247,34937,2,2,3,3.234
26104,30231,2,2,3,2.665
30231,26104,2,2,3,2.665
31583,13247,2,2,3,1.778
31583,37275,2,2,3,2.547
33888,40654,2,2,3,2.924
34937,13247,2,2,3,3.234
37275,31583,2,2,3,2.547
40654,33888,2,2,3,2.924
40654,48635,2,2,2,1.767
48635,40654,2,2,2,1.767
548,32872,5,5,1,0.262
548,47969,5,5,1,0.374
793,22573,5,5,1,0.307
793,32668,5,5,1,0.268
1084,22803,5,5,1,0.634
1084,37834,5,5,1,0.468
1084,133759,5,5,1,1.023
1084,178868,5,5,1,0.094
2323,13773,5,5,1,0.303
2323,21753,5,5,2,0.6
2323,31583,5,5,1,0.8
2448,8455,5,5,1,0.204
2448,21531,5,5,1,0.657
2767,11977,5,5,1,0.379
2767,18430,5,5,1,0.427
2767,20008,5,5,1,0.379
2971,2323,5,5,1,0.485
2971,31583,5,5,3,0.699
2971,42552,5,5,1,0.242
3593,16747,5,5,1,0.366
3593,35973,5,5,1,0.334
4695,35314,5,5,1,0.228
4695,37651,5,5,1,0.287
4695,42814,5,5,1,0.572
4695,96391,5,5,2,0.368
4920,223600,5,5,1,0.343
4920,243048,5,5,1,0.421
5302,44070,5,5,1,0.237
5373,10881,5,5,1,0.349
5373,15032,5,5,2,0.426
5373,47487,5,5,1,0.155
5373,69832,5,5,1,0.421
5891,40886,5,5,2,0.654
5896,32882,5,5,2,0.463
5896,35290,5,5,1,0.505
5999,7427,5,5,1,0.311
5999,25193,5,5,1,0.212
5999,39210,5,5,1,0.335
6112,26460,5,5,1,0.51
6112,27723,5,5,1,0.11
6152,40886,5,5,1,0.339
6347,16282,5,5,1,0.345
6347,31561,5,5,1,0.268
6763,25877,5,5,1,0.376
6763,39210,5,5,1,0.421
7325,20805,5,5,1,0.375
7325,26460,5,5,1,0.203
7325,27723,5,5,1,0.246
7325,33052,5,5,1,0.284
7427,5999,5,5,1,0.311
7427,7777,5,5,1,0.31
7427,29106,5,5,1,0.245
7427,39210,5,5,1,0.168
7427,49144,5,5,1,0.131
7600,17505,5,5,1,0.356
7600,30246,5,5,1,0.186
7600,43414,5,5,1,0.523
7777,7427,5,5,1,0.31
7777,30620,5,5,1,0.24
7777,49144,5,5,1,0.2
8175,13084,5,5,1,0.09
8175,13433,5,5,1,0.078
8175,34370,5,5,2,0.475
8306,171086,5,5,1,0.428
8455,2448,5,5,1,0.204
8455,29099,5,5,1,0.695
8455,42345,5,5,1,0.349
8455,137091,5,5,1,0.139
8556,25267,5,5,1,0.288
8556,36875,5,5,1,0.209
8989,19054,5,5,1,0.211
8989,38197,5,5,1,0.234
9395,40654,5,5,1,0.594
9395,41731,5,5,1,0.436
9921,39235,5,5,1,0.155
9923,20805,5,5,1,0.241
9923,28578,5,5,1,0.249
9923,33052,5,5,2,0.32
9923,44375,5,5,1,0.551
10023,26104,5,5,1,0.709
10023,45943,5,5,1,0.284
10399,23565,5,5,1,0.349
10399,42814,5,5,1,0.471
10881,5373,5,5,1,0.349
10881,20377,5,5,1,0.304
10881,42881,5,5,1,0.293
11022,32668,5,5,1,0.324
11022,47868,5,5,1,0.152
11201,16852,5,5,1,0.158
11201,35214,5,5,1,0.296
11201,45048,5,5,3,0.659
11201,46407,5,5,1,0.438
11278,28578,5,5,1,0.3
11278,44375,5,5,1,0.083
11278,50087,5,5,2,0.412
11836,13247,5,5,1,0.67
11836,30620,5,5,3,0.584
11836,44186,5,5,1,0.33
11870,17693,5,5,1,0.287
11870,31138,5,5,1,0.469
11912,27725,5,5,1,0.226
11912,27732,5,5,1,0.212
11967,27727,5,5,1,0.084
11967,39724,5,5,1,0.243
11973,27733,5,5,1,0.175
11973,35760,5,5,1,0.162
11977,2767,5,5,2,0.379
11977,27733,5,5,1,0.178
12692,25807,5,5,5,1.016
12692,29927,5,5,1,0.302
12910,28457,5,5,2,0.92
12910,32166,5,5,1,0.402
12910,71635,5,5,1,0.293
12934,18598,5,5,1,0.679
12934,37834,5,5,1,0.429
12963,40886,5,5,1,0.347
12963,45430,5,5,1,0.394
12963,82905,5,5,1,0.395
12963,234929,5,5,1,0.118
13081,21753,5,5,1,0.204
13081,32317,5,5,1,0.144
13084,8175,5,5,1,0.09
13084,42907,5,5,1,0.318
13084,49363,5,5,1,0.513
13247,11836,5,5,1,0.67
13247,13247,5,5,1,0
13247,17586,5,5,1,0.592
13247,25068,5,5,1,0.535
