"ori_node","des_node","ori_layer","des_layer","minutes","km"
13443,20685,2,2,2,2.769
13443,29400,2,2,2,1.409
15407,20685,2,2,4,3.15
20685,13443,2,2,3,2.769
20685,15407,2,2,3,3.15
20685,27700,2,2,6,4.421
27700,20685,2,2,5,4.421
27700,29400,2,2,2,0.947
27700,50640,2,2,2,0.768
27700,50958,2,2,5,4.666
29400,13443,2,2,3,1.409
29400,20685,2,2,4,3.902
29400,27700,2,2,2,0.947
50640,27700,2,2,1,0.768
50640,50643,2,2,1,1.381
50640,175646,2,2,7,6.394
50643,50640,2,2,3,1.381
50958,27700,2,2,4,4.666
175646,50640,2,2,9,6.394
23546,126575,4,4,18,5.639
35210,126575,4,4,10,3.781
83554,126575,4,4,10,4.371
126575,23546,4,4,15,5.639
126575,35210,4,4,5,3.781
126575,83554,4,4,10,4.371
13443,13443,5,5,1,0
13443,73317,5,5,1,0.524
13443,83058,5,5,1,0.43
15407,15407,5,5,1,0
15407,122587,5,5,1,1.041
15407,229071,5,5,1,0.322
15407,229074,5,5,1,0.337
20685,20685,5,5,1,0
20685,199856,5,5,1,0.406
20685,199857,5,5,1,0.266
20685,209463,5,5,1,0.378
20685,209466,5,5,1,0.287
20685,238399,5,5,2,0.335
20685,238804,5,5,9,2.543
23546,210894,5,5,1,0.398
23546,210896,5,5,1,0.476
27700,27700,5,5,1,0
27700,65487,5,5,1,0.886
27700,98679,5,5,1,0.504
27700,98680,5,5,1,0.493
27700,108421,5,5,1,0.335
27700,169198,5,5,1,0.358
27700,171687,5,5,1,0.56
27700,243624,5,5,1,0.471
29400,29400,5,5,1,0
29400,78042,5,5,1,0.305
29400,90578,5,5,1,0.276
29400,139524,5,5,11,2.038
29400,163617,5,5,1,0.291
35210,35210,5,5,1,0
35210,47111,5,5,8,3.839
35210,106187,5,5,1,0.176
35210,171954,5,5,2,1.721
35210,171955,5,5,1,0.429
35210,180396,5,5,1,0.307
35210,209468,5,5,3,0.76
35210,228651,5,5,2,0.236
47111,35210,5,5,7,3.839
47111,106187,5,5,7,3.795
47111,118078,5,5,1,1.211
50640,50640,5,5,1,0
50640,50643,5,5,1,1.381
50640,57245,5,5,1,0.573
50640,98679,5,5,4,1.26
50640,150672,5,5,1,0.392
50640,169195,5,5,1,0.394
50640,169197,5,5,2,0.43
50640,190089,5,5,5,2.551
50643,50640,5,5,2,1.381
50643,50643,5,5,1,0
50643,98678,5,5,1,0.458
50643,139524,5,5,2,0.542
50643,197657,5,5,1,0.441
50643,216108,5,5,1,0.369
50643,260345,5,5,1,0.475
50958,50958,5,5,1,0
50958,92710,5,5,1,0.258
50958,92712,5,5,1,0.532
50958,139870,5,5,11,4.141
50958,173806,5,5,1,0.262
50958,247463,5,5,2,0.34
53256,119930,5,5,1,0.124
53257,62904,5,5,1,0.072
53258,53264,5,5,2,0.304
53260,196772,5,5,1,0.306
53261,129659,5,5,1,0.15
53263,179011,5,5,1,0.109
53263,188739,5,5,1,0.328
53264,188740,5,5,1,0.118
54112,142005,5,5,1,0.648
54112,207375,5,5,4,2.476
54112,261123,5,5,3,0.737
54113,140244,5,5,1,0.22
54206,54210,5,5,1,0.341
54207,54213,5,5,1,0.265
54208,54209,5,5,1,0.326
54209,54207,5,5,1,0.255
54210,85902,5,5,1,0.14
54210,133894,5,5,1,0.13
54211,54213,5,5,1,0.192
54212,54206,5,5,1,0.328
54213,63849,5,5,1,0.287
55571,240475,5,5,1,0.067
55571,240479,5,5,2,1.391
55885,55887,5,5,1,0.167
55886,55892,5,5,1,0.24
55887,65488,5,5,1,0.305
55888,55886,5,5,1,0.478
55888,150673,5,5,1,0.225
55889,78616,5,5,1,0.368
55890,55889,5,5,1,0.154
55892,55893,5,5,1,0.272
55892,256945,5,5,1,0.308
55892,256946,5,5,2,0.576
55893,55894,5,5,1,0.188
55894,256949,5,5,1,0.172
57039,131786,5,5,1,0.147
57040,96493,5,5,1,0.178
57040,131789,5,5,1,0.11
57041,247107,5,5,1,0.196
57042,131787,5,5,1,0.157
57043,131784,5,5,1,0.083
57044,57046,5,5,1,0.166
57045,104100,5,5,1,0.241
57046,85017,5,5,1,0.339
57244,50640,5,5,2,0.729
57245,50643,5,5,1,0.828
57245,57246,5,5,2,0.293
57245,98678,5,5,1,1.277
57246,227487,5,5,4,0.592
59121,260344,5,5,1,0.17
59122,150662,5,5,1,0.325
59123,78113,5,5,1,0.258
59124,78119,5,5,1,0.687
59125,240477,5,5,1,0.638
59126,78118,5,5,1,0.227
59127,59130,5,5,1,0.238
59128,150661,5,5,1,0.11
59129,59128,5,5,1,0.265
59130,65482,5,5,1,0.221
59262,98504,5,5,1,0.152
60410,98681,5,5,1,0.195
60415,163616,5,5,1,0.175
60415,194904,5,5,2,0.38
60817,121991,5,5,1,0.592
60817,217625,5,5,1,0.635
62900,62911,5,5,1,0.273
62901,62900,5,5,1,0.287
62904,119931,5,5,1,0.22
62906,62905,5,5,1,0.196
62907,149538,5,5,1,0.202
62908,62907,5,5,1,0.17
62909,139520,5,5,1,0.278
62910,74904,5,5,1,0.223
62911,74901,5,5,1,0.2
63844,73314,5,5,1,0.463
63844,179361,5,5,1,0.169
63845,102395,5,5,1,0.192
63845,248344,5,5,2,0.166
63847,248342,5,5,1,0.217
63848,126417,5,5,1,0.29
63849,63847,5,5,1,0.195
63849,248343,5,5,1,0.27
63850,63845,5,5,1,0.145
63851,126421,5,5,1,0.211
65479,206415,5,5,2,0.303
