"ori_node","des_node","ori_layer","des_layer","minutes","km"
10275,38356,2,2,6,5.751
10275,49216,2,2,5,4.776
38356,10275,2,2,6,5.751
49216,10275,2,2,5,4.776
10275,10275,5,5,1,0
10275,60245,5,5,1,0.514
10275,96532,5,5,1,0.306
10275,96535,5,5,1,0.558
10275,194246,5,5,7,1.408
10275,250781,5,5,1,0.36
24513,77063,5,5,1,0.472
24513,77067,5,5,1,0.452
24513,89927,5,5,1,0.328
24513,96536,5,5,1,0.339
24513,238789,5,5,3,1.063
24513,238793,5,5,1,0.332
38356,156259,5,5,3,0.463
38356,157995,5,5,1,0.364
38356,157999,5,5,1,0.352
38356,259106,5,5,2,0.478
49216,49216,5,5,1,0
49216,99767,5,5,2,0.498
49216,184168,5,5,1,0.371
49216,193873,5,5,1,0.38
49216,194732,5,5,1,0.671
49216,203604,5,5,1,0.337
49216,213273,5,5,1,0.359
49216,232856,5,5,1,0.587
51996,72370,5,5,3,0.608
55489,77065,5,5,1,0.193
55493,86762,5,5,1,0.348
55513,86759,5,5,3,1.842
57810,24513,5,5,3,0.533
57812,258974,5,5,1,0.52
57813,57812,5,5,1,0.325
57814,57816,5,5,1,0.218
57815,57813,5,5,1,0.228
57816,57818,5,5,1,0.141
57816,86761,5,5,4,0.538
57817,57815,5,5,1,0.121
57818,57810,5,5,1,0.247
57819,57817,5,5,1,0.23
59229,166092,5,5,1,0.203
59229,252413,5,5,1,0.487
59509,99907,5,5,1,0.546
59510,238298,5,5,1,0.157
59511,59516,5,5,1,0.443
59511,260745,5,5,1,0.408
59512,238298,5,5,1,0.232
59513,59514,5,5,1,0.361
59514,59510,5,5,2,0.648
59515,59512,5,5,1,0.3
59516,223181,5,5,2,0.706
59605,128438,5,5,1,0.222
60238,60239,5,5,2,0.277
60239,60244,5,5,1,0.376
60240,60238,5,5,1,0.235
60241,108644,5,5,1,0.231
60242,60243,5,5,1,0.361
60243,60241,5,5,1,0.308
60244,60246,5,5,1,0.354
60245,60242,5,5,1,0.325
60245,261504,5,5,1,0.323
60246,10275,5,5,1,0.483
62077,188163,5,5,4,1.56
65277,88568,5,5,1,0.31
68213,68220,5,5,1,0.331
68214,73649,5,5,1,0.411
68217,68218,5,5,1,0.432
68218,175855,5,5,1,0.339
68219,99557,5,5,1,0.228
68220,68222,5,5,1,0.29
68221,68214,5,5,1,0.347
68222,68217,5,5,1,0.193
68222,136312,5,5,1,0.756
69434,118515,5,5,1,0.467
70554,186918,5,5,1,0.336
71604,71616,5,5,1,0.321
71607,59229,5,5,1,0.421
71616,252553,5,5,1,0.365
72370,77062,5,5,1,0.686
72370,77069,5,5,6,1.377
72392,24513,5,5,2,0.265
