"ori_node","des_node","ori_layer","des_layer","minutes","km"
21602,44468,2,2,3,2.723
33800,38722,2,2,3,3.028
33800,44468,2,2,6,4.152
33800,47786,2,2,5,6.985
38722,33800,2,2,3,3.028
38722,47786,2,2,4,4.06
44468,21602,2,2,4,2.723
44468,33800,2,2,6,4.152
45974,47786,2,2,3,2.476
47786,33800,2,2,5,6.985
47786,38722,2,2,4,4.06
47786,45974,2,2,2,2.476
113,4908,5,5,1,0.738
113,24048,5,5,3,1.298
113,30162,5,5,2,1.053
113,38070,5,5,6,1.359
113,45808,5,5,1,0.529
113,257042,5,5,3,0.802
566,44156,5,5,1,0.681
566,155686,5,5,1,0.382
566,198066,5,5,1,0.195
566,212531,5,5,1,0.461
566,217432,5,5,1,0.415
566,222444,5,5,3,1.283
633,32553,5,5,1,0.664
633,33048,5,5,1,0.395
1966,15236,5,5,1,0.946
2386,11355,5,5,2,0.845
2386,21485,5,5,1,0.551
2386,43325,5,5,1,0.402
3861,32993,5,5,1,0.302
3861,51463,5,5,1,0.2
4205,12077,5,5,1,0.506
4205,44497,5,5,1,0.45
4215,10141,5,5,7,1.438
4215,12902,5,5,7,2.297
4215,31194,5,5,3,1.002
4215,32299,5,5,2,0.579
4908,113,5,5,1,0.738
4908,24048,5,5,2,0.56
4908,257042,5,5,1,0.324
5431,8790,5,5,1,0.512
5431,48701,5,5,1,0.755
5431,205458,5,5,2,0.642
5554,23965,5,5,1,0.393
5554,38070,5,5,1,0.322
6300,21602,5,5,1,0.783
6300,44497,5,5,1,0.336
8005,21602,5,5,1,0.853
8005,40554,5,5,1,0.344
8098,27227,5,5,1,0.402
8098,30829,5,5,1,0.341
8098,40550,5,5,1,0.295
8214,13272,5,5,1,0.315
8214,20046,5,5,1,0.379
8790,5431,5,5,1,0.512
8790,44389,5,5,1,0.242
8837,29851,5,5,1,0.144
8837,41219,5,5,1,0.397
8962,14586,5,5,1,0.302
8962,21602,5,5,1,0.55
9230,22566,5,5,3,1.606
9230,28691,5,5,2,0.455
9254,19395,5,5,1,0.163
9254,32299,5,5,1,0.225
9501,19397,5,5,2,0.264
9501,21911,5,5,1,0.249
9501,32299,5,5,1,0.583
9926,15685,5,5,1,0.61
9926,47409,5,5,1,0.293
10141,4215,5,5,9,1.438
10141,20841,5,5,1,0.406
10141,46977,5,5,3,1.498
10786,13272,5,5,1,0.394
10786,44389,5,5,1,0.417
11355,16362,5,5,1,0.253
11355,21485,5,5,1,0.342
11366,20842,5,5,1,0.219
11366,30491,5,5,1,0.23
12077,4205,5,5,1,0.506
12077,31195,5,5,1,0.361
12077,44474,5,5,1,0.304
12571,19395,5,5,1,0.181
12571,51442,5,5,1,0.225
12902,4215,5,5,9,2.297
13272,8214,5,5,1,0.315
13272,10786,5,5,1,0.394
13292,39514,5,5,3,0.682
13292,45556,5,5,1,0.427
13292,104629,5,5,1,0.552
13830,43834,5,5,1,0.204
13830,46967,5,5,1,0.592
13835,21892,5,5,1,0.399
13835,33048,5,5,1,0.347
13846,31196,5,5,1,0.269
13846,43325,5,5,1,0.359
14586,8962,5,5,1,0.302
14586,46967,5,5,1,0.257
15236,1966,5,5,3,0.946
15236,37642,5,5,1,0.345
15685,9926,5,5,1,0.61
15685,21602,5,5,1,0.736
15685,32993,5,5,2,0.47
15857,36205,5,5,1,0.197
15857,48328,5,5,1,0.193
15899,47409,5,5,1,0.163
15899,205458,5,5,2,0.499
15899,207317,5,5,3,0.86
16362,11355,5,5,1,0.253
16362,44926,5,5,1,0.33
16368,33048,5,5,1,0.414
16368,48842,5,5,1,0.301
18866,23739,5,5,1,0.344
18866,38070,5,5,1,0.642
19395,9254,5,5,1,0.163
19395,12571,5,5,1,0.181
19395,51442,5,5,1,0.387
19396,23739,5,5,1,0.115
19396,51442,5,5,1,0.169
19397,9501,5,5,1,0.264
19397,21911,5,5,1,0.289
19397,51442,5,5,1,0.301
20046,8214,5,5,1,0.379
20046,48701,5,5,1,0.188
20841,10141,5,5,1,0.406
20841,36205,5,5,1,0.222
20842,11366,5,5,1,0.219
20842,24750,5,5,4,0.758
20842,44468,5,5,1,0.858
21485,2386,5,5,1,0.551
21485,11355,5,5,1,0.342
21485,40554,5,5,1,0.252
21485,46216,5,5,1,0.473
21569,21892,5,5,2,0.706
21569,40550,5,5,1,0.547
21569,44468,5,5,2,2.195
21569,212535,5,5,1,0.463
21602,6300,5,5,1,0.783
21602,8005,5,5,1,0.853
21602,8962,5,5,1,0.55
21602,15685,5,5,1,0.736
21602,21602,5,5,1,0
21602,43745,5,5,1,0.946
21892,13835,5,5,1,0.399
21892,21569,5,5,1,0.706
21892,27227,5,5,1,0.389
21911,9501,5,5,1,0.249
21911,19397,5,5,1,0.289
21911,27241,5,5,1,0.297
22566,9230,5,5,3,1.606
22566,25942,5,5,1,0.463
23739,18866,5,5,1,0.344
23739,19396,5,5,1,0.115
23965,5554,5,5,1,0.393
23965,45556,5,5,1,0.165
24048,4908,5,5,1,0.56
24048,38724,5,5,1,0.401
24048,257042,5,5,2,0.656
24750,20842,5,5,2,0.758
24750,30491,5,5,1,0.372
24750,43745,5,5,1,0.331
25429,13830,5,5,1,0.383
25429,43834,5,5,1,0.185
25429,123054,5,5,1,0.277
25942,22566,5,5,2,0.463
25942,38724,5,5,1,0.44
27227,8098,5,5,1,0.402
27227,21892,5,5,1,0.389
27241,9501,5,5,1,0.541
27241,21485,5,5,1,0.84
27241,21911,5,5,1,0.297
27241,23965,5,5,3,1.267
27241,46216,5,5,1,0.37
28691,9230,5,5,1,0.455
28691,37642,5,5,1,0.391
29447,33690,5,5,1,0.418
29447,44926,5,5,1,0.519
29851,8837,5,5,1,0.144
29851,48842,5,5,1,0.258
29851,216632,5,5,1,0.086
30162,36503,5,5,1,0.31
30162,45808,5,5,1,0.528
30162,51442,5,5,1,0.412
30491,11366,5,5,1,0.23
30491,24750,5,5,1,0.372
30491,33839,5,5,1,0.469
30829,8098,5,5,1,0.341
30829,31367,5,5,1,0.28
31194,4215,5,5,3,1.002
31194,31195,5,5,1,0.24
31195,12077,5,5,1,0.361
31195,31194,5,5,1,0.24
31195,39871,5,5,1,0.819
31196,13846,5,5,1,0.269
31196,39871,5,5,1,0.778
31367,30829,5,5,1,0.28
31367,33800,5,5,1,0.908
32299,4215,5,5,4,0.579
32299,9254,5,5,1,0.225
32299,9501,5,5,1,0.583
32299,21911,5,5,1,0.831
32299,46977,5,5,1,0.335
32553,633,5,5,1,0.664
32553,38724,5,5,1,0.476
32993,3861,5,5,1,0.302
32993,15685,5,5,1,0.47
32993,51463,5,5,1,0.503
33048,633,5,5,1,0.395
33048,13835,5,5,1,0.347
33048,16368,5,5,1,0.414
33690,29447,5,5,1,0.418
33690,104629,5,5,1,0.404
33800,31367,5,5,1,0.908
33800,33800,5,5,1,0
33800,108822,5,5,1,0.642
33800,218530,5,5,1,0.804
33839,30491,5,5,1,0.469
33839,51463,5,5,1,0.514
36205,15857,5,5,1,0.197
36205,20841,5,5,1,0.222
36503,30162,5,5,1,0.31
36503,46977,5,5,1,0.323
37642,15236,5,5,1,0.345
37642,28691,5,5,1,0.391
38070,5554,5,5,1,0.322
38070,18866,5,5,1,0.642
38717,12077,5,5,1,0.466
38717,44474,5,5,1,0.366
38717,82350,5,5,2,0.238
38722,38722,5,5,1,0
38722,103845,5,5,1,0.424
38722,186744,5,5,2,0.662
38722,202859,5,5,1,0.311
38722,232069,5,5,4,1.073
38724,633,5,5,2,1.086
38724,24048,5,5,1,0.401
38724,25942,5,5,1,0.44
