"ori_node","des_node","ori_layer","des_layer","minutes","km"
12951,36496,2,2,2,1.492
36496,12951,2,2,2,1.492
36496,37840,2,2,5,6.16
37840,36496,2,2,5,6.16
37840,63228,2,2,2,2.039
63228,37840,2,2,2,2.039
7559,10875,4,4,5,2.816
7559,39591,4,4,3,1.703
10875,7559,4,4,5,2.816
10875,26979,4,4,7,3.504
12951,39591,4,4,4,2.219
26979,10875,4,4,5,3.504
39591,7559,4,4,3,1.703
39591,12951,4,4,7,2.219
4230,53126,5,5,1,0.399
4230,202782,5,5,1,1.097
7559,129461,5,5,10,3.786
7559,145693,5,5,1,0.729
7559,210228,5,5,4,2.015
7559,246824,5,5,1,0.464
10875,29329,5,5,1,0.555
10875,210652,5,5,1,0.449
12951,12951,5,5,1,0
12951,64259,5,5,1,0.684
12951,72578,5,5,1,0.293
12951,75136,5,5,1,0.503
12951,101613,5,5,1,0.381
12951,112624,5,5,1,0.592
12951,140287,5,5,1,0.088
12951,152764,5,5,1,0.189
12951,177067,5,5,1,0.561
12951,221441,5,5,1,0.401
12951,257163,5,5,4,0.977
29329,10875,5,5,1,0.555
29329,29329,5,5,1,0
29329,95451,5,5,2,0.534
29329,174593,5,5,1,0.207
29329,202266,5,5,1,0.498
36496,36496,5,5,1,0
36496,81276,5,5,1,0.555
36496,100027,5,5,1,0.342
36496,104731,5,5,1,0.542
36496,129461,5,5,15,6.026
36496,169776,5,5,1,0.362
36496,186319,5,5,1,0.352
37840,55512,5,5,4,1.361
37840,75936,5,5,4,2.162
37840,89084,5,5,7,4.333
37840,129462,5,5,2,0.919
39591,76009,5,5,1,0.311
39591,210228,5,5,1,0.314
39591,222081,5,5,1,0.325
52170,7559,5,5,1,0.362
52314,10875,5,5,1,0.343
53126,129461,5,5,5,3.523
53126,154144,5,5,4,4.007
53126,203018,5,5,2,0.877
53315,90360,5,5,1,0.142
53315,112995,5,5,1,0.27
53393,254087,5,5,1,0.189
53394,102299,5,5,2,0.346
53394,150887,5,5,1,0.124
53395,53394,5,5,1,0.041
53396,247712,5,5,1,0.298
54437,257163,5,5,1,0.381
55512,79418,5,5,1,0.427
56534,101612,5,5,1,0.161
56630,127259,5,5,1,0.305
56630,189576,5,5,2,0.395
56667,259502,5,5,1,0.189
57114,199037,5,5,1,0.226
57856,71189,5,5,1,0.229
57856,95263,5,5,1,0.16
59303,87489,5,5,1,0.302
