"ori_node","des_node","ori_layer","des_layer","minutes","km"
167608,167604,4,4,4,2.664
167610,167607,4,4,4,2.674
5840,194961,5,5,2,0.296
5840,209729,5,5,1,0.385
5840,219635,5,5,1,0.293
52053,54982,5,5,2,1.039
52053,58045,5,5,1,2.827
52053,125006,5,5,5,1.607
52053,182967,5,5,7,3.078
52635,127810,5,5,1,0.191
52635,235963,5,5,1,0.324
52639,245876,5,5,1,0.278
54982,52053,5,5,2,1.039
54982,182403,5,5,1,0.575
58045,52053,5,5,4,2.827
58045,117781,5,5,6,2.414
58045,194346,5,5,5,4.341
58045,229932,5,5,15,2.479
61278,52639,5,5,3,2.382
61278,245876,5,5,4,2.66
62550,200084,5,5,4,2.991
62551,62550,5,5,1,0.309
62552,93765,5,5,5,1.3
64090,64089,5,5,1,1.22
75725,166973,5,5,4,1.318
76083,167612,5,5,1,0.253
77302,115799,5,5,1,0.176
82635,82637,5,5,1,0.395
82636,82635,5,5,1,0.483
82637,241168,5,5,1,0.81
82638,209724,5,5,1,0.512
82639,82638,5,5,1,0.651
82639,107295,5,5,6,3.296
93765,64090,5,5,1,0.131
93765,172234,5,5,1,0.148
96275,102999,5,5,1,0.276
96275,211874,5,5,2,0.427
97979,219819,5,5,1,0.493
102999,62551,5,5,1,0.181
102999,176691,5,5,7,1.546
102999,200087,5,5,2,0.471
107295,209725,5,5,1,0.814
107656,125028,5,5,16,1.8
107656,189061,5,5,2,0.617
107657,116030,5,5,3,1.298
107658,5840,5,5,1,0.291
107659,107295,5,5,3,1.545
107659,219629,5,5,1,1.428
107659,219630,5,5,3,0.213
107907,218769,5,5,1,0.63
115788,167607,5,5,2,1.662
115799,201157,5,5,1,0.277
115834,209948,5,5,1,0.341
115835,62552,5,5,8,3.684
115835,125029,5,5,1,1.299
115835,137293,5,5,3,1.395
115835,190332,5,5,1,0.26
116030,159477,5,5,3,1.095
116030,169878,5,5,4,1.306
116030,209728,5,5,4,3.51
116030,224244,5,5,2,1.243
117781,58045,5,5,2,2.414
118192,152229,5,5,1,0.395
118193,125029,5,5,2,1.645
119455,119458,5,5,6,1.373
119455,127813,5,5,1,1.212
119455,245875,5,5,4,1.381
119457,211874,5,5,2,0.919
119458,119455,5,5,6,1.373
119458,211874,5,5,8,1.726
125006,52053,5,5,3,1.607
125006,166773,5,5,2,0.911
125028,62552,5,5,2,0.869
125028,129802,5,5,8,1.787
125028,137293,5,5,3,1.497
125028,167610,5,5,5,1.615
125029,159476,5,5,2,1.302
125029,190332,5,5,2,1.552
125029,241435,5,5,4,2.38
125547,167608,5,5,1,0.864
125547,190341,5,5,1,0.17
125548,77302,5,5,1,0.201
125550,167613,5,5,1,0.265
125902,106013,5,5,1,1.131
125902,116030,5,5,3,1.073
127380,82639,5,5,1,0.437
127383,127380,5,5,1,0.367
127383,241168,5,5,1,0.325
127810,119455,5,5,2,1.225
127811,125028,5,5,3,1.617
127813,235963,5,5,1,0.287
127813,245875,5,5,1,0.202
129802,107657,5,5,3,1.698
137293,62552,5,5,6,2.366
137293,125028,5,5,3,1.497
137293,159476,5,5,3,1.398
137293,190332,5,5,2,1.644
137469,52635,5,5,2,2.06
137469,245875,5,5,4,2.052
149686,149688,5,5,2,0.939
149687,149691,5,5,1,0.172
149687,223884,5,5,2,0.421
149689,149687,5,5,2,1.014
149689,197760,5,5,1,0.507
149690,209726,5,5,1,0.506
149691,219832,5,5,1,0.759
149692,149686,5,5,1,0.186
149692,223884,5,5,2,0.555
152229,118193,5,5,1,0.683
152229,125029,5,5,4,2.315
152229,167610,5,5,6,4.441
159476,115834,5,5,1,0.31
159476,190334,5,5,1,0.396
159477,149690,5,5,1,0.605
162864,97979,5,5,1,0.059
