"ori_node","des_node","ori_layer","des_layer","minutes","km"
29968,31544,3,3,1,1.085
31544,29968,3,3,1,1.085
9354,9354,5,5,1,0
9354,100328,5,5,1,0.357
9354,115686,5,5,3,0.619
9354,129813,5,5,1,0.377
9354,234994,5,5,1,0.369
9354,253037,5,5,1,0.376
29968,29968,5,5,1,0
29968,150574,5,5,1,0.536
31544,31544,5,5,1,0
31544,61990,5,5,1,0.247
31544,61991,5,5,1,0.24
31544,61992,5,5,1,0.244
31544,71495,5,5,1,0.251
31544,81216,5,5,1,0.478
31544,89113,5,5,3,1.806
31544,112716,5,5,1,0.369
31544,118359,5,5,4,0.878
31544,122422,5,5,1,1.416
31544,142268,5,5,1,1.306
31544,177843,5,5,4,0.703
31544,198369,5,5,3,0.572
31544,217397,5,5,1,0.544
35000,35000,5,5,1,0
35000,151203,5,5,1,0.242
35000,244965,5,5,1,0.325
52095,244851,5,5,1,0.416
52096,244852,5,5,1,0.307
52097,108780,5,5,1,0.851
52098,52099,5,5,1,0.242
52099,52096,5,5,1,0.318
52100,72837,5,5,1,0.045
53641,53642,5,5,1,0.341
53642,53647,5,5,1,0.567
53643,53641,5,5,2,0.888
53643,53644,5,5,1,0.274
53643,244852,5,5,1,0.08
53643,253041,5,5,1,0.235
53643,258751,5,5,1,0.618
53644,52097,5,5,1,0.527
53644,53641,5,5,1,0.632
53644,53645,5,5,3,2.232
53644,53647,5,5,5,1.523
53644,258751,5,5,1,0.349
53645,61847,5,5,1,0.311
53645,108783,5,5,5,2.475
53647,53645,5,5,1,0.753
53647,53648,5,5,1,0.366
53648,53645,5,5,1,0.39
53989,53990,5,5,1,0.226
53990,53991,5,5,1,0.129
53991,53992,5,5,1,0.131
53992,53998,5,5,1,0.176
53992,83570,5,5,1,0.417
53993,255002,5,5,1,0.331
53995,217398,5,5,1,0.25
53996,53989,5,5,1,0.226
53998,68516,5,5,1,0.52
53999,93239,5,5,1,0.316
53999,196405,5,5,1,0.287
54879,255874,5,5,1,0.276
54880,54879,5,5,1,0.288
61844,71348,5,5,1,0.183
61845,61844,5,5,1,0.197
61847,61850,5,5,1,0.385
61847,61851,5,5,1,0.18
61847,71349,5,5,1,0.146
61848,61845,5,5,1,0.378
61849,71354,5,5,1,0.35
61849,81112,5,5,1,0.333
61850,61849,5,5,1,0.222
61851,61850,5,5,1,0.205
61990,142269,5,5,1,0.631
61990,188420,5,5,1,0.411
61991,93233,5,5,2,0.442
61991,152150,5,5,1,0.709
61992,152150,5,5,2,0.695
61993,31544,5,5,1,0.232
62120,194860,5,5,3,0.462
63324,215429,5,5,1,0.379
63324,217408,5,5,1,0.414
63325,63324,5,5,1,0.277
63327,63324,5,5,2,1.453
63327,123036,5,5,1,0.698
63327,141261,5,5,2,0.645
63327,217408,5,5,3,1.868
63329,123041,5,5,1,0.224
63330,63329,5,5,1,0.275
63334,53643,5,5,1,0.345
63334,90646,5,5,1,0.28
66884,61993,5,5,2,0.606
66993,66994,5,5,1,0.512
67015,159383,5,5,1,0.334
68516,89110,5,5,1,0.196
68516,139665,5,5,1,0.369
68879,71657,5,5,1,0.178
70463,116937,5,5,9,0.617
70463,116939,5,5,1,0.627
70463,257484,5,5,2,0.507
71349,71350,5,5,1,0.203
71350,71351,5,5,1,0.211
71351,61844,5,5,1,0.057
71353,90752,5,5,1,0.271
71353,159387,5,5,1,0.187
71354,116937,5,5,1,0.372
71354,116940,5,5,1,0.329
71355,81112,5,5,1,0.224
71416,141262,5,5,1,0.171
71416,184804,5,5,1,0.155
71417,255871,5,5,1,0.484
71422,123041,5,5,1,0.477
71423,90648,5,5,1,0.201
71423,141262,5,5,1,0.092
71424,71422,5,5,1,0.307
71425,71417,5,5,1,0.323
71495,177844,5,5,2,0.541
71657,177841,5,5,1,0.453
71658,71659,5,5,1,0.318
71659,68879,5,5,1,0.303
71659,177841,5,5,2,0.8
72837,71425,5,5,1,0.495
72837,72842,5,5,1,0.203
72837,222867,5,5,1,1.149
72840,73595,5,5,3,1.351
72840,182133,5,5,1,0.498
72840,182143,5,5,1,0.104
72842,72843,5,5,1,0.3
72843,222863,5,5,1,0.4
72843,222867,5,5,2,0.645
73595,53643,5,5,1,0.588
73595,53644,5,5,3,0.838
73595,63334,5,5,1,0.256
73595,72837,5,5,1,0.208
73595,139663,5,5,1,0.57
78215,53993,5,5,1,0.299
78215,93234,5,5,1,0.101
78215,247066,5,5,1,0.264
79739,148277,5,5,1,0.251
79739,148278,5,5,1,0.786
80906,53995,5,5,1,0.231
81033,81037,5,5,1,0.216
81033,141269,5,5,1,0.148
81034,81033,5,5,1,0.248
81037,215430,5,5,1,0.259
81038,234996,5,5,1,0.326
81039,81038,5,5,1,0.197
81041,230675,5,5,1,0.438
81042,217408,5,5,1,0.409
81112,71347,5,5,1,0.315
81112,159387,5,5,1,0.315
81215,31544,5,5,1,0.465
81217,31544,5,5,1,0.279
83569,219121,5,5,4,0.588
83569,247066,5,5,2,0.378
83570,108230,5,5,1,0.316
83572,83575,5,5,1,0.139
89110,63324,5,5,2,0.58
89110,63325,5,5,1,0.307
89110,182133,5,5,1,0.164
89111,89112,5,5,1,0.3
89112,53999,5,5,1,0.084
89112,83570,5,5,1,0.397
89113,73595,5,5,2,0.627
89113,182134,5,5,1,0.374
89114,89111,5,5,1,0.272
89114,139665,5,5,1,0.334
89430,89431,5,5,1,0.292
89431,112851,5,5,1,0.907
89431,128854,5,5,2,0.53
89434,99031,5,5,2,1.49
90646,90647,5,5,1,0.248
90647,90651,5,5,1,0.144
90648,81034,5,5,1,0.292
90648,234996,5,5,1,0.156
90649,100332,5,5,2,0.451
90650,90654,5,5,1,0.337
90651,90652,5,5,1,0.181
90651,90655,5,5,1,0.043
90652,90649,5,5,1,0.404
90654,90651,5,5,1,0.205
90654,90655,5,5,1,0.243
90655,100330,5,5,1,0.159
90752,71354,5,5,1,0.291
93232,31544,5,5,1,0.372
93233,29968,5,5,1,0.567
93234,93235,5,5,1,0.381
93234,217397,5,5,1,0.576
93235,93232,5,5,2,0.285
93235,217397,5,5,1,0.203
93237,93234,5,5,2,0.32
93239,80906,5,5,2,0.513
93239,83570,5,5,1,0.525
93239,94407,5,5,1,0.202
93753,54880,5,5,1,0.258
94407,93237,5,5,2,0.374
94407,93239,5,5,1,0.202
94412,53998,5,5,1,0.239
94412,53999,5,5,1,0.333
94412,258751,5,5,10,2.237
94414,94417,5,5,1,0.248
94417,94412,5,5,1,0.355
98727,117578,5,5,1,0.234
98727,258752,5,5,1,0.193
99029,128857,5,5,1,0.542
99030,99029,5,5,1,0.64
99031,70463,5,5,1,0.369
99031,99030,5,5,1,0.456
99031,100331,5,5,5,3.008
100324,53641,5,5,1,0.073
100324,90650,5,5,3,0.454
100324,244850,5,5,1,0.069
100324,244851,5,5,1,0.508
100324,253043,5,5,3,0.538
100325,100324,5,5,1,0.162
100325,244850,5,5,1,0.214
100326,100325,5,5,1,0.227
100327,100326,5,5,1,0.167
100328,100327,5,5,1,0.135
100329,53643,5,5,1,0.135
100329,63327,5,5,1,0.474
100329,63334,5,5,3,0.251
100330,100329,5,5,1,0.244
100331,9354,5,5,10,0.76
100331,110023,5,5,1,0.201
100331,234994,5,5,3,0.698
100332,100331,5,5,1,0.237
102111,90648,5,5,1,0.228
102111,184804,5,5,1,0.1
108216,53991,5,5,1,0.354
108216,93239,5,5,1,0.21
108216,94407,5,5,1,0.021
108230,83572,5,5,1,0.26
108780,108781,5,5,1,0.601
108781,108782,5,5,1,0.66
108782,108783,5,5,1,0.478
108783,108784,5,5,1,0.293
108783,121963,5,5,1,0.176
108783,128862,5,5,2,1.331
108784,108785,5,5,1,0.424
108785,108786,5,5,1,0.24
108786,66993,5,5,1,0.42
108786,236265,5,5,1,0.112
108787,108788,5,5,1,0.204
108788,128852,5,5,1,0.486
110020,110021,5,5,2,0.461
110021,53647,5,5,1,0.369
