"ori_node","des_node","ori_layer","des_layer","minutes","km"
510,43634,2,2,7,5.235
1051,12528,2,2,2,0.805
1082,5334,2,2,15,7.051
1082,14596,2,2,2,1.376
1082,33015,2,2,3,1.886
1082,40513,2,2,2,1.742
1112,7948,2,2,2,0.971
1411,5631,2,2,4,2.839
1411,15922,2,2,1,0.63
1411,37348,2,2,1,1.193
4453,5334,2,2,2,1.221
4453,18664,2,2,3,2.496
5328,18664,2,2,1,1.822
5328,23024,2,2,1,0.749
5328,43634,2,2,2,1.628
5334,1082,2,2,13,7.051
5334,4453,2,2,1,1.221
5334,5594,2,2,2,2.569
5334,25688,2,2,3,3.013
5334,27240,2,2,1,0.729
5334,29401,2,2,8,8.898
5334,43090,2,2,4,4.882
5594,5334,2,2,9,2.569
5594,48465,2,2,1,0.519
5594,165619,2,2,6,5.512
5631,5334,2,2,16,3.132
5631,25688,2,2,1,0.927
5631,36698,2,2,2,0.942
7948,1112,2,2,2,0.971
7948,18003,2,2,2,0.806
11155,12528,2,2,1,1.704
11155,44345,2,2,1,0.757
12528,1051,2,2,1,0.805
12528,11155,2,2,1,1.704
12528,44345,2,2,5,2.453
14596,1082,2,2,3,1.376
14596,4453,2,2,11,7.025
14596,18862,2,2,1,0.85
15922,1411,2,2,2,0.63
15922,33015,2,2,4,0.864
16426,17737,2,2,1,2.24
17737,16426,2,2,2,2.24
17737,43634,2,2,6,3.154
18003,7948,2,2,2,0.806
18003,43634,2,2,6,2.696
18664,4453,2,2,3,2.496
18664,5328,2,2,2,1.822
18664,44345,2,2,1,1.154
18862,14596,2,2,1,0.85
18862,41915,2,2,3,2.327
19983,20150,2,2,1,0.59
19983,32271,2,2,2,0.785
20150,19983,2,2,1,0.59
20150,48465,2,2,2,1.741
23024,5328,2,2,1,0.749
23024,43634,2,2,1,0.89
24995,28539,2,2,2,1.557
24995,43634,2,2,9,4.839
25688,5334,2,2,6,3.013
25688,5631,2,2,2,0.927
27240,5334,2,2,2,0.729
27240,32271,2,2,2,1.054
27240,43634,2,2,1,0.98
28539,24995,2,2,2,1.557
28539,43634,2,2,6,3.312
29401,5334,2,2,13,8.898
29401,43090,2,2,3,4.825
32271,19983,2,2,2,0.785
32271,27240,2,2,1,1.054
33015,1082,2,2,3,1.886
33015,15922,2,2,1,0.864
33015,44345,2,2,1,1.167
36698,5631,2,2,2,0.942
36698,37348,2,2,1,0.802
37348,1411,2,2,1,1.193
37348,36698,2,2,2,0.802
37905,38466,2,2,1,0.601
38466,37905,2,2,1,0.601
38466,43634,2,2,5,2.184
40513,1082,2,2,1,1.742
41915,18862,2,2,3,2.327
43090,5334,2,2,9,4.882
43090,29401,2,2,5,4.825
43634,510,2,2,6,5.235
43634,5328,2,2,3,1.628
43634,17737,2,2,6,3.154
43634,18003,2,2,6,2.696
43634,23024,2,2,1,0.89
43634,24995,2,2,8,4.839
43634,27240,2,2,1,0.98
43634,28539,2,2,6,3.312
43634,38466,2,2,5,2.184
44345,1051,2,2,4,3.255
44345,11155,2,2,2,0.757
44345,18664,2,2,1,1.154
44345,33015,2,2,1,1.167
48465,5594,2,2,2,0.519
48465,20150,2,2,3,1.741
165619,5594,2,2,5,5.512
994,3140,3,3,2,0.928
994,40164,3,3,2,0.703
3140,994,3,3,1,0.928
3140,18664,3,3,1,0.853
5334,31535,3,3,1,0.859
5334,43634,3,3,2,0.52
6855,18664,3,3,1,1.127
6855,21810,3,3,2,0.866
14127,21810,3,3,2,0.732
14127,31535,3,3,1,0.673
18664,3140,3,3,1,0.853
18664,6855,3,3,2,1.127
18664,18664,3,3,1,0
20299,43634,3,3,1,0.873
20299,227377,3,3,1,0.519
21810,6855,3,3,1,0.866
21810,14127,3,3,1,0.732
23578,44269,3,3,2,0.774
23578,227377,3,3,1,0.59
31535,5334,3,3,1,0.859
31535,14127,3,3,2,0.673
40164,994,3,3,1,0.703
40164,44269,3,3,1,0.444
43634,5334,3,3,2,0.52
43634,20299,3,3,1,0.873
44269,23578,3,3,2,0.774
44269,40164,3,3,1,0.444
227377,20299,3,3,1,0.519
227377,23578,3,3,1,0.59
5334,5334,4,4,5,0
5334,234988,4,4,8,2.869
18273,5334,4,4,9,2.748
33015,191491,4,4,2,0.796
191491,18273,4,4,4,1.81
225356,33015,4,4,3,0.959
234988,225356,4,4,3,1.526
17,17963,5,5,1,0.204
17,173013,5,5,1,0.43
281,1972,5,5,1,0.258
281,6855,5,5,3,0.628
281,23005,5,5,1,0.241
429,5334,5,5,1,0.791
429,9679,5,5,1,0.18
486,14149,5,5,1,0.228
486,18664,5,5,1,0.648
502,11845,5,5,1,0.289
502,46778,5,5,1,0.239
510,510,5,5,1,0
510,31593,5,5,1,0.577
510,88223,5,5,1,0.551
510,210443,5,5,3,0.615
632,130317,5,5,1,0.146
632,179665,5,5,1,0.135
672,4736,5,5,1,0.213
672,42862,5,5,1,0.165
837,14169,5,5,1,0.21
837,14248,5,5,1,0.405
994,43775,5,5,1,0.356
994,65730,5,5,1,0.328
1051,1051,5,5,1,0
1051,8077,5,5,1,0.635
1051,30441,5,5,1,0.52
1051,120855,5,5,1,0.483
1051,120856,5,5,1,0.309
1051,148909,5,5,1,0.383
1051,188075,5,5,1,0.719
1082,1082,5,5,1,0
1082,50869,5,5,1,0.697
1082,122335,5,5,1,0.33
1105,3140,5,5,1,0.277
1105,34313,5,5,1,0.262
1112,1112,5,5,1,0
1112,84675,5,5,1,0.357
1112,162296,5,5,1,0.296
1164,10128,5,5,1,0.309
1164,11522,5,5,1,0.224
1164,16250,5,5,2,0.557
1164,25889,5,5,1,0.472
1164,244442,5,5,1,0.183
1167,25889,5,5,1,0.239
1167,30041,5,5,1,0.217
1288,199337,5,5,1,0.32
1288,237574,5,5,1,0.184
1411,1411,5,5,1,0
1411,120567,5,5,1,0.685
1411,130324,5,5,1,0.498
1411,223146,5,5,1,0.297
1479,25944,5,5,1,0.311
1479,25947,5,5,1,0.184
1482,14093,5,5,1,0.282
1482,209042,5,5,1,0.257
1482,248602,5,5,1,0.291
1500,1503,5,5,1,0.143
1500,14093,5,5,1,0.28
1503,1500,5,5,1,0.143
1503,145436,5,5,1,0.241
1503,209544,5,5,1,0.151
1775,39935,5,5,1,0.221
1775,133681,5,5,1,0.288
1775,133683,5,5,1,0.368
1791,1792,5,5,1,0.159
1791,43077,5,5,2,0.315
1791,43081,5,5,1,0.167
1792,1791,5,5,1,0.159
1792,44345,5,5,1,0.664
1802,1804,5,5,1,0.18
1802,10807,5,5,1,0.354
1803,78689,5,5,1,0.158
1803,147192,5,5,1,0.538
1803,147207,5,5,1,0.292
1804,1802,5,5,1,0.18
1804,1803,5,5,1,0.308
1804,50950,5,5,1,0.234
1972,281,5,5,1,0.258
1972,23032,5,5,1,0.211
2087,84228,5,5,1,0.5
2087,111689,5,5,1,0.207
2290,40513,5,5,1,0.777
2955,72596,5,5,1,0.226
2955,173212,5,5,1,0.128
2955,173218,5,5,1,0.419
3140,1105,5,5,1,0.277
3140,3140,5,5,1,0
3140,23951,5,5,1,0.359
3140,138011,5,5,1,0.423
3140,153628,5,5,1,0.448
3140,233775,5,5,1,0.431
3536,3537,5,5,1,0.11
3536,3540,5,5,1,0.114
3537,3536,5,5,1,0.11
3537,21575,5,5,1,0.175
3539,3540,5,5,1,0.269
3539,12606,5,5,1,0.252
3540,3536,5,5,1,0.114
3540,3539,5,5,1,0.269
3542,3543,5,5,1,0.287
3542,199264,5,5,1,0.25
3543,3542,5,5,1,0.287
3543,31535,5,5,1,0.524
4013,7615,5,5,1,0.205
4013,7743,5,5,1,0.289
4066,19953,5,5,1,0.218
4066,27379,5,5,1,0.187
4101,7948,5,5,1,0.563
4101,118218,5,5,1,0.136
4101,157667,5,5,1,0.256
4175,7684,5,5,1,0.138
4175,120141,5,5,1,0.425
4252,36698,5,5,1,0.591
4315,27240,5,5,3,0.895
4315,104646,5,5,1,0.193
4315,133686,5,5,3,1.118
4316,23463,5,5,1,0.187
4453,4453,5,5,1,0
4453,5328,5,5,1,0.925
4453,5334,5,5,6,1.221
4453,23024,5,5,1,0.55
4453,71340,5,5,1,0.278
4453,71343,5,5,1,0.278
4453,92315,5,5,3,0.62
4453,102585,5,5,1,0.292
4453,103942,5,5,4,0.673
4453,151284,5,5,1,0.395
4453,195829,5,5,2,0.457
4736,672,5,5,1,0.213
4736,4737,5,5,1,0.155
4737,4736,5,5,1,0.155
4737,163566,5,5,1,0.148
4896,31535,5,5,1,0.292
4963,39252,5,5,1,0.381
4963,112039,5,5,6,2.318
4963,156022,5,5,1,0.172
5328,4453,5,5,1,0.925
5328,5328,5,5,1,0
5328,29272,5,5,1,0.587
5328,71341,5,5,1,0.619
5328,71345,5,5,1,0.483
5334,429,5,5,1,0.791
5334,4453,5,5,4,1.221
5334,4896,5,5,1,0.567
5334,5334,5,5,1,0
5334,12610,5,5,7,1.833
5334,26578,5,5,1,0.811
5334,26579,5,5,1,0.808
5334,27240,5,5,1,0.729
5334,43634,5,5,1,0.52
5334,62439,5,5,1,0.514
5334,62450,5,5,1,0.625
5334,63453,5,5,1,0.463
5334,63454,5,5,1,0.51
5334,72973,5,5,1,0.393
5334,103942,5,5,1,0.548
5334,105323,5,5,8,0.777
5334,186550,5,5,1,0.264
5334,197246,5,5,1,0.389
5594,5594,5,5,1,0
5594,30041,5,5,1,0.575
5594,45092,5,5,1,0.686
5594,48465,5,5,1,0.519
5594,63559,5,5,1,0.5
5594,98738,5,5,1,0.365
5594,108496,5,5,1,0.414
5631,5631,5,5,1,0
5631,31839,5,5,1,0.549
5631,31841,5,5,1,0.532
5631,32752,5,5,1,0.741
5631,36698,5,5,1,0.942
5631,73409,5,5,1,0.397
5631,78579,5,5,1,0.369
5631,139591,5,5,1,0.431
5631,159412,5,5,1,0.494
5631,160876,5,5,1,0.26
5819,226100,5,5,1,0.197
5819,256763,5,5,1,0.281
5850,163571,5,5,1,0.146
5850,183129,5,5,1,0.268
6258,6259,5,5,1,0.172
6258,37348,5,5,1,0.541
6259,6258,5,5,1,0.172
6259,244417,5,5,1,0.18
6469,38466,5,5,1,0.779
6469,50825,5,5,1,0.175
6639,35182,5,5,1,0.16
6639,152043,5,5,1,0.12
6639,152044,5,5,1,0.172
6639,223390,5,5,1,0.139
6712,12348,5,5,1,0.442
6712,37167,5,5,1,0.304
6712,244446,5,5,1,0.11
6855,6855,5,5,1,0
6855,12527,5,5,1,0.259
6855,23005,5,5,1,0.442
6855,37457,5,5,1,0.474
6855,100315,5,5,1,0.254
6855,136858,5,5,1,0.433
7388,14127,5,5,1,0.42
7388,31535,5,5,1,0.288
7561,131304,5,5,1,0.231
7561,170886,5,5,1,0.143
7615,4013,5,5,1,0.205
7615,41438,5,5,1,0.43
7684,4175,5,5,1,0.138
7684,40795,5,5,1,0.283
7743,4013,5,5,1,0.289
7743,248367,5,5,1,0.227
7815,23024,5,5,8,5.085
7815,28141,5,5,1,0.24
7815,217035,5,5,1,0.247
7937,7938,5,5,1,0.103
7937,27144,5,5,1,0.322
7938,7937,5,5,1,0.103
7938,7939,5,5,1,0.178
7939,7938,5,5,1,0.178
7939,13841,5,5,1,0.112
7948,4101,5,5,1,0.563
7948,23001,5,5,1,0.752
7948,29315,5,5,1,0.619
7948,157667,5,5,1,0.67
7948,218869,5,5,1,0.37
8030,49190,5,5,1,0.276
8030,55365,5,5,1,0.24
8077,1051,5,5,1,0.635
8077,258056,5,5,1,0.239
8999,36698,5,5,1,0.691
8999,55961,5,5,1,0.104
9008,8999,5,5,1,0.197
9008,21483,5,5,1,0.241
9048,141561,5,5,1,0.352
9048,141564,5,5,1,0.18
9488,10076,5,5,1,0.176
9488,27240,5,5,2,1.007
9488,258116,5,5,2,0.559
9491,60236,5,5,1,0.255
9491,170460,5,5,1,0.182
9491,180267,5,5,1,0.32
9679,429,5,5,1,0.18
9679,37543,5,5,1,0.261
9679,215843,5,5,1,0.161
