"ori_node","des_node","ori_layer","des_layer","minutes","km"
1893,2660,2,2,3,2.709
1893,7263,2,2,4,2.591
2660,1893,2,2,2,2.709
2679,7263,2,2,3,4.051
2702,48021,2,2,3,2.131
7263,1893,2,2,4,2.591
7263,2679,2,2,3,4.051
48021,2702,2,2,3,2.131
292,7357,5,5,1,0.181
292,21018,5,5,1,0.299
319,1893,5,5,2,0.675
319,14084,5,5,1,0.185
1154,24272,5,5,1,0.305
1154,51167,5,5,2,0.601
1386,8345,5,5,1,0.172
1386,28686,5,5,1,0.257
1386,36839,5,5,1,0.311
1386,114459,5,5,1,0.453
1893,1893,5,5,1,0
1893,3521,5,5,2,0.611
1893,11063,5,5,1,0.892
1893,27616,5,5,4,1.397
1893,51097,5,5,1,0.583
1893,67847,5,5,1,0.427
2009,5895,5,5,1,0.351
2009,30164,5,5,1,0.479
2009,81598,5,5,1,0.154
2009,261441,5,5,1,0.365
2019,32046,5,5,1,0.401
2019,34998,5,5,1,0.471
2019,104311,5,5,4,1.043
2660,2660,5,5,1,0
2660,52165,5,5,1,0.362
2679,2679,5,5,1,0
2679,21511,5,5,1,0.519
2679,33738,5,5,2,0.835
2679,37693,5,5,1,0.786
2679,40919,5,5,1,0.653
2702,2702,5,5,1,0
2702,189183,5,5,5,0.471
2702,229368,5,5,1,0.393
2702,261526,5,5,1,0.54
2807,6525,5,5,1,1.047
2807,26803,5,5,1,0.391
2966,24477,5,5,2,0.391
3521,29441,5,5,1,0.196
3521,159632,5,5,1,0.255
3616,17545,5,5,1,0.323
3616,32046,5,5,1,0.779
3616,40156,5,5,2,0.612
3616,42132,5,5,1,0.202
3616,138391,5,5,2,0.75
3616,138394,5,5,2,0.771
3616,148359,5,5,3,0.757
3616,211708,5,5,2,0.721
3616,211710,5,5,2,0.736
3939,30721,5,5,1,0.771
3939,51157,5,5,4,1.185
3939,138394,5,5,1,0.6
3939,153165,5,5,3,0.586
3939,191992,5,5,1,0.69
3939,211708,5,5,2,0.656
4602,23230,5,5,1,0.148
4602,24477,5,5,1,0.367
5098,21584,5,5,2,1.082
5098,23987,5,5,1,0.504
5098,28686,5,5,2,0.493
5098,227198,5,5,1,0.366
