"ori_node","des_node","ori_layer","des_layer","minutes","km"
1495,4229,2,2,5,4.728
1495,5780,2,2,4,2.687
1495,9255,2,2,6,6.2
1495,16230,2,2,3,1.143
1495,36360,2,2,6,6.116
4229,1495,2,2,5,4.728
4229,9255,2,2,2,1.539
5780,1495,2,2,4,2.687
5780,10694,2,2,3,2.921
9255,1495,2,2,7,6.2
9255,4229,2,2,2,1.539
9255,212027,2,2,4,2.874
10694,5780,2,2,3,2.921
10694,18020,2,2,6,5.774
16230,1495,2,2,4,1.143
16230,25421,2,2,5,5.046
18020,1495,2,2,11,9.814
18020,10694,2,2,5,5.774
25421,16230,2,2,5,5.046
36360,1495,2,2,7,6.116
212027,9255,2,2,3,2.874
42,1788,5,5,1,0.28
42,18959,5,5,1,0.255
42,39930,5,5,1,0.332
303,305,5,5,1,0.119
303,2112,5,5,1,0.173
303,9255,5,5,1,0.702
305,303,5,5,1,0.119
305,9255,5,5,2,0.737
305,50250,5,5,1,0.332
530,16763,5,5,1,0.288
530,39937,5,5,1,0.231
530,43261,5,5,1,0.2
564,3810,5,5,1,0.253
564,12696,5,5,1,0.195
564,46944,5,5,1,0.234
644,19581,5,5,1,0.321
644,33666,5,5,1,0.215
652,16409,5,5,1,0.305
652,19593,5,5,1,0.213
774,775,5,5,1,0.176
774,48774,5,5,4,0.981
775,774,5,5,1,0.176
775,776,5,5,1,0.133
776,775,5,5,1,0.133
776,777,5,5,1,0.094
777,776,5,5,1,0.094
777,25199,5,5,1,0.131
833,33031,5,5,2,0.46
833,128096,5,5,1,0.437
833,180307,5,5,3,0.73
1295,14597,5,5,2,0.556
1295,15048,5,5,1,0.796
1295,15108,5,5,15,3.526
1295,17091,5,5,1,0.347
1295,18351,5,5,1,0.122
1295,41543,5,5,1,0.584
1295,118814,5,5,2,0.705
1295,128449,5,5,4,0.673
1296,36531,5,5,1,0.447
1319,14582,5,5,1,0.473
1319,45676,5,5,1,0.286
1427,10610,5,5,1,0.324
1427,48808,5,5,2,0.401
1495,1495,5,5,1,0
1495,2804,5,5,1,0.537
1495,3027,5,5,4,1.932
1495,6791,5,5,2,0.901
1495,9550,5,5,1,0.611
1495,12900,5,5,1,0.573
1495,13466,5,5,7,1.706
1495,16230,5,5,1,1.143
1495,23475,5,5,1,0.603
1495,26185,5,5,1,0.556
1495,33666,5,5,1,0.719
1495,50837,5,5,1,0.591
1495,53768,5,5,4,0.48
1495,65581,5,5,1,0.542
1495,115576,5,5,7,1.327
1495,124062,5,5,1,0.663
1495,145847,5,5,7,1.87
1562,7135,5,5,1,0.725
1562,20585,5,5,1,0.245
1652,120187,5,5,1,0.301
1728,13466,5,5,18,6.392
1728,20782,5,5,1,0.553
1728,39892,5,5,2,1.172
1728,44401,5,5,2,0.59
1728,44775,5,5,1,0.894
1728,240510,5,5,10,6.227
1762,3027,5,5,1,0.27
1762,38043,5,5,1,0.361
1762,39439,5,5,2,0.475
1762,41158,5,5,1,0.422
1778,2415,5,5,1,0.317
1778,34109,5,5,1,0.157
1778,47417,5,5,1,0.212
1788,42,5,5,1,0.28
1788,7457,5,5,1,0.558
1788,39941,5,5,1,0.278
1805,7457,5,5,1,0.383
1805,39941,5,5,2,0.686
1805,47823,5,5,1,0.352
1921,8074,5,5,1,0.311
1921,40096,5,5,1,0.104
2112,303,5,5,1,0.173
2112,19797,5,5,1,0.442
2112,37105,5,5,1,0.547
2112,259514,5,5,1,0.449
2156,120187,5,5,2,1.289
2156,120189,5,5,5,1.313
2368,20260,5,5,2,0.519
2368,34870,5,5,1,0.434
2415,1778,5,5,1,0.317
2415,7017,5,5,1,0.236
2415,47417,5,5,1,0.357
2534,14545,5,5,2,0.954
