"ori_node","des_node","ori_layer","des_layer","minutes","km"
13842,26895,2,2,2,1.674
16572,48861,2,2,3,1.852
26895,13842,2,2,2,1.674
48861,16572,2,2,3,1.852
13842,13842,5,5,1,0
13842,54444,5,5,2,0.732
13842,119253,5,5,2,0.627
13842,127303,5,5,1,0.459
13842,159856,5,5,1,0.644
13842,204634,5,5,1,0.279
13842,204636,5,5,1,0.257
13842,257992,5,5,1,0.438
16572,16572,5,5,1,0
16572,160387,5,5,1,0.384
16572,168558,5,5,1,0.272
16572,200741,5,5,1,0.394
16572,257424,5,5,2,0.302
26895,26895,5,5,1,0
26895,112010,5,5,1,0.404
26895,162656,5,5,1,0.758
26895,175789,5,5,1,0.44
26895,217881,5,5,1,0.532
48861,48861,5,5,1,0
48861,85533,5,5,2,0.692
48861,221561,5,5,1,0.263
51771,209898,5,5,2,0.28
51771,212212,5,5,1,0.287
52185,167466,5,5,1,0.235
52831,56064,5,5,1,0.074
52831,132456,5,5,1,0.196
52951,200167,5,5,2,0.317
53313,186629,5,5,1,0.237
53314,133495,5,5,1,0.432
53314,137804,5,5,1,0.228
53570,110119,5,5,1,0.215
53638,77690,5,5,1,0.759
53638,85533,5,5,1,0.537
53638,152460,5,5,2,0.362
53639,190740,5,5,1,0.166
53984,236684,5,5,1,0.281
53985,148806,5,5,1,0.213
54444,70313,5,5,8,1.612
54445,13842,5,5,2,0.729
54483,98028,5,5,1,0.305
54483,133380,5,5,2,0.556
54484,62612,5,5,1,0.489
54659,62719,5,5,1,0.238
54659,188798,5,5,2,0.485
54764,63116,5,5,1,0.245
54766,152511,5,5,1,0.167
54797,122711,5,5,1,0.245
54797,158472,5,5,1,0.39
54797,158473,5,5,1,0.343
55104,177100,5,5,1,0.366
55105,72161,5,5,1,0.207
55105,147934,5,5,1,0.349
55233,131391,5,5,1,0.441
55233,172209,5,5,1,0.342
55234,172209,5,5,1,0.312
55274,251227,5,5,3,0.438
55275,127554,5,5,3,0.497
55851,98010,5,5,2,0.495
55851,250048,5,5,1,0.358
55852,209800,5,5,1,0.328
55910,105093,5,5,1,0.29
55910,112220,5,5,1,0.333
55910,258610,5,5,1,0.27
56064,52831,5,5,1,0.074
56064,258780,5,5,1,0.132
56222,56224,5,5,1,0.178
56223,56224,5,5,1,0.255
56223,121687,5,5,1,0.164
56224,56223,5,5,1,0.255
56224,214824,5,5,1,0.177
56225,210442,5,5,1,0.217
57796,151406,5,5,1,0.433
57797,216093,5,5,1,0.195
57938,208208,5,5,1,0.16
57967,62759,5,5,1,0.284
57967,139755,5,5,1,0.184
58431,244881,5,5,1,0.391
58432,261382,5,5,1,0.306
58596,96028,5,5,1,0.173
58597,261551,5,5,1,0.158
58789,261748,5,5,1,0.301
58790,124679,5,5,1,0.313
58790,154828,5,5,1,0.261
58875,168696,5,5,1,0.109
58876,199749,5,5,1,0.531
59265,70515,5,5,1,0.37
59265,71728,5,5,1,0.137
59265,168298,5,5,1,0.369
59265,168299,5,5,2,0.342
59265,255810,5,5,1,0.338
59750,67704,5,5,1,0.336
