"ori_node","des_node","ori_layer","des_layer","minutes","km"
14840,51198,2,2,5,5.422
19579,51198,2,2,6,3.801
51198,14840,2,2,5,5.422
51198,19579,2,2,6,3.801
9,11279,5,5,1,0.161
9,29257,5,5,1,0.228
9,41235,5,5,1,0.146
246,27582,5,5,1,0.207
246,41122,5,5,1,0.28
434,34645,5,5,1,0.222
434,49506,5,5,1,0.244
534,6184,5,5,1,0.182
534,16975,5,5,1,0.106
870,10514,5,5,1,0.121
870,42914,5,5,1,0.205
902,42913,5,5,1,0.223
902,42914,5,5,1,0.166
1039,18597,5,5,1,0.232
1039,46924,5,5,2,0.226
1326,13922,5,5,1,0.593
1326,184776,5,5,1,0.281
1450,20028,5,5,1,0.139
1450,20144,5,5,1,0.351
1452,8697,5,5,1,0.291
1452,8706,5,5,1,0.232
1613,36363,5,5,1,0.188
1613,45982,5,5,1,0.697
1618,9920,5,5,1,0.408
1618,36363,5,5,1,0.292
1669,47633,5,5,1,0.152
1669,74072,5,5,1,0.308
2053,22140,5,5,1,0.23
2053,29954,5,5,1,0.32
2247,17415,5,5,1,0.399
2247,47965,5,5,1,0.132
2321,2322,5,5,1,0.205
2321,123455,5,5,1,0.275
2322,2321,5,5,1,0.205
2322,14094,5,5,1,0.2
2329,34757,5,5,1,0.126
2329,200872,5,5,1,0.103
2332,2329,5,5,1,0.246
2332,200880,5,5,1,0.2
2335,28620,5,5,1,0.165
2335,36601,5,5,1,0.115
2335,53390,5,5,1,0.095
3004,9882,5,5,1,0.603
3004,33568,5,5,2,1.358
3004,72427,5,5,2,0.802
3081,14222,5,5,1,0.132
3081,47996,5,5,1,0.183
3697,33587,5,5,1,0.263
3697,69938,5,5,1,0.097
3698,20780,5,5,1,0.347
3698,222532,5,5,1,0.28
3702,37307,5,5,1,0.237
3703,3704,5,5,1,0.265
3703,4806,5,5,1,0.117
3704,3703,5,5,1,0.265
3704,33587,5,5,1,0.406
3962,6632,5,5,1,0.367
3962,9142,5,5,1,0.193
3987,18112,5,5,1,0.165
3987,25327,5,5,1,0.179
3987,224938,5,5,1,0.132
3997,3999,5,5,1,0.245
3997,28363,5,5,1,0.186
3999,3997,5,5,1,0.245
3999,212173,5,5,1,0.214
4147,25322,5,5,1,0.252
4147,31556,5,5,1,0.301
4147,141921,5,5,1,0.226
4147,217831,5,5,1,0.089
4661,4683,5,5,1,0.21
4661,33614,5,5,1,0.194
4683,4661,5,5,1,0.21
4683,34926,5,5,1,0.288
4696,6593,5,5,1,0.405
4696,6597,5,5,1,0.258
4696,84523,5,5,1,0.346
4787,10935,5,5,1,0.171
4787,16659,5,5,1,0.125
4793,4794,5,5,1,0.462
4793,41074,5,5,1,0.283
4794,4793,5,5,1,0.462
4794,23930,5,5,1,0.314
4794,41124,5,5,1,0.78
4795,37281,5,5,1,0.33
4795,106359,5,5,1,0.371
4803,4804,5,5,1,0.25
4803,40846,5,5,1,0.247
4804,4803,5,5,1,0.25
4804,4805,5,5,1,0.234
4805,4804,5,5,1,0.234
4805,4806,5,5,1,0.199
4806,3703,5,5,1,0.117
4806,4805,5,5,1,0.199
4806,9313,5,5,1,0.097
4807,4808,5,5,1,0.089
4807,9313,5,5,1,0.175
4808,4807,5,5,1,0.089
4808,4809,5,5,1,0.111
4809,4808,5,5,1,0.111
4809,29472,5,5,1,0.221
4830,4835,5,5,1,0.228
4830,142061,5,5,1,0.153
4834,14226,5,5,1,0.328
4834,19579,5,5,1,0.562
4834,32285,5,5,1,0.427
4834,87060,5,5,1,0.19
4835,4830,5,5,1,0.228
4835,4836,5,5,1,0.189
4836,4835,5,5,1,0.189
4836,46994,5,5,1,0.141
4842,16653,5,5,1,0.28
4842,51198,5,5,1,0.571
4844,36593,5,5,1,0.655
4844,212964,5,5,1,0.7
4847,5480,5,5,1,0.098
4847,5629,5,5,1,0.19
4880,5043,5,5,1,0.213
4880,35539,5,5,1,0.347
4880,39407,5,5,1,0.357
5043,4880,5,5,1,0.213
5043,39407,5,5,1,0.147
5043,223926,5,5,1,0.65
5203,19241,5,5,1,0.084
5203,31787,5,5,1,0.128
5299,8755,5,5,1,0.145
5299,49949,5,5,1,0.203
5480,4847,5,5,1,0.098
5480,51198,5,5,1,0.558
5490,5495,5,5,1,0.208
5490,12569,5,5,1,0.2
5492,12569,5,5,1,0.308
5492,33390,5,5,1,0.267
5493,9753,5,5,1,0.143
5493,15682,5,5,1,0.127
5493,24618,5,5,1,0.252
5495,5490,5,5,1,0.208
5495,40097,5,5,1,0.319
5529,37306,5,5,1,0.36
5529,37497,5,5,1,0.326
5629,4847,5,5,1,0.19
5629,5680,5,5,1,0.108
5680,5629,5,5,1,0.108
5680,20246,5,5,1,0.333
5882,5940,5,5,1,0.17
5882,15835,5,5,1,0.293
5882,51198,5,5,1,0.585
5935,29382,5,5,1,0.236
5935,47633,5,5,1,0.162
5940,5882,5,5,1,0.17
5940,28816,5,5,1,0.17
6102,6103,5,5,1,0.322
6102,37312,5,5,1,0.226
6103,6102,5,5,1,0.322
6178,6185,5,5,1,0.122
6178,48715,5,5,1,0.278
6184,534,5,5,1,0.182
6184,6185,5,5,1,0.335
6185,6178,5,5,1,0.122
6185,6184,5,5,1,0.335
6187,19579,5,5,1,0.509
6187,42913,5,5,2,0.461
6187,245748,5,5,1,0.34
6230,11165,5,5,1,0.363
6230,36624,5,5,1,0.546
6591,34779,5,5,1,0.301
6591,40333,5,5,1,0.311
6593,4696,5,5,1,0.405
6593,6593,5,5,1,0
6593,30989,5,5,1,0.21
6593,40335,5,5,1,0.42
6593,45186,5,5,1,0.134
6593,84523,5,5,1,0.074
6597,4696,5,5,1,0.258
6597,34926,5,5,1,0.333
6632,3962,5,5,1,0.367
6632,9141,5,5,1,0.315
6775,36619,5,5,1,0.432
6775,246393,5,5,1,0.34
6856,36414,5,5,1,0.645
6856,84536,5,5,1,0.205
6939,18863,5,5,1,0.521
6939,106051,5,5,1,0.285
6939,128886,5,5,1,0.33
6944,6952,5,5,1,0.164
6944,41028,5,5,1,0.476
6952,6944,5,5,1,0.164
6952,233854,5,5,1,0.412
7268,23086,5,5,1,0.193
7268,46658,5,5,1,0.19
7975,57574,5,5,1,0.311
7975,61685,5,5,1,0.208
7975,262160,5,5,1,0.109
7983,18127,5,5,1,0.284
7983,27187,5,5,1,0.314
7983,40103,5,5,1,0.44
7983,231749,5,5,2,0.416
8679,10935,5,5,1,0.22
8679,20247,5,5,1,0.457
8679,67187,5,5,1,0.164
8679,88781,5,5,1,0.255
8679,208503,5,5,1,0.515
8682,13735,5,5,1,0.222
8682,25664,5,5,1,0.106
8696,27928,5,5,1,0.365
8696,46924,5,5,1,0.404
8697,1452,5,5,1,0.291
8697,27928,5,5,1,0.202
8706,1452,5,5,1,0.232
8706,41154,5,5,1,0.471
8741,27182,5,5,1,0.18
8741,48722,5,5,1,0.156
8741,69933,5,5,1,0.074
8741,116132,5,5,1,0.368
8755,5299,5,5,1,0.145
8755,27187,5,5,1,0.234
