"ori_node","des_node","ori_layer","des_layer","minutes","km"
8954,11214,2,2,2,1.149
8954,43955,2,2,2,2.883
11214,8954,2,2,2,1.149
11214,46257,2,2,3,2.312
16830,18545,2,2,2,1.135
18545,16830,2,2,2,1.135
18545,46257,2,2,3,2.466
43955,8954,2,2,3,2.883
46257,11214,2,2,3,2.312
46257,18545,2,2,2,2.466
60855,195396,4,4,5,1.077
75475,139987,4,4,2,1.004
140327,60855,4,4,2,1.029
195396,75475,4,4,4,1.037
242,1412,5,5,1,0.227
242,69277,5,5,1,0.163
244,1417,5,5,1,0.3
244,33350,5,5,1,0.231
836,39536,5,5,1,0.174
836,43911,5,5,1,0.215
988,990,5,5,1,0.185
988,2017,5,5,1,0.257
988,4907,5,5,1,0.264
990,988,5,5,1,0.185
990,2010,5,5,1,0.237
990,34412,5,5,1,0.266
1000,1002,5,5,1,0.206
1000,2010,5,5,1,0.54
1000,12130,5,5,1,0.273
1002,1000,5,5,1,0.206
1002,20292,5,5,1,0.171
1412,242,5,5,1,0.227
1412,100891,5,5,1,0.281
1417,244,5,5,1,0.3
1417,3234,5,5,1,0.537
1555,12289,5,5,1,0.541
1555,36501,5,5,1,0.399
1555,169628,5,5,1,0.094
2010,990,5,5,1,0.237
2010,1000,5,5,2,0.54
2010,90794,5,5,1,0.224
2011,12130,5,5,1,0.278
2011,27214,5,5,1,0.473
2013,6979,5,5,1,0.456
2013,24723,5,5,1,0.35
2013,81177,5,5,1,0.285
2017,988,5,5,1,0.257
2017,100455,5,5,1,0.284
3223,8954,5,5,1,0.858
3223,91057,5,5,1,0.249
3234,1417,5,5,1,0.537
3234,9447,5,5,1,0.241
4033,30408,5,5,1,0.322
4033,72991,5,5,1,0.604
4907,988,5,5,1,0.264
4907,12130,5,5,1,0.29
6296,114617,5,5,2,0.814
6296,261448,5,5,1,0.321
6976,6980,5,5,1,0.169
6976,36381,5,5,1,0.152
6976,39624,5,5,1,0.17
6977,39624,5,5,1,0.296
6977,175290,5,5,1,0.186
6979,2013,5,5,1,0.456
6979,6980,5,5,1,0.349
6979,27214,5,5,1,0.19
6980,6976,5,5,1,0.169
6980,6979,5,5,1,0.349
6980,27214,5,5,1,0.371
7494,16418,5,5,4,2.59
7494,249092,5,5,1,0.386
8954,8954,5,5,1,0
8954,30153,5,5,1,0.744
8954,49125,5,5,1,0.595
8954,60855,5,5,1,0.008
8954,75475,5,5,1,0.112
8954,81174,5,5,1,0.611
8954,81176,5,5,1,0.478
8954,139982,5,5,1,0.771
8954,198840,5,5,1,0.633
9447,3234,5,5,1,0.241
9447,56374,5,5,1,0.227
10831,20458,5,5,1,0.311
10831,219937,5,5,1,0.147
11214,11214,5,5,1,0
11214,20458,5,5,1,0.663
11214,31291,5,5,1,0.604
11214,43937,5,5,1,0.532
11214,45908,5,5,1,0.615
11214,75476,5,5,1,0.636
11214,79582,5,5,1,0.461
11214,110126,5,5,1,0.487
11214,184517,5,5,1,0.431
11214,213909,5,5,1,0.544
12130,2011,5,5,1,0.278
12130,2017,5,5,1,0.517
12130,4907,5,5,1,0.29
12289,36957,5,5,3,1.578
12289,146281,5,5,1,0.307
13289,19354,5,5,1,0.288
13289,26238,5,5,1,0.21
13324,19400,5,5,1,0.143
13324,23443,5,5,1,0.115
13324,26242,5,5,1,0.249
14598,30921,5,5,3,1.871
14598,79581,5,5,6,4.115
14684,14686,5,5,1,0.314
14684,19400,5,5,1,0.193
14684,30408,5,5,1,0.182
14686,14684,5,5,1,0.314
14686,26078,5,5,1,0.159
14692,23707,5,5,1,0.253
14692,237731,5,5,1,0.234
16376,16645,5,5,1,0.56
16376,46257,5,5,1,0.721
16417,29922,5,5,4,3.288
16417,76252,5,5,1,0.195
16418,7494,5,5,5,2.59
16418,85911,5,5,1,0.146
16645,16376,5,5,1,0.56
16645,49221,5,5,1,0.187
16650,11214,5,5,1,0.608
16650,49221,5,5,1,0.287
16830,16830,5,5,1,0
16830,115982,5,5,1,0.365
18545,18545,5,5,1,0
18545,24598,5,5,1,0.539
18545,44261,5,5,1,1.035
18576,37123,5,5,1,0.328
18913,24724,5,5,1,0.159
18913,34770,5,5,1,0.153
19354,13289,5,5,1,0.288
19354,43324,5,5,1,0.433
19400,13324,5,5,1,0.143
19400,14684,5,5,1,0.193
19400,23443,5,5,1,0.2
19400,30408,5,5,1,0.308
20292,1002,5,5,1,0.171
20292,10831,5,5,1,0.209
20292,149727,5,5,1,0.129
20458,10831,5,5,1,0.311
20458,98740,5,5,1,0.304
21118,30940,5,5,1,0.167
21118,35087,5,5,1,0.098
21118,40149,5,5,1,0.311
22083,23591,5,5,1,0.27
23443,19400,5,5,1,0.2
23443,24616,5,5,1,0.298
23591,22083,5,5,1,0.27
23707,14692,5,5,1,0.253
23707,26078,5,5,1,0.133
23707,228075,5,5,1,0.172
24317,9447,5,5,1,0.341
24317,140327,5,5,1,0.417
24598,16830,5,5,1,0.596
24598,18545,5,5,1,0.539
24616,19354,5,5,1,0.136
24616,23443,5,5,1,0.298
24616,233516,5,5,1,0.331
24723,2013,5,5,1,0.35
24723,31149,5,5,1,0.317
24724,18913,5,5,1,0.159
24724,39829,5,5,1,0.198
25619,43324,5,5,1,0.144
25619,65997,5,5,1,0.074
25619,140327,5,5,1,0.309
26078,14686,5,5,1,0.159
26078,23707,5,5,1,0.133
26238,13289,5,5,1,0.21
26238,38734,5,5,1,0.136
26242,13324,5,5,1,0.249
26242,38734,5,5,1,0.195
26246,14692,5,5,1,0.374
26246,39539,5,5,1,0.193
27195,30931,5,5,2,1.717
27195,50124,5,5,1,0.223
27195,110128,5,5,1,0.129
27214,6979,5,5,1,0.19
27214,6980,5,5,1,0.371
27214,90795,5,5,1,0.183
27215,31149,5,5,2,0.395
27215,33843,5,5,1,0.501
29484,47737,5,5,1,0.309
29484,69254,5,5,1,0.248
29484,218315,5,5,1,0.211
29493,47737,5,5,1,0.2
29922,16417,5,5,4,3.288
29922,29928,5,5,1,0.346
29922,76252,5,5,4,3.179
29928,29922,5,5,1,0.346
29928,29929,5,5,1,0.188
29929,29928,5,5,1,0.188
30153,8954,5,5,1,0.744
30153,49124,5,5,2,0.503
30153,49126,5,5,1,0.392
30153,139982,5,5,1,0.203
30408,4033,5,5,1,0.322
30408,14684,5,5,1,0.182
30408,19400,5,5,1,0.308
30921,14598,5,5,2,1.871
30921,30931,5,5,1,0.32
30931,27195,5,5,3,1.717
30931,30921,5,5,1,0.32
30940,21118,5,5,1,0.167
30940,50124,5,5,1,0.434
30940,149726,5,5,1,0.088
31149,24723,5,5,1,0.317
31149,27215,5,5,1,0.395
31291,31293,5,5,1,0.175
31291,98740,5,5,1,0.209
31293,31291,5,5,1,0.175
31293,39536,5,5,1,0.167
31915,65996,5,5,1,0.457
31915,140296,5,5,1,0.301
32626,32627,5,5,1,0.322
32626,223854,5,5,1,0.152
32627,32626,5,5,1,0.322
32627,65992,5,5,1,0.447
32998,36957,5,5,1,0.429
33350,244,5,5,1,0.231
33350,29484,5,5,1,0.418
33350,261450,5,5,1,0.073
33843,27215,5,5,1,0.501
33843,34412,5,5,1,0.308
34412,990,5,5,1,0.266
34412,30940,5,5,1,0.36
34412,33843,5,5,1,0.308
34770,18913,5,5,1,0.153
34770,45908,5,5,2,0.319
35087,21118,5,5,1,0.098
35087,39831,5,5,1,0.245
35206,27214,5,5,1,0.261
35206,43911,5,5,1,0.352
35209,40150,5,5,1,0.315
35209,43937,5,5,1,0.3
36381,19354,5,5,2,0.647
36381,24616,5,5,1,0.666
36381,216634,5,5,1,0.357
36501,102987,5,5,1,0.213
36501,136282,5,5,1,0.481
36957,12289,5,5,3,1.578
36957,32998,5,5,1,0.429
36957,103022,5,5,1,0.371
37104,37123,5,5,1,0.261
37104,44128,5,5,1,0.284
37123,18576,5,5,1,0.328
37123,37104,5,5,1,0.261
38734,26238,5,5,1,0.136
38734,26242,5,5,1,0.195
39536,836,5,5,1,0.174
39536,31293,5,5,1,0.167
39539,6977,5,5,1,0.283
39539,26246,5,5,1,0.193
39539,175289,5,5,1,0.198
39624,6976,5,5,1,0.17
39624,6977,5,5,1,0.296
39829,24724,5,5,1,0.198
39829,39830,5,5,1,0.342
39830,39829,5,5,1,0.342
39830,39831,5,5,1,0.219
39831,35087,5,5,1,0.245
39831,39830,5,5,1,0.219
40149,21118,5,5,1,0.311
40149,40150,5,5,1,0.291
40149,44769,5,5,1,0.111
40150,35209,5,5,1,0.315
40150,40149,5,5,1,0.291
43324,25619,5,5,1,0.144
43324,81356,5,5,1,0.121
43911,836,5,5,1,0.215
43911,92364,5,5,1,0.17
43937,35209,5,5,1,0.3
43937,129831,5,5,1,0.244
43955,29484,5,5,1,0.714
43955,33350,5,5,1,0.554
43955,43955,5,5,1,0
43955,94073,5,5,1,0.302
43955,98854,5,5,1,0.338
44076,44128,5,5,1,0.26
44076,261447,5,5,1,0.341
44128,37104,5,5,1,0.284
44128,44076,5,5,1,0.26
44261,18545,5,5,1,1.035
44261,46257,5,5,2,1.452
44769,40149,5,5,1,0.111
44769,45968,5,5,2,0.395
45908,11214,5,5,1,0.615
45908,34770,5,5,2,0.319
45968,54541,5,5,1,0.267
45968,89269,5,5,1,0.159
46257,16376,5,5,1,0.721
46257,44261,5,5,1,1.452
46257,46257,5,5,1,0
47737,29484,5,5,1,0.309
47737,29493,5,5,1,0.2
49123,49124,5,5,1,0.157
49123,49125,5,5,1,0.116
49124,49123,5,5,1,0.157
