"ori_node","des_node","ori_layer","des_layer","minutes","km"
13082,21257,2,2,5,5.809
13082,26612,2,2,3,3.288
21257,13082,2,2,5,5.809
21257,26612,2,2,3,2.754
26612,13082,2,2,3,3.288
26612,21257,2,2,3,2.754
759,759,5,5,1,0
759,23228,5,5,1,0.44
759,23237,5,5,1,0.715
759,42245,5,5,1,0.27
1147,23236,5,5,1,0.52
1147,27879,5,5,9,4.66
1147,40630,5,5,4,1.807
1148,1157,5,5,3,1.814
1148,48660,5,5,1,0.546
1157,1148,5,5,3,1.814
1157,1158,5,5,2,1.121
1158,1157,5,5,1,1.121
1158,42242,5,5,2,0.675
3666,3669,5,5,2,0.565
3666,3672,5,5,1,0.184
3666,9365,5,5,1,0.343
3666,28585,5,5,1,0.339
3667,3671,5,5,1,0.456
3667,9364,5,5,1,0.369
3667,28584,5,5,1,0.279
3668,3671,5,5,1,0.278
3668,36107,5,5,1,0.571
3669,3670,5,5,1,0.22
3669,3675,5,5,1,0.363
3670,3669,5,5,1,0.22
3670,36107,5,5,1,0.175
3670,174519,5,5,3,0.682
3671,3667,5,5,1,0.456
3671,3668,5,5,1,0.278
3671,3672,5,5,1,0.327
3671,3674,5,5,1,0.464
3672,3666,5,5,1,0.184
3672,3671,5,5,1,0.327
3674,3671,5,5,1,0.464
3674,22762,5,5,1,0.311
3675,3669,5,5,1,0.363
3675,28585,5,5,1,0.172
4135,4136,5,5,1,0.777
4135,23232,5,5,1,0.299
4136,4135,5,5,1,0.777
4136,4136,5,5,1,0
4136,17380,5,5,1,0.641
4136,26488,5,5,6,3.454
4138,4139,5,5,1,0.519
4138,4145,5,5,1,0.267
4138,27879,5,5,6,3.828
4139,4138,5,5,1,0.519
4139,4140,5,5,1,0.782
4139,47356,5,5,1,0.347
4140,4139,5,5,1,0.782
4140,4141,5,5,1,1.268
4140,47356,5,5,1,0.531
4141,4140,5,5,1,1.268
4141,36596,5,5,1,0.569
4144,4145,5,5,1,0.299
4144,23228,5,5,1,0.22
4144,27878,5,5,3,0.588
4145,4138,5,5,1,0.267
4145,4139,5,5,3,0.787
4145,4144,5,5,1,0.299
4145,23228,5,5,1,0.16
4732,43608,5,5,1,0.536
4732,43613,5,5,1,0.409
4732,184330,5,5,1,0.197
4732,219386,5,5,1,0.405
4761,4768,5,5,1,0.297
4761,48668,5,5,1,0.332
4765,4766,5,5,1,0.327
4765,13082,5,5,2,0.56
4766,4765,5,5,1,0.327
4766,23531,5,5,2,0.872
4768,4761,5,5,1,0.297
4932,28590,5,5,1,0.175
4932,28591,5,5,1,0.141
6311,6312,5,5,1,0.276
6311,6314,5,5,1,0.484
6312,6311,5,5,1,0.276
6312,16875,5,5,1,0.331
6312,25462,5,5,1,0.351
6312,194011,5,5,3,0.938
6313,6320,5,5,1,0.272
6313,20139,5,5,1,0.39
6314,6311,5,5,1,0.484
6314,16875,5,5,2,0.64
6314,20139,5,5,1,0.404
6314,22768,5,5,5,1.525
6314,258571,5,5,1,0.322
6315,6316,5,5,1,0.285
6316,6315,5,5,2,0.285
6316,25458,5,5,1,0.22
6317,34792,5,5,2,0.804
6317,47548,5,5,1,0.819
6317,66636,5,5,1,0.505
6319,6319,5,5,1,0
6319,22768,5,5,4,1.541
6319,41752,5,5,1,0.256
6319,41754,5,5,1,0.575
6319,41756,5,5,1,0.618
6319,41763,5,5,4,0.594
6319,47544,5,5,1,0.708
6319,47548,5,5,2,0.408
6319,210115,5,5,6,2.106
6320,6313,5,5,1,0.272
6320,22768,5,5,1,0.513
7648,21257,5,5,7,4.007
7680,21257,5,5,11,4.038
7680,47990,5,5,1,0.965
8436,15534,5,5,1,0.302
9358,11144,5,5,1,0.259
9358,47544,5,5,1,0.053
9359,11144,5,5,1,0.314
9359,28591,5,5,1,0.211
9361,9364,5,5,1,0.22
9361,108796,5,5,1,0.396
9362,9366,5,5,1,0.224
9362,252572,5,5,2,0.454
9363,22764,5,5,1,0.268
9363,28583,5,5,1,0.222
9363,41763,5,5,1,0.422
9364,3667,5,5,1,0.369
9364,9361,5,5,1,0.22
9365,3666,5,5,1,0.343
9365,9366,5,5,1,0.503
9365,28585,5,5,1,0.245
9366,9362,5,5,1,0.224
9366,9365,5,5,1,0.503
9366,9367,5,5,1,0.283
9366,43605,5,5,1,0.408
9366,47551,5,5,1,0.427
9367,9366,5,5,1,0.283
9367,9368,5,5,1,0.357
9368,9367,5,5,1,0.357
9368,28587,5,5,1,0.27
9796,43387,5,5,1,0.447
9796,47991,5,5,2,1.024
9799,34677,5,5,3,2.482
9799,161186,5,5,3,1.466
10586,43610,5,5,1,0.145
10586,43611,5,5,1,0.16
10587,3668,5,5,1,0.61
10587,36107,5,5,1,0.175
10587,174519,5,5,1,0.445
11142,4732,5,5,1,0.915
11142,11143,5,5,1,0.151
11143,11142,5,5,1,0.151
11143,36114,5,5,1,0.18
11143,36115,5,5,1,0.174
11144,9358,5,5,1,0.259
11144,9359,5,5,1,0.314
11147,27880,5,5,1,0.14
11147,34058,5,5,1,1.219
11147,47549,5,5,1,0.344
11625,20139,5,5,1,0.227
11625,258570,5,5,1,0.395
13082,4765,5,5,4,0.56
13082,195186,5,5,2,0.762
13501,36586,5,5,1,1.01
13501,36588,5,5,1,0.35
13501,45049,5,5,3,1.203
15534,8436,5,5,1,0.302
15534,15535,5,5,1,0.377
15535,15534,5,5,1,0.377
15535,15536,5,5,1,0.815
15535,15537,5,5,1,0.97
15535,25461,5,5,3,3.557
15535,195186,5,5,2,0.688
15536,15535,5,5,2,0.815
15536,34679,5,5,1,0.549
15537,15535,5,5,2,0.97
15537,34678,5,5,1,0.757
16869,16870,5,5,1,0.593
16869,22769,5,5,2,0.709
16869,36114,5,5,1,0.381
16870,16869,5,5,1,0.593
16870,16877,5,5,1,0.562
16873,47543,5,5,1,0.198
16873,47544,5,5,1,0.077
16874,16876,5,5,1,0.444
16874,47543,5,5,1,0.176
16875,6311,5,5,1,0.23
16875,16876,5,5,1,0.284
16876,16874,5,5,1,0.444
16876,16875,5,5,1,0.284
16877,16870,5,5,1,0.562
16877,21257,5,5,1,0.827
17380,4136,5,5,1,0.641
17380,36588,5,5,1,0.719
18099,29702,5,5,1,0.15
18099,91148,5,5,3,1.223
20139,6313,5,5,1,0.39
20139,6314,5,5,1,0.404
20139,11625,5,5,1,0.227
20139,47544,5,5,2,0.899
20139,47546,5,5,1,0.263
20139,200352,5,5,1,0.311
21257,7648,5,5,6,4.007
21257,7680,5,5,12,4.038
21257,16877,5,5,1,0.827
21257,21257,5,5,1,0
21257,22767,5,5,2,1.118
21257,22768,5,5,3,1.176
21257,43609,5,5,1,0.645
21257,51685,5,5,2,0.757
21257,84818,5,5,1,0.786
21257,159588,5,5,1,0.265
21257,161186,5,5,3,1.257
22762,3674,5,5,1,0.311
22762,22763,5,5,1,0.423
22762,110362,5,5,1,0.516
22763,22762,5,5,1,0.423
22763,22764,5,5,1,0.275
22763,110362,5,5,1,0.178
22764,9363,5,5,1,0.268
22764,22763,5,5,1,0.275
22765,22766,5,5,1,0.287
22765,63518,5,5,1,0.256
22765,174547,5,5,1,0.467
22766,22765,5,5,1,0.287
22766,26612,5,5,1,0.847
22767,11625,5,5,3,0.64
22767,21257,5,5,3,1.118
22767,215098,5,5,1,0.088
22768,6319,5,5,4,1.541
22768,6320,5,5,1,0.513
22768,21257,5,5,3,1.176
22768,28590,5,5,1,0.564
22768,33382,5,5,1,0.464
22768,41764,5,5,1,0.852
22768,43608,5,5,1,0.324
22768,47548,5,5,3,1.768
22768,47551,5,5,1,0.902
22768,51685,5,5,1,0.423
22768,84819,5,5,1,0.571
22768,100629,5,5,1,0.376
22768,242245,5,5,1,0.263
22769,22770,5,5,1,0.201
22769,43612,5,5,1,0.265
22770,16870,5,5,1,0.122
22770,22769,5,5,1,0.201
22770,22771,5,5,1,0.263
22771,22770,5,5,1,0.263
22771,43613,5,5,1,0.222
22771,182283,5,5,1,0.322
23228,759,5,5,1,0.44
23228,4144,5,5,1,0.22
23228,4145,5,5,1,0.16
23232,4135,5,5,1,0.299
23232,23233,5,5,1,0.567
23233,23232,5,5,1,0.567
23233,23234,5,5,1,0.482
23234,23233,5,5,1,0.482
23234,23235,5,5,1,1.084
23235,1147,5,5,2,0.919
23235,23234,5,5,1,1.084
23235,23236,5,5,1,0.686
23236,23235,5,5,1,0.686
23236,47356,5,5,1,0.823
23237,759,5,5,1,0.715
23237,40630,5,5,2,0.859
23531,29689,5,5,2,1.976
23531,48668,5,5,1,0.632
25457,25458,5,5,1,0.223
25457,25460,5,5,1,0.384
25457,29689,5,5,1,0.771
25458,6316,5,5,1,0.22
25458,25457,5,5,1,0.223
25458,42981,5,5,2,0.332
25458,81693,5,5,1,0.224
25460,25457,5,5,1,0.384
25460,25463,5,5,1,0.337
25460,199936,5,5,1,0.335
25461,6314,5,5,2,1.331
25461,15535,5,5,2,3.557
25461,25462,5,5,1,0.313
25461,25463,5,5,1,0.222
25461,25464,5,5,1,0.357
25461,210115,5,5,5,2.222
25462,6312,5,5,1,0.351
25462,25461,5,5,1,0.313
25462,34792,5,5,1,0.779
25463,25460,5,5,1,0.337
25463,25461,5,5,1,0.222
25464,25461,5,5,1,0.357
25464,26612,5,5,1,0.553
25464,194011,5,5,1,0.618
26274,26300,5,5,1,0.27
26274,28582,5,5,1,0.369
26297,26300,5,5,1,0.708
26297,26488,5,5,2,1.192
26297,36582,5,5,1,1.112
26297,210115,5,5,4,1.526
26300,26274,5,5,1,0.27
26300,26297,5,5,1,0.708
26488,4136,5,5,7,3.454
26488,26297,5,5,2,1.192
26488,211198,5,5,8,3.178
26612,6312,5,5,2,1.394
26612,25464,5,5,1,0.553
26612,26612,5,5,1,0
26612,34675,5,5,1,1.017
