"ori_node","des_node","ori_layer","des_layer","minutes","km"
153,12686,2,2,3,3.645
12686,153,2,2,4,3.645
12686,34524,2,2,3,2.389
34524,12686,2,2,2,2.389
153,153,5,5,1,0
153,14158,5,5,1,0.595
153,18556,5,5,1,0.619
153,40140,5,5,1,0.761
153,58232,5,5,1,0.605
153,79577,5,5,1,0.286
153,92940,5,5,1,0.736
153,118886,5,5,1,0.467
275,40791,5,5,1,0.344
276,18571,5,5,1,0.926
675,26463,5,5,1,0.305
675,26974,5,5,1,0.272
1498,21927,5,5,1,0.485
1498,121065,5,5,1,0.352
1580,13429,5,5,1,0.216
1580,40549,5,5,1,0.466
1835,38285,5,5,1,0.4
1835,74593,5,5,1,0.522
1997,27623,5,5,1,1.086
1997,34515,5,5,2,0.287
2022,17930,5,5,1,0.18
2022,84419,5,5,1,0.234
3414,27518,5,5,1,0.275
3414,29742,5,5,1,0.371
3417,36886,5,5,1,0.352
3417,251298,5,5,1,0.364
3421,15930,5,5,1,0.433
3421,38185,5,5,1,0.36
3472,7003,5,5,1,0.147
3472,215133,5,5,1,0.175
5274,9677,5,5,1,0.189
5274,24286,5,5,1,0.302
5487,24286,5,5,1,0.167
5487,144053,5,5,1,0.262
5857,12822,5,5,1,0.14
5857,16321,5,5,1,0.279
5857,26463,5,5,1,0.139
5859,8045,5,5,1,0.429
5859,137400,5,5,1,0.54
5859,194740,5,5,1,0.703
5860,18556,5,5,1,0.249
5860,38332,5,5,1,0.943
5893,13381,5,5,1,0.308
5893,34515,5,5,1,0.495
6011,18591,5,5,1,0.272
6011,29439,5,5,1,0.549
6514,7590,5,5,1,0.265
6514,8501,5,5,1,0.473
6574,23323,5,5,1,0.339
6574,49015,5,5,1,0.505
7003,3472,5,5,1,0.147
7003,19446,5,5,1,0.115
7590,5859,5,5,1,0.714
7590,6514,5,5,1,0.265
7601,51022,5,5,1,0.417
7706,29561,5,5,1,0.297
7706,98959,5,5,1,0.374
7706,152071,5,5,1,0.308
8045,5859,5,5,1,0.429
8045,22525,5,5,1,0.581
8045,128471,5,5,1,0.34
8221,16155,5,5,1,0.309
8221,229237,5,5,1,0.316
8501,6514,5,5,1,0.473
8501,51022,5,5,1,0.241
8969,16575,5,5,1,0.214
8969,226620,5,5,2,0.555
8969,228450,5,5,1,0.346
8988,24403,5,5,1,0.398
8988,40791,5,5,1,0.55
9677,5274,5,5,1,0.189
9677,15262,5,5,1,0.276
9677,86580,5,5,1,0.34
10924,19446,5,5,1,0.252
10924,49012,5,5,1,0.2
10924,158305,5,5,1,0.394
11021,17930,5,5,1,0.435
11021,213941,5,5,1,0.357
11311,39722,5,5,2,0.243
11311,42046,5,5,4,0.922
11456,14239,5,5,1,0.238
11456,34640,5,5,1,0.214
12686,12686,5,5,1,0
12686,12964,5,5,1,0.555
12686,28242,5,5,1,0.759
12686,50720,5,5,1,0.617
12686,160516,5,5,1,0.307
12686,206092,5,5,1,0.669
12822,5857,5,5,1,0.14
12822,28077,5,5,1,0.224
12822,38285,5,5,3,1.829
12822,44203,5,5,2,0.655
12964,12686,5,5,1,0.555
12964,38287,5,5,1,0.336
12968,23678,5,5,1,0.238
12968,36880,5,5,1,0.411
13381,5893,5,5,1,0.308
13429,1580,5,5,1,0.216
13429,39722,5,5,1,0.353
14060,43411,5,5,1,0.201
14060,82575,5,5,1,0.162
14158,153,5,5,1,0.595
14158,5487,5,5,1,0.367
14239,11456,5,5,1,0.238
14239,44928,5,5,1,0.437
15262,9677,5,5,1,0.276
15262,23795,5,5,1,0.563
15262,44928,5,5,2,1.072
15262,47334,5,5,1,0.59
15262,86580,5,5,1,0.294
15524,37567,5,5,1,0.327
15524,44928,5,5,2,0.806
15524,45306,5,5,2,1.192
15524,74642,5,5,1,0.344
15930,18703,5,5,1,0.134
15930,100673,5,5,1,0.245
16155,8221,5,5,1,0.309
16155,44928,5,5,1,0.273
16155,133609,5,5,1,0.243
16156,26974,5,5,1,0.241
16156,38185,5,5,1,0.556
16321,5857,5,5,1,0.279
16321,7706,5,5,1,0.52
16575,8969,5,5,1,0.214
16575,44928,5,5,1,0.359
16575,133609,5,5,1,0.331
17930,2022,5,5,1,0.18
17930,11021,5,5,1,0.435
17930,38205,5,5,1,0.215
18071,34515,5,5,1,0.735
18556,153,5,5,1,0.619
18556,5860,5,5,1,0.249
18556,25039,5,5,1,0.252
18571,276,5,5,1,0.926
18571,39865,5,5,1,0.235
18571,40549,5,5,1,0.706
18591,6011,5,5,1,0.272
18591,32579,5,5,1,0.276
18703,15930,5,5,1,0.134
18703,31356,5,5,2,0.23
18766,37565,5,5,1,0.252
18766,43443,5,5,1,0.174
19276,23795,5,5,1,0.649
19276,51118,5,5,1,0.268
19446,7003,5,5,1,0.115
19446,10924,5,5,1,0.252
19446,28077,5,5,1,0.493
19587,67864,5,5,1,0.138
19587,110820,5,5,1,0.22
21182,23678,5,5,1,0.406
21182,32233,5,5,1,0.374
21927,1498,5,5,1,0.485
