"ori_node","des_node","ori_layer","des_layer","minutes","km"
708,6367,2,2,3,2.202
708,48882,2,2,4,5.414
6367,708,2,2,2,2.202
6367,45909,2,2,3,3.358
6367,48882,2,2,6,7.612
45909,708,2,2,4,5.377
45909,6367,2,2,3,3.358
48882,708,2,2,3,5.414
315,20456,5,5,1,0.119
315,43378,5,5,1,0.216
316,32025,5,5,2,0.295
316,105202,5,5,2,0.334
317,18529,5,5,2,0.293
317,43383,5,5,1,0.25
318,18529,5,5,1,0.156
318,18530,5,5,1,0.132
708,708,5,5,1,0
708,18528,5,5,4,1.641
708,19931,5,5,1,0.751
708,33778,5,5,2,0.5
708,37743,5,5,1,0.699
708,48882,5,5,10,5.414
708,51063,5,5,1,0.881
708,79499,5,5,1,0.699
708,155604,5,5,12,1.153
708,162582,5,5,2,0.479
708,247314,5,5,1,0.523
894,895,5,5,1,0.327
895,894,5,5,1,0.327
895,896,5,5,2,1.095
896,895,5,5,1,1.095
896,898,5,5,1,0.849
897,898,5,5,4,1.794
897,36969,5,5,2,0.906
898,896,5,5,2,0.849
898,897,5,5,5,1.794
919,920,5,5,1,0.278
919,927,5,5,1,0.748
920,919,5,5,1,0.278
920,39038,5,5,1,0.386
921,922,5,5,1,0.415
921,923,5,5,1,0.432
922,921,5,5,1,0.415
922,122694,5,5,2,0.944
923,921,5,5,1,0.432
923,924,5,5,1,0.472
923,6540,5,5,1,0.495
923,145706,5,5,1,0.495
924,923,5,5,1,0.472
924,6537,5,5,1,0.535
924,145706,5,5,1,0.694
926,927,5,5,1,0.494
926,19934,5,5,1,0.656
927,919,5,5,1,0.748
927,926,5,5,1,0.494
1393,20372,5,5,1,0.365
1393,20374,5,5,1,0.464
1393,20376,5,5,1,0.346
1399,8320,5,5,1,0.114
1399,214325,5,5,1,0.335
3528,43383,5,5,1,0.303
3528,43384,5,5,1,0.244
3533,37740,5,5,1,0.377
3533,43379,5,5,1,0.28
3533,43384,5,5,1,0.32
4470,12127,5,5,1,0.401
4470,13724,5,5,5,2.634
4470,17838,5,5,1,0.181
4470,17842,5,5,1,0.218
5183,36968,5,5,3,1.758
5183,37673,5,5,4,2.253
5185,36967,5,5,1,0.804
5185,37672,5,5,2,2.612
5185,196674,5,5,1,0.251
5248,20456,5,5,1,0.3
5248,32025,5,5,2,0.223
5249,5250,5,5,1,0.273
5249,5252,5,5,1,0.219
5250,5249,5,5,1,0.273
5250,32026,5,5,1,0.436
